title,datetime,link
City to reconsider buying Oneonta Sales Company building,2020-01-20 00:00:00,https://news.google.com/./articles/CBMilwFodHRwczovL3d3dy50aGVkYWlseXN0YXIuY29tL25ld3MvbG9jYWxfbmV3cy9jaXR5LXRvLXJlY29uc2lkZXItYnV5aW5nLW9uZW9udGEtc2FsZXMtY29tcGFueS1idWlsZGluZy9hcnRpY2xlX2Y2OTZjMjE1LTdiYjUtNThiZS1hY2FmLTU5YmZlOWRmYjlhNi5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
Why Rob Gronkowski's Pants Will Be a Super Bowl 2020 Star,2020-01-27 00:00:00,https://news.google.com/./articles/CBMiUGh0dHBzOi8vd3d3LmFkd2Vlay5jb20vYnJhbmQtbWFya2V0aW5nL3JvYi1ncm9ua293c2tpLXdyYW5nbGVycy1zdXBlci1ib3dsLTIwMjAv0gEA?hl=en-US&gl=US&ceid=US%3Aen
NASCAR Cup Series 2020 Introduces Premier Partners,2020-01-22 00:00:00,https://news.google.com/./articles/CBMiN2h0dHBzOi8vd3d3Lndzbi5jb20vbmFzY2FyL2N1cC1zZXJpZXMtcHJlbWllci1wYXJ0bmVycy_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Time is ticking for KDB to sell life insurance arm,2020-01-02 00:00:00,https://news.google.com/./articles/CBMiNmh0dHBzOi8vd3d3LmtvcmVhaGVyYWxkLmNvbS92aWV3LnBocD91ZD0yMDIwMDEwMjAwMDczNNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Biopic to look back on late rock legend Shin Hae-chul,2020-01-03 00:00:00,https://news.google.com/./articles/CBMiNmh0dHBzOi8vd3d3LmtvcmVhaGVyYWxkLmNvbS92aWV3LnBocD91ZD0yMDIwMDEwMzAwMDU4ONIBOGh0dHBzOi8vbS5rb3JlYWhlcmFsZC5jb20vYW1wL3ZpZXcucGhwP3VkPTIwMjAwMTAzMDAwNTg4?hl=en-US&gl=US&ceid=US%3Aen
[CES 2020] LG Display CEO vows to expand OLED supplies beyond TVs,2020-01-07 00:00:00,https://news.google.com/./articles/CBMiNmh0dHBzOi8vd3d3LmtvcmVhaGVyYWxkLmNvbS92aWV3LnBocD91ZD0yMDIwMDEwNzAwMDEzM9IBOGh0dHBzOi8vbS5rb3JlYWhlcmFsZC5jb20vYW1wL3ZpZXcucGhwP3VkPTIwMjAwMTA3MDAwMTMz?hl=en-US&gl=US&ceid=US%3Aen
[CES 2020] Hyundai foresees personal air vehicle by 2028,2020-01-07 00:00:00,https://news.google.com/./articles/CBMiNmh0dHBzOi8vd3d3LmtvcmVhaGVyYWxkLmNvbS92aWV3LnBocD91ZD0yMDIwMDEwNzAwMDY2NNIBOGh0dHBzOi8vbS5rb3JlYWhlcmFsZC5jb20vYW1wL3ZpZXcucGhwP3VkPTIwMjAwMTA3MDAwNjY0?hl=en-US&gl=US&ceid=US%3Aen
Growing numbers of illegal stayers leave Korea voluntarily,2020-01-17 00:00:00,https://news.google.com/./articles/CBMiNmh0dHBzOi8vd3d3LmtvcmVhaGVyYWxkLmNvbS92aWV3LnBocD91ZD0yMDIwMDExNzAwMDQ5M9IBOGh0dHBzOi8vbS5rb3JlYWhlcmFsZC5jb20vYW1wL3ZpZXcucGhwP3VkPTIwMjAwMTE3MDAwNDkz?hl=en-US&gl=US&ceid=US%3Aen
"Anime voice actor fired for “inconsiderate comments,” possibly that women shouldn’t drink sake",2020-01-25 00:00:00,https://news.google.com/./articles/CBMifWh0dHBzOi8vc29yYW5ld3MyNC5jb20vMjAyMC8wMS8yNS9hbmltZS12b2ljZS1hY3Rvci1maXJlZC1mb3ItaW5jb25zaWRlcmF0ZS1jb21tZW50cy1wb3NzaWJseS10aGF0LXdvbWVuLXNob3VsZG50LWRyaW5rLXNha2Uv0gGBAWh0dHBzOi8vc29yYW5ld3MyNC5jb20vMjAyMC8wMS8yNS9hbmltZS12b2ljZS1hY3Rvci1maXJlZC1mb3ItaW5jb25zaWRlcmF0ZS1jb21tZW50cy1wb3NzaWJseS10aGF0LXdvbWVuLXNob3VsZG50LWRyaW5rLXNha2UvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen
Will Im Jong-seok return to politics for upcoming elections?,2020-01-25 00:00:00,https://news.google.com/./articles/CBMiNmh0dHBzOi8vd3d3LmtvcmVhaGVyYWxkLmNvbS92aWV3LnBocD91ZD0yMDIwMDEyNTAwMDAxNNIBOGh0dHBzOi8vbS5rb3JlYWhlcmFsZC5jb20vYW1wL3ZpZXcucGhwP3VkPTIwMjAwMTI1MDAwMDE0?hl=en-US&gl=US&ceid=US%3Aen
