title,datetime,link
Marqeta Certifies With Mastercard to Provide Processing Services ...,2020-01-16 00:00:00,https://news.google.com/./articles/CBMirAFodHRwczovL3d3dy5idXNpbmVzc3dpcmUuY29tL25ld3MvaG9tZS8yMDIwMDExNjAwNTE4NC9lbi9NYXJxZXRhLUNlcnRpZmllcy1XaXRoLU1hc3RlcmNhcmQtdG8tUHJvdmlkZS1Qcm9jZXNzaW5nLVNlcnZpY2VzLUVuYWJsaW5nLUV1cm9wZWFuLUZpbnRlY2hzLXRvLUdldC10by1NYXJrZXQtRmFzdGVy0gEA?hl=en-US&gl=US&ceid=US%3Aen
How Crossborder Payments Works for Tech Companies Using ...,2020-01-21 00:00:00,https://news.google.com/./articles/CBMiY2h0dHBzOi8vd3d3LmJ1c2luZXNzaW5zaWRlci5jb20vcGF5bWVudHMtc3RhcnR1cC1kbG9jYWwtanVzdC1leHBhbmRlZC1pdHMtYW1hem9uLXBhcnRuZXJzaGlwLTIwMjAtMdIBAA?hl=en-US&gl=US&ceid=US%3Aen
Pay Fresh: How Subway is upgrading its payments experience,2020-01-29 00:00:00,https://news.google.com/./articles/CBMiWGh0dHBzOi8vdGVhcnNoZWV0LmNvL3BheW1lbnRzL3BheS1mcmVzaC1ob3ctc3Vid2F5LWlzLXVwZ3JhZGluZy1pdHMtcGF5bWVudHMtZXhwZXJpZW5jZS_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Keysight Delivers New 5G Channel Emulation Solution,2020-06-18 00:00:00,https://news.google.com/./articles/CBMia2h0dHBzOi8vYWl0aG9yaXR5LmNvbS9pbnRlcm5ldC1vZi10aGluZ3MvNWctdGVjaG5vbG9neS9rZXlzaWdodC1kZWxpdmVycy1uZXctNWctY2hhbm5lbC1lbXVsYXRpb24tc29sdXRpb24v0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Now with Apple Pay, Curve’s all-in-one card takes consolidation to ...",2020-01-29 00:00:00,https://news.google.com/./articles/CBMicmh0dHBzOi8vd3d3LmFsdGZpLmNvbS9hcnRpY2xlLzYxMzFfbm93LXdpdGgtYXBwbGUtcGF5LWN1cnZlcy1hbGwtaW4tb25lLWNhcmQtdGFrZXMtY29uc29saWRhdGlvbi10by1pdHMtY29uY2x1c2lvbtIBAA?hl=en-US&gl=US&ceid=US%3Aen
Best Innovation Program 2020: Mastercard's Start Path,2020-01-08 00:00:00,https://news.google.com/./articles/CBMiUGh0dHBzOi8vdGVhcnNoZWV0LmNvL2F3YXJkcy9iZXN0LWlubm92YXRpb24tcHJvZ3JhbS0yMDIwLW1hc3RlcmNhcmRzLXN0YXJ0LXBhdGgv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Funding Circle launches TV campaign featuring baby singing along ...,2020-01-08 00:00:00,https://news.google.com/./articles/CBMib2h0dHBzOi8vd3d3LmFsdGZpLmNvbS9hcnRpY2xlLzYwNjBfZnVuZGluZy1jaXJjbGUtbGF1bmNoZXMtdHYtY2FtcGFpZ24tZmVhdHVyaW5nLWJhYnktc2luZ2luZy1hbGljZS1jb29wZXItc29uZ9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Visa: Growing Influence Of 'Buy Now Pay Later' Raises Intriguing ...,2020-01-06 00:00:00,https://news.google.com/./articles/CBMiemh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQzMTUzMTgtdmlzYS1ncm93aW5nLWluZmx1ZW5jZS1vZi1idXktbm93LXBheS1sYXRlci1yYWlzZXMtaW50cmlndWluZy1sb25nLXRlcm0tcXVlc3Rpb25z0gEA?hl=en-US&gl=US&ceid=US%3Aen
Banque de France Governor: Fintech now at “core” of financial system,2020-01-30 00:00:00,https://news.google.com/./articles/CBMiZGh0dHBzOi8vd3d3LmFsdGZpLmNvbS9hcnRpY2xlLzYxMzZfYmFucXVlLWRlLWZyYW5jZS1nb3Zlcm5vci1maW50ZWNoLW5vdy1hdC1jb3JlLW9mLWZpbmFuY2lhbC1zeXN0ZW3SAQA?hl=en-US&gl=US&ceid=US%3Aen
Fintech investment in Australia hits new high,2020-01-13 00:00:00,https://news.google.com/./articles/CBMiUGh0dHBzOi8vd3d3LmFsdGZpLmNvbS9hcnRpY2xlLzYwNzNfZmludGVjaC1pbnZlc3RtZW50LWluLWF1c3RyYWxpYS1oaXRzLW5ldy1oaWdo0gEA?hl=en-US&gl=US&ceid=US%3Aen
Stealth challenger Vive granted UK banking licence to serve the ...,2020-01-21 00:00:00,https://news.google.com/./articles/CBMibmh0dHBzOi8vd3d3LmFsdGZpLmNvbS9hcnRpY2xlLzYxMDNfc3RlYWx0aC1jaGFsbGVuZ2VyLXZpdmUtZ3JhbnRlZC11ay1iYW5raW5nLWxpY2VuY2UtdG8tc2VydmUtdGhlLXVuZGVyYmFua2Vk0gEA?hl=en-US&gl=US&ceid=US%3Aen
Christian Faes hands over the CEO reins at LendInvest,2020-01-13 00:00:00,https://news.google.com/./articles/CBMiWGh0dHBzOi8vd3d3LmFsdGZpLmNvbS9hcnRpY2xlLzYwNzJfY2hyaXN0aWFuLWZhZXMtaGFuZHMtb3Zlci10aGUtY2VvLXJlaW5zLWF0LWxlbmRpbnZlc3TSAQA?hl=en-US&gl=US&ceid=US%3Aen
Funding Circle CFO steps down,2020-01-27 00:00:00,https://news.google.com/./articles/CBMiQGh0dHBzOi8vd3d3LmFsdGZpLmNvbS9hcnRpY2xlLzYxMjFfZnVuZGluZy1jaXJjbGUtY2ZvLXN0ZXBzLWRvd27SAQA?hl=en-US&gl=US&ceid=US%3Aen
