title,datetime,link
Moderna Partners with AWS to Explore the 'Software of Life',2020-01-16 00:00:00,https://news.google.com/./articles/CBMidmh0dHBzOi8vd3d3LmJpb3NwYWNlLmNvbS9hcnRpY2xlL21vZGVybmEtaGFybmVzc2VzLXRoZS1wb3dlci1vZi1hbWF6b24td2ViLXNlcnZpY2VzLXRvLWRldmVsb3AtcGVyc29uYWxpemVkLW1lZGljaW5lcy_SAQA?hl=en-US&gl=US&ceid=US%3Aen
How Moderna is using Amazon cloud to produce personalized cancer vaccines,2020-01-15 00:00:00,https://news.google.com/./articles/CBMiZmh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjAvMDEvMTUvaG93LW1vZGVybmEtdXNlcy1hbWF6b24tY2xvdWQtdG8tcHJvZHVjZS1hLW5ldy1jbGFzcy1vZi1tZWRpY2luZXMuaHRtbNIBamh0dHBzOi8vd3d3LmNuYmMuY29tL2FtcC8yMDIwLzAxLzE1L2hvdy1tb2Rlcm5hLXVzZXMtYW1hem9uLWNsb3VkLXRvLXByb2R1Y2UtYS1uZXctY2xhc3Mtb2YtbWVkaWNpbmVzLmh0bWw?hl=en-US&gl=US&ceid=US%3Aen
"With Wuhan virus genetic code in hand, scientists begin work on a ...",2020-01-24 00:00:00,https://news.google.com/./articles/CBMiRmh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvdXMtY2hpbmEtaGVhbHRoLXZhY2NpbmVzLWlkVVNLQk4xWk4ySjjSAQA?hl=en-US&gl=US&ceid=US%3Aen
What we know about the Wuhan coronavirus and urgent plans to ...,2020-01-24 00:00:00,https://news.google.com/./articles/CBMiUmh0dHBzOi8vd3d3LndlZm9ydW0ub3JnL2FnZW5kYS8yMDIwLzAxL3d1aGFuLWNvcm9uYXZpcnVzLWNoaW5hLWNlcGktdmFjY2luZS1kYXZvcy_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Speculators Running Typically Rampant in Coronavirus Small Caps,2020-01-24 00:00:00,https://news.google.com/./articles/CBMib2h0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIwLTAxLTI0L2Nvcm9uYXZpcnVzLW1hbmlhLWxvb2tzLWxpa2UtYml0Y29pbi1jcmF6ZS1mb3ItaGVhbHRoLXNlY3RvctIBAA?hl=en-US&gl=US&ceid=US%3Aen
How Long Will It Take to Develop a Vaccine for Coronavirus?,2020-01-30 00:00:00,https://news.google.com/./articles/CBMiX2h0dHBzOi8vd3d3LmhlYWx0aGxpbmUuY29tL2hlYWx0aC1uZXdzL2hvdy1sb25nLXdpbGwtaXQtdGFrZS10by1kZXZlbG9wLXZhY2NpbmUtZm9yLWNvcm9uYXZpcnVz0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Second coronavirus patient identified, extent and duration of airport screening to be ‘re-evaluated’",2020-01-25 00:00:00,https://news.google.com/./articles/CBMijgFodHRwczovL3d3dy5tYXJrZXR3YXRjaC5jb20vc3Rvcnkvc2Vjb25kLWNvcm9uYXZpcnVzLXBhdGllbnQtaWRlbnRpZmllZC1leHRlbnQtYW5kLWR1cmF0aW9uLW9mLWFpcnBvcnQtc2NyZWVuaW5nLXRvLWJlLXJlLWV2YWx1YXRlZC0yMDIwLTAxLTI00gGSAWh0dHBzOi8vd3d3Lm1hcmtldHdhdGNoLmNvbS9hbXAvc3Rvcnkvc2Vjb25kLWNvcm9uYXZpcnVzLXBhdGllbnQtaWRlbnRpZmllZC1leHRlbnQtYW5kLWR1cmF0aW9uLW9mLWFpcnBvcnQtc2NyZWVuaW5nLXRvLWJlLXJlLWV2YWx1YXRlZC0yMDIwLTAxLTI0?hl=en-US&gl=US&ceid=US%3Aen
COVID Update: What You Need to Know,2020-01-28 00:00:00,https://news.google.com/./articles/CBMiUmh0dHBzOi8vd3d3LmFhcnAub3JnL2hlYWx0aC9jb25kaXRpb25zLXRyZWF0bWVudHMvaW5mby0yMDIwL2Nvcm9uYXZpcnVzLWZhY3RzLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
"US STOCKS-Wall Street tumbles as virus fears hit travel, growth stocks",2020-01-27 00:00:00,https://news.google.com/./articles/CBMiLWh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvaWRVU0w0TjI5VzJBUtIBAA?hl=en-US&gl=US&ceid=US%3Aen
Russian hackers targeted Ukrainian company at center of ...,2020-01-13 00:00:00,https://news.google.com/./articles/CBMiRWh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvdXMtY3liZXItcnVzc2lhLWJ1cmlzbWEtaWRVU0tCTjFaRDBFWNIBAA?hl=en-US&gl=US&ceid=US%3Aen
