title,datetime,link
"Stocks That Hit 52-Week Lows On Tuesday - Blue Apron Hldgs (NYSE:APRN), American Intl Hldgs (OTC:AMIH)",2020-01-21 00:00:00,https://news.google.com/./articles/CBMiVGh0dHBzOi8vd3d3LmJlbnppbmdhLmNvbS9uZXdzLzIwLzAxLzE1MTU1NTQ4L3N0b2Nrcy10aGF0LWhpdC01Mi13ZWVrLWxvd3Mtb24tdHVlc2RhedIBLWh0dHBzOi8vd3d3LmJlbnppbmdhLmNvbS9hbXAvY29udGVudC8xNTE1NTU0OA?hl=en-US&gl=US&ceid=US%3Aen
Winter 2020 YA Books: 175+ January–March New Releases To TBR,2020-01-06 00:00:00,https://news.google.com/./articles/CBMiKmh0dHBzOi8vYm9va3Jpb3QuY29tL3dpbnRlci0yMDIwLXlhLWJvb2tzL9IBLmh0dHBzOi8vYm9va3Jpb3QuY29tL3dpbnRlci0yMDIwLXlhLWJvb2tzL2FtcC8?hl=en-US&gl=US&ceid=US%3Aen
Jim Cramer: Ollie's Bargain Outlet is bargain stock in a market near its highs,2020-02-13 00:00:00,https://news.google.com/./articles/CBMiaWh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjAvMDIvMTMvamltLWNyYW1lci1vbGxpZXMtYmFyZ2Fpbi1vdXRsZXQtaXMtYmFyZ2Fpbi1zdG9jay1pbi10aGlzLWhvdC1tYXJrZXQuaHRtbNIBbWh0dHBzOi8vd3d3LmNuYmMuY29tL2FtcC8yMDIwLzAyLzEzL2ppbS1jcmFtZXItb2xsaWVzLWJhcmdhaW4tb3V0bGV0LWlzLWJhcmdhaW4tc3RvY2staW4tdGhpcy1ob3QtbWFya2V0Lmh0bWw?hl=en-US&gl=US&ceid=US%3Aen
"Ollie's Bargain Outlet Stock (NASDAQ: OLLI) Headed for ""Tough ...",2020-02-26 00:00:00,https://news.google.com/./articles/CBMiWWh0dHBzOi8vd3d3LnVuc2Vlbm9wcC5jb20vb2xsaWVzLWJhcmdhaW4tb3V0bGV0LXN0b2NrLW5hc2RhcS1vbGxpLWhlYWRlZC1mb3ItdG91Z2gtdGltZXMv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Why the 'TJMaxx of groceries' is succeeding during the coronavirus ...,2020-03-26 00:00:00,https://news.google.com/./articles/CBMiZWh0dHBzOi8vd3d3LmNubi5jb20vMjAyMC8wMy8yNi9idXNpbmVzcy9ncm9jZXJ5LXN0b3Jlcy1zaG9wcGluZy1jb3JvbmF2aXJ1cy1ncm9jZXJ5LW91dGxldC9pbmRleC5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
"U.S. RESEARCH ROUNDUP- American Tower, Ferrari, Walt Disney",2020-04-28 00:00:00,https://news.google.com/./articles/CBMiOWh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvcmVzZWFyY2gtdXMtaWRVU0wzTjJDRzI5SNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Are You An 'Essential' Worker In the Pandemic? That Depends....,2020-04-09 00:00:00,https://news.google.com/./articles/CBMia2h0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9mZWF0dXJlcy8yMDIwLTA0LTA5L2FyZS15b3UtYW4tZXNzZW50aWFsLXdvcmtlci1pbi10aGUtcGFuZGVtaWMtdGhhdC1kZXBlbmRz0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Stock market live Tuesday: Stocks fall in volatile session, FANG in the red, retailers surge",2020-04-28 00:00:00,https://news.google.com/./articles/CBMiPGh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjAvMDQvMjgvc3RvY2stbWFya2V0LXRvZGF5LWxpdmUuaHRtbNIBQGh0dHBzOi8vd3d3LmNuYmMuY29tL2FtcC8yMDIwLzA0LzI4L3N0b2NrLW1hcmtldC10b2RheS1saXZlLmh0bWw?hl=en-US&gl=US&ceid=US%3Aen
Salvation Army offers drive-through food pantry | Local News ...,2020-04-06 00:00:00,https://news.google.com/./articles/CBMikQFodHRwczovL3d3dy50aW1lc2VudGVycHJpc2UuY29tL25ld3MvbG9jYWxfbmV3cy9zYWx2YXRpb24tYXJteS1vZmZlcnMtZHJpdmUtdGhyb3VnaC1mb29kLXBhbnRyeS9hcnRpY2xlXzQzOThhZWQxLWRjYmUtNWNiOC1hYTU5LWRjNDFmZTU2MzA0Yi5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
Bargain store opens in Cenla Wednesday,2020-05-06 00:00:00,https://news.google.com/./articles/CBMiWGh0dHBzOi8vd3d3LmthbGIuY29tL2NvbnRlbnQvbmV3cy9CYXJnYWluLXN0b3JlLW9wZW5zLWluLUNFTkxBLVdlZG5lc2RheS0tNTcwMjM2MzMxLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
The Best Stocks To Buy Now,2020-05-22 00:00:00,https://news.google.com/./articles/CBMiP2h0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQzNDk2ODItYmVzdC1zdG9ja3MtdG8tYnV5LW5vd9IBAA?hl=en-US&gl=US&ceid=US%3Aen
AdvisorShares ETFs CEO Sees More Short-Selling Opportunities ...,2020-05-08 00:00:00,https://news.google.com/./articles/CBMia2h0dHBzOi8vd3d3LmludmVzdG9ycy5jb20vZXRmcy1hbmQtZnVuZHMvZXRmcy9hZHZpc29yc2hhcmVzLWV0ZnMtY2VvLXNlZXMtbW9yZS1zaG9ydC1zZWxsaW5nLW9wcG9ydHVuaXRpZXMv0gEA?hl=en-US&gl=US&ceid=US%3Aen
An ode to Georgetown-Ridge Farm | 'They will always have a ...,2020-05-13 00:00:00,https://news.google.com/./articles/CBMiuQFodHRwczovL3d3dy5uZXdzLWdhemV0dGUuY29tL3Nwb3J0cy9wcmVwLXNwb3J0cy90cmFjay1maWVsZC9hbi1vZGUtdG8tZ2VvcmdldG93bi1yaWRnZS1mYXJtLXRoZXktd2lsbC1hbHdheXMtaGF2ZS1hLXNwZWNpYWwtcGxhY2UtaW4tbXkvYXJ0aWNsZV8zMzNlMmRiNy1hOTU4LTU4NjItOTJiNi1mMzQ4YzMxM2UwNTMuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
"Coronavirus response | Forced to keep 'evolving,' restaurants soldier ...",2020-05-10 00:00:00,https://news.google.com/./articles/CBMingFodHRwczovL3d3dy5uZXdzLWdhemV0dGUuY29tL2Nvcm9uYXZpcnVzL2Nvcm9uYXZpcnVzLXJlc3BvbnNlLWZvcmNlZC10by1rZWVwLWV2b2x2aW5nLXJlc3RhdXJhbnRzLXNvbGRpZXItb24vYXJ0aWNsZV84NjNhZDY3Yy0wYTlkLTUyZGMtYTkzOS00NTdiMDY0NTQ3NWMuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Railroaders launch bi-weekly food drive for families,2020-05-07 00:00:00,https://news.google.com/./articles/CBMikwFodHRwczovL3d3dy5jbGVidXJuZXRpbWVzcmV2aWV3LmNvbS9jb3ZpZC0xOS9yYWlscm9hZGVycy1sYXVuY2gtYmktd2Vla2x5LWZvb2QtZHJpdmUtZm9yLWZhbWlsaWVzL2FydGljbGVfMzM4YTM2YzItOGZlMS0xMWVhLTg4MzgtZGI1ZTdiYTRhMWQ3Lmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
Well-Poised Retailer For A Reopened U.K.: B&M European Value ...,2020-06-24 00:00:00,https://news.google.com/./articles/CBMibGh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQzNTUzMjctd2VsbC1wb2lzZWQtcmV0YWlsZXItZm9yLXJlb3BlbmVkLXUtay1iLWFuZC1tLWV1cm9wZWFuLXZhbHVlLXJldGFpbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
"Business Beat; Stafford Farms offers packaged meats, Ollie's is open ...",2020-06-23 00:00:00,https://news.google.com/./articles/CBMipwFodHRwczovL3d3dy5jZWNpbGRhaWx5LmNvbS9idXNpbmVzcy9idXNpbmVzcy1iZWF0LXN0YWZmb3JkLWZhcm1zLW9mZmVycy1wYWNrYWdlZC1tZWF0cy1vbGxpZXMtaXMtb3Blbi1pbi1iaWctZWxrLW1hbGwvYXJ0aWNsZV81Nzc5YjBlYy03NDdmLTU2NmEtYmNiYi1jZGVkMjU0NzRiNDkuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Franchise Group high on exceeding FQ1 guidance and raised ...,2020-06-19 00:00:00,https://news.google.com/./articles/CBMibmh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9uZXdzLzM1ODQ2NTEtZnJhbmNoaXNlLWdyb3VwLWhpZ2gtb24tZXhjZWVkaW5nLWZxMS1ndWlkYW5jZS1hbmQtcmFpc2VkLWZ5MjAyMC1vdXRsb29r0gEA?hl=en-US&gl=US&ceid=US%3Aen
Caro protests police brutality and racism in a peaceful demonstration,2020-06-05 00:00:00,https://news.google.com/./articles/CBMiZ2h0dHBzOi8vd3d3Lm1pY2hpZ2Fuc3RodW1iLmNvbS9uZXdzL2FydGljbGUvQ2Fyby1wcm90ZXN0cy1wb2xpY2UtYnJ1dGFsaXR5LWFuZC1yYWNpc20taW4tYS0xNTMyMTEzNC5waHDSAQA?hl=en-US&gl=US&ceid=US%3Aen
Ollie’s Bargain Outlet Shares Rise Following an Upbeat Outlook,2020-07-22 00:00:00,https://news.google.com/./articles/CBMiYWh0dHBzOi8vd3d3LmZvb2wuY29tL2ludmVzdGluZy8yMDIwLzA3LzIyL29sbGllcy1iYXJnYWluLW91dGxldC1zaGFyZXMtcmlzZS1mb2xsb3dpbmctYW4tdXBiLmFzcHjSAQA?hl=en-US&gl=US&ceid=US%3Aen
Mercer County Warhawks 13U travel team wins Stars & Stripes title,2020-07-31 00:00:00,https://news.google.com/./articles/CBMilQFodHRwczovL3d3dy5zaGFyb25oZXJhbGQuY29tL3Nwb3J0cy9tZXJjZXItY291bnR5LXdhcmhhd2tzLTEzdS10cmF2ZWwtdGVhbS13aW5zLXN0YXJzLXN0cmlwZXMtdGl0bGUvYXJ0aWNsZV85OWFkNjIyMi1kMmNmLTExZWEtYTI3Ny1iNzUyOGI4ZjMxODcuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Harvick picks up fourth win of 2020; Taylorsville's Zach Price injured ...,2020-07-06 00:00:00,https://news.google.com/./articles/CBMiY2h0dHBzOi8vd3d3LnRheWxvcnN2aWxsZXRpbWVzLmNvbS8yMDIwLzA3LzA2L2hhcnZpY2stcGlja3MtdXAtZm91cnRoLXdpbi1vZi0yMDIwLXdpdGgtaW5keS12aWN0b3J5L9IBAA?hl=en-US&gl=US&ceid=US%3Aen
"Discount retailer Stein Mart files for bankruptcy, could close all of its stores",2020-08-12 00:00:00,https://news.google.com/./articles/CBMijQFodHRwczovL3d3dy5wZW5ubGl2ZS5jb20vYnVzaW5lc3MvMjAyMC8wOC9kaXNjb3VudC1yZXRhaWxlci1zdGVpbi1tYXJ0LWZpbGVzLWZvci1iYW5rcnVwdGN5LWFuZC13aWxsLWNsb3NlLW1vc3QtaWYtbm90LWFsbC1vZi1pdHMtc3RvcmVzLmh0bWzSAZwBaHR0cHM6Ly93d3cucGVubmxpdmUuY29tL2J1c2luZXNzLzIwMjAvMDgvZGlzY291bnQtcmV0YWlsZXItc3RlaW4tbWFydC1maWxlcy1mb3ItYmFua3J1cHRjeS1hbmQtd2lsbC1jbG9zZS1tb3N0LWlmLW5vdC1hbGwtb2YtaXRzLXN0b3Jlcy5odG1sP291dHB1dFR5cGU9YW1w?hl=en-US&gl=US&ceid=US%3Aen
