title,datetime,link
Brainlab acquires VisionTree Software,2020-01-24 00:00:00,https://news.google.com/./articles/CBMiQWh0dHBzOi8vd3d3Lm1hc3NkZXZpY2UuY29tL2JyYWlubGFiLWFjcXVpcmVzLXZpc2lvbnRyZWUtc29mdHdhcmUv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Stock Picks & Analyst Ratings from Piper Sandler,2020-01-08 00:00:00,https://news.google.com/./articles/CBMiUWh0dHBzOi8vd3d3Lm1hcmtldGJlYXQuY29tL3JhdGluZ3MvYnktaXNzdWVyL3BpcGVyLXNhbmRsZXItc3RvY2stcmVjb21tZW5kYXRpb25zL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
"Automated Liquid Handling Market Key Drivers, Restraints, Industry Size & Share, Opportunities By Agilent Tech",2020-01-20 00:00:00,https://news.google.com/./articles/CBMiW2h0dHBzOi8vd3d3Lm9wZW5wci5jb20vbmV3cy8xOTAxMTE1L2F1dG9tYXRlZC1saXF1aWQtaGFuZGxpbmctbWFya2V0LWtleS1kcml2ZXJzLXJlc3RyYWludHPSAVpodHRwczovL3d3dy5vcGVucHIuY29tL2FtcC8xOTAxMTE1L2F1dG9tYXRlZC1saXF1aWQtaGFuZGxpbmctbWFya2V0LWtleS1kcml2ZXJzLXJlc3RyYWludHM?hl=en-US&gl=US&ceid=US%3Aen
Illinois federal court dismisses two biometric privacy lawsuits on ...,2020-02-26 00:00:00,https://news.google.com/./articles/CBMieWh0dHBzOi8vd3d3LmJpb21ldHJpY3VwZGF0ZS5jb20vMjAyMDAyL2lsbGlub2lzLWZlZGVyYWwtY291cnQtZGlzbWlzc2VzLXR3by1iaW9tZXRyaWMtcHJpdmFjeS1sYXdzdWl0cy1vbi1zaW1pbGFyLWdyb3VuZHPSAQA?hl=en-US&gl=US&ceid=US%3Aen
The Best Stocks To Buy Now,2020-02-16 00:00:00,https://news.google.com/./articles/CBMiP2h0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQzMjQ2MjMtYmVzdC1zdG9ja3MtdG8tYnV5LW5vd9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Medication Dispenser Market Sales Revenue To Cross US$ 1100 ...,2020-02-27 00:00:00,https://news.google.com/./articles/CBMicGh0dHBzOi8vd3d3Lm1lZGdhZGdldC5jb20vMjAyMC8wMi9tZWRpY2F0aW9uLWRpc3BlbnNlci1tYXJrZXQtc2FsZXMtcmV2ZW51ZS10by1jcm9zcy11cy0xMTAwLW1uLWJ5LTIwMjUtZW5kLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
"Global Automated Food Sorting Machines Market 2020 - Drivers, Restraints, Opportunities & Trends - Industryand",2020-02-25 00:00:00,https://news.google.com/./articles/CBMiXmh0dHBzOi8vd3d3Lm9wZW5wci5jb20vbmV3cy8xOTQ0NDI3L2dsb2JhbC1hdXRvbWF0ZWQtZm9vZC1zb3J0aW5nLW1hY2hpbmVzLW1hcmtldC0yMDIwLWRyaXZlcnPSAV1odHRwczovL3d3dy5vcGVucHIuY29tL2FtcC8xOTQ0NDI3L2dsb2JhbC1hdXRvbWF0ZWQtZm9vZC1zb3J0aW5nLW1hY2hpbmVzLW1hcmtldC0yMDIwLWRyaXZlcnM?hl=en-US&gl=US&ceid=US%3Aen
Down East Kitchen Party a hit for TMHF,2020-02-28 00:00:00,https://news.google.com/./articles/CBMiU2h0dHBzOi8vd3d3LmludGVsbGlnZW5jZXIuY2EvbmV3cy9sb2NhbC1uZXdzL2Rvd24tZWFzdC1raXRjaGVuLXBhcnR5LWEtaGl0LWZvci10bWhm0gEA?hl=en-US&gl=US&ceid=US%3Aen
China's Z-10 Attack Helicopter Upgraded with Powerful Engine,2020-02-17 00:00:00,https://news.google.com/./articles/CBMiaGh0dHBzOi8vd3d3LmRlZmVuc2V3b3JsZC5uZXQvMjAyMC8wMi8xNy9jaGluYXMtei0xMC1hdHRhY2staGVsaWNvcHRlci11cGdyYWRlZC13aXRoLXBvd2VyZnVsLWVuZ2luZS5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Hedge Funds Were Buying Omnicell, Inc. (OMCL) Before The Coronavirus",2020-03-27 00:00:00,https://news.google.com/./articles/CBMiTmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9oZWRnZS1mdW5kcy13ZXJlLWJ1eWluZy1vbW5pY2VsbC0xNDQ3NTk5MDUuaHRtbNIBVmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vYW1waHRtbC9uZXdzL2hlZGdlLWZ1bmRzLXdlcmUtYnV5aW5nLW9tbmljZWxsLTE0NDc1OTkwNS5odG1s?hl=en-US&gl=US&ceid=US%3Aen
The Best Biotech Stocks To Buy Now,2020-03-06 00:00:00,https://news.google.com/./articles/CBMiR2h0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQzMzAzOTgtYmVzdC1iaW90ZWNoLXN0b2Nrcy10by1idXktbm930gEA?hl=en-US&gl=US&ceid=US%3Aen
"Amazon's Alexa answers new questions on drug interactions, side ...",2020-03-03 00:00:00,https://news.google.com/./articles/CBMibGh0dHBzOi8vd3d3Lm1vZGVybmhlYWx0aGNhcmUuY29tL3BhdGllbnRzL2FtYXpvbnMtYWxleGEtYW5zd2Vycy1uZXctcXVlc3Rpb25zLWRydWctaW50ZXJhY3Rpb25zLXNpZGUtZWZmZWN0c9IBAA?hl=en-US&gl=US&ceid=US%3Aen
"A Spotlight on Automated Waste Collection System (AWCS) Market from 2020 to 2024: Top Key Vendors - Caverion,",2020-03-17 00:00:00,https://news.google.com/./articles/CBMiYGh0dHBzOi8vd3d3Lm9wZW5wci5jb20vbmV3cy8xOTcxNTA1L2Etc3BvdGxpZ2h0LW9uLWF1dG9tYXRlZC13YXN0ZS1jb2xsZWN0aW9uLXN5c3RlbS1hd2NzLW1hcmtldNIBX2h0dHBzOi8vd3d3Lm9wZW5wci5jb20vYW1wLzE5NzE1MDUvYS1zcG90bGlnaHQtb24tYXV0b21hdGVkLXdhc3RlLWNvbGxlY3Rpb24tc3lzdGVtLWF3Y3MtbWFya2V0?hl=en-US&gl=US&ceid=US%3Aen
These are the Pittsburgh-area companies that have had to layoff ...,2020-04-10 00:00:00,https://news.google.com/./articles/CBMibWh0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9waXR0c2J1cmdoL25ld3MvMjAyMC8wNC8xMC90aGVzZS1hcmUtdGhlLXBpdHRzYnVyZ2gtYXJlYS1jb21wYW5pZXMtdGhhdC1oYXZlLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
"Voice search has arrived, but are healthcare marketers ready to take ...",2020-04-02 00:00:00,https://news.google.com/./articles/CBMif2h0dHBzOi8vd3d3Lm1tbS1vbmxpbmUuY29tL2hvbWUvY2hhbm5lbC9mZWF0dXJlcy92b2ljZS1zZWFyY2gtaGFzLWFycml2ZWQtYnV0LWFyZS1oZWFsdGhjYXJlLW1hcmtldGVycy1yZWFkeS10by10YWtlLWFkdmFudGFnZS_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Locally-made UAS for Reconnaissance & Adjusting Artillery Fire ...,2020-04-13 00:00:00,https://news.google.com/./articles/CBMihQFodHRwczovL3d3dy5kZWZlbnNld29ybGQubmV0LzIwMjAvMDQvMTMvbG9jYWxseS1tYWRlLXVhcy1mb3ItcmVjb25uYWlzc2FuY2UtYWRqdXN0aW5nLWFydGlsbGVyeS1maXJlLWRlbGl2ZXJlZC10by11a3JhaW5pYW4tYXJteS5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
The Top 50 Healthcare Technology CEOs of 2020,2020-05-19 00:00:00,https://news.google.com/./articles/CBMiWGh0dHBzOi8vdGhlaGVhbHRoY2FyZXRlY2hub2xvZ3lyZXBvcnQuY29tL3RoZS10b3AtNTAtaGVhbHRoY2FyZS10ZWNobm9sb2d5LWNlb3Mtb2YtMjAyMC_SAQA?hl=en-US&gl=US&ceid=US%3Aen
"Automated Fingerprint Identification Systems Booming Segments; Investors Seeking Growth | Cogent Systems, HID",2020-05-21 00:00:00,https://news.google.com/./articles/CBMiWGh0dHBzOi8vd3d3Lm9wZW5wci5jb20vbmV3cy8yMDUzNTgzL2F1dG9tYXRlZC1maW5nZXJwcmludC1pZGVudGlmaWNhdGlvbi1zeXN0ZW1zLWJvb21pbmfSAVdodHRwczovL3d3dy5vcGVucHIuY29tL2FtcC8yMDUzNTgzL2F1dG9tYXRlZC1maW5nZXJwcmludC1pZGVudGlmaWNhdGlvbi1zeXN0ZW1zLWJvb21pbmc?hl=en-US&gl=US&ceid=US%3Aen
Charles River Labs Recruits Recently Retired Varian Legal Chief,2020-06-10 00:00:00,https://news.google.com/./articles/CBMiYWh0dHBzOi8vbmV3cy5ibG9vbWJlcmdsYXcuY29tL2VzZy9jaGFybGVzLXJpdmVyLWxhYnMtcmVjcnVpdHMtcmVjZW50bHktcmV0aXJlZC12YXJpYW4tbGVnYWwtY2hpZWbSAQA?hl=en-US&gl=US&ceid=US%3Aen
