title,datetime,link
Power Integrations Reports Fourth-Quarter and Full-Year Financial ...,2020-01-30 00:00:00,https://news.google.com/./articles/CBMiggFodHRwczovL3d3dy5idXNpbmVzc3dpcmUuY29tL25ld3MvaG9tZS8yMDIwMDEzMDAwNTgwMy9lbi9Qb3dlci1JbnRlZ3JhdGlvbnMtUmVwb3J0cy1Gb3VydGgtUXVhcnRlci1hbmQtRnVsbC1ZZWFyLUZpbmFuY2lhbC1SZXN1bHRz0gEA?hl=en-US&gl=US&ceid=US%3Aen
Billboard's 2020 Power List | Billboard,2020-01-23 00:00:00,https://news.google.com/./articles/CBMiTWh0dHBzOi8vd3d3LmJpbGxib2FyZC5jb20vbXVzaWMvbXVzaWMtbmV3cy9iaWxsYm9hcmQtMjAyMC1wb3dlci1saXN0LTg1NDg0Mjkv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Mark of Excellence Awards Announced at CES 2020,2020-01-08 00:00:00,https://news.google.com/./articles/CBMiRGh0dHBzOi8vd3d3LmNlcHJvLmNvbS9ldmVudHMvY2VzL21hcmstb2YtZXhjZWxsZW5jZS1hd2FyZHMtY2VzLTIwMjAv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Austrian Power Grid in blockchain PoC for transmission network ...,2020-01-22 00:00:00,https://news.google.com/./articles/CBMiamh0dHBzOi8vd3d3LmxlZGdlcmluc2lnaHRzLmNvbS9lbmVyZ3ktYmxvY2tjaGFpbi1hdXN0cmlhbi1wb3dlci1ncmlkLWVsZWN0cmljaXR5LXRyYW5zbWlzc2lvbi1uZXR3b3JrLWV3Zi_SAQA?hl=en-US&gl=US&ceid=US%3Aen
14 Smart Home Devices That Will Go Mainstream In The Next Decade,2020-01-14 00:00:00,https://news.google.com/./articles/CBMie2h0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvZm9yYmVzdGVjaGNvdW5jaWwvMjAyMC8wMS8xNC8xNC1zbWFydC1ob21lLWRldmljZXMtdGhhdC13aWxsLWdvLW1haW5zdHJlYW0taW4tdGhlLW5leHQtZGVjYWRlL9IBf2h0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvZm9yYmVzdGVjaGNvdW5jaWwvMjAyMC8wMS8xNC8xNC1zbWFydC1ob21lLWRldmljZXMtdGhhdC13aWxsLWdvLW1haW5zdHJlYW0taW4tdGhlLW5leHQtZGVjYWRlL2FtcC8?hl=en-US&gl=US&ceid=US%3Aen
From Smart Cities to Smarter Services: The State of the Energy ...,2020-01-02 00:00:00,https://news.google.com/./articles/CBMiaGh0dHBzOi8vd3d3LnBvd2VybWFnLmNvbS9mcm9tLXNtYXJ0LWNpdGllcy10by1zbWFydGVyLXNlcnZpY2VzLXRoZS1zdGF0ZS1vZi10aGUtZW5lcmd5LWluZHVzdHJ5LWluLTIwMjAv0gEA?hl=en-US&gl=US&ceid=US%3Aen
MoxiWorks and RealScout Tighten Partnership with New Integration,2020-01-07 00:00:00,https://news.google.com/./articles/CBMieGh0dHBzOi8vd3d3LnBybmV3c3dpcmUuY29tL25ld3MtcmVsZWFzZXMvbW94aXdvcmtzLWFuZC1yZWFsc2NvdXQtdGlnaHRlbi1wYXJ0bmVyc2hpcC13aXRoLW5ldy1pbnRlZ3JhdGlvbi0zMDA5ODIxMjQuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Lippolis Electric inc. - 2018 Family-Owned Business Winner,2020-01-13 00:00:00,https://news.google.com/./articles/CBMiYWh0dHBzOi8vd2VzdGZhaXJvbmxpbmUuY29tL3VuY2F0ZWdvcml6ZWQvbGlwcG9saXMtZWxlY3RyaWMtaW5jLTIwMTgtZmFtaWx5LW93bmVkLWJ1c2luZXNzLXdpbm5lci_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Customers | Support | Absolute,2020-01-10 00:00:00,https://news.google.com/./articles/CBMiK2h0dHBzOi8vd3d3LmFic29sdXRlLmNvbS9jdXN0b21lcnMvc3VwcG9ydC_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Create a Productivity Workflow That Works for You,2020-01-08 00:00:00,https://news.google.com/./articles/CBMiSWh0dHBzOi8vaGJyLm9yZy8yMDIwLzAxL2NyZWF0ZS1hLXByb2R1Y3Rpdml0eS13b3JrZmxvdy10aGF0LXdvcmtzLWZvci15b3XSAQA?hl=en-US&gl=US&ceid=US%3Aen
iRobot and IFTTT Partner to Deliver New Embedded Smart Home ...,2020-06-18 00:00:00,https://news.google.com/./articles/CBMiZmh0dHBzOi8vYWl0aG9yaXR5LmNvbS9yb2JvdHMvaXJvYm90LWFuZC1pZnR0dC1wYXJ0bmVyLXRvLWRlbGl2ZXItbmV3LWVtYmVkZGVkLXNtYXJ0LWhvbWUtaW50ZWdyYXRpb25zL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Weichert Empowers Agents With New All-in-One Mobile Technology ...,2020-01-26 00:00:00,https://news.google.com/./articles/CBMibGh0dHBzOi8vd3d3LnJpc21lZGlhLmNvbS8yMDIwLzAxLzI2L3dlaWNoZXJ0LWVtcG93ZXJzLWFnZW50cy13aXRoLW5ldy1hbGwtaW4tb25lLW1vYmlsZS10ZWNobm9sb2d5LXBsYXRmb3JtL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Tremor International Acquires News Corp's Unruly,2020-01-06 00:00:00,https://news.google.com/./articles/CBMiZ2h0dHBzOi8vd3d3LnBybmV3c3dpcmUuY29tL25ld3MtcmVsZWFzZXMvdHJlbW9yLWludGVybmF0aW9uYWwtYWNxdWlyZXMtbmV3cy1jb3Jwcy11bnJ1bHktMzAwOTgxNTEwLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
Intuit ProConnect Expands Partnership Ecosystem to Accelerate ...,2020-01-23 00:00:00,https://news.google.com/./articles/CBMiogFodHRwczovL3d3dy5idXNpbmVzc3dpcmUuY29tL25ld3MvaG9tZS8yMDIwMDEyMzAwNTYwOC9lbi9JbnR1aXQtUHJvQ29ubmVjdC1FeHBhbmRzLVBhcnRuZXJzaGlwLUVjb3N5c3RlbS10by1BY2NlbGVyYXRlLVNvZnR3YXJlLUNhcGFiaWxpdGllcy1mb3ItVGF4LVByb2Zlc3Npb25hbHPSAQA?hl=en-US&gl=US&ceid=US%3Aen
Apple Mac mini vs Intel NUC — the lightweights spar,2020-01-13 00:00:00,https://news.google.com/./articles/CBMiX2h0dHBzOi8vYXBwbGVpbnNpZGVyLmNvbS9hcnRpY2xlcy8yMC8wMS8xMy9hcHBsZS1tYWMtbWluaS12cy1pbnRlbC1udWMtLS0tdGhlLWxpZ2h0d2VpZ2h0cy1zcGFy0gFkaHR0cHM6Ly9hcHBsZWluc2lkZXIuY29tL2FydGljbGVzLzIwLzAxLzEzL2FwcGxlLW1hYy1taW5pLXZzLWludGVsLW51Yy0tLS10aGUtbGlnaHR3ZWlnaHRzLXNwYXIvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen
VIZIO Unveils SmartCast™ 4.0 and the All-New VIZIO Voice Remote,2020-01-05 00:00:00,https://news.google.com/./articles/CBMidmh0dHBzOi8vd3d3LnBybmV3c3dpcmUuY29tL25ld3MtcmVsZWFzZXMvdml6aW8tdW52ZWlscy1zbWFydGNhc3QtNC0wLWFuZC10aGUtYWxsLW5ldy12aXppby12b2ljZS1yZW1vdGUtMzAwOTgxMjcyLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
"Nurse-Doctor Unity Key to Boost EHR Usability, Clinician Burnout",2020-01-02 00:00:00,https://news.google.com/./articles/CBMiYGh0dHBzOi8vZWhyaW50ZWxsaWdlbmNlLmNvbS9uZXdzL251cnNlLWRvY3Rvci11bml0eS1rZXktdG8tYm9vc3QtZWhyLXVzYWJpbGl0eS1jbGluaWNpYW4tYnVybm91dNIBZGh0dHBzOi8vZWhyaW50ZWxsaWdlbmNlLmNvbS9uZXdzL2FtcC9udXJzZS1kb2N0b3ItdW5pdHkta2V5LXRvLWJvb3N0LWVoci11c2FiaWxpdHktY2xpbmljaWFuLWJ1cm5vdXQ?hl=en-US&gl=US&ceid=US%3Aen
Vivint Shares Rise 5% in Stock Market Debut,2020-01-22 00:00:00,https://news.google.com/./articles/CBMiOmh0dHBzOi8vd3d3LmNlcHJvLmNvbS9jZXByby0xMDAvdml2aW50LXN0b2NrLW1hcmtldC1kZWJ1dC_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Google Cloud Gets No-Code App Development With AppSheet ...,2020-01-14 00:00:00,https://news.google.com/./articles/CBMiYmh0dHBzOi8vd3d3LmNybi5jb20vbmV3cy9jbG91ZC9nb29nbGUtY2xvdWQtZ2V0cy1uby1jb2RlLWFwcC1kZXZlbG9wbWVudC13aXRoLWFwcHNoZWV0LWFjcXVpc2l0aW9u0gEA?hl=en-US&gl=US&ceid=US%3Aen
Exploring CrowdStrike's Competitive Advantage (NASDAQ:CRWD),2020-01-13 00:00:00,https://news.google.com/./articles/CBMiVWh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQzMTY0ODYtZXhwbG9yaW5nLWNyb3dkc3RyaWtlcy1jb21wZXRpdGl2ZS1hZHZhbnRhZ2XSAQA?hl=en-US&gl=US&ceid=US%3Aen
Cepton to Showcase Award-Winning Lidar Solutions and ...,2020-01-06 00:00:00,https://news.google.com/./articles/CBMilAFodHRwczovL3d3dy5idXNpbmVzc3dpcmUuY29tL25ld3MvaG9tZS8yMDIwMDEwNjAwNTM1Ny9lbi9DZXB0b24tdG8tU2hvd2Nhc2UtQXdhcmQtV2lubmluZy1MaWRhci1Tb2x1dGlvbnMtYW5kLU11bHRpbWFya2V0LUNvbGxhYm9yYXRpb25zLWF0LUNFUy0yMDIw0gEA?hl=en-US&gl=US&ceid=US%3Aen
Jacobs to exit most of XPO the way he entered — unconventionally,2020-01-22 00:00:00,https://news.google.com/./articles/CBMiYGh0dHBzOi8vd3d3LmZyZWlnaHR3YXZlcy5jb20vbmV3cy9qYWNvYnMtdG8tZXhpdC1tb3N0LW9mLXhwby10aGUtd2F5LWhlLWVudGVyZWQtdW5jb252ZW50aW9uYWxsedIBZGh0dHBzOi8vd3d3LmZyZWlnaHR3YXZlcy5jb20vbmV3cy9qYWNvYnMtdG8tZXhpdC1tb3N0LW9mLXhwby10aGUtd2F5LWhlLWVudGVyZWQtdW5jb252ZW50aW9uYWxseS9hbXA?hl=en-US&gl=US&ceid=US%3Aen
MongoDB: Riding The Data Wave (NASDAQ:MDB),2020-01-17 00:00:00,https://news.google.com/./articles/CBMiQWh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQzMTc2ODEtbW9uZ29kYi1yaWRpbmctZGF0YS13YXZl0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Bloomberg Media Launches Bloomberg Green, A Global ...",2020-01-21 00:00:00,https://news.google.com/./articles/CBMinAFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL2Jsb29tYmVyZy1tZWRpYS1sYXVuY2hlcy1ibG9vbWJlcmctZ3JlZW4tYS1nbG9iYWwtbXVsdGlwbGF0Zm9ybS1uZXdzLWJyYW5kLWZvY3VzZWQtb24tY2xpbWF0ZS1jaGFuZ2UtMzAwOTkwMzA1Lmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
AutomatedBuildings.com Review - Building Engagement Platforms,2020-01-02 00:00:00,https://news.google.com/./articles/CBMiTGh0dHA6Ly93d3cuYXV0b21hdGVkYnVpbGRpbmdzLmNvbS9uZXdzL2phbjIwL3Jldmlld3MvMTkxMjEzMTIzNHBsYXRmb3JtLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
"Neo4j Marks Another Year of Product, Customer and Community ...",2020-01-29 00:00:00,https://news.google.com/./articles/CBMie2h0dHBzOi8vd3d3LnBybmV3c3dpcmUuY29tL25ld3MtcmVsZWFzZXMvbmVvNGotbWFya3MtYW5vdGhlci15ZWFyLW9mLXByb2R1Y3QtY3VzdG9tZXItYW5kLWNvbW11bml0eS1tb21lbnR1bS0zMDA5OTQ5MzkuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Commentary: Drone use by ports to increase in 2020,2020-01-06 00:00:00,https://news.google.com/./articles/CBMiU2h0dHBzOi8vd3d3LmZyZWlnaHR3YXZlcy5jb20vbmV3cy9jb21tZW50YXJ5LWRyb25lLXVzZS1ieS1wb3J0cy10by1pbmNyZWFzZS1pbi0yMDIw0gFXaHR0cHM6Ly93d3cuZnJlaWdodHdhdmVzLmNvbS9uZXdzL2NvbW1lbnRhcnktZHJvbmUtdXNlLWJ5LXBvcnRzLXRvLWluY3JlYXNlLWluLTIwMjAvYW1w?hl=en-US&gl=US&ceid=US%3Aen
Videx Announces Launching Latest WS4 Web Server Access ...,2020-01-16 00:00:00,https://news.google.com/./articles/CBMib2h0dHBzOi8vd3d3LnNlY3VyaXR5aW5mb3JtZWQuY29tL25ld3MvdmlkZXgtd2ViLXNlcnZlci1hY2Nlc3MtY29udHJvbC1zeXN0ZW0td3M0LWNvLTE3NzQtZ2EtbnByLjE1NzkwOTA4ODYuaHRtbNIBc2h0dHBzOi8vd3d3LnNlY3VyaXR5aW5mb3JtZWQuY29tL2FtcC9uZXdzL3ZpZGV4LXdlYi1zZXJ2ZXItYWNjZXNzLWNvbnRyb2wtc3lzdGVtLXdzNC1jby0xNzc0LWdhLW5wci4xNTc5MDkwODg2Lmh0bWw?hl=en-US&gl=US&ceid=US%3Aen
Low-Key Salem Health Becomes Financial Powerhouse,2020-01-27 00:00:00,https://news.google.com/./articles/CBMiV2h0dHBzOi8vd3d3LnRoZWx1bmRyZXBvcnQub3JnL2NvbnRlbnQvbG93LWtleS1zYWxlbS1oZWFsdGgtYmVjb21lcy1maW5hbmNpYWwtcG93ZXJob3VzZdIBAA?hl=en-US&gl=US&ceid=US%3Aen
Virgin Voyages Selects Konami's SYNKROS Casino Management ...,2020-01-23 00:00:00,https://news.google.com/./articles/CBMingFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL3Zpcmdpbi12b3lhZ2VzLXNlbGVjdHMta29uYW1pcy1zeW5rcm9zLWNhc2luby1tYW5hZ2VtZW50LXN5c3RlbS1mb3ItaXRzLWZvdW5kaW5nLWZsZWV0LW9mLWx1eHVyeS1zaGlwcy0zMDA5OTE4MDAuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
AI And Edge Technology Add An Edge To Home Monitoring ...,2020-01-03 00:00:00,https://news.google.com/./articles/CBMibGh0dHBzOi8vd3d3LnNlY3VyaXR5aW5mb3JtZWQuY29tL2luc2lnaHRzL2hvbWUtbW9uaXRvcmluZy1lZGdlLWFkdmFuY2VkLXNlY3VyaXR5LWNvLTEyOTUzLWdhLjE1NzgwNDExODUuaHRtbNIBcGh0dHBzOi8vd3d3LnNlY3VyaXR5aW5mb3JtZWQuY29tL2FtcC9pbnNpZ2h0cy9ob21lLW1vbml0b3JpbmctZWRnZS1hZHZhbmNlZC1zZWN1cml0eS1jby0xMjk1My1nYS4xNTc4MDQxMTg1Lmh0bWw?hl=en-US&gl=US&ceid=US%3Aen
ViacomCBS Sets New Ad Sales Team,2020-01-15 00:00:00,https://news.google.com/./articles/CBMiZGh0dHBzOi8vdmFyaWV0eS5jb20vMjAyMC9iaXovbmV3cy92aWFjb21jYnMtYWR2ZXJ0aXNpbmctc2FsZXMtcmVvcmdhbml6YXRpb24tam8tYW5uLXJvc3MtMTIwMzQ2ODQyMi_SAWhodHRwczovL3ZhcmlldHkuY29tLzIwMjAvYml6L25ld3MvdmlhY29tY2JzLWFkdmVydGlzaW5nLXNhbGVzLXJlb3JnYW5pemF0aW9uLWpvLWFubi1yb3NzLTEyMDM0Njg0MjIvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen
