title,datetime,link
"Broadcom, Symantec Enterprise Acquire Cybersecurity Analytics Firm",2020-01-05 00:00:00,https://news.google.com/./articles/CBMiO2h0dHBzOi8vd3d3LmNoYW5uZWxlMmUuY29tL25ld3MvYnJvYWRjb20tYnV5cy1iYXktZHluYW1pY3Mv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Phishing Incident at UPS Store Chain Exposes Customer Info,2020-01-21 00:00:00,https://news.google.com/./articles/CBMiamh0dHBzOi8vd3d3LmJsZWVwaW5nY29tcHV0ZXIuY29tL25ld3Mvc2VjdXJpdHkvcGhpc2hpbmctaW5jaWRlbnQtYXQtdXBzLXN0b3JlLWNoYWluLWV4cG9zZXMtY3VzdG9tZXItaW5mby_SAQA?hl=en-US&gl=US&ceid=US%3Aen
"Cyderes SECaaS: Fishtech Division Confirms Big Growth, New Hire",2020-01-22 00:00:00,https://news.google.com/./articles/CBMiQ2h0dHBzOi8vd3d3Lm1zc3BhbGVydC5jb20vY3liZXJzZWN1cml0eS10YWxlbnQvY3lkZXJlcy1ncm93dGgtaGlyZS_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Should Data Centers Have Common Physical Infrastructure Security ...,2020-01-21 00:00:00,https://news.google.com/./articles/CBMid2h0dHBzOi8vd3d3LmRhdGFjZW50ZXJrbm93bGVkZ2UuY29tL3NlY3VyaXR5L3Nob3VsZC1kYXRhLWNlbnRlcnMtaGF2ZS1jb21tb24tcGh5c2ljYWwtaW5mcmFzdHJ1Y3R1cmUtc2VjdXJpdHktc3RhbmRhcmRz0gEA?hl=en-US&gl=US&ceid=US%3Aen
DigiCert Leads Initiative to Enhance EV SSL Certificates,2020-01-30 00:00:00,https://news.google.com/./articles/CBMiX2h0dHBzOi8vc2VjdXJpdHlib3VsZXZhcmQuY29tLzIwMjAvMDEvZGlnaWNlcnQtbGVhZHMtaW5pdGlhdGl2ZS10by1lbmhhbmNlLWV2LXNzbC1jZXJ0aWZpY2F0ZXMv0gFjaHR0cHM6Ly9zZWN1cml0eWJvdWxldmFyZC5jb20vMjAyMC8wMS9kaWdpY2VydC1sZWFkcy1pbml0aWF0aXZlLXRvLWVuaGFuY2UtZXYtc3NsLWNlcnRpZmljYXRlcy9hbXAv?hl=en-US&gl=US&ceid=US%3Aen
Understanding Azure Container Registry,2020-01-21 00:00:00,https://news.google.com/./articles/CBMiVWh0dHBzOi8vd3d3LmluZm93b3JsZC5jb20vYXJ0aWNsZS8zNTE0NTc1L3VuZGVyc3RhbmRpbmctYXp1cmUtY29udGFpbmVyLXJlZ2lzdHJ5Lmh0bWzSAVlodHRwczovL3d3dy5pbmZvd29ybGQuY29tL2FydGljbGUvMzUxNDU3NS91bmRlcnN0YW5kaW5nLWF6dXJlLWNvbnRhaW5lci1yZWdpc3RyeS5hbXAuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen
"Ovum Industry Report on Qualys VMDR®, Next-Gen Vulnerability ...",2020-02-11 00:00:00,https://news.google.com/./articles/CBMikQFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL292dW0taW5kdXN0cnktcmVwb3J0LW9uLXF1YWx5cy12bWRyLW5leHQtZ2VuLXZ1bG5lcmFiaWxpdHktbWFuYWdlbWVudC1lbmQtdG8tZW5kLXNvbHV0aW9uLTMwMTAwMjM1OS5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
What if it was the Marvel Cybersecurity Universe?,2020-02-25 00:00:00,https://news.google.com/./articles/CBMiXWh0dHBzOi8vd3d3Lm1hcmtldHdhdGNoLmNvbS9zdG9yeS93aGF0LWlmLWl0LXdhcy10aGUtbWFydmVsLWN5YmVyc2VjdXJpdHktdW5pdmVyc2UtMjAyMC0wMi0yNNIBYWh0dHBzOi8vd3d3Lm1hcmtldHdhdGNoLmNvbS9hbXAvc3Rvcnkvd2hhdC1pZi1pdC13YXMtdGhlLW1hcnZlbC1jeWJlcnNlY3VyaXR5LXVuaXZlcnNlLTIwMjAtMDItMjQ?hl=en-US&gl=US&ceid=US%3Aen
The Top Technology Stocks To Buy,2020-02-21 00:00:00,https://news.google.com/./articles/CBMiRWh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQzMjYzMjEtdG9wLXRlY2hub2xvZ3ktc3RvY2tzLXRvLWJ1edIBAA?hl=en-US&gl=US&ceid=US%3Aen
Proficio Provides Efficient and Effective Security Solutions,2020-02-02 00:00:00,https://news.google.com/./articles/CBMiUmh0dHBzOi8vd3d3LmNyeXB0b25ld3N6LmNvbS9jZWFzZS1pbmZpbHRyYXRpb25zLXdpdGgtYW4tdXBiZWF0LXN5c3RlbS1vZi1wcm9maWNpby_SAVZodHRwczovL3d3dy5jcnlwdG9uZXdzei5jb20vY2Vhc2UtaW5maWx0cmF0aW9ucy13aXRoLWFuLXVwYmVhdC1zeXN0ZW0tb2YtcHJvZmljaW8vYW1wLw?hl=en-US&gl=US&ceid=US%3Aen
