title,datetime,link
Rapid7 expands Boston headquarters to make room for 400 workers ...,2020-01-16 00:00:00,https://news.google.com/./articles/CBMiZ2h0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9ib3N0b24vbmV3cy8yMDIwLzAxLzE2L3JhcGlkNy1leHBhbmRzLWJvc3Rvbi1oZWFkcXVhcnRlcnMtdG8tbWFrZS1yb29tLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
"Bruins, Celtics to join Verizon in TD Garden tower - Boston Business ...",2020-01-15 00:00:00,https://news.google.com/./articles/CBMiaWh0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9ib3N0b24vbmV3cy8yMDIwLzAxLzE1L2JydWlucy1jZWx0aWNzLXRvLWpvaW4tdmVyaXpvbi1pbi10ZC1nYXJkZW4tdG93ZXIuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Top 5 SOAR Vendors to Watch in 2020 by Solutions Review,2020-01-16 00:00:00,https://news.google.com/./articles/CBMiemh0dHBzOi8vc29sdXRpb25zcmV2aWV3LmNvbS9zZWN1cml0eS1pbmZvcm1hdGlvbi1ldmVudC1tYW5hZ2VtZW50L3RvcC01LXNvYXItdmVuZG9ycy10by13YXRjaC1pbi0yMDIwLWJ5LXNvbHV0aW9ucy1yZXZpZXcv0gEA?hl=en-US&gl=US&ceid=US%3Aen
BitSight appoints Stephen Harvey CEO - Boston Business Journal,2020-01-07 00:00:00,https://news.google.com/./articles/CBMiZWh0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9ib3N0b24vbmV3cy8yMDIwLzAxLzA3L2N5YmVyc2VjdXJpdHktcmF0aW5ncy1jb21wYW55LW5hbWVzLXRoaXJkLWNlby5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
Jeb Bush joins Bill Gates to back Waltham weapons detection ...,2020-01-08 00:00:00,https://news.google.com/./articles/CBMiaWh0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9ib3N0b24vbmV3cy8yMDIwLzAxLzA4L2plYi1idXNoLWpvaW5zLWJpbGwtZ2F0ZXMtdG8tYmFjay13YWx0aGFtLXdlYXBvbnMuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
FBI calls for collaboration with business in preventing cyber crimes ...,2020-01-21 00:00:00,https://news.google.com/./articles/CBMiZGh0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9ib3N0b24vbmV3cy8yMDIwLzAxLzIxL2ZiaS1jYWxscy1mb3ItY29sbGFib3JhdGlvbi13aXRoLWJ1c2luZXNzLWluLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
The 8 Best SOAR Security Companies for 2020 by Solutions Review,2020-01-29 00:00:00,https://news.google.com/./articles/CBMiZWh0dHBzOi8vc29sdXRpb25zcmV2aWV3LmNvbS9zZWN1cml0eS1pbmZvcm1hdGlvbi1ldmVudC1tYW5hZ2VtZW50L3RoZS04LWJlc3Qtc29hci1zZWN1cml0eS1jb21wYW5pZXMv0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Broadcom, Symantec Enterprise Acquire Cybersecurity Analytics Firm",2020-01-05 00:00:00,https://news.google.com/./articles/CBMiO2h0dHBzOi8vd3d3LmNoYW5uZWxlMmUuY29tL25ld3MvYnJvYWRjb20tYnV5cy1iYXktZHluYW1pY3Mv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Stock Picks & Analyst Ratings from Piper Sandler,2020-01-08 00:00:00,https://news.google.com/./articles/CBMiUWh0dHBzOi8vd3d3Lm1hcmtldGJlYXQuY29tL3JhdGluZ3MvYnktaXNzdWVyL3BpcGVyLXNhbmRsZXItc3RvY2stcmVjb21tZW5kYXRpb25zL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Zscaler To Pay $15 Million To Settle Symantec Patent Lawsuits,2020-01-14 00:00:00,https://news.google.com/./articles/CBMiXmh0dHBzOi8vd3d3LmNybi5jb20vbmV3cy9zZWN1cml0eS96c2NhbGVyLXRvLXBheS0xNS1taWxsaW9uLXRvLXNldHRsZS1zeW1hbnRlYy1wYXRlbnQtbGF3c3VpdHPSAQA?hl=en-US&gl=US&ceid=US%3Aen
Albany Airport Pays Ransom After Its MSP Was Hit By Ransomware,2020-01-14 00:00:00,https://news.google.com/./articles/CBMiYGh0dHBzOi8vd3d3LmNybi5jb20vbmV3cy9zZWN1cml0eS9hbGJhbnktYWlycG9ydC1wYXlzLXJhbnNvbS1hZnRlci1pdHMtbXNwLXdhcy1oaXQtYnktcmFuc29td2FyZdIBAA?hl=en-US&gl=US&ceid=US%3Aen
"Tamr Hires Marketing Executive, Lital Asher-Dotan as New Chief ...",2020-01-23 00:00:00,https://news.google.com/./articles/CBMihAFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL3RhbXItaGlyZXMtbWFya2V0aW5nLWV4ZWN1dGl2ZS1saXRhbC1hc2hlci1kb3Rhbi1hcy1uZXctY2hpZWYtZ3Jvd3RoLW9mZmljZXItMzAwOTkxNzg4Lmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
5 cyber tools your business needs in 2020 to keep safe,2020-01-13 00:00:00,https://news.google.com/./articles/CBMiRWh0dHBzOi8vd3d3LmhhY2tyZWFkLmNvbS81LWN5YmVyLXRvb2xzLTIwMjAtYnVzaW5lc3MtbmVlZHMta2VlcC1zYWZlL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Computer Misuse Act Conundrums,2020-01-06 00:00:00,https://news.google.com/./articles/CBMiV2h0dHBzOi8vd3d3LmluZm9zZWN1cml0eS1tYWdhemluZS5jb20vbWFnYXppbmUtZmVhdHVyZXMvY29tcHV0ZXItbWlzdXNlLWFjdC1jb251bmRydW1zL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
"15 Low Code/no Code Startups to Watch, According to Experts",2020-01-30 00:00:00,https://news.google.com/./articles/CBMiTmh0dHBzOi8vd3d3LmJ1c2luZXNzaW5zaWRlci5jb20vdG9wLWxvdy1jb2RlLW5vLWNvZGUtc3RhcnR1cHMtaW52ZXN0b3JzLTIwMjAtMdIBAA?hl=en-US&gl=US&ceid=US%3Aen
25 UK venture capital funds founders should know,2020-01-20 00:00:00,https://news.google.com/./articles/CBMiK2h0dHBzOi8vc2lmdGVkLmV1L2FydGljbGVzL3RvcC11ay12Yy1ndWlkZS_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Defence finds its new permanent CTO - Strategy,2020-01-24 00:00:00,https://news.google.com/./articles/CBMiSWh0dHBzOi8vd3d3Lml0bmV3cy5jb20uYXUvbmV3cy9kZWZlbmNlLWZpbmRzLWl0cy1uZXctcGVybWFuZW50LWN0by01MzY5NzfSAQA?hl=en-US&gl=US&ceid=US%3Aen
"Endpoint Security Market: Opportunities, Emerging Trends, Competitive Strategies and Forecasts 2019",2020-01-27 00:00:00,https://news.google.com/./articles/CBMiWmh0dHBzOi8vd3d3Lm9wZW5wci5jb20vbmV3cy8xOTA5MzI3L2VuZHBvaW50LXNlY3VyaXR5LW1hcmtldC1vcHBvcnR1bml0aWVzLWVtZXJnaW5nLXRyZW5kc9IBWWh0dHBzOi8vd3d3Lm9wZW5wci5jb20vYW1wLzE5MDkzMjcvZW5kcG9pbnQtc2VjdXJpdHktbWFya2V0LW9wcG9ydHVuaXRpZXMtZW1lcmdpbmctdHJlbmRz?hl=en-US&gl=US&ceid=US%3Aen
Russian firm Delivers Helmet-mounted Night Vision Goggles to ...,2020-01-16 00:00:00,https://news.google.com/./articles/CBMieGh0dHBzOi8vd3d3LmRlZmVuc2V3b3JsZC5uZXQvMjAyMC8wMS8xNi9ydXNzaWFuLWZpcm0tZGVsaXZlcnMtaGVsbWV0LW1vdW50ZWQtbmlnaHQtdmlzaW9uLWdvZ2dsZXMtdG8tYWZyaWNhbi1uYXRpb24uaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Rapid7: The Story Is Intact (NASDAQ:RPD),2020-02-25 00:00:00,https://news.google.com/./articles/CBMiP2h0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQzMjY3OTMtcmFwaWQ3LXN0b3J5LWlzLWludGFjdNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Evading Antivirus with Better Meterpreter Payloads,2020-02-06 00:00:00,https://news.google.com/./articles/CBMiWWh0dHBzOi8vc2VjdXJpdHlib3VsZXZhcmQuY29tLzIwMjAvMDIvZXZhZGluZy1hbnRpdmlydXMtd2l0aC1iZXR0ZXItbWV0ZXJwcmV0ZXItcGF5bG9hZHMv0gFdaHR0cHM6Ly9zZWN1cml0eWJvdWxldmFyZC5jb20vMjAyMC8wMi9ldmFkaW5nLWFudGl2aXJ1cy13aXRoLWJldHRlci1tZXRlcnByZXRlci1wYXlsb2Fkcy9hbXAv?hl=en-US&gl=US&ceid=US%3Aen
Veteran FireEye President Travis Reese To Exit In Executive ...,2020-02-05 00:00:00,https://news.google.com/./articles/CBMiaWh0dHBzOi8vd3d3LmNybi5jb20vbmV3cy9zZWN1cml0eS92ZXRlcmFuLWZpcmVleWUtcHJlc2lkZW50LXRyYXZpcy1yZWVzZS10by1leGl0LWluLWV4ZWN1dGl2ZS1yZXNodWZmbGluZ9IBAA?hl=en-US&gl=US&ceid=US%3Aen
What's Changed: 2020 Gartner Magic Quadrant for SIEM,2020-02-20 00:00:00,https://news.google.com/./articles/CBMidWh0dHBzOi8vc29sdXRpb25zcmV2aWV3LmNvbS9zZWN1cml0eS1pbmZvcm1hdGlvbi1ldmVudC1tYW5hZ2VtZW50L3doYXRzLWNoYW5nZWQtMjAyMC1nYXJ0bmVyLW1hZ2ljLXF1YWRyYW50LWZvci1zaWVtL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
The Top Ten Worst Vulnerabilities,2020-02-26 00:00:00,https://news.google.com/./articles/CBMiUmh0dHBzOi8vd3d3LmluZm9zZWN1cml0eS1tYWdhemluZS5jb20vbWFnYXppbmUtZmVhdHVyZXMvdG9wLXdvcnN0LXZ1bG5lcmFiaWxpdGllcy_SAQA?hl=en-US&gl=US&ceid=US%3Aen
