title,datetime,link
Signature Bank and Prime Trust to Align Their Respective ...,2020-01-06 00:00:00,https://news.google.com/./articles/CBMitAFodHRwczovL3d3dy5idXNpbmVzc3dpcmUuY29tL25ld3MvaG9tZS8yMDIwMDEwNjAwNTE4OC9lbi9TaWduYXR1cmUtQmFuay1hbmQtUHJpbWUtVHJ1c3QtdG8tQWxpZ24tVGhlaXItUmVzcGVjdGl2ZS1UZWNobm9sb2dpZXMtdG8tQmV0dGVyLVNlcnZlLXRoZS1JbnN0aXR1dGlvbmFsLUJsb2NrY2hhaW4tSW5kdXN0cnnSAQA?hl=en-US&gl=US&ceid=US%3Aen
Signature Bank's Good Earnings Prospects Not Yet Priced In ...,2020-01-09 00:00:00,https://news.google.com/./articles/CBMiYmh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQzMTYwOTEtc2lnbmF0dXJlLWJhbmtzLWdvb2QtZWFybmluZ3MtcHJvc3BlY3RzLW5vdC15ZXQtcHJpY2VkLWlu0gEA?hl=en-US&gl=US&ceid=US%3Aen
Abraham Fructhandler’s FBE buys South Brooklyn sites for $58M,2020-01-17 00:00:00,https://news.google.com/./articles/CBMiZGh0dHBzOi8vdGhlcmVhbGRlYWwuY29tLzIwMjAvMDEvMTcvYWJyYWhhbS1mcnVjdGhhbmRsZXJzLWZiZS1idXlzLWZpdmUtc291dGgtYnJvb2tseW4tc2l0ZXMtZm9yLTU4bS_SAWhodHRwczovL3RoZXJlYWxkZWFsLmNvbS8yMDIwLzAxLzE3L2FicmFoYW0tZnJ1Y3RoYW5kbGVycy1mYmUtYnV5cy1maXZlLXNvdXRoLWJyb29rbHluLXNpdGVzLWZvci01OG0vYW1wLw?hl=en-US&gl=US&ceid=US%3Aen
You can bring your skis to this Bay Area tech bank's new downtown ...,2020-01-22 00:00:00,https://news.google.com/./articles/CBMiWWh0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9kZW52ZXIvbmV3cy8yMDIwLzAxLzIyL3NpbGljb24tdmFsbGV5LWJhbmstZGVudmVyLW9mZmljZS5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
Wells Fargo Names Sloan Chief Strategic Enterprise Risk Officer ...,2020-01-07 00:00:00,https://news.google.com/./articles/CBMiZWh0dHBzOi8vd3d3LmFibGFkdmlzb3IuY29tL25ld3MvMTc3ODQvd2VsbHMtZmFyZ28tbmFtZXMtc2xvYW4tY2hpZWYtc3RyYXRlZ2ljLWVudGVycHJpc2Utcmlzay1vZmZpY2Vy0gEA?hl=en-US&gl=US&ceid=US%3Aen
Trump tax cut hands $32 billion windfall to America's top banks,2020-01-16 00:00:00,https://news.google.com/./articles/CBMic2h0dHBzOi8vd3d3LmRldHJvaXRuZXdzLmNvbS9zdG9yeS9uZXdzLzIwMjAvMDEvMTYvdHJ1bXAtdGF4LWN1dC1oYW5kcy1iaWxsaW9uLXdpbmRmYWxsLWFtZXJpY2FzLXRvcC1iYW5rcy80MTAxMTIyNy_SAQA?hl=en-US&gl=US&ceid=US%3Aen
New York Community Bank doubles down on multifamily lending,2020-01-29 00:00:00,https://news.google.com/./articles/CBMiX2h0dHBzOi8vdGhlcmVhbGRlYWwuY29tLzIwMjAvMDEvMjkvbmV3LXlvcmstY29tbXVuaXR5LWJhbmstZG91Ymxlcy1kb3duLW9uLW11bHRpZmFtaWx5LWxlbmRpbmcv0gFjaHR0cHM6Ly90aGVyZWFsZGVhbC5jb20vMjAyMC8wMS8yOS9uZXcteW9yay1jb21tdW5pdHktYmFuay1kb3VibGVzLWRvd24tb24tbXVsdGlmYW1pbHktbGVuZGluZy9hbXAv?hl=en-US&gl=US&ceid=US%3Aen
Execution of documents and alleged forged signatures – Mortgage ...,2020-01-02 00:00:00,https://news.google.com/./articles/CBMiaWh0dHBzOi8vd3d3Lm1vcnRnYWdlZmluYW5jZWdhemV0dGUuY29tL2ZlYXR1cmVzL2V4ZWN1dGlvbi1kb2N1bWVudHMtYWxsZWdlZC1mb3JnZWQtc2lnbmF0dXJlcy0wMi0wMS0yMDIwL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
"ETFs can bring fairness to finance, says LGBTQ+ pioneer Barney Frank",2020-01-31 00:00:00,https://news.google.com/./articles/CBMidGh0dHBzOi8vd3d3Lm1hcmtldHdhdGNoLmNvbS9zdG9yeS9iYXJuZXktZnJhbmstbGlmZWxvbmctbGdidHEtcGlvbmVlci10aGlua3MtZXRmcy1jYW4tZGVtb2NyYXRpemUtZmluYW5jZS0yMDIwLTAxLTMw0gF4aHR0cHM6Ly93d3cubWFya2V0d2F0Y2guY29tL2FtcC9zdG9yeS9iYXJuZXktZnJhbmstbGlmZWxvbmctbGdidHEtcGlvbmVlci10aGlua3MtZXRmcy1jYW4tZGVtb2NyYXRpemUtZmluYW5jZS0yMDIwLTAxLTMw?hl=en-US&gl=US&ceid=US%3Aen
"He Was Charged With 4 Bank Heists, and Freed. Then He Struck Again, Police Say.",2020-01-19 00:00:00,https://news.google.com/./articles/CBMiTGh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjAvMDEvMTkvbnlyZWdpb24vYmFuay1yb2JiZXItYmFpbC1yZWZvcm0tbnljLmh0bWzSAVBodHRwczovL3d3dy5ueXRpbWVzLmNvbS8yMDIwLzAxLzE5L255cmVnaW9uL2Jhbmstcm9iYmVyLWJhaWwtcmVmb3JtLW55Yy5hbXAuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen
