title,datetime,link
Harbourfront acquires Vertex One’s private wealth division,2020-01-15 00:00:00,https://news.google.com/./articles/CBMicWh0dHBzOi8vd3d3LmludmVzdG1lbnRleGVjdXRpdmUuY29tL25ld3MvaW5kdXN0cnktbmV3cy9oYXJib3VyZnJvbnQtYWNxdWlyZXMtdmVydGV4LW9uZXMtcHJpdmF0ZS13ZWFsdGgtZGl2aXNpb24v0gEA?hl=en-US&gl=US&ceid=US%3Aen
Why Has Vertex Pharmaceuticals' Stock Gained 30% In The Last ...,2020-01-06 00:00:00,https://news.google.com/./articles/CBMioAFodHRwczovL3d3dy50cmVmaXMuY29tL3N0b2NrL3ZydHgvYXJ0aWNsZXMvNDgwMjg1L3doeS1oYXMtdGhlLXNoYXJlLXByaWNlLW9mLXZlcnRleC1waGFybWFjZXV0aWNhbHMtdnJ0eC1pbmNyZWFzZWQtYnktMjgtaW4tdGhlLWxhc3QtMy1tb250aHMtZWlkLTA2Mi8yMDIwLTAxLTA20gEA?hl=en-US&gl=US&ceid=US%3Aen
Picton Mahoney completes acquisition of Vertex One Funds,2020-01-14 00:00:00,https://news.google.com/./articles/CBMiYWh0dHBzOi8vd3d3LmhlZGdld2Vlay5jb20vMjAyMC8wMS8xNC8yODE5MTAvcGljdG9uLW1haG9uZXktY29tcGxldGVzLWFjcXVpc2l0aW9uLXZlcnRleC1vbmUtZnVuZHPSAQA?hl=en-US&gl=US&ceid=US%3Aen
"A Preview Of JPMorgan's Healthcare Conference: Focus On Value-Creating Themes, 2020 Expectations",2020-01-10 00:00:00,https://news.google.com/./articles/CBMiW2h0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9wcmV2aWV3LWpwbW9yZ2Fucy1oZWFsdGhjYXJlLWNvbmZlcmVuY2UtZm9jdXMtMTM1MjE4ODQyLmh0bWzSAWNodHRwczovL2ZpbmFuY2UueWFob28uY29tL2FtcGh0bWwvbmV3cy9wcmV2aWV3LWpwbW9yZ2Fucy1oZWFsdGhjYXJlLWNvbmZlcmVuY2UtZm9jdXMtMTM1MjE4ODQyLmh0bWw?hl=en-US&gl=US&ceid=US%3Aen
New acquisition boosts Harbourfront’s private wealth business,2020-01-15 00:00:00,https://news.google.com/./articles/CBMiZ2h0dHBzOi8vd3d3LmFkdmlzb3IuY2EvbmV3cy9pbmR1c3RyeS1uZXdzL25ldy1hY3F1aXNpdGlvbi1ib29zdHMtaGFyYm91cmZyb250cy1wcml2YXRlLXdlYWx0aC1idXNpbmVzcy_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Tesco converts company-owned One Stops to Tesco Express format,2020-01-17 00:00:00,https://news.google.com/./articles/CBMif2h0dHBzOi8vd3d3LnRoZWdyb2Nlci5jby51ay9wcm9wZXJ0eS1hbmQtcGxhbm5pbmcvdGVzY28tY29udmVydHMtY29tcGFueS1vd25lZC1vbmUtc3RvcHMtdG8tdGVzY28tZXhwcmVzcy1mb3JtYXQvNjAxMTM3LmFydGljbGXSAQA?hl=en-US&gl=US&ceid=US%3Aen
Stock Picks & Analyst Ratings from Piper Sandler,2020-01-08 00:00:00,https://news.google.com/./articles/CBMiUWh0dHBzOi8vd3d3Lm1hcmtldGJlYXQuY29tL3JhdGluZ3MvYnktaXNzdWVyL3BpcGVyLXNhbmRsZXItc3RvY2stcmVjb21tZW5kYXRpb25zL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
"Copper, A Google-Aligned CRM Company, Makes First North ...",2020-01-10 00:00:00,https://news.google.com/./articles/CBMiamh0dHBzOi8vd3d3LmNybi5jb20vbmV3cy9jbG91ZC9jb3BwZXItYS1nb29nbGUtYWxpZ25lZC1jcm0tY29tcGFueS1tYWtlcy1maXJzdC1ub3J0aC1hbWVyaWNhbi1jaGFubmVsLXBsYXnSAQA?hl=en-US&gl=US&ceid=US%3Aen
5 Things You Need To Know About VMware’s Acquisition Of Pivotal,2020-01-02 00:00:00,https://news.google.com/./articles/CBMibmh0dHBzOi8vd3d3LmNybi5jb20vc2xpZGUtc2hvd3MvdmlydHVhbGl6YXRpb24vNS10aGluZ3MteW91LW5lZWQtdG8ta25vdy1hYm91dC12bXdhcmUtcy1hY3F1aXNpdGlvbi1vZi1waXZvdGFs0gEA?hl=en-US&gl=US&ceid=US%3Aen
3 High-Growth Stocks That Can Soar,2020-01-06 00:00:00,https://news.google.com/./articles/CBMiTWh0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvMy1oaWdoLWdyb3d0aC1zdG9ja3MtdGhhdC1jYW4tc29hci0yMDIwLTAxLTA20gEA?hl=en-US&gl=US&ceid=US%3Aen
