title,datetime,link
NY counties' association dealings with private companies called unfair,2020-01-13 00:00:00,https://news.google.com/./articles/CBMiYmh0dHBzOi8vd3d3LnRpbWVzdW5pb24uY29tL25ld3MvYXJ0aWNsZS9CdXMtYmF0dGxlcy1yYWlzZXMtcXVlc3Rpb24tb2YtY291bnR5LWdyb3VwLXMtMTQ5NjMxNDIucGhw0gEA?hl=en-US&gl=US&ceid=US%3Aen
Macroeconomic Indicators Signal A Recession,2020-01-12 00:00:00,https://news.google.com/./articles/CBMiUmh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQzMTYzNzUtbWFjcm9lY29ub21pYy1pbmRpY2F0b3JzLXNpZ25hbC1yZWNlc3Npb27SAQA?hl=en-US&gl=US&ceid=US%3Aen
Coming: The First-Ever Super Bowl Where Legal Bets Will Flood In ...,2020-01-02 00:00:00,https://news.google.com/./articles/CBMigwFodHRwczovL3NlZWtpbmdhbHBoYS5jb20vYXJ0aWNsZS80MzE0OTM3LWNvbWluZy1maXJzdC1ldmVyLXN1cGVyLWJvd2wtd2hlcmUtbGVnYWwtYmV0cy13aWxsLWZsb29kLWluLWZyb20tMTQtc3RhdGVzLW5vdC1qdXN0LW5ldmFkYdIBAA?hl=en-US&gl=US&ceid=US%3Aen
NASH: The Second Wave,2020-02-20 00:00:00,https://news.google.com/./articles/CBMiOWh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQzMjU4OTktbmFzaC1zZWNvbmQtd2F2ZdIBAA?hl=en-US&gl=US&ceid=US%3Aen
Record Stock Valuations Analyzed,2020-02-10 00:00:00,https://news.google.com/./articles/CBMiSWh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQzMjI3NDctcmVjb3JkLXN0b2NrLXZhbHVhdGlvbnMtYW5hbHl6ZWTSAQA?hl=en-US&gl=US&ceid=US%3Aen
The Market Crash Buy List,2020-03-16 00:00:00,https://news.google.com/./articles/CBMiPmh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQzMzIxODItbWFya2V0LWNyYXNoLWJ1eS1saXN00gEA?hl=en-US&gl=US&ceid=US%3Aen
Here's Why Mortgage REITs Battle Margin Calls,2020-03-26 00:00:00,https://news.google.com/./articles/CBMiT2h0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQzMzQyNDYtd2h5LW1vcnRnYWdlLXJlaXRzLWJhdHRsZS1tYXJnaW4tY2FsbHPSAQA?hl=en-US&gl=US&ceid=US%3Aen
Smart cities of the future: eco-utopia or dystopian nightmare?,2020-03-02 00:00:00,https://news.google.com/./articles/CBMiX2h0dHBzOi8vd3d3LmVjby1idXNpbmVzcy5jb20vbmV3cy9zbWFydC1jaXRpZXMtb2YtdGhlLWZ1dHVyZS1lY28tdXRvcGlhLW9yLWR5c3RvcGlhbi1uaWdodG1hcmUv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Detroit Pistons Owner Tom Gores Is Profiting Off of Mass Incarceration,2020-05-18 00:00:00,https://news.google.com/./articles/CBMiZGh0dHBzOi8vd3d3LnRoZWRhaWx5YmVhc3QuY29tL2RldHJvaXQtcGlzdG9ucy1vd25lci10b20tZ29yZXMtaXMtcHJvZml0aW5nLW9mZi1vZi1tYXNzLWluY2FyY2VyYXRpb27SAQA?hl=en-US&gl=US&ceid=US%3Aen
Resideo Names Jay Geldmacher President And Chief Executive ...,2020-05-19 00:00:00,https://news.google.com/./articles/CBMiemh0dHBzOi8vd3d3LnBybmV3c3dpcmUuY29tL25ld3MtcmVsZWFzZXMvcmVzaWRlby1uYW1lcy1qYXktZ2VsZG1hY2hlci1wcmVzaWRlbnQtYW5kLWNoaWVmLWV4ZWN1dGl2ZS1vZmZpY2VyLTMwMTA2MTM0Ny5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
