title,datetime,link
Animated Film Jiang Ziya Pulled From Cinemas Due to Epidemic,2020-01-23 00:00:00,https://news.google.com/./articles/CBMiUmh0dHBzOi8vcGFuZGFpbHkuY29tL2FuaW1hdGVkLWZpbG0tamlhbmcteml5YS1wdWxsZWQtZnJvbS1jaW5lbWFzLWR1ZS10by1lcGlkZW1pYy_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Let more Myanmar readers learn President Xi’s thoughts on governance,2020-01-19 00:00:00,https://news.google.com/./articles/CBMiXWh0dHBzOi8vbmV3c2doYW5hLmNvbS5naC9sZXQtbW9yZS1teWFubWFyLXJlYWRlcnMtbGVhcm4tcHJlc2lkZW50LXhpcy10aG91Z2h0cy1vbi1nb3Zlcm5hbmNlL9IBXWh0dHBzOi8vbmV3c2doYW5hLmNvbS5naC9sZXQtbW9yZS1teWFubWFyLXJlYWRlcnMtbGVhcm4tcHJlc2lkZW50LXhpcy10aG91Z2h0cy1vbi1nb3Zlcm5hbmNlLw?hl=en-US&gl=US&ceid=US%3Aen
Trainees of Chinese reality show 'Youth With You 2' start popularity ...,2020-02-18 00:00:00,https://news.google.com/./articles/CBMiMGh0dHBzOi8vd3d3Lmdsb2JhbHRpbWVzLmNuL2NvbnRlbnQvMTE3OTk3OS5zaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
The Dark Side of China's Idol Economies |,2020-03-11 00:00:00,https://news.google.com/./articles/CBMiRGh0dHBzOi8vY2hpbmFmaWxtaW5zaWRlci5jb20vdGhlLWRhcmstc2lkZS1vZi1jaGluYXMtaWRvbC1lY29ub21pZXMv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Video | She is one of China’s biggest celebrities—but she’s not real,2020-05-25 00:00:00,https://news.google.com/./articles/CBMiVGh0dHBzOi8va3ItYXNpYS5jb20vdmlkZW8tc2hlLWlzLW9uZS1vZi1jaGluYXMtYmlnZ2VzdC1jZWxlYnJpdGllcy1idXQtc2hlcy1ub3QtcmVhbNIBWGh0dHBzOi8vYW1wLmtyLWFzaWEuY29tL3ZpZGVvLXNoZS1pcy1vbmUtb2YtY2hpbmFzLWJpZ2dlc3QtY2VsZWJyaXRpZXMtYnV0LXNoZXMtbm90LXJlYWw?hl=en-US&gl=US&ceid=US%3Aen
IoD-Gh to support SMEs live beyond the first generation,2020-05-09 00:00:00,https://news.google.com/./articles/CBMibmh0dHBzOi8vd3d3LmdoYW5hd2ViLmNvbS9HaGFuYUhvbWVQYWdlL2J1c2luZXNzL0lvRC1HaC10by1zdXBwb3J0LVNNRXMtbGl2ZS1iZXlvbmQtdGhlLWZpcnN0LWdlbmVyYXRpb24tOTQ2NjMw0gEA?hl=en-US&gl=US&ceid=US%3Aen
NDLEA: 99 commanders promoted as Nbona becomes first DCGN,2020-11-17 00:00:00,https://news.google.com/./articles/CBMiWWh0dHBzOi8vZGFpbHlwb3N0Lm5nLzIwMjAvMTEvMTcvbmRsZWEtOTktY29tbWFuZGVycy1wcm9tb3RlZC1hcy1uYm9uYS1iZWNvbWVzLWZpcnN0LWRjZ24v0gFfaHR0cHM6Ly9kYWlseXBvc3QubmcvMjAyMC8xMS8xNy9uZGxlYS05OS1jb21tYW5kZXJzLXByb21vdGVkLWFzLW5ib25hLWJlY29tZXMtZmlyc3QtZGNnbi8_YW1wPTE?hl=en-US&gl=US&ceid=US%3Aen
"NDLEA Gets first DCGN, Promotes 98 other Commanders",2020-11-16 00:00:00,https://news.google.com/./articles/CBMiVGh0dHBzOi8vcHJuaWdlcmlhLmNvbS8yMDIwLzExLzE2L25kbGVhLWdldHMtZmlyc3QtZGNnbi1wcm9tb3Rlcy05OC1vdGhlci1jb21tYW5kZXJzL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
In-depth analysis of Genshin Impact’s marketing and advertising ...,2020-12-16 00:00:00,https://news.google.com/./articles/CBMiWGh0dHBzOi8vZ2FtZXdvcmxkb2JzZXJ2ZXIuY29tLzIwMjAvMTIvMTYvZ2Vuc2hpbi1pbXBhY3QtYWR2ZXJ0aXNpbmctcHJvbW90aW9uLXN0cmF0ZWdpZXPSAQA?hl=en-US&gl=US&ceid=US%3Aen
Buhari congratulates Dr Daniel Shaga as new Hama Bachama,2020-12-23 00:00:00,https://news.google.com/./articles/CBMiXmh0dHBzOi8vcG1uZXdzbmlnZXJpYS5jb20vMjAyMC8xMi8yMy9idWhhcmktY29uZ3JhdHVsYXRlcy1kci1kYW5pZWwtc2hhZ2EtYXMtbmV3LWhhbWEtYmFjaGFtYS_SAWRodHRwczovL3BtbmV3c25pZ2VyaWEuY29tLzIwMjAvMTIvMjMvYnVoYXJpLWNvbmdyYXR1bGF0ZXMtZHItZGFuaWVsLXNoYWdhLWFzLW5ldy1oYW1hLWJhY2hhbWEvP2FtcD0x?hl=en-US&gl=US&ceid=US%3Aen
"China's Generation Z redefines trendy, shows growing confidence in ...",2021-01-14 00:00:00,https://news.google.com/./articles/CBMiNGh0dHBzOi8vd3d3Lmdsb2JhbHRpbWVzLmNuL3BhZ2UvMjAyMTAxLzEyMTI4NDYuc2h0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
Top Shopping Destination in Chengdu Leads “Culture of Cool” to ...,2021-02-01 00:00:00,https://news.google.com/./articles/CBMiqAFodHRwczovL3d3dy5idXNpbmVzc3dpcmUuY29tL25ld3MvaG9tZS8yMDIxMDIwMTAwNjAzMy9lbi9Ub3AtU2hvcHBpbmctRGVzdGluYXRpb24taW4tQ2hlbmdkdS1MZWFkcy0lRTIlODAlOUNDdWx0dXJlLW9mLUNvb2wlRTIlODAlOUQtdG8tRXhwbG9yZS1OZXctR3Jvd3RoLU9wcG9ydHVuaXRpZXPSAQA?hl=en-US&gl=US&ceid=US%3Aen
"NDLEA Recruitment 2023: Application Form Portal, Requirements ...",2021-02-10 00:00:00,https://news.google.com/./articles/CBMiL2h0dHBzOi8vaW5mb2d1aWRlbmlnZXJpYS5jb20vbmRsZWEtcmVjcnVpdG1lbnQv0gEA?hl=en-US&gl=US&ceid=US%3Aen
"LV bags, Japanese whisky now collector’s items for China’s millennials, Gen Z",2021-04-18 00:00:00,https://news.google.com/./articles/CBMidWh0dHBzOi8vd3d3LnNjbXAuY29tL2Vjb25vbXkvZWNvbm9taWMtaW5kaWNhdG9ycy9hcnRpY2xlLzMxMjk4OTkvY2hpbmFzLW1pbGxlbm5pYWxzLWdlbi16LXR1cm4tbG91aXMtdnVpdHRvbi1oYW5kYmFnc9IBdWh0dHBzOi8vYW1wLnNjbXAuY29tL2Vjb25vbXkvZWNvbm9taWMtaW5kaWNhdG9ycy9hcnRpY2xlLzMxMjk4OTkvY2hpbmFzLW1pbGxlbm5pYWxzLWdlbi16LXR1cm4tbG91aXMtdnVpdHRvbi1oYW5kYmFncw?hl=en-US&gl=US&ceid=US%3Aen
"Africa's biggest challenge is lack of appropriate, effective, ethical ...",2021-05-19 00:00:00,https://news.google.com/./articles/CBMihAFodHRwczovL3d3dy5teWpveW9ubGluZS5jb20vYWZyaWNhcy1iaWdnZXN0LWNoYWxsZW5nZS1pcy1sYWNrLW9mLWFwcHJvcHJpYXRlLWVmZmVjdGl2ZS1ldGhpY2FsLWxlYWRlcnNoaXAtdG8tZWZmZWN0LWNoYW5nZS1kb2diZWdhaC_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Insecurity is the mark of a bad leader – Atuahene-Gima,2021-05-19 00:00:00,https://news.google.com/./articles/CBMiUWh0dHBzOi8vd3d3Lm15am95b25saW5lLmNvbS9pbnNlY3VyaXR5LWlzLXRoZS1tYXJrLW9mLWEtYmFkLWxlYWRlci1hdHVhaGVuZS1naW1hL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
"Nella zona a sud est della città. Bertucco, l’impianto sospetto: “Può ...",2021-05-03 00:00:00,https://news.google.com/./articles/CBMidmh0dHBzOi8vd3d3LmNyb25hY2FkaXZlcm9uYS5jb20vbmVsbGEtem9uYS1hLXN1ZC1lc3QtZGVsbGEtY2l0dGEtYmVydHVjY28tbGltcGlhbnRvLXNvc3BldHRvLXB1by1lc3NlcmUtbW9sdG8tZGFubm9zby_SAQA?hl=en-US&gl=US&ceid=US%3Aen
‘Africa’s transformation is achievable if we believe in ourselves’,2021-05-21 00:00:00,https://news.google.com/./articles/CBMiWWh0dHBzOi8vbmV3c2doYW5hLmNvbS5naC9hZnJpY2FzLXRyYW5zZm9ybWF0aW9uLWlzLWFjaGlldmFibGUtaWYtd2UtYmVsaWV2ZS1pbi1vdXJzZWx2ZXMv0gFZaHR0cHM6Ly9uZXdzZ2hhbmEuY29tLmdoL2FmcmljYXMtdHJhbnNmb3JtYXRpb24taXMtYWNoaWV2YWJsZS1pZi13ZS1iZWxpZXZlLWluLW91cnNlbHZlcy8?hl=en-US&gl=US&ceid=US%3Aen
What did the new style god of “Onmyoji” successfully go out of the circle to create April hegemony?,2021-05-06 00:00:00,https://news.google.com/./articles/CBMihwFodHRwczovL2dhbWluZ2lkZW9sb2d5LmNvbS8yMDIxLzA1LzA2L3doYXQtZGlkLXRoZS1uZXctc3R5bGUtZ29kLW9mLW9ubXlvamktc3VjY2Vzc2Z1bGx5LWdvLW91dC1vZi10aGUtY2lyY2xlLXRvLWNyZWF0ZS1hcHJpbC1oZWdlbW9ueS_SAYsBaHR0cHM6Ly9nYW1pbmdpZGVvbG9neS5jb20vMjAyMS8wNS8wNi93aGF0LWRpZC10aGUtbmV3LXN0eWxlLWdvZC1vZi1vbm15b2ppLXN1Y2Nlc3NmdWxseS1nby1vdXQtb2YtdGhlLWNpcmNsZS10by1jcmVhdGUtYXByaWwtaGVnZW1vbnkvP2FtcA?hl=en-US&gl=US&ceid=US%3Aen
"NDLEA Promotes 3,506 Officers after Years of Stagnation",2021-06-16 00:00:00,https://news.google.com/./articles/CBMiaGh0dHBzOi8vd3d3LnRoaXNkYXlsaXZlLmNvbS9pbmRleC5waHAvMjAyMS8wNi8xOC9uZGxlYS1wcm9tb3Rlcy0zNTA2LW9mZmljZXJzLWFmdGVyLXllYXJzLW9mLXN0YWduYXRpb24v0gFsaHR0cHM6Ly93d3cudGhpc2RheWxpdmUuY29tL2luZGV4LnBocC8yMDIxLzA2LzE4L25kbGVhLXByb21vdGVzLTM1MDYtb2ZmaWNlcnMtYWZ0ZXIteWVhcnMtb2Ytc3RhZ25hdGlvbi9hbXAv?hl=en-US&gl=US&ceid=US%3Aen
NDLEA promotes 3506 officers,2021-06-17 00:00:00,https://news.google.com/./articles/CBMiOWh0dHBzOi8vdHJpYnVuZW9ubGluZW5nLmNvbS9uZGxlYS1wcm9tb3Rlcy0zNTA2LW9mZmljZXJzL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
NDLEA boss orders newly promoted officers to crush drug cartels,2021-07-29 00:00:00,https://news.google.com/./articles/CBMiZWh0dHBzOi8vcG1uZXdzbmlnZXJpYS5jb20vMjAyMS8wNy8yOS9uZGxlYS1ib3NzLW9yZGVycy1uZXdseS1wcm9tb3RlZC1vZmZpY2Vycy10by1jcnVzaC1kcnVnLWNhcnRlbHMv0gFraHR0cHM6Ly9wbW5ld3NuaWdlcmlhLmNvbS8yMDIxLzA3LzI5L25kbGVhLWJvc3Mtb3JkZXJzLW5ld2x5LXByb21vdGVkLW9mZmljZXJzLXRvLWNydXNoLWRydWctY2FydGVscy8_YW1wPTE?hl=en-US&gl=US&ceid=US%3Aen
Marwa Charges Newly Promoted NDLEA Officers to Crush Drug Cartels,2021-07-30 00:00:00,https://news.google.com/./articles/CBMic2h0dHBzOi8vd3d3LnRoaXNkYXlsaXZlLmNvbS9pbmRleC5waHAvMjAyMS8wNy8zMC9tYXJ3YS1jaGFyZ2VzLW5ld2x5LXByb21vdGVkLW5kbGVhLW9mZmljZXJzLXRvLWNydXNoLWRydWctY2FydGVscy_SAXdodHRwczovL3d3dy50aGlzZGF5bGl2ZS5jb20vaW5kZXgucGhwLzIwMjEvMDcvMzAvbWFyd2EtY2hhcmdlcy1uZXdseS1wcm9tb3RlZC1uZGxlYS1vZmZpY2Vycy10by1jcnVzaC1kcnVnLWNhcnRlbHMvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen
NDLEA Arrests Over 30 Drug Traffickers At Lagos Airport In 2 Months,2021-07-01 00:00:00,https://news.google.com/./articles/CBMiX2h0dHBzOi8vdGhld2lsbG5pZ2VyaWEuY29tL25kbGVhLWFycmVzdHMtb3Zlci0zMC1kcnVnLXRyYWZmaWNrZXJzLWF0LWxhZ29zLWFpcnBvcnQtaW4tMi1tb250aHMv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Poor corporate governance root of corporate failures – BoG Deputy ...,2021-07-09 00:00:00,https://news.google.com/./articles/CBMif2h0dHBzOi8vd3d3LmdyYXBoaWMuY29tLmdoL2J1c2luZXNzL2J1c2luZXNzLW5ld3MvcG9vci1jb3Jwb3JhdGUtZ292ZXJuYW5jZS1yb290LW9mLWNvcnBvcmF0ZS1mYWlsdXJlcy1ib2ctZGVwdXR5LWdvdmVybm9yLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
Dogbegah chairs African Corporate Governance Network,2021-08-29 00:00:00,https://news.google.com/./articles/CBMiTmh0dHBzOi8vbmV3c2doYW5hLmNvbS5naC9kb2diZWdhaC1jaGFpcnMtYWZyaWNhbi1jb3Jwb3JhdGUtZ292ZXJuYW5jZS1uZXR3b3JrL9IBTmh0dHBzOi8vbmV3c2doYW5hLmNvbS5naC9kb2diZWdhaC1jaGFpcnMtYWZyaWNhbi1jb3Jwb3JhdGUtZ292ZXJuYW5jZS1uZXR3b3JrLw?hl=en-US&gl=US&ceid=US%3Aen
Juru elected Africa Directors vice chair,2021-09-03 00:00:00,https://news.google.com/./articles/CBMiQmh0dHBzOi8vd3d3LmhlcmFsZC5jby56dy9qdXJ1LWVsZWN0ZWQtYWZyaWNhLWRpcmVjdG9ycy12aWNlLWNoYWlyL9IBRmh0dHBzOi8vd3d3LmhlcmFsZC5jby56dy9qdXJ1LWVsZWN0ZWQtYWZyaWNhLWRpcmVjdG9ycy12aWNlLWNoYWlyL2FtcC8?hl=en-US&gl=US&ceid=US%3Aen
X11 Global Flagship Store / BloomDesign,2021-09-28 00:00:00,https://news.google.com/./articles/CBMiRmh0dHBzOi8vd3d3LmFyY2hkYWlseS5jb20vOTY4OTA0L3gxMS1nbG9iYWwtZmxhZ3NoaXAtc3RvcmUtYmxvb21kZXNpZ27SAQA?hl=en-US&gl=US&ceid=US%3Aen
Is China's virtual idol boom a trend with staying power? · TechNode,2021-10-27 00:00:00,https://news.google.com/./articles/CBMiamh0dHBzOi8vdGVjaG5vZGUuY29tLzIwMjEvMTAvMjcvaW5zaWdodHMtaXMtY2hpbmFzLXZpcnR1YWwtaWRvbC1ib29tLWEtbWFya2V0aW5nLXRyZW5kLXdpdGgtc3RheWluZy1wb3dlci_SAQA?hl=en-US&gl=US&ceid=US%3Aen
IoD Centre For Corporate Governance Appoints A New Chairman,2021-10-24 00:00:00,https://news.google.com/./articles/CBMiPmh0dHBzOi8vZWNvbm9taWNjb25maWRlbnRpYWwuY29tLzIwMjEvMTAvaW9kLWNlbnRyZS1jb3Jwb3JhdGUv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Young Chinese lavish spending on commissioned cartoon art ...,2021-11-09 00:00:00,https://news.google.com/./articles/CBMiNGh0dHBzOi8vd3d3Lmdsb2JhbHRpbWVzLmNuL3BhZ2UvMjAyMTExLzEyMzg1NDYuc2h0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
