title,datetime,link
"Hopps, Jackson and Johnston through May 30 at Holy Cross Gallery ...",2017-04-24 00:00:00,https://news.google.com/./articles/CBMibmh0dHBzOi8vd3d3LnRyeW9uZGFpbHlidWxsZXRpbi5jb20vMjAxNy8wNC8yNC9ob3Bwcy1qYWNrc29uLWFuZC1qb2huc3Rvbi10aHJvdWdoLW1heS0zMC1hdC1ob2x5LWNyb3NzLWdhbGxlcnkv0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Vanguard Health Care Fund Buys Abbott Laboratories, Tesaro Inc ...",2017-05-16 00:00:00,https://news.google.com/./articles/CBMicWh0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvdmFuZ3VhcmQtaGVhbHRoLWNhcmUtZnVuZC1idXlzLWFiYm90dC1sYWJvcmF0b3JpZXMtdGVzYXJvLWluYy10ZXZhLXBoYXJtYWNldXRpY2Fs0gEA?hl=en-US&gl=US&ceid=US%3Aen
"After spinout, 200-job Mapco HQ lands in Cool Springs - Nashville ...",2017-05-10 00:00:00,https://news.google.com/./articles/CBMia2h0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9uYXNodmlsbGUvbmV3cy8yMDE3LzA1LzEwL2FmdGVyLXNwaW5vdXQtMjAwLWpvYi1jb3Jwb3JhdGUtaHEtbGFuZHMtaW4tY29vbC5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
Acadia Healthcare Company Inc (NASDAQ:ACHC) Receives Approval To Build Hospital With University Of Miami,2017-06-06 00:00:00,https://news.google.com/./articles/CBMijwFodHRwczovL21hcmtldGV4Y2x1c2l2ZS5jb20vYWNhZGlhLWhlYWx0aGNhcmUtY29tcGFueS1pbmMtbmFzZGFxYWNoYy1yZWNlaXZlcy1hcHByb3ZhbC1idWlsZC1uZXctaG9zcGl0YWwtcGFydG5lcnNoaXAtdW5pdmVyc2l0eS1taWFtaS8yMDE3LzA2L9IBkwFodHRwczovL21hcmtldGV4Y2x1c2l2ZS5jb20vYWNhZGlhLWhlYWx0aGNhcmUtY29tcGFueS1pbmMtbmFzZGFxYWNoYy1yZWNlaXZlcy1hcHByb3ZhbC1idWlsZC1uZXctaG9zcGl0YWwtcGFydG5lcnNoaXAtdW5pdmVyc2l0eS1taWFtaS8yMDE3LzA2L2FtcC8?hl=en-US&gl=US&ceid=US%3Aen
BioPlus Specialty Pharmacy Releases Updated Version of 'HCV ...,2017-07-26 00:00:00,https://news.google.com/./articles/CBMiOGh0dHBzOi8vd3d3LnByd2ViLmNvbS9yZWxlYXNlcy8yMDE3LzA3L3Byd2ViMTQ1Mzk5MDcuaHRt0gEA?hl=en-US&gl=US&ceid=US%3Aen
NC Senators Vote to Move ACA Repeal Bill Forward,2017-07-26 00:00:00,https://news.google.com/./articles/CBMiXGh0dHBzOi8vd3d3Lm5vcnRoY2Fyb2xpbmFoZWFsdGhuZXdzLm9yZy8yMDE3LzA3LzI2L25jLXNlbmF0b3JzLXZvdGUtYWNhLXJlcGVhbC1iaWxsLWZvcndhcmQv0gFcaHR0cHM6Ly93d3cubm9ydGhjYXJvbGluYWhlYWx0aG5ld3Mub3JnLzIwMTcvMDcvMjYvbmMtc2VuYXRvcnMtdm90ZS1hY2EtcmVwZWFsLWJpbGwtZm9yd2FyZC8?hl=en-US&gl=US&ceid=US%3Aen
Not Buying Acadia Healthcare's Roll-Up Story,2017-08-16 00:00:00,https://news.google.com/./articles/CBMiZmh0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvZ3JlYXRzcGVjdWxhdGlvbnMvMjAxNy8wOC8xNi9ub3QtYnV5aW5nLWFjYWRpYS1oZWFsdGhjYXJlcy1yb2xsLXVwLXN0b3J5L9IBAA?hl=en-US&gl=US&ceid=US%3Aen
"Acadia Healthcare Company, Inc. Announces Secondary Offering of ...",2017-08-16 00:00:00,https://news.google.com/./articles/CBMirgFodHRwczovL3d3dy5idXNpbmVzc3dpcmUuY29tL25ld3MvaG9tZS8yMDE3MDgxNjAwNjA1OS9lbi9BY2FkaWEtSGVhbHRoY2FyZS1Db21wYW55LUluYy4tQW5ub3VuY2VzLVNlY29uZGFyeS1PZmZlcmluZy1vZi0yODI1MDE2LVNoYXJlcy1vZi1Db21tb24tU3RvY2stYnktU2VsbGluZy1TdG9ja2hvbGRlcnPSAQA?hl=en-US&gl=US&ceid=US%3Aen
Acadia execs sell $40M+ worth of stock,2017-08-24 00:00:00,https://news.google.com/./articles/CBMidGh0dHBzOi8vd3d3Lm5hc2h2aWxsZXBvc3QuY29tL2FjYWRpYS1leGVjcy1zZWxsLTQwbS13b3J0aC1vZi1zdG9jay9hcnRpY2xlX2M0MGI1ZmI4LWQxYjMtNTdmNi1hODYzLThjM2I3MGEyZjc3YS5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
Mount Carmel-Acadia psychiatric hospital to be built next to ...,2017-08-10 00:00:00,https://news.google.com/./articles/CBMiamh0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9jb2x1bWJ1cy9uZXdzLzIwMTcvMDgvMTAvbW91bnQtY2FybWVsLWFjYWRpYS1wc3ljaGlhdHJpYy1ob3NwaXRhbC13aWxsLWdvLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
