title,datetime,link
SJU's Brinker played 2016 with torn ACLs in both knees,2017-01-11 00:00:00,https://news.google.com/./articles/CBMib2h0dHBzOi8vd3d3LnNjdGltZXMuY29tL3N0b3J5L3Nwb3J0cy9jb2xsZWdlLzIwMTcvMDEvMTEvc2p1cy1icmlua2VyLXBsYXllZC0yMDE2LXRvcm4tYWNscy1ib3RoLWtuZWVzLzk2NDM5MDYwL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Xavier guard Edmond Sumner out for season with torn ACL,2017-01-30 00:00:00,https://news.google.com/./articles/CBMiSmh0dHBzOi8vd3d3LnNpLmNvbS9jb2xsZWdlLzIwMTcvMDEvMzAveGF2aWVyLWVkbW9uZC1zdW1uZXItaW5qdXJ5LXRvcm4tYWNs0gFPaHR0cHM6Ly93d3cuc2kuY29tLy5hbXAvY29sbGVnZS8yMDE3LzAxLzMwL3hhdmllci1lZG1vbmQtc3VtbmVyLWluanVyeS10b3JuLWFjbA?hl=en-US&gl=US&ceid=US%3Aen
Mattia Perin Suffers More ACL Woe,2017-01-09 00:00:00,https://news.google.com/./articles/CBMiUmh0dHBzOi8vd3d3LmJlaW5zcG9ydHMuY29tL3VzL3NvY2Nlci9uZXdzL21hdHRpYS1wZXJpbi1zdWZmZXJzLW1vcmUtYWNsLXdvZS80MTYxNDfSAQA?hl=en-US&gl=US&ceid=US%3Aen
Maurice Watson Jr. of Creighton Bluejays suffered torn ACL,2017-01-17 00:00:00,https://news.google.com/./articles/CBMid2h0dHBzOi8vd3d3LmVzcG4uY29tL21lbnMtY29sbGVnZS1iYXNrZXRiYWxsL3N0b3J5L18vaWQvMTg0OTYzMzIvbWF1cmljZS13YXRzb24tanItY3JlaWdodG9uLWJsdWVqYXlzLXN1ZmZlcmVkLXRvcm4tYWNs0gEA?hl=en-US&gl=US&ceid=US%3Aen
Utah gymnastics: Red Rocks' standout Sabrina Schwab out for ...,2017-01-19 00:00:00,https://news.google.com/./articles/CBMiPWh0dHBzOi8vYXJjaGl2ZS5zbHRyaWIuY29tL2FydGljbGUucGhwP2lkPTQ4MzQ2MzAmaXR5cGU9Q01TSUTSAQA?hl=en-US&gl=US&ceid=US%3Aen
HSS Tackles Best Approach for ACL-Deficient Knees,2017-01-09 00:00:00,https://news.google.com/./articles/CBMiT2h0dHBzOi8vcnlvcnRoby5jb20vYnJlYWtpbmcvaHNzLXRhY2tsZXMtYmVzdC1hcHByb2FjaC1mb3ItYWNsLWRlZmljaWVudC1rbmVlcy_SAVNodHRwczovL3J5b3J0aG8uY29tL2JyZWFraW5nL2hzcy10YWNrbGVzLWJlc3QtYXBwcm9hY2gtZm9yLWFjbC1kZWZpY2llbnQta25lZXMvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen
R.I.P. Trent Baalke ACL jokes,2017-01-03 00:00:00,https://news.google.com/./articles/CBMiUGh0dHBzOi8vbmluZXJzd2lyZS51c2F0b2RheS5jb20vMjAxNy8wMS8wNC9yZXN0LWluLXBlYWNlLXRyZW50LWJhYWxrZS1hY2wtam9rZXMv0gEA?hl=en-US&gl=US&ceid=US%3Aen
"From torn ACL to Pro, one Bennett Clipper's football story - 47abc",2017-01-27 00:00:00,https://news.google.com/./articles/CBMiVmh0dHBzOi8vd3d3LndtZHQuY29tLzIwMTcvMDEvZnJvbS10b3JuLWFjbC10by1wcm8tb25lLWJlbm5ldHQtY2xpcHBlcnMtZm9vdGJhbGwtc3Rvcnkv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Bucs longsnapper Andrew DePaola tears his ACL,2017-01-01 00:00:00,https://news.google.com/./articles/CBMiWmh0dHBzOi8vd3d3LmJ1Y3NuYXRpb24uY29tLzIwMTcvMS8xLzE0MTQwNzQwL2J1Y3MtbG9uZ3NuYXBwZXItYW5kcmV3LWRlcGFvbGEtdGVhcnMtaGlzLWFjbNIBZ2h0dHBzOi8vd3d3LmJ1Y3NuYXRpb24uY29tL3BsYXRmb3JtL2FtcC8yMDE3LzEvMS8xNDE0MDc0MC9idWNzLWxvbmdzbmFwcGVyLWFuZHJldy1kZXBhb2xhLXRlYXJzLWhpcy1hY2w?hl=en-US&gl=US&ceid=US%3Aen
Girls basketball: Torn ACL doesn't stop Rutherford's Wernicki,2017-01-03 00:00:00,https://news.google.com/./articles/CBMijwFodHRwczovL3d3dy5ub3J0aGplcnNleS5jb20vc3Rvcnkvc3BvcnRzL2hpZ2gtc2Nob29sL2Jhc2tldGJhbGwvMjAxNy8wMS8xNC9naXJscy1iYXNrZXRiYWxsLXRvcm4tYWNsLWRvZXNudC1zdG9wLXJ1dGhlcmZvcmRzLXdlcm5pY2tpLzk2NDQzOTk2L9IBAA?hl=en-US&gl=US&ceid=US%3Aen
HU's Malia Tate-DeFreitas out for the season with a torn ACL,2017-01-19 00:00:00,https://news.google.com/./articles/CBMidWh0dHBzOi8vd3d3LmRhaWx5cHJlc3MuY29tL3Nwb3J0cy9kcC1odS1zLW1hbGlhLXRhdGUtZGVmcmVpdGFzLW91dC1mb3ItdGhlLXNlYXNvbi13aXRoLWEtdG9ybi1hY2wtMjAxNzAxMTktc3RvcnkuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Women's basketball: Lobos lose Lines for season to ACL tear,2017-01-14 00:00:00,https://news.google.com/./articles/CBMiTmh0dHBzOi8vd3d3LmFicWpvdXJuYWwuY29tLzkyNzY4OS9sb2Jvcy1sb3NlLWxpbmVzLWZvci1zZWFzb24tdG8tYWNsLXRlYXIuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
The Limelight: Breck ripper Sy Moran on the road to ACL recovery,2017-01-13 00:00:00,https://news.google.com/./articles/CBMiY2h0dHBzOi8vd3d3LnN1bW1pdGRhaWx5LmNvbS9zcG9ydHMvdGhlLWxpbWVsaWdodC1icmVjay1yaXBwZXItc3ktbW9yYW4tb24tdGhlLXJvYWQtdG8tYWNsLXJlY292ZXJ5L9IBAA?hl=en-US&gl=US&ceid=US%3Aen
ACL criticises Scouts Australia for guaranteeing trans kids privacy,2017-01-31 00:00:00,https://news.google.com/./articles/CBMiYWh0dHBzOi8vd3d3LnN0YXJvYnNlcnZlci5jb20uYXUvbmV3cy9zY291dHMtYXVzdHJhbGlhLWluY2x1ZGUtdHJhbnMta2lkcy1ndWFyYW50ZWUtcHJpdmFjeS8xNTUyODfSAQA?hl=en-US&gl=US&ceid=US%3Aen
"Turlock star returns from ACL tear, guides Bulldogs to No. 2 ranking",2017-01-10 00:00:00,https://news.google.com/./articles/CBMiP2h0dHBzOi8vd3d3Lm1vZGJlZS5jb20vc3BvcnRzL2hpZ2gtc2Nob29sL2FydGljbGUxMjU2NDgwODkuaHRtbNIBP2h0dHBzOi8vYW1wLm1vZGJlZS5jb20vc3BvcnRzL2hpZ2gtc2Nob29sL2FydGljbGUxMjU2NDgwODkuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen
"Ryan Tannehill injury update: Surgery not expected, New MRI coming",2017-01-30 00:00:00,https://news.google.com/./articles/CBMidmh0dHBzOi8vd3d3LnRoZXBoaW5zaWRlci5jb20vbWlhbWktZG9scGhpbnMtaW5qdXJpZXMvMjAxNy8xLzMwLzE0NDM4MDcwL3J5YW4tdGFubmVoaWxsLWluanVyeS1rbmVlLXN1cmdlcnktbXJpLXJlc3VsdHPSAYMBaHR0cHM6Ly93d3cudGhlcGhpbnNpZGVyLmNvbS9wbGF0Zm9ybS9hbXAvbWlhbWktZG9scGhpbnMtaW5qdXJpZXMvMjAxNy8xLzMwLzE0NDM4MDcwL3J5YW4tdGFubmVoaWxsLWluanVyeS1rbmVlLXN1cmdlcnktbXJpLXJlc3VsdHM?hl=en-US&gl=US&ceid=US%3Aen
Dion Lewis endured a tough road back to the field,2017-01-14 00:00:00,https://news.google.com/./articles/CBMiW2h0dHBzOi8vd3d3Lm5mbC5jb20vbmV3cy9kaW9uLWxld2lzLWVuZHVyZWQtYS10b3VnaC1yb2FkLWJhY2stdG8tdGhlLWZpZWxkLTBhcDMwMDAwMDA3NzQwMDDSAVtodHRwczovL3d3dy5uZmwuY29tL19hbXAvZGlvbi1sZXdpcy1lbmR1cmVkLWEtdG91Z2gtcm9hZC1iYWNrLXRvLXRoZS1maWVsZC0wYXAzMDAwMDAwNzc0MDAw?hl=en-US&gl=US&ceid=US%3Aen
What do footballers do while recovering from long-term injuries?,2017-01-16 00:00:00,https://news.google.com/./articles/CBMiggFodHRwczovL3d3dy50aGVndWFyZGlhbi5jb20vZm9vdGJhbGwvdGhlLWFnb255LWFuZC10aGUtZWNzdGFzeS8yMDE3L2phbi8xNi9mb290YmFsbGVycy1sb25nLXRlcm0taW5qdXJpZXMtZ3VuZG9nYW4tbWFuY2hlc3Rlci1jaXR50gGCAWh0dHBzOi8vYW1wLnRoZWd1YXJkaWFuLmNvbS9mb290YmFsbC90aGUtYWdvbnktYW5kLXRoZS1lY3N0YXN5LzIwMTcvamFuLzE2L2Zvb3RiYWxsZXJzLWxvbmctdGVybS1pbmp1cmllcy1ndW5kb2dhbi1tYW5jaGVzdGVyLWNpdHk?hl=en-US&gl=US&ceid=US%3Aen
Freshman takes on surprise leadership role for women's basketball,2017-01-29 00:00:00,https://news.google.com/./articles/CBMiXWh0dHBzOi8vZGFpbHl0cm9qYW4uY29tLzIwMTcvMDEvMjkvZnJlc2htYW4tdGFrZXMtc3VycHJpc2UtbGVhZGVyc2hpcC1yb2xlLXdvbWVucy1iYXNrZXRiYWxsL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
See what made St. X's title run more improbable,2017-01-06 00:00:00,https://news.google.com/./articles/CBMidGh0dHBzOi8vd3d3LndjcG8uY29tL25ld3MvaW5zaWRlci9tYWtpbmctc2Vuc2Utb2YtaG93LW1hbnktaW5qdXJpZXMtdGhlLXN0LXhhdmllci1mb290YmFsbC10ZWFtLWhhZC10aGlzLXBhc3Qtc2Vhc29u0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Torn ACL a huge blow for Heat, India",2017-01-18 00:00:00,https://news.google.com/./articles/CBMifGh0dHBzOi8vd3d3LmNyaWNrZXQuY29tLmF1L25ld3MvYnJpc2JhbmUtaGVhdC1sb3NlLWluZGlhLXN0YXItc21yaXRpLW1hbmRoYW5hLXJlYmVsLXdvbWVucy1iaWctYmFzaC1sZWFndWUtd2JibDAyLzIwMTctMDEtMTjSAQA?hl=en-US&gl=US&ceid=US%3Aen
