title,datetime,link
Right-Wing Hoteliers in Japan Anger China With Radical Historical Views,2017-01-19 00:00:00,https://news.google.com/./articles/CBMiTWh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMTcvMDEvMTkvYnVzaW5lc3MvamFwYW4tY2hpbmEtbW90b3lhLWhvdGVsLWFwYS5odG1s0gFRaHR0cHM6Ly93d3cubnl0aW1lcy5jb20vMjAxNy8wMS8xOS9idXNpbmVzcy9qYXBhbi1jaGluYS1tb3RveWEtaG90ZWwtYXBhLmFtcC5odG1s?hl=en-US&gl=US&ceid=US%3Aen
One of Japan's biggest hotel chains is denying that the Nanjing ...,2017-01-19 00:00:00,https://news.google.com/./articles/CBMiOmh0dHBzOi8vbWFzaGFibGUuY29tL2FydGljbGUvamFwYW4tZGVuaWVzLW5hbmppbmctbWFzc2FjcmXSAQA?hl=en-US&gl=US&ceid=US%3Aen
Japan hotelier's Nanjing massacre denial angers China,2017-01-19 00:00:00,https://news.google.com/./articles/CBMiLGh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy93b3JsZC1hc2lhLTM4NjczNDA30gEwaHR0cHM6Ly93d3cuYmJjLmNvbS9uZXdzL3dvcmxkLWFzaWEtMzg2NzM0MDcuYW1w?hl=en-US&gl=US&ceid=US%3Aen
China boycotts Japan hotel chain APA over Nanjing Massacre denials,2017-01-24 00:00:00,https://news.google.com/./articles/CBMiUWh0dHBzOi8vd3d3LmNubi5jb20vMjAxNy8wMS8yNC9hc2lhL2phcGFuLWNoaW5hLW5hbmppbmctbWFzc2FjcmUtaG90ZWwvaW5kZXguaHRtbNIBVWh0dHBzOi8vYW1wLmNubi5jb20vY25uLzIwMTcvMDEvMjQvYXNpYS9qYXBhbi1jaGluYS1uYW5qaW5nLW1hc3NhY3JlLWhvdGVsL2luZGV4Lmh0bWw?hl=en-US&gl=US&ceid=US%3Aen
"Despite calls for boycott, Apa hotel chain will keep books denying ...",2017-01-25 00:00:00,https://news.google.com/./articles/CBMihQFodHRwczovL3d3dy5qYXBhbnRpbWVzLmNvLmpwL25ld3MvMjAxNy8wMS8yNS9uYXRpb25hbC9kZXNwaXRlLWNhbGxzLWJveWNvdHQtYXBhLWhvdGVsLWNoYWluLXdpbGwta2VlcC1ib29rcy1kZW55aW5nLW5hbmtpbmctbWFzc2FjcmUv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Korean Olympic Committee wants Nanjing Massacre denial books ...,2017-01-26 00:00:00,https://news.google.com/./articles/CBMiQWh0dHBzOi8vbWFpbmljaGkuanAvZW5nbGlzaC9hcnRpY2xlcy8yMDE3MDEyNi9wMmEvMDBtLzBuYS8wMTQwMDBj0gEA?hl=en-US&gl=US&ceid=US%3Aen
Three Seniors Present at APA Meeting - News,2017-01-13 00:00:00,https://news.google.com/./articles/CBMiamh0dHBzOi8vd3d3LmhhbWlsdG9uLmVkdS9uZXdzL3N0b3J5L3RocmVlLXBoaWxvc29waHktc2VuaW9ycy1icmFjY28tcHVyaW50b24tZmFyaW5hLXByZXNlbnQtYXQtYXBhLW1lZXRpbmfSAQA?hl=en-US&gl=US&ceid=US%3Aen
RIVERDALE Star KJ Apa is Basically Archie in Real Life,2017-01-25 00:00:00,https://news.google.com/./articles/CBMiQWh0dHBzOi8vbmVyZGlzdC5jb20vYXJ0aWNsZS9yaXZlcmRhbGUta2otYXBhLWFyY2hpZS1pbi1yZWFsLWxpZmUv0gFFaHR0cHM6Ly9uZXJkaXN0LmNvbS9hcnRpY2xlL3JpdmVyZGFsZS1rai1hcGEtYXJjaGllLWluLXJlYWwtbGlmZS8_YW1w?hl=en-US&gl=US&ceid=US%3Aen
‘Riverdale’ Star K.J. Apa Signs With UTA (Exclusive),2017-01-26 00:00:00,https://news.google.com/./articles/CBMiW2h0dHBzOi8vd3d3LmhvbGx5d29vZHJlcG9ydGVyLmNvbS9uZXdzL2dlbmVyYWwtbmV3cy9yaXZlcmRhbGUtc3Rhci1rai1hcGEtc2lnbnMtdXRhLTk2OTEwOC_SAV9odHRwczovL3d3dy5ob2xseXdvb2RyZXBvcnRlci5jb20vbmV3cy9nZW5lcmFsLW5ld3Mvcml2ZXJkYWxlLXN0YXIta2otYXBhLXNpZ25zLXV0YS05NjkxMDgvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen
Japan hotel chain angers China over book's denial of Nanjing massacre,2017-01-18 00:00:00,https://news.google.com/./articles/CBMieGh0dHBzOi8vd3d3LnRoZWd1YXJkaWFuLmNvbS93b3JsZC8yMDE3L2phbi8xOC9qYXBhbi1ob3RlbC1jaGFpbi1hcGEtZ3JvdXAtYW5nZXJzLWNoaW5hLW92ZXItYm9vay1kZW5pYWwtbmFuamluZy1tYXNzYWNyZdIBeGh0dHBzOi8vYW1wLnRoZWd1YXJkaWFuLmNvbS93b3JsZC8yMDE3L2phbi8xOC9qYXBhbi1ob3RlbC1jaGFpbi1hcGEtZ3JvdXAtYW5nZXJzLWNoaW5hLW92ZXItYm9vay1kZW5pYWwtbmFuamluZy1tYXNzYWNyZQ?hl=en-US&gl=US&ceid=US%3Aen
"BRIEF-Coca Cola Bottling, Coca-Cola unit entered into amendment ...",2017-01-27 00:00:00,https://news.google.com/./articles/CBMiLWh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvaWRVU0ZXTjFGSDBZS9IBAA?hl=en-US&gl=US&ceid=US%3Aen
