title,datetime,link
Equality Key: Vuniwaqa,2017-01-17 00:00:00,https://news.google.com/./articles/CBMiOGh0dHBzOi8vZmlqaXN1bi5jb20uZmovMjAxNy8wMS8xNy9lcXVhbGl0eS1rZXktdnVuaXdhcWEv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Parliamentary Forum Reinforces Fijian Standing in Global Community,2017-01-17 00:00:00,https://news.google.com/./articles/CBMiZWh0dHBzOi8vZmlqaXN1bi5jb20uZmovMjAxNy8wMS8xNy9wYXJsaWFtZW50YXJ5LWZvcnVtLXJlaW5mb3JjZXMtZmlqaWFuLXN0YW5kaW5nLWluLWdsb2JhbC1jb21tdW5pdHkv0gEA?hl=en-US&gl=US&ceid=US%3Aen
NZ backs Fiji in Climate Battle,2017-01-18 00:00:00,https://news.google.com/./articles/CBMiQmh0dHBzOi8vZmlqaXN1bi5jb20uZmovMjAxNy8wMS8xOC9uei1iYWNrcy1maWppLWluLWNsaW1hdGUtYmF0dGxlL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
22nd Century Group Inc (NYSEMKT:XXII) Shares React to Crede's ...,2017-02-22 00:00:00,https://news.google.com/./articles/CBMiZmh0dHBzOi8vc21hbGxjYXBleGNsdXNpdmUuY29tLzIybmQtY2VudHVyeS1ncm91cC1pbmMtbnlzZW1rdHh4aWktc2hhcmVzLXJlYWN0LWNyZWRlcy1kaXNtaXNzYWwtY2xhaW1zL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
"Andarabi Probe Wrapped Up, Case Finally Sent To Court",2017-04-17 00:00:00,https://news.google.com/./articles/CBMiT2h0dHBzOi8vdG9sb25ld3MuY29tL2FmZ2hhbmlzdGFuL2FuZGFyYWJpLXByb2JlLXdyYXBwZWQtY2FzZS1maW5hbGx5LXNlbnQtY291cnTSAQA?hl=en-US&gl=US&ceid=US%3Aen
MoD Outlines 4-Year Strategy To Boost Army’s War Capacity,2017-05-03 00:00:00,https://news.google.com/./articles/CBMiX2h0dHBzOi8vdG9sb25ld3MuY29tL2FmZ2hhbmlzdGFuL21vZC1vdXRsaW5lcy00LXllYXItc3RyYXRlZ3ktYm9vc3QtYXJteSVFMiU4MCU5OXMtd2FyLWNhcGFjaXR50gEA?hl=en-US&gl=US&ceid=US%3Aen
NSC Yet To Sign Off On Demilitarization Of Some ANP Units,2017-05-21 00:00:00,https://news.google.com/./articles/CBMiTWh0dHBzOi8vdG9sb25ld3MuY29tL2FmZ2hhbmlzdGFuL25zYy15ZXQtc2lnbi1kZW1pbGl0YXJpemF0aW9uLXNvbWUtYW5wLXVuaXRz0gEA?hl=en-US&gl=US&ceid=US%3Aen
Vietnamese women play significant role in development,2017-05-12 00:00:00,https://news.google.com/./articles/CBMiZWh0dHA6Ly92aWV0bmFtbmV3cy52bi9wb2xpdGljcy1sYXdzLzM3NjI5Mi92aWV0bmFtZXNlLXdvbWVuLXBsYXktc2lnbmlmaWNhbnQtcm9sZS1pbi1kZXZlbG9wbWVudC5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Blackwater Founder Wants To Provide A ""Turn Key"" Mercenary Air ...",2017-08-04 00:00:00,https://news.google.com/./articles/CBMicGh0dHBzOi8vd3d3LnRoZWRyaXZlLmNvbS90aGUtd2FyLXpvbmUvMTMxOTMvYmxhY2t3YXRlci1mb3VuZGVyLXRoaW5rcy1oaXMtcHJpdmF0ZS1haXItZm9yY2UtY2FuLWhlbHAtYWZnaGFuaXN0YW7SAQA?hl=en-US&gl=US&ceid=US%3Aen
AppFolio Announces New Offerings for Property Manager Customers,2017-09-18 00:00:00,https://news.google.com/./articles/CBMijgFodHRwczovL3d3dy5nbG9iZW5ld3N3aXJlLmNvbS9lbi9uZXdzLXJlbGVhc2UvMjAxNy8wOS8xOC8xMTI0MTY1LzM2NDA1L2VuL0FwcEZvbGlvLUFubm91bmNlcy1OZXctT2ZmZXJpbmdzLWZvci1Qcm9wZXJ0eS1NYW5hZ2VyLUN1c3RvbWVycy5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
Lendlease fund buys AUD270m Sydney tower from Centuria,2017-09-27 00:00:00,https://news.google.com/./articles/CBMiYmh0dHBzOi8vcmVhbGFzc2V0cy5pcGUuY29tL2xlbmRsZWFzZS1mdW5kLWJ1eXMtYXVkMjcwbS1zeWRuZXktdG93ZXItZnJvbS1jZW50dXJpYS8xMDAyMDgyNy5hcnRpY2xl0gEA?hl=en-US&gl=US&ceid=US%3Aen
More Militias? Part 1: Déjà vu double plus with the proposed 'Afghan ...,2017-09-22 00:00:00,https://news.google.com/./articles/CBMicWh0dHBzOi8vcmVsaWVmd2ViLmludC9yZXBvcnQvYWZnaGFuaXN0YW4vbW9yZS1taWxpdGlhcy1wYXJ0LTEtZC1qLXZ1LWRvdWJsZS1wbHVzLXByb3Bvc2VkLWFmZ2hhbi10ZXJyaXRvcmlhbC1hcm150gEA?hl=en-US&gl=US&ceid=US%3Aen
Leaked Letter Points Towards ‘Discrimination’ In The APPF,2017-11-19 00:00:00,https://news.google.com/./articles/CBMiY2h0dHBzOi8vdG9sb25ld3MuY29tL2FmZ2hhbmlzdGFuL2xlYWtlZC1sZXR0ZXItcG9pbnRzLXRvd2FyZHMtJUUyJTgwJTk4ZGlzY3JpbWluYXRpb24lRTIlODAlOTktYXBwZtIBAA?hl=en-US&gl=US&ceid=US%3Aen
VIDEO: Barmak Rejects Claims Of Discrimination In Ministry,2019-10-14 00:00:00,https://news.google.com/./articles/CBMiWWh0dHBzOi8vdG9sb25ld3MuY29tL2FmZ2hhbmlzdGFuL3ZpZGVvLWJhcm1hay1yZWplY3RzLWFsbGVnYXRpb25zLWRpc2NyaW1pbmF0aW9uLW1pbmlzdHJ50gEA?hl=en-US&gl=US&ceid=US%3Aen
Leaked Memo Fuels New Allegations Of Ethnic Bias In Afghan Government,2017-11-20 00:00:00,https://news.google.com/./articles/CBMiSmh0dHBzOi8vZ2FuZGhhcmEucmZlcmwub3JnL2EvYWZnaGFuaXN0YW4tYWxsZWdlZC1ldGhuaWMtYmlhcy8yODg2NTE4Ni5odG1s0gFMaHR0cHM6Ly9nYW5kaGFyYS5yZmVybC5vcmcvYW1wL2FmZ2hhbmlzdGFuLWFsbGVnZWQtZXRobmljLWJpYXMvMjg4NjUxODYuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen
"The Best Software Companies To Work For In 2018, According To ...",2017-11-19 00:00:00,https://news.google.com/./articles/CBMieWh0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvbG91aXNjb2x1bWJ1cy8yMDE3LzExLzE5L3RoZS1iZXN0LXNvZnR3YXJlLWNvbXBhbmllcy10by13b3JrLWZvci1pbi0yMDE4LWJhc2VkLW9uLWdsYXNzZG9vci_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Lendlease snags Australia's first portfolio-wide 6 Star Performance ...,2017-12-07 00:00:00,https://news.google.com/./articles/CBMifmh0dHBzOi8vdGhlZmlmdGhlc3RhdGUuY29tLmF1L2lubm92YXRpb24vY29tbWVyY2lhbC9sZW5kbGVhc2Utc25hZ3MtYXVzdHJhbGlhcy1maXJzdC1wb3J0Zm9saW8td2lkZS02LXN0YXItcGVyZm9ybWFuY2UtcmF0aW5nL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Leaders Adopt Declaration Outlining New Vision For Regional ...,2018-01-23 00:00:00,https://news.google.com/./articles/CBMidGh0dHBzOi8vZmlqaXN1bi5jb20uZmovMjAxOC8wMS8yMy9sZWFkZXJzLWFkb3B0LWRlY2xhcmF0aW9uLW91dGxpbmluZy1uZXctdmlzaW9uLWZvci1yZWdpb25hbC1wYXJsaWFtZW50YXJ5LWZvcnVtLTIv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Luveni Tables Gender Push at Meeting in Vietnam,2018-01-20 00:00:00,https://news.google.com/./articles/CBMiUmh0dHBzOi8vZmlqaXN1bi5jb20uZmovMjAxOC8wMS8yMC9sdXZlbmktdGFibGVzLWdlbmRlci1wdXNoLWF0LW1lZXRpbmctaW4tdmlldG5hbS_SAQA?hl=en-US&gl=US&ceid=US%3Aen
"Vietnam, Mongolia urged to strengthen relations",2018-01-23 00:00:00,https://news.google.com/./articles/CBMiU2h0dHBzOi8vZW4udmlldG5hbXBsdXMudm4vdmlldG5hbS1tb25nb2xpYS11cmdlZC10by1zdHJlbmd0aGVuLXJlbGF0aW9ucy8xMjU0MzYudm5w0gFTaHR0cHM6Ly9lbi52aWV0bmFtcGx1cy52bi92aWV0bmFtLW1vbmdvbGlhLXVyZ2VkLXRvLXN0cmVuZ3RoZW4tcmVsYXRpb25zLzEyNTQzNi5hbXA?hl=en-US&gl=US&ceid=US%3Aen
Two MQ acquired,2021-09-28 00:00:00,https://news.google.com/./articles/CBMiN2h0dHBzOi8vd3d3LmRvY2tsYW5kc25ld3MuY29tLmF1L3R3by1tcS1hY3F1aXJlZF8xNDAwMS_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Lendlease sells Melbourne Quarter tower for $550m,2018-03-21 00:00:00,https://news.google.com/./articles/CBMib2h0dHBzOi8vd3d3LnNtaC5jb20uYXUvYnVzaW5lc3MvY29tcGFuaWVzL2xlbmRsZWFzZS1zZWxscy1tZWxib3VybmUtcXVhcnRlci10b3dlci1mb3ItNTUwbS0yMDE4MDMyMS1wNHo1aHQuaHRtbNIBb2h0dHBzOi8vYW1wLnNtaC5jb20uYXUvYnVzaW5lc3MvY29tcGFuaWVzL2xlbmRsZWFzZS1zZWxscy1tZWxib3VybmUtcXVhcnRlci10b3dlci1mb3ItNTUwbS0yMDE4MDMyMS1wNHo1aHQuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen
Lessons from Care: ‘If the Government Hadn’t Done All Those ...,2018-05-16 00:00:00,https://news.google.com/./articles/CBMiNWh0dHBzOi8vdGhldHllZS5jYS9OZXdzLzIwMTgvMDUvMTYvTGVzc29ucy1Gcm9tLUNhcmUv0gEA?hl=en-US&gl=US&ceid=US%3Aen
NIMA ROOZ: Maidan Wardak Witnesses Heavy Clashes,2018-06-25 00:00:00,https://news.google.com/./articles/CBMiTmh0dHBzOi8vdG9sb25ld3MuY29tL25pbWEtcm9vei9uaW1hLXJvb3otbWFpZGFuLXdhcmRhay13aXRuZXNzZXMtaGVhdnktY2xhc2hlc9IBAA?hl=en-US&gl=US&ceid=US%3Aen
10 pure-play cloud companies to put on your watchlist,2018-06-20 00:00:00,https://news.google.com/./articles/CBMiYmh0dHBzOi8vd3d3Lm1hcmtldHdhdGNoLmNvbS9zdG9yeS8xMC1wdXJlLXBsYXktY2xvdWQtY29tcGFuaWVzLXRvLXB1dC1vbi15b3VyLXdhdGNobGlzdC0yMDE4LTA2LTE50gFmaHR0cHM6Ly93d3cubWFya2V0d2F0Y2guY29tL2FtcC9zdG9yeS8xMC1wdXJlLXBsYXktY2xvdWQtY29tcGFuaWVzLXRvLXB1dC1vbi15b3VyLXdhdGNobGlzdC0yMDE4LTA2LTE5?hl=en-US&gl=US&ceid=US%3Aen
