title,datetime,link
Wadi Barada Resists Wave of Forced Displacement,2017-01-15 00:00:00,https://news.google.com/./articles/CBMiXWh0dHBzOi8vZW5nbGlzaC5lbmFiYmFsYWRpLm5ldC9hcmNoaXZlcy8yMDE3LzAxL3dhZGktYmFyYWRhLXJlc2lzdHMtd2F2ZS1mb3JjZWQtZGlzcGxhY2VtZW50L9IBYWh0dHBzOi8vZW5nbGlzaC5lbmFiYmFsYWRpLm5ldC9hcmNoaXZlcy8yMDE3LzAxL3dhZGktYmFyYWRhLXJlc2lzdHMtd2F2ZS1mb3JjZWQtZGlzcGxhY2VtZW50L2FtcC8?hl=en-US&gl=US&ceid=US%3Aen
The Formation of Zen Teachers | James Ford,2017-06-02 00:00:00,https://news.google.com/./articles/CBMiTGh0dHBzOi8vd3d3LnBhdGhlb3MuY29tL2Jsb2dzL21vbmtleW1pbmQvMjAxNy8wNi9mb3JtYXRpb24temVuLXRlYWNoZXJzLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
Jazeera Airways launches twice-a-week flights to Baku,2017-07-12 00:00:00,https://news.google.com/./articles/CBMiYmh0dHBzOi8vd3d3LmhvdGVsaWVybWlkZGxlZWFzdC5jb20vaG1lLzMxMTAxLWphemVlcmEtYWlyd2F5cy1sYXVuY2hlcy10d2ljZS1hLXdlZWstZmxpZ2h0cy10by1iYWt10gEA?hl=en-US&gl=US&ceid=US%3Aen
Zimbabwe: Victoria Falls Safari Lodge Wins Best Resort Hotel for 21 ...,2017-09-26 00:00:00,https://news.google.com/./articles/CBMiL2h0dHBzOi8vYWxsYWZyaWNhLmNvbS9zdG9yaWVzLzIwMTcwOTI2MDU3Mi5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
Sex-tourism in Azerbaijan: an Arabian summer,2017-09-12 00:00:00,https://news.google.com/./articles/CBMiQWh0dHBzOi8vamFtLW5ld3MubmV0L3NleC10b3VyaXNtLWluLWF6ZXJiYWlqYW4tYW4tYXJhYmlhbi1zdW1tZXIv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Diwali 2017 Calender With Dates Significance Of Diwali,2017-10-17 00:00:00,https://news.google.com/./articles/CBMiemh0dHBzOi8vd3d3LmFuZGhyYXdpc2hlc2guY29tL3NwaXJpdHVhbGl0eS81OTItZmVzdGl2YWxzLzU5ODQwLWRpd2FsaS0yMDE3LWNhbGVuZGVyLXdpdGgtZGF0ZXMtc2lnbmlmaWNhbmNlLW9mLWRpd2FsaS5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
Emirates declared Zimbabwe's favourite airline,2017-11-09 00:00:00,https://news.google.com/./articles/CBMiRWh0dHBzOi8vYnVsYXdheW8yNC5jb20vaW5kZXgtaWQtYnVzaW5lc3Mtc2MtY29tcGFuaWVzLWJ5by0xMjE1MTcuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Fitness star Carly Rowena reveals simple gym workout to get you in shape,2017-11-18 00:00:00,https://news.google.com/./articles/CBMif2h0dHBzOi8vd3d3LnRoZXN1bi5jby51ay91bmNhdGVnb3JpemVkLzQ5NDUwMDMvaW5zdGFncmFtLWZpdG5lc3Mtc3Rhci1jYXJseS1yb3dlbmEtYW5zd2Vycy1xdWVzdGlvbnMtcmUtc3RhcnRpbmctZ3ltLWxvdmUtYm9keS_SAYMBaHR0cHM6Ly93d3cudGhlc3VuLmNvLnVrL3VuY2F0ZWdvcml6ZWQvNDk0NTAwMy9pbnN0YWdyYW0tZml0bmVzcy1zdGFyLWNhcmx5LXJvd2VuYS1hbnN3ZXJzLXF1ZXN0aW9ucy1yZS1zdGFydGluZy1neW0tbG92ZS1ib2R5L2FtcC8?hl=en-US&gl=US&ceid=US%3Aen
Azerbaijanis once again chose Georgia for New Year holidays:...,2017-12-22 00:00:00,https://news.google.com/./articles/CBMiXmh0dHBzOi8vbWVuYWZuLmNvbS8xMDk2MjY1MTA2L0F6ZXJiYWlqYW5pcy1vbmNlLWFnYWluLWNob3NlLUdlb3JnaWEtZm9yLU5ldy1ZZWFyLWhvbGlkYXlzLUFaVEHSAQA?hl=en-US&gl=US&ceid=US%3Aen
Brooks Automation (BRKS) Presents At Needham & Co. 20th Annual ...,2018-01-18 00:00:00,https://news.google.com/./articles/CBMif2h0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQxMzg0NDgtYnJvb2tzLWF1dG9tYXRpb24tYnJrcy1wcmVzZW50cy1uZWVkaGFtLWFuZC1jby0yMHRoLWFubnVhbC1ncm93dGgtY29uZmVyZW5jZS1zbGlkZXNob3fSAQA?hl=en-US&gl=US&ceid=US%3Aen
