title,datetime,link
The shadows of Swat’s past continue to haunt its music industry,2017-12-04 00:00:00,https://news.google.com/./articles/CBMiUmh0dHBzOi8vZGFpbHl0aW1lcy5jb20ucGsvMTUxOTkwL3NoYWRvd3Mtc3dhdHMtcGFzdC1jb250aW51ZS1oYXVudC1tdXNpYy1pbmR1c3RyeS_SAVZodHRwczovL2RhaWx5dGltZXMuY29tLnBrLzE1MTk5MC9zaGFkb3dzLXN3YXRzLXBhc3QtY29udGludWUtaGF1bnQtbXVzaWMtaW5kdXN0cnkvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen
Swat duo determined to pursue singing as career,2018-04-04 00:00:00,https://news.google.com/./articles/CBMiIWh0dHBzOi8vd3d3LmRhd24uY29tL25ld3MvMTM5OTQwNtIBAA?hl=en-US&gl=US&ceid=US%3Aen
July | 2018,2018-07-30 00:00:00,https://news.google.com/./articles/CBMiIGh0dHBzOi8vdmV0dGluZ3Jvb20ub3JnLzIwMTgvMDcv0gEA?hl=en-US&gl=US&ceid=US%3Aen
THEATRE REVIEW: the Theater Barn's 'Spelling Bee' is lively ...,2018-08-28 00:00:00,https://news.google.com/./articles/CBMicGh0dHBzOi8vdGhlYmVya3NoaXJlZWRnZS5jb20vdGhlYXRyZS1yZXZpZXctdGhlLXRoZWF0ZXItYmFybnMtc3BlbGxpbmctYmVlLWlzLWxpdmVseS1lbnRyYW5jaW5nLXBsYXlzLXBlcmZlY3RseS_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Voices that succumbed...,2018-10-30 00:00:00,https://news.google.com/./articles/CBMiRGh0dHBzOi8vd3d3LnRoZW5ld3MuY29tLnBrL21hZ2F6aW5lL3lvdS8zODYyMjctdm9pY2VzLXRoYXQtc3VjY3VtYmVk0gEA?hl=en-US&gl=US&ceid=US%3Aen
Banner Bank Names Kenneth W. Johnson Executive Vice President ...,2018-11-05 00:00:00,https://news.google.com/./articles/CBMihAFodHRwczovL3d3dy5idXNpbmVzc3dpcmUuY29tL25ld3MvaG9tZS8yMDE4MTEwNTAwNjAyNy9lbi9CYW5uZXItQmFuay1OYW1lcy1LZW5uZXRoLVcuLUpvaG5zb24tRXhlY3V0aXZlLVZpY2UtUHJlc2lkZW50LW9mLU9wZXJhdGlvbnPSAQA?hl=en-US&gl=US&ceid=US%3Aen
Dance of Death,2019-03-01 00:00:00,https://news.google.com/./articles/CBMiNWh0dHBzOi8vbmV3c2xpbmVtYWdhemluZS5jb20vbWFnYXppbmUvZGFuY2Utb2YtZGVhdGgv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Pashto singer shot dead by husband - Pakistan - DAWN.COM,2019-05-08 00:00:00,https://news.google.com/./articles/CBMiIWh0dHBzOi8vd3d3LmRhd24uY29tL25ld3MvMTQ4MDk0NNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Another Pashto singer-dancer allegedly shot dead by husband,2019-05-08 00:00:00,https://news.google.com/./articles/CBMiXWh0dHBzOi8vdHJpYnVuZS5jb20ucGsvc3RvcnkvMTk2ODgxOC9hbm90aGVyLXBhc2h0by1zaW5nZXItZGFuY2VyLWFsbGVnZWRseS1zaG90LWRlYWQtaHVzYmFuZNIBY2h0dHBzOi8vdHJpYnVuZS5jb20ucGsvc3RvcnkvMTk2ODgxOC9hbm90aGVyLXBhc2h0by1zaW5nZXItZGFuY2VyLWFsbGVnZWRseS1zaG90LWRlYWQtaHVzYmFuZD9hbXA9MQ?hl=en-US&gl=US&ceid=US%3Aen
Dutee Chand Is The Queer Icon That India Needs Today,2019-05-23 00:00:00,https://news.google.com/./articles/CBMiSWh0dHBzOi8vZmVtaW5pc21pbmluZGlhLmNvbS8yMDE5LzA1LzIzL2R1dGVlLWNoYW5kLXNhbWUtc2V4LXJlbGF0aW9uc2hpcC_SAU1odHRwczovL2ZlbWluaXNtaW5pbmRpYS5jb20vMjAxOS8wNS8yMy9kdXRlZS1jaGFuZC1zYW1lLXNleC1yZWxhdGlvbnNoaXAvP2FtcA?hl=en-US&gl=US&ceid=US%3Aen
Banner Corporation to Acquire California-Focused AltaPacific Bancorp,2019-07-24 00:00:00,https://news.google.com/./articles/CBMikgFodHRwczovL3d3dy5nbG9iZW5ld3N3aXJlLmNvbS9lbi9uZXdzLXJlbGVhc2UvMjAxOS8wNy8yNC8xODg3NjE0LzgzNTYvZW4vQmFubmVyLUNvcnBvcmF0aW9uLXRvLUFjcXVpcmUtQ2FsaWZvcm5pYS1Gb2N1c2VkLUFsdGFQYWNpZmljLUJhbmNvcnAuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
"Another Pashto singer killed in Pakistan's SWAT, police say accused ...",2019-08-31 00:00:00,https://news.google.com/./articles/CBMie2h0dHBzOi8vemVlbmV3cy5pbmRpYS5jb20vYW5vdGhlci1wYXNodG8tc2luZ2VyLWtpbGxlZC1pbi1wYWtpc3RhbnMtc3dhdC1wb2xpY2Utc2F5LWFjY3VzZWQtYnJvdGhlci1hYnNjb25kaW5nLTIyMzExMTcuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Form N-PX BRIDGEWAY FUNDS INC For: Jun 30,2019-08-16 00:00:00,https://news.google.com/./articles/CBMiY2h0dHBzOi8vd3d3LnN0cmVldGluc2lkZXIuY29tL1NFQytGaWxpbmdzL0Zvcm0rTi1QWCtCUklER0VXQVkrRlVORFMrSU5DK0ZvciUzQStKdW4rMzAvMTU4Mjg0OTQuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
"Torna la sagra de ""L'Anara Pitanara"" a Tarmassia",2019-09-03 00:00:00,https://news.google.com/./articles/CBMiTmh0dHBzOi8vd3d3LmNyb25hY2FkaXZlcm9uYS5jb20vdG9ybmEtbGEtc2FncmEtZGUtbGFuYXJhLXBpdGFuYXJhLWEtdGFybWFzc2lhL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Individuality floods the streets for Richmond Fall Fashion Weekend ...,2019-10-15 00:00:00,https://news.google.com/./articles/CBMiZ2h0dHBzOi8vY29tbW9ud2VhbHRodGltZXMub3JnLzIwMTkvMTAvMTUvaW5kaXZpZHVhbGl0eS1mbG9vZHMtdGhlLXN0cmVldHMtZm9yLXJpY2htb25kLWZhc2hpb24td2Vla2VuZC_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Swat valley's Mastij Lake is a piece right out of heaven,2019-10-11 00:00:00,https://news.google.com/./articles/CBMiIWh0dHBzOi8vd3d3LmRhd24uY29tL25ld3MvMTUwMTYzMdIBAA?hl=en-US&gl=US&ceid=US%3Aen
Babur Bagh in Kabul reminds visitors of past glory,2019-10-03 00:00:00,https://news.google.com/./articles/CBMiUGh0dHBzOi8vbWVuYWZuLmNvbS8xMDk5MDgxMjU5L0JhYnVyLUJhZ2gtaW4tS2FidWwtcmVtaW5kcy12aXNpdG9ycy1vZi1wYXN0LWdsb3J50gEA?hl=en-US&gl=US&ceid=US%3Aen
Artists in Swat vow to stick to profession despite odds,2019-11-18 00:00:00,https://news.google.com/./articles/CBMiIWh0dHBzOi8vd3d3LmRhd24uY29tL25ld3MvMTUxNzM5NdIBAA?hl=en-US&gl=US&ceid=US%3Aen
Drug addicts shifted to rehabilitation centre in Mingora,2019-11-06 00:00:00,https://news.google.com/./articles/CBMiIWh0dHBzOi8vd3d3LmRhd24uY29tL25ld3MvMTUxNTEzOdIBAA?hl=en-US&gl=US&ceid=US%3Aen
