title,datetime,link
"Inspired by a whirligig toy, bioengineers develop a 20-cent, hand ...",2017-01-10 00:00:00,https://news.google.com/./articles/CBMibmh0dHBzOi8vbmV3cy5zdGFuZm9yZC5lZHUvMjAxNy8wMS8xMC93aGlybGlnaWctdG95LWJpb2VuZ2luZWVycy1kZXZlbG9wLTIwLWNlbnQtaGFuZC1wb3dlcmVkLWJsb29kLWNlbnRyaWZ1Z2Uv0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Stanford bioengineers develop a 20-cent, hand-powered blood ...",2017-01-10 00:00:00,https://news.google.com/./articles/CBMicGh0dHBzOi8vc2NvcGVibG9nLnN0YW5mb3JkLmVkdS8yMDE3LzAxLzEwL3N0YW5mb3JkLWJpb2VuZ2luZWVycy1kZXZlbG9wLWEtMjAtY2VudC1oYW5kLXBvd2VyZWQtYmxvb2QtY2VudHJpZnVnZS_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Scientists turn toy into a 20-cent blood centrifuge,2017-01-11 00:00:00,https://news.google.com/./articles/CBMiOWh0dHBzOi8vbmV3YXRsYXMuY29tL3N0YW5mb3JkLXRveS1jZW50cmlmdWdlLWJsb29kLzQ3MzI3L9IBAA?hl=en-US&gl=US&ceid=US%3Aen
How China’s 50 Cent Party Trolls by Distraction,2017-01-27 00:00:00,https://news.google.com/./articles/CBMiVmh0dHBzOi8vd3d3LnRoZWF0bGFudGljLmNvbS90ZWNobm9sb2d5L2FyY2hpdmUvMjAxNy8wMS90cm9sbGluZy1ieS1kaXN0cmFjdGlvbi81MTQ1ODkv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Latest Copper 1983-D Cent a Mystery,2017-01-06 00:00:00,https://news.google.com/./articles/CBMiSGh0dHBzOi8vd3d3Lm51bWlzbWF0aWNuZXdzLm5ldC9hcmNoaXZlL2xhdGVzdC1jb3BwZXItMTk4My1kLWNlbnQtbXlzdGVyedIBTWh0dHBzOi8vd3d3Lm51bWlzbWF0aWNuZXdzLm5ldC8uYW1wL2FyY2hpdmUvbGF0ZXN0LWNvcHBlci0xOTgzLWQtY2VudC1teXN0ZXJ5?hl=en-US&gl=US&ceid=US%3Aen
One 1997 Lincoln cent recently sold for $763. Here's why.,2017-01-13 00:00:00,https://news.google.com/./articles/CBMidGh0dHBzOi8vd3d3LmNvaW53b3JsZC5jb20vbmV3cy91cy1jb2lucy8xOTk3LWxpbmNvbG4tY2VudC1oaWdoLWdyYWRlLXJlZC1wY2dzLWhlcml0YWdlLWF1Y3Rpb25zLW1hcmtldC1hbmFseXNpcy5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Paperfuge: 20-cent, toy-inspired tool helps diagnose disease",2017-01-16 00:00:00,https://news.google.com/./articles/CBMiUmh0dHBzOi8vd3d3LmNubi5jb20vMjAxNy8wMS8xNi9oZWFsdGgvcGFwZXJmdWdlLXdoaXJsaWdpZy1kaXNlYXNlLXN0dWR5L2luZGV4Lmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
There is no 1959-D Lincoln cent is graded higher than this one,2017-01-16 00:00:00,https://news.google.com/./articles/CBMiX2h0dHBzOi8vd3d3LmNvaW53b3JsZC5jb20vbmV3cy91cy1jb2lucy8xOTU5LWQtbGluY29sbi1jZW50LWhpZ2hlc3QtZ3JhZGVkLW1hcmtldC1hbmFseXNpcy5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
Chicago's 7-Cent Bag Tax to Start Feb. 1 | Chicago News | WTTW,2017-01-31 00:00:00,https://news.google.com/./articles/CBMiRWh0dHBzOi8vbmV3cy53dHR3LmNvbS8yMDE3LzAxLzMxL2NoaWNhZ28tcy03LWNlbnQtYmFnLXRheC1zdGFydC1mZWItMdIBAA?hl=en-US&gl=US&ceid=US%3Aen
Teen arrested for allegedly stealing 65-cent milk at school will not ...,2017-01-12 00:00:00,https://news.google.com/./articles/CBMiuwFodHRwczovL3d3dy53YXNoaW5ndG9ucG9zdC5jb20vbG9jYWwvZWR1Y2F0aW9uL3RlZW4tYXJyZXN0ZWQtZm9yLWFsbGVnZWRseS1zdGVhbGluZy02NS1jZW50LW1pbGstYXQtc2Nob29sLXdpbGwtbm90LWZhY2UtY2hhcmdlcy8yMDE3LzAxLzEyLzlkM2ZlZjA4LWQ4ZjEtMTFlNi1iOGIyLWNiNTE2NGJlYmE2Yl9zdG9yeS5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
Bracco's Reopens After Fight Following 50 Cent Show Closed ...,2017-01-17 00:00:00,https://news.google.com/./articles/CBMidGh0dHBzOi8vcGF0Y2guY29tL25ldy15b3JrL2ZyZWVwb3J0L2JyYWNjb3MtcmVvcGVucy1hZnRlci1maWdodC1mb2xsb3dpbmctNTAtY2VudC1zaG93LWNsb3NlZC1yZXN0YXVyYW50LWZpdmUtbW9udGhz0gEA?hl=en-US&gl=US&ceid=US%3Aen
Thrill of the hunt pays off at Goodwill's 99-cent outlet store,2017-01-19 00:00:00,https://news.google.com/./articles/CBMibmh0dHBzOi8vd3d3LnRlbm5lc3NlYW4uY29tL3N0b3J5L2xpZmUvMjAxNy8wMS8xOS90aHJpbGwtaHVudC1wYXlzLW9mZi1nb29kd2lsbHMtOTktY2VudC1vdXRsZXQtc3RvcmUvOTY2MzUwNzIv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Stretchy robotic suit reduces energy used to walk by 23 per cent,2017-01-18 00:00:00,https://news.google.com/./articles/CBMibmh0dHBzOi8vd3d3Lm5ld3NjaWVudGlzdC5jb20vYXJ0aWNsZS8yMTE4Mzk4LXN0cmV0Y2h5LXJvYm90aWMtc3VpdC1yZWR1Y2VzLWVuZXJneS11c2VkLXRvLXdhbGstYnktMjMtcGVyLWNlbnQv0gEA?hl=en-US&gl=US&ceid=US%3Aen
"This 20-cent whirligig toy can replace a $1,000 medical centrifuge",2017-01-10 00:00:00,https://news.google.com/./articles/CBMiY2h0dHBzOi8vdGVjaGNydW5jaC5jb20vMjAxNy8wMS8xMC90aGlzLTIwLWNlbnQtd2hpcmxpZ2lnLXRveS1jYW4tcmVwbGFjZS1hLTEwMDAtbWVkaWNhbC1jZW50cmlmdWdlL9IBZ2h0dHBzOi8vdGVjaGNydW5jaC5jb20vMjAxNy8wMS8xMC90aGlzLTIwLWNlbnQtd2hpcmxpZ2lnLXRveS1jYW4tcmVwbGFjZS1hLTEwMDAtbWVkaWNhbC1jZW50cmlmdWdlL2FtcC8?hl=en-US&gl=US&ceid=US%3Aen
"Great Food Finds: Baiz's 99-cent bags of pita in Phoenix, Mesa",2017-01-27 00:00:00,https://news.google.com/./articles/CBMieWh0dHBzOi8vd3d3LmF6Y2VudHJhbC5jb20vc3RvcnkvZW50ZXJ0YWlubWVudC9kaW5pbmcvMjAxNy8wMS8yNy9ncmVhdC1mb29kLWZpbmRzLWJhaXotbWFya2V0LXBsYWNlLXBob2VuaXgtbWVzYS85Mjc5NTQ2NC_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Over 40 per cent of Syrian refugee children in Turkey missing out on ...,2017-01-19 00:00:00,https://news.google.com/./articles/CBMid2h0dHBzOi8vd3d3LnVuaWNlZi5vcmcvcHJlc3MtcmVsZWFzZXMvb3Zlci00MC1jZW50LXN5cmlhbi1yZWZ1Z2VlLWNoaWxkcmVuLXR1cmtleS1taXNzaW5nLW91dC1lZHVjYXRpb24tZGVzcGl0ZS1tYXNzaXZl0gEA?hl=en-US&gl=US&ceid=US%3Aen
