title,datetime,link
Rapid7: The Trump Cyber Security Trade (NASDAQ:RPD),2017-01-23 00:00:00,https://news.google.com/./articles/CBMiSmh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQwMzg3NzgtcmFwaWQ3LXRydW1wLWN5YmVyLXNlY3VyaXR5LXRyYWRl0gEA?hl=en-US&gl=US&ceid=US%3Aen
Check Point Software Technologies Reports 2016 Fourth Quarter ...,2017-01-19 00:00:00,https://news.google.com/./articles/CBMidmh0dHBzOi8vd3d3LmNoZWNrcG9pbnQuY29tL3ByZXNzLzIwMTcvY2hlY2stcG9pbnQtc29mdHdhcmUtdGVjaG5vbG9naWVzLXJlcG9ydHMtMjAxNi1mb3VydGgtcXVhcnRlci1maW5hbmNpYWwtcmVzdWx0cy_SAQA?hl=en-US&gl=US&ceid=US%3Aen
FireEye: Does The Sandbox Dominance End In 2017? (NASDAQ ...,2017-01-09 00:00:00,https://news.google.com/./articles/CBMiTmh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQwMzUyMDktZmlyZWV5ZS1zYW5kYm94LWRvbWluYW5jZS1lbmQtaW4tMjAxN9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Ukrainian T-Rex Next-Gen MBT To Compete With Russian T-14 ...,2017-01-23 00:00:00,https://news.google.com/./articles/CBMibWh0dHBzOi8vd3d3LmRlZmVuc2V3b3JsZC5uZXQvMjAxNy8wMS8yMy91a3JhaW5pYW4tdC1yZXgtbmV4dC1nZW4tbWJ0LXRvLWNvbXBldGUtd2l0aC1ydXNzaWFuLXQtMTQtYXJtYXRhLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
Check Point President Amnon Bar-Lev Recognized as 2017 CRN ...,2017-02-20 00:00:00,https://news.google.com/./articles/CBMigwFodHRwczovL3d3dy5jaGVja3BvaW50LmNvbS9wcmVzcy8yMDE3L2NoZWNrLXBvaW50LXByZXNpZGVudC1hbW5vbi1iYXItbGV2LXJlY29nbml6ZWQtMjAxNy1jcm4tY2hhbm5lbC1jaGllZi10ZW50aC1jb25zZWN1dGl2ZS15ZWFyL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Israeli cyber security co IntSights raises $15m,2017-02-13 00:00:00,https://news.google.com/./articles/CBMiXGh0dHBzOi8vZW4uZ2xvYmVzLmNvLmlsL2VuL2FydGljbGUtaXNyYWVsaS1jeWJlci1zZWN1cml0eS1jby1pbnRzaWdodHMtcmFpc2VzLTE1bS0xMDAxMTc2ODY50gEA?hl=en-US&gl=US&ceid=US%3Aen
Cybersecurity: Best Companies For Investment,2017-03-07 00:00:00,https://news.google.com/./articles/CBMiVGh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQwNTI1MzAtY3liZXJzZWN1cml0eS1iZXN0LWNvbXBhbmllcy1mb3ItaW52ZXN0bWVudNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Check Point Discloses How Hackers Can Take over Hundreds of ...,2017-03-16 00:00:00,https://news.google.com/./articles/CBMiggFodHRwczovL3d3dy5jaGVja3BvaW50LmNvbS9wcmVzcy8yMDE3L2NoZWNrLXBvaW50LWRpc2Nsb3Nlcy1oYWNrZXJzLWNhbi10YWtlLWh1bmRyZWRzLW1pbGxpb25zLXdoYXRzYXBwLXRlbGVncmFtLWFjY291bnRzLXNlY29uZHMv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Israel's luxury home prices falling - Globes,2017-03-08 00:00:00,https://news.google.com/./articles/CBMiSGh0dHBzOi8vZW4uZ2xvYmVzLmNvLmlsL2VuL2FydGljbGUtbHV4dXJ5LWhvbWUtcHJpY2VzLWZhbGxpbmctMTAwMTE4MDE1NNIBAA?hl=en-US&gl=US&ceid=US%3Aen
S&P 500 survives test of 50-day average amid technical cross currents,2017-03-28 00:00:00,https://news.google.com/./articles/CBMibmh0dHBzOi8vd3d3Lm1hcmtldHdhdGNoLmNvbS9zdG9yeS9zcC01MDAtc3Vydml2ZXMtdGVzdC1vZi01MC1kYXktYXZlcmFnZS1hbWlkLW1hcmtldC1jcm9zcy1jdXJyZW50cy0yMDE3LTAzLTI40gFyaHR0cHM6Ly93d3cubWFya2V0d2F0Y2guY29tL2FtcC9zdG9yeS9zcC01MDAtc3Vydml2ZXMtdGVzdC1vZi01MC1kYXktYXZlcmFnZS1hbWlkLW1hcmtldC1jcm9zcy1jdXJyZW50cy0yMDE3LTAzLTI4?hl=en-US&gl=US&ceid=US%3Aen
