title,datetime,link
AutoZone: No Threat From Amazon (NYSE:AZO),2017-01-24 00:00:00,https://news.google.com/./articles/CBMiR2h0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQwMzg4OTktYXV0b3pvbmUtbm8tdGhyZWF0LWZyb20tYW1hem9u0gEA?hl=en-US&gl=US&ceid=US%3Aen
CashForCars.com Supports the Fight Against Breast Cancer with ...,2017-01-03 00:00:00,https://news.google.com/./articles/CBMiOGh0dHBzOi8vd3d3LnByd2ViLmNvbS9yZWxlYXNlcy8yMDE3LzAxL3Byd2ViMTM5NTQyNTUuaHRt0gEA?hl=en-US&gl=US&ceid=US%3Aen
Copart Announces Purchase of Its 14th Location in Florida,2017-03-07 00:00:00,https://news.google.com/./articles/CBMicWh0dHBzOi8vd3d3LnBybmV3c3dpcmUuY29tL25ld3MtcmVsZWFzZXMvY29wYXJ0LWFubm91bmNlcy1wdXJjaGFzZS1vZi1pdHMtMTR0aC1sb2NhdGlvbi1pbi1mbG9yaWRhLTMwMDQxODc2Ni5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
Copart and Al Ahlia Insurance Sign Strategic Agreement,2017-04-02 00:00:00,https://news.google.com/./articles/CBMiVGh0dHBzOi8vbWVuYWZuLmNvbS8xMDk1MzY0MDg0L0NvcGFydC1hbmQtQWwtQWhsaWEtSW5zdXJhbmNlLVNpZ24tU3RyYXRlZ2ljLUFncmVlbWVudNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Budget Gimmicks Increase Federal Spending and Mask True Costs ...,2017-07-26 00:00:00,https://news.google.com/./articles/CBMicWh0dHBzOi8vd3d3Lmhlcml0YWdlLm9yZy9idWRnZXQtYW5kLXNwZW5kaW5nL3JlcG9ydC9idWRnZXQtZ2ltbWlja3MtaW5jcmVhc2UtZmVkZXJhbC1zcGVuZGluZy1hbmQtbWFzay10cnVlLWNvc3Rz0gEA?hl=en-US&gl=US&ceid=US%3Aen
Copart Expands Its Locations Near Little Rock and Fayettevil...,2017-08-22 00:00:00,https://news.google.com/./articles/CBMiZWh0dHBzOi8vbWVuYWZuLmNvbS8xMDk1NzU5ODMzL0NvcGFydC1FeHBhbmRzLUl0cy1Mb2NhdGlvbnMtTmVhci1MaXR0bGUtUm9jay1hbmQtRmF5ZXR0ZXZpbGxlLUFya2Fuc2Fz0gEA?hl=en-US&gl=US&ceid=US%3Aen
Pakistani community raise smiles and money for two charities,2017-10-13 00:00:00,https://news.google.com/./articles/CBMiYGh0dHBzOi8vd3d3LmdyaW1zYnl0ZWxlZ3JhcGguY28udWsvbmV3cy9sb2NhbC1uZXdzL3Bha2lzdGFuaS1jb21tdW5pdHktcmFpc2Utc21pbGVzLW1vbmV5LTU4MzQ0M9IBZGh0dHBzOi8vd3d3LmdyaW1zYnl0ZWxlZ3JhcGguY28udWsvbmV3cy9sb2NhbC1uZXdzL3Bha2lzdGFuaS1jb21tdW5pdHktcmFpc2Utc21pbGVzLW1vbmV5LTU4MzQ0My5hbXA?hl=en-US&gl=US&ceid=US%3Aen
"Copart Announces Expansion of Its Phoenix, Arizona Location",2017-11-02 00:00:00,https://news.google.com/./articles/CBMicmh0dHBzOi8vd3d3LnBybmV3c3dpcmUuY29tL25ld3MtcmVsZWFzZXMvY29wYXJ0LWFubm91bmNlcy1leHBhbnNpb24tb2YtaXRzLXBob2VuaXgtYXJpem9uYS1sb2NhdGlvbi0zMDA1NDQ5ODMuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Tracking Allan Mecham's Arlington Value Capital Portfolio - Q3 2017 ...,2017-11-24 00:00:00,https://news.google.com/./articles/CBMicGh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQxMjc0NDUtdHJhY2tpbmctYWxsYW4tbWVjaGFtcy1hcmxpbmd0b24tdmFsdWUtY2FwaXRhbC1wb3J0Zm9saW8tcTMtMjAxNy11cGRhdGXSAQA?hl=en-US&gl=US&ceid=US%3Aen
Reform the Budget Control Act Spending Caps,2017-11-01 00:00:00,https://news.google.com/./articles/CBMiX2h0dHBzOi8vd3d3Lmhlcml0YWdlLm9yZy9idWRnZXQtYW5kLXNwZW5kaW5nL3JlcG9ydC9yZWZvcm0tdGhlLWJ1ZGdldC1jb250cm9sLWFjdC1zcGVuZGluZy1jYXBz0gEA?hl=en-US&gl=US&ceid=US%3Aen
