title,datetime,link
Target Is a Seesaw for Anxious Investors,2017-02-27 00:00:00,https://news.google.com/./articles/CBMib2h0dHBzOi8vbW9uZXkudXNuZXdzLmNvbS9pbnZlc3RpbmcvYXJ0aWNsZXMvMjAxNy0wMi0yNy90YXJnZXQtY29ycG9yYXRpb24tdGd0LWlzLWEtc2Vlc2F3LWZvci1hbnhpb3VzLWludmVzdG9yc9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Dollarama: I Would Not Touch It With A 10-Foot Pole (OTCMKTS ...,2017-03-16 00:00:00,https://news.google.com/./articles/CBMiS2h0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQwNTU5MDktZG9sbGFyYW1hLWktbm90LXRvdWNoLTEwLWZvb3QtcG9sZdIBAA?hl=en-US&gl=US&ceid=US%3Aen
15 companies with outsized sales growth and widening profit margins,2017-04-07 00:00:00,https://news.google.com/./articles/CBMicGh0dHBzOi8vd3d3Lm1hcmtldHdhdGNoLmNvbS9zdG9yeS8xNS1jb21wYW5pZXMtd2l0aC1vdXRzaXplZC1zYWxlcy1ncm93dGgtYW5kLXdpZGVuaW5nLXByb2ZpdC1tYXJnaW5zLTIwMTctMDQtMDXSAXRodHRwczovL3d3dy5tYXJrZXR3YXRjaC5jb20vYW1wL3N0b3J5LzE1LWNvbXBhbmllcy13aXRoLW91dHNpemVkLXNhbGVzLWdyb3d0aC1hbmQtd2lkZW5pbmctcHJvZml0LW1hcmdpbnMtMjAxNy0wNC0wNQ?hl=en-US&gl=US&ceid=US%3Aen
"Dollar General agrees to buy Dollar Express stores, which will close ...",2017-04-10 00:00:00,https://news.google.com/./articles/CBMiaGh0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9ob3VzdG9uL25ld3MvMjAxNy8wNC8xMC9kb2xsYXItZXhwcmVzcy1wbGFucy10by1jbG9zZS1zdG9yZXMtaW4taG91c3Rvbi5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Johnson County (no, not that one) lands $110M Dollar Tree facility ...",2017-04-18 00:00:00,https://news.google.com/./articles/CBMibGh0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9rYW5zYXNjaXR5L25ld3MvMjAxNy8wNC8xOC9qb2huc29uLWNvdW50eS1uby1ub3QtdGhhdC1vbmUtbGFuZHMtMTEwbS1kb2xsYXIuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
FTC allows Sycamore to sell Family Dollar stores to Dollar General,2017-04-27 00:00:00,https://news.google.com/./articles/CBMiSmh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvdXMtZmFtaWx5ZG9sbGFyLWZ0Yy1zeWNhbW9yZS1pZFVLS0JOMTdUMzVa0gEA?hl=en-US&gl=US&ceid=US%3Aen
Sell These 5 'Dead Money' Dividend Aristocrats Today,2017-04-01 00:00:00,https://news.google.com/./articles/CBMiZmh0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvYnJldHRvd2Vucy8yMDE3LzA0LzAxL3NlbGwtdGhlc2UtNS1kZWFkLW1vbmV5LWRpdmlkZW5kLWFyaXN0b2NyYXRzLXRvZGF5L9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Family Dollar to layoff 60 as it closes stores,2017-04-07 00:00:00,https://news.google.com/./articles/CBMiamh0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9zdGxvdWlzL25ld3MvMjAxNy8wNC8wNy9mYW1pbHktZG9sbGFyLXBhcmVudC10by1lbGltaW5hdGUtNjAtc3QtbG91aXNqb2JzLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
Should Ulta Beauty Split Its Stock? - Ulta Beauty (NASDAQ:ULTA),2017-04-10 00:00:00,https://news.google.com/./articles/CBMiZ2h0dHBzOi8vd3d3LmJlbnppbmdhLmNvbS9hbmFseXN0LXJhdGluZ3MvYW5hbHlzdC1jb2xvci8xNy8wNC85MjgyODMwL3Nob3VsZC11bHRhLWJlYXV0eS1zcGxpdC1pdHMtc3RvY2vSASxodHRwczovL3d3dy5iZW56aW5nYS5jb20vYW1wL2NvbnRlbnQvOTI4MjgzMA?hl=en-US&gl=US&ceid=US%3Aen
How eating less meat could save you more money,2017-04-28 00:00:00,https://news.google.com/./articles/CBMiW2h0dHBzOi8vd3d3Lm1hcmtldHdhdGNoLmNvbS9zdG9yeS9ob3ctZWF0aW5nLWxlc3MtbWVhdC1jb3VsZC1zYXZlLXlvdS1tb3JlLW1vbmV5LTIwMTctMDQtMTnSAV9odHRwczovL3d3dy5tYXJrZXR3YXRjaC5jb20vYW1wL3N0b3J5L2hvdy1lYXRpbmctbGVzcy1tZWF0LWNvdWxkLXNhdmUteW91LW1vcmUtbW9uZXktMjAxNy0wNC0xOQ?hl=en-US&gl=US&ceid=US%3Aen
"A Snapshot of Dollar General, America's Largest Dollar Store Chain",2017-04-17 00:00:00,https://news.google.com/./articles/CBMiY2h0dHBzOi8vbWFya2V0cmVhbGlzdC5jb20vMjAxNy8wNC9hLXNuYXBzaG90LW9mLWRvbGxhci1nZW5lcmFsLWFtZXJpY2FzLWxhcmdlc3QtZG9sbGFyLXN0b3JlLWNoYWluL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Dollar Tree comparable sales miss on tax refund delays,2017-05-25 00:00:00,https://news.google.com/./articles/CBMiRGh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvdXMtZG9sbGFyLXRyZWUtcmVzdWx0cy1pZFVTS0JOMThMMUlP0gEA?hl=en-US&gl=US&ceid=US%3Aen
Dollar General: Recession-Proof Business At A Fair Price (NYSE:DG),2017-05-08 00:00:00,https://news.google.com/./articles/CBMiW2h0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQwNzA3NDEtZG9sbGFyLWdlbmVyYWwtcmVjZXNzaW9uLXByb29mLWJ1c2luZXNzLWZhaXItcHJpY2XSAQA?hl=en-US&gl=US&ceid=US%3Aen
The Industries That Grew In The '08 Recession Are (Not Surprisingly ...,2017-05-30 00:00:00,https://news.google.com/./articles/CBMiZmh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQwNzc0MjItaW5kdXN0cmllcy1ncmV3LWluLTA4LXJlY2Vzc2lvbi1hcmUtbm90LXN1cnByaXNpbmdseS13ZWxsLW5vd9IBAA?hl=en-US&gl=US&ceid=US%3Aen
20 Years In The Coca-Cola DRIP (NYSE:KO),2017-05-09 00:00:00,https://news.google.com/./articles/CBMiQ2h0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQwNzEyNjctMjAteWVhcnMtaW4tY29jYS1jb2xhLWRyaXDSAQA?hl=en-US&gl=US&ceid=US%3Aen
Dollar Tree's plans to expand in Canada seen as risky,2017-06-15 00:00:00,https://news.google.com/./articles/CBMiRWh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvdXMtZG9sbGFyLXRyZWUtc3RyYXRlZ3ktaWRVU0tCTjE5NjJKVdIBAA?hl=en-US&gl=US&ceid=US%3Aen
Dollarama Inc. Is About to Have More Competition,2017-06-02 00:00:00,https://news.google.com/./articles/CBMiT2h0dHBzOi8vY2EuZmluYW5jZS55YWhvby5jb20vbmV3cy9kb2xsYXJhbWEtaW5jLW1vcmUtY29tcGV0aXRpb24tMTI1OTQwMTY2Lmh0bWzSAVdodHRwczovL2NhLmZpbmFuY2UueWFob28uY29tL2FtcGh0bWwvbmV3cy9kb2xsYXJhbWEtaW5jLW1vcmUtY29tcGV0aXRpb24tMTI1OTQwMTY2Lmh0bWw?hl=en-US&gl=US&ceid=US%3Aen
"Even as Competitive Pressures Rise, Dollar Tree Keeps Its Edge",2017-06-26 00:00:00,https://news.google.com/./articles/CBMiaWh0dHBzOi8vd3d3Lm1vcm5pbmdzdGFyLmNvbS9hcnRpY2xlcy84MTM2OTIvZXZlbi1hcy1jb21wZXRpdGl2ZS1wcmVzc3VyZXMtcmlzZS1kb2xsYXItdHJlZS1rZWVwcy1pdHMtZWRnZdIBAA?hl=en-US&gl=US&ceid=US%3Aen
Dollar Express sues Dollar Tree for driving it out of business,2017-06-02 00:00:00,https://news.google.com/./articles/CBMiUmh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvdXMtZG9sbGFyLXRyZWUtbGF3c3VpdC1kb2xsYXJleHByZXNzLWlkVVNLQk4xOFQzMFrSAQA?hl=en-US&gl=US&ceid=US%3Aen
Costco (COST) Is the Biggest Amazon-Whole Foods Loser,2017-06-16 00:00:00,https://news.google.com/./articles/CBMia2h0dHBzOi8vaW52ZXN0b3JwbGFjZS5jb20vMjAxNy8wNi9jb3N0Y28td2hvbGVzYWxlLWNvcnBvcmF0aW9uLWNvc3Qtc3RvY2staXMtdGhlLWJpZ2dlc3Qtd2hvbGUtZm9vZHMtbG9zZXIv0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Should You Buy Realty Income Corp (O) Stock? 3 Pros, 3 Cons",2017-06-06 00:00:00,https://news.google.com/./articles/CBMiWmh0dHBzOi8vaW52ZXN0b3JwbGFjZS5jb20vMjAxNy8wNi9zaG91bGQteW91LWJ1eS1yZWFsdHktaW5jb21lLWNvcnAtby1zdG9jay0zLXByb3MtMy1jb25zL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
20 Most Popular Stores in America,2017-06-28 00:00:00,https://news.google.com/./articles/CBMiUmh0dHBzOi8vMjQ3d2FsbHN0LmNvbS9zcGVjaWFsLXJlcG9ydC8yMDE3LzA2LzI4LzIwLW1vc3QtcG9wdWxhci1zdG9yZXMtaW4tYW1lcmljYS_SAVZodHRwczovLzI0N3dhbGxzdC5jb20vc3BlY2lhbC1yZXBvcnQvMjAxNy8wNi8yOC8yMC1tb3N0LXBvcHVsYXItc3RvcmVzLWluLWFtZXJpY2EvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen
Biggest Bear Market of the Century Is Still on the Calendar,2017-07-28 00:00:00,https://news.google.com/./articles/CBMiXmh0dHBzOi8vcmVhbG1vbmV5LnRoZXN0cmVldC5jb20vYXJ0aWNsZXMvMDcvMjgvMjAxNy9iaWdnZXN0LWJlYXItbWFya2V0LWNlbnR1cnktc3RpbGwtY2FsZW5kYXLSAQA?hl=en-US&gl=US&ceid=US%3Aen
Abercrombie & Fitch: Will Buyback Be Resumed? (NYSE:ANF),2017-07-20 00:00:00,https://news.google.com/./articles/CBMiVmh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQwODg5MDctYWJlcmNyb21iaWUtYW5kLWZpdGNoLXdpbGwtYnV5YmFjay1iZS1yZXN1bWVk0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Abercrombie & Fitch: Brand Identity Crisis, Overvalued Stock (NYSE ...",2017-07-12 00:00:00,https://news.google.com/./articles/CBMiZWh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQwODcyMTktYWJlcmNyb21iaWUtYW5kLWZpdGNoLWJyYW5kLWlkZW50aXR5LWNyaXNpcy1vdmVydmFsdWVkLXN0b2Nr0gEA?hl=en-US&gl=US&ceid=US%3Aen
O'Reilly Crashes (NASDAQ:ORLY),2017-07-05 00:00:00,https://news.google.com/./articles/CBMiOGh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQwODU4MDgtb3JlaWxseS1jcmFzaGVz0gEA?hl=en-US&gl=US&ceid=US%3Aen
Dollar General Corporation: Competing Successfully Against Wal ...,2017-08-18 00:00:00,https://news.google.com/./articles/CBMic2h0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQxMDAwMTAtZG9sbGFyLWdlbmVyYWwtY29ycG9yYXRpb24tY29tcGV0aW5nLXN1Y2Nlc3NmdWxseS1hZ2FpbnN0LXdhbC1tYXJ0LWZvci1ub3fSAQA?hl=en-US&gl=US&ceid=US%3Aen
The Original Dividend Achievers Top 10 Beats The S&P 500,2017-08-03 00:00:00,https://news.google.com/./articles/CBMiXWh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQwOTQ0MzMtb3JpZ2luYWwtZGl2aWRlbmQtYWNoaWV2ZXJzLXRvcC0xMC1iZWF0cy1zLWFuZC1wLTUwMNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Food Retail: A Primer On The Industry With A Focus On Wal-Mart ...,2017-08-23 00:00:00,https://news.google.com/./articles/CBMiWWh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQxMDE0NzctZm9vZC1yZXRhaWwtcHJpbWVyLW9uLWluZHVzdHJ5LWZvY3VzLW9uLXdhbC1tYXJ00gEA?hl=en-US&gl=US&ceid=US%3Aen
