title,datetime,link
"Snowstorm fizzles into rain; threats of ice, flooding remain",2017-03-14 00:00:00,https://news.google.com/./articles/CBMiZGh0dHBzOi8vd3d3LnRoZWRheS5jb20vcG9saWNlZmlyZWNvdXJ0cy8yMDE3MDMxNC9zbm93LWJhdHRlcnMtcmVnaW9uLXBvbGljZS1yZXBvcnQtbm8tbWFqb3ItcHJvYmxlbXPSAQA?hl=en-US&gl=US&ceid=US%3Aen
"Though winter is far off, salt deliveries already have begun",2017-07-26 00:00:00,https://news.google.com/./articles/CBMiYmh0dHBzOi8vd3d3LnRoZWRheS5jb20vbG9jYWwvMjAxNzA3MjYvdGhvdWdoLXdpbnRlci1pcy1mYXItb2ZmLXNhbHQtZGVsaXZlcmllcy1hbHJlYWR5LWhhdmUtYmVndW4v0gEA?hl=en-US&gl=US&ceid=US%3Aen
Jawku Speed is a wearable wristband that helps athletes track their ...,2017-10-19 00:00:00,https://news.google.com/./articles/CBMiQmh0dHBzOi8vd3d3LndhcmVhYmxlLmNvbS9zcG9ydC9qYXdrdS1zcGVlZC13ZWFyYWJsZS13cmlzdGJhbmQtNTI1MNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Ax Water collaborates with DRVN Partners for rebranding,2018-03-02 00:00:00,https://news.google.com/./articles/CBMiW2h0dHBzOi8vd3d3LmRyaW5rcy1pbnNpZ2h0LW5ldHdvcmsuY29tL25ld3MvYXgtd2F0ZXItY29sbGFib3JhdGVzLWRydm4tcGFydG5lcnMtcmVicmFuZGluZy_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Here’s what it’s like to drive a hydrogen-powered car,2018-06-01 00:00:00,https://news.google.com/./articles/CBMiU2h0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9oZXJlcy1saWtlLWRyaXZlLWh5ZHJvZ2VuLXBvd2VyZWQtY2FyLTE1MjU0OTYzOC5odG1s0gFbaHR0cHM6Ly9maW5hbmNlLnlhaG9vLmNvbS9hbXBodG1sL25ld3MvaGVyZXMtbGlrZS1kcml2ZS1oeWRyb2dlbi1wb3dlcmVkLWNhci0xNTI1NDk2MzguaHRtbA?hl=en-US&gl=US&ceid=US%3Aen
Awake brain surgery conducted for the first time in Việt Nam,2019-01-30 00:00:00,https://news.google.com/./articles/CBMiZmh0dHA6Ly92aWV0bmFtbmV3cy52bi9zb2NpZXR5LzQ4NDc1MC9hd2FrZS1icmFpbi1zdXJnZXJ5LWNvbmR1Y3RlZC1mb3ItdGhlLWZpcnN0LXRpbWUtaW4tdmlldC1uYW0uaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Traditional fish sauce makers could be lost at sea,2019-03-13 00:00:00,https://news.google.com/./articles/CBMiXGh0dHA6Ly92aWV0bmFtbmV3cy52bi9zb2NpZXR5LzUwNjk3NS90cmFkaXRpb25hbC1maXNoLXNhdWNlLW1ha2Vycy1jb3VsZC1iZS1sb3N0LWF0LXNlYS5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
Incredible woman loses and finds a leg to stand on,2019-07-09 00:00:00,https://news.google.com/./articles/CBMiXWh0dHBzOi8vdmlldG5hbW5ld3Mudm4vc29jaWV0eS81MjIzODQvaW5jcmVkaWJsZS13b21hbi1sb3Nlcy1hbmQtZmluZHMtYS1sZWctdG8tc3RhbmQtb24uaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Vietnamese Navy to be prepared in all circumstances,2019-08-06 00:00:00,https://news.google.com/./articles/CBMiXWh0dHA6Ly92aWV0bmFtbmV3cy52bi9zb2NpZXR5LzUyMzYyNS92aWV0bmFtZXNlLW5hdnktdG8tYmUtcHJlcGFyZWQtaW4tYWxsLWNpcmN1bXN0YW5jZXMuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Why Is Alexandria Real Estate Equities (ARE) Down 1.2% Since Last Earnings Report?,2019-08-28 00:00:00,https://news.google.com/./articles/CBMiUWh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy93aHktYWxleGFuZHJpYS1yZWFsLWVzdGF0ZS1lcXVpdGllcy0xMzMwMDE0NjYuaHRtbNIBWWh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vYW1waHRtbC9uZXdzL3doeS1hbGV4YW5kcmlhLXJlYWwtZXN0YXRlLWVxdWl0aWVzLTEzMzAwMTQ2Ni5odG1s?hl=en-US&gl=US&ceid=US%3Aen
HCM City to crack down on foreigners violating traffic rules,2019-08-05 00:00:00,https://news.google.com/./articles/CBMiZmh0dHA6Ly92aWV0bmFtbmV3cy52bi9zb2NpZXR5LzUyMzYxMi9oY20tY2l0eS10by1jcmFjay1kb3duLW9uLWZvcmVpZ25lcnMtdmlvbGF0aW5nLXRyYWZmaWMtcnVsZXMuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
"Presente, passato e futuro si intrecciano nello spettacolo di Cantieri ...",2019-09-24 00:00:00,https://news.google.com/./articles/CBMi5QFodHRwczovL3d3dy5jcm9uYWNhZGl2ZXJvbmEuY29tL3ByZXNlbnRlLXBhc3NhdG8tZS1mdXR1cm8tc2ktaW50cmVjY2lhbm8tbmVsbG8tc3BldHRhY29sby1kaS1jYW50aWVyaS1pbnZpc2liaWxpLXBhZHJlLWZpZ2xpby1lLXNwaXJpdG8tc3RhbmNvLWNoZS1zYXJhLXJhcHByZXNlbnRhdG8tc3Rhc2VyYS0yNC0yNS1lLTI2LXNldHRlbWJyZS1hbGxlLTIxLWFsLXRlYXRyby1jYW1wbG95LWEtY2hpdXMv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Family Day on June 28 to be public holiday,2019-11-07 00:00:00,https://news.google.com/./articles/CBMiVGh0dHA6Ly92aWV0bmFtbmV3cy52bi9zb2NpZXR5LzUzODA5Ni9mYW1pbHktZGF5LW9uLWp1bmUtMjgtdG8tYmUtcHVibGljLWhvbGlkYXkuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
"Road salt, for better or worse is back this winter",2019-12-04 00:00:00,https://news.google.com/./articles/CBMiVGh0dHBzOi8vY3RleGFtaW5lci5jb20vMjAxOS8xMi8wNC9yb2FkLXNhbHQtZm9yLWJldHRlci1vci13b3JzZS1pcy1iYWNrLXRoaXMtd2ludGVyL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
"Drug crimes becoming more serious, say police",2019-12-24 00:00:00,https://news.google.com/./articles/CBMiVmh0dHA6Ly92aWV0bmFtbmV3cy52bi9zb2NpZXR5LzU3MDI1OS9kcnVnLWNyaW1lcy1iZWNvbWluZy1tb3JlLXNlcmlvdXMtc2F5LXBvbGljZS5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
