title,datetime,link
Descartes Systems Group Acquires Datamyne For Global Trade ...,2017-01-13 00:00:00,https://news.google.com/./articles/CBMiaGh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQwMzY1NjktZGVzY2FydGVzLXN5c3RlbXMtZ3JvdXAtYWNxdWlyZXMtZGF0YW15bmUtZm9yLWdsb2JhbC10cmFkZS1kYXRh0gEA?hl=en-US&gl=US&ceid=US%3Aen
PepsiCo: Better Than Coca-Cola At Everything (Almost) (NASDAQ ...,2017-05-05 00:00:00,https://news.google.com/./articles/CBMiU2h0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQwNjk2MjctcGVwc2ljby1iZXR0ZXItY29jYS1jb2xhLWV2ZXJ5dGhpbmctYWxtb3N00gEA?hl=en-US&gl=US&ceid=US%3Aen
Descartes acquires PCSTrac Business (NASDAQ:DSGX),2017-06-02 00:00:00,https://news.google.com/./articles/CBMiSWh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9uZXdzLzMyNzEyNjQtZGVzY2FydGVzLWFjcXVpcmVzLXBjc3RyYWMtYnVzaW5lc3PSAQA?hl=en-US&gl=US&ceid=US%3Aen
MacroPoint of Independence is sold for $107 million to a Canadian ...,2017-08-16 00:00:00,https://news.google.com/./articles/CBMieWh0dHBzOi8vd3d3LmNyYWluc2NsZXZlbGFuZC5jb20vYXJ0aWNsZS8yMDE3MDgxNi9uZXdzLzE3MDgxOTg0OS9tYWNyb3BvaW50LWluZGVwZW5kZW5jZS1zb2xkLTEwNy1taWxsaW9uLWNhbmFkaWFuLWNvbXBhbnnSAQA?hl=en-US&gl=US&ceid=US%3Aen
Port of Antwerp Renews Descartes Electronic Communications R...,2017-12-12 00:00:00,https://news.google.com/./articles/CBMicGh0dHBzOi8vbWVuYWZuLmNvbS8xMDk2MjIzMjYyL1BvcnQtb2YtQW50d2VycC1SZW5ld3MtRGVzY2FydGVzLUVsZWN0cm9uaWMtQ29tbXVuaWNhdGlvbnMtUmVsYXRpb25zaGlwLU5hc2RhcURTR1jSAQA?hl=en-US&gl=US&ceid=US%3Aen
New Tech Could Transform the $2 Trillion Auto Industry,2018-02-09 00:00:00,https://news.google.com/./articles/CBMibWh0dHBzOi8vd3d3LnBybmV3c3dpcmUuY29tL25ld3MtcmVsZWFzZXMvbmV3LXRlY2gtY291bGQtdHJhbnNmb3JtLXRoZS0yLXRyaWxsaW9uLWF1dG8taW5kdXN0cnktNjczNTYxNTgzLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
Still A Sell On Kinaxis (OTCMKTS:KXSCF),2018-10-24 00:00:00,https://news.google.com/./articles/CBMiPmh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQyMTQwNDUtc3RpbGwtc2VsbC1vbi1raW5heGlz0gEA?hl=en-US&gl=US&ceid=US%3Aen
Descartes to Acquire Visual Compliance,2019-01-29 00:00:00,https://news.google.com/./articles/CBMieWh0dHBzOi8vd3d3LnNkY2V4ZWMuY29tL3NvdXJjaW5nLXByb2N1cmVtZW50L25ld3MvMjEwNDUxODUvZGVzY2FydGVzLXN5c3RlbXMtZ3JvdXAtZGVzY2FydGVzLXRvLWFjcXVpcmUtdmlzdWFsLWNvbXBsaWFuY2XSAQA?hl=en-US&gl=US&ceid=US%3Aen
Descartes completes acquisition of Management Systems Resources,2019-02-14 00:00:00,https://news.google.com/./articles/CBMiSGh0dHBzOi8vd3d3LmZyZWlnaHR3YXZlcy5jb20vbmV3cy9kZXNjYXJ0ZXMtY29tcGxldGVzLWFjcXVpc2l0aW9uLW9mLW1zctIBTGh0dHBzOi8vd3d3LmZyZWlnaHR3YXZlcy5jb20vbmV3cy9kZXNjYXJ0ZXMtY29tcGxldGVzLWFjcXVpc2l0aW9uLW9mLW1zci9hbXA?hl=en-US&gl=US&ceid=US%3Aen
Hyster-Yale Needs A Lift For Its Shares (NYSE:HY),2019-06-03 00:00:00,https://news.google.com/./articles/CBMiSmh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQyNjc4OTctaHlzdGVyLXlhbGUtbmVlZHMtbGlmdC1mb3Itc2hhcmVz0gEA?hl=en-US&gl=US&ceid=US%3Aen
Stock Market Super Bubble And The Demographic Trigger,2019-08-26 00:00:00,https://news.google.com/./articles/CBMiWmh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQyODc5MTAtc3RvY2stbWFya2V0LXN1cGVyLWJ1YmJsZS1hbmQtZGVtb2dyYXBoaWMtdHJpZ2dlctIBAA?hl=en-US&gl=US&ceid=US%3Aen
"Hedge Funds Have Never Been This Bullish On Stitch Fix, Inc. (SFIX)",2019-10-24 00:00:00,https://news.google.com/./articles/CBMiTmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9oZWRnZS1mdW5kcy1uZXZlci1idWxsaXNoLXN0aXRjaC0xODQ1NTM3NjcuaHRtbNIBVmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vYW1waHRtbC9uZXdzL2hlZGdlLWZ1bmRzLW5ldmVyLWJ1bGxpc2gtc3RpdGNoLTE4NDU1Mzc2Ny5odG1s?hl=en-US&gl=US&ceid=US%3Aen
Commentary: What is a freight visibility platform?,2019-12-30 00:00:00,https://news.google.com/./articles/CBMiUmh0dHBzOi8vd3d3LmZyZWlnaHR3YXZlcy5jb20vbmV3cy9jb21tZW50YXJ5LXdoYXQtaXMtYS1mcmVpZ2h0LXZpc2liaWxpdHktcGxhdGZvcm3SAVZodHRwczovL3d3dy5mcmVpZ2h0d2F2ZXMuY29tL25ld3MvY29tbWVudGFyeS13aGF0LWlzLWEtZnJlaWdodC12aXNpYmlsaXR5LXBsYXRmb3JtL2FtcA?hl=en-US&gl=US&ceid=US%3Aen
"Pfizer: New CEO, New Strategy, New Focus On Brand Name Drugs ...",2019-12-17 00:00:00,https://news.google.com/./articles/CBMifGh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQzMTI5MTMtcGZpemVyLW5ldy1jZW8tbmV3LXN0cmF0ZWd5LW5ldy1mb2N1cy1vbi1icmFuZC1uYW1lLWRydWdzLWluLXllYXItb2YtZHJhc3RpYy1jaGFuZ2XSAQA?hl=en-US&gl=US&ceid=US%3Aen
