title,datetime,link
Az álmainknak megkérik az árát - egy pilóta élettörténete,2017-01-08 00:00:00,https://news.google.com/./articles/CBMibGh0dHBzOi8vd3d3Lm9yaWdvLmh1L2F1dG8vMjAxNzAxMDUtaWd5LWxldHQtaGlyZXMtcGlsb3RhLWEtbGVnaWZvcmdhbG1pLWlyYW55aXRvYm9sLXN6dWxlLXpzb2x0LWludGVyanUuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
"Robbery suspect arrested, police looking for suspected accomplice",2017-03-01 00:00:00,https://news.google.com/./articles/CBMiowFodHRwczovL3d3dy5tYW5rYXRvZnJlZXByZXNzLmNvbS9uZXdzL2xvY2FsX25ld3Mvcm9iYmVyeS1zdXNwZWN0LWFycmVzdGVkLXBvbGljZS1sb29raW5nLWZvci1zdXNwZWN0ZWQtYWNjb21wbGljZS9hcnRpY2xlX2JmNWE4NjBlLWZlOTItMTFlNi04ZDdhLTIzMjVmMjcwZjM3NS5odG1s0gGnAWh0dHBzOi8vd3d3Lm1hbmthdG9mcmVlcHJlc3MuY29tL25ld3MvbG9jYWxfbmV3cy9yb2JiZXJ5LXN1c3BlY3QtYXJyZXN0ZWQtcG9saWNlLWxvb2tpbmctZm9yLXN1c3BlY3RlZC1hY2NvbXBsaWNlL2FydGljbGVfYmY1YTg2MGUtZmU5Mi0xMWU2LThkN2EtMjMyNWYyNzBmMzc1LmFtcC5odG1s?hl=en-US&gl=US&ceid=US%3Aen
Met's inspired cast delivers the musical riches of Mozart's “Idomeneo”,2017-03-07 00:00:00,https://news.google.com/./articles/CBMibmh0dHBzOi8vbmV3eW9ya2NsYXNzaWNhbHJldmlldy5jb20vMjAxNy8wMy9tZXRzLWluc3BpcmVkLWNhc3QtZGVsaXZlcnMtdGhlLW11c2ljYWwtcmljaGVzLW9mLW1vemFydHMtaWRvbWVuZW8v0gEA?hl=en-US&gl=US&ceid=US%3Aen
Peter Lim relatives reach out to Bong Go in road rage case,2017-03-20 00:00:00,https://news.google.com/./articles/CBMiT2h0dHBzOi8vd3d3LnJhcHBsZXIuY29tL25hdGlvbi8xNjQ3MzUtcGV0ZXItbGltLXJlbGF0aXZlcy1ib25nLWdvLWR1dGVydGUtYWlkZS_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Puszival veszi le a lábáról felesége Leblanc-t,2017-03-25 00:00:00,https://news.google.com/./articles/CBMiVmh0dHBzOi8vd3d3LmJvcnNvbmxpbmUuaHUvY2VsZWIvMjAxNy8wMy9wdXN6aXZhbC12ZXN6aS1sZS1hLWxhYmFyb2wtZmVsZXNlZ2UtbGVibGFuYy100gEA?hl=en-US&gl=US&ceid=US%3Aen
Kassai Lajos: Nincs lovasíjászgénünk,2017-03-10 00:00:00,https://news.google.com/./articles/CBMiemh0dHBzOi8vd3d3Lm9yaWdvLmh1L2t1bHR1cmEvMjAxNzAzMDYtYS1zcG9ydGFncm9sLWEtdm9sZ3lyb2wtZXMtbWF0dC1kYW1vbnJvbC1pcy1iZXN6ZWxnZXR0dW5rLWEtaGlyZXMtbG92YXNpamFzc3phbC5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
Soha többé nem szállt tengerre a Carpathia hős magyar hajóorvosa,2017-04-16 00:00:00,https://news.google.com/./articles/CBMidGh0dHBzOi8vd3d3Lm9yaWdvLmh1L3R1ZG9tYW55LzIwMTcwNDE1LWEtdGl0YW5pYy10cmFnZWRpYS10dWxlbG9pLWVsZXR1ay12ZWdlaWctYWxkb3R0YWstZHItbGVuZ3llbC1hcnBhZC1uZXZldC5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Honnan jött Pápai Joci, és mit csinált az Eurovízió előtt?",2017-05-11 00:00:00,https://news.google.com/./articles/CBMidWh0dHBzOi8vd3d3Lm9yaWdvLmh1L3RldmUvMjAxNzA1MDktcGFwYWktam9jaS1rZXB2aXNlbGktbWFneWFyb3JzemFnb3QtYXotZXVyb3Zpemlvcy1kYWxmZXN6dGl2YWxvbi1pbm5lbi1pbmR1bHQuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
"Kiderült, mi lesz velünk a jövőben",2017-06-08 00:00:00,https://news.google.com/./articles/CBMiZGh0dHBzOi8vd3d3Lm9yaWdvLmh1L2l0dGhvbi8yMDE3MDYwOC10ZWx0aGF6YXMtdm9sdC1hLWhhcm1hZGlrLWJyYWluLWJhci1idWRhcGVzdC1qb3ZvZmVzenRpdmFsLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
Calamity state for two sitios,2017-07-25 00:00:00,https://news.google.com/./articles/CBMiW2h0dHBzOi8vd3d3LnBoaWxzdGFyLmNvbS90aGUtZnJlZW1hbi9jZWJ1LW5ld3MvMjAxNy8wNy8yNS8xNzIxNjQ0L2NhbGFtaXR5LXN0YXRlLXR3by1zaXRpb3PSAWBodHRwczovL3d3dy5waGlsc3Rhci5jb20vdGhlLWZyZWVtYW4vY2VidS1uZXdzLzIwMTcvMDcvMjUvMTcyMTY0NC9jYWxhbWl0eS1zdGF0ZS10d28tc2l0aW9zL2FtcC8?hl=en-US&gl=US&ceid=US%3Aen
