title,datetime,link
"Merger of Great Plains Energy and Westar Energy Approved, Paving ...",2018-05-24 00:00:00,https://news.google.com/./articles/CBMiuAFodHRwczovL3d3dy5idXNpbmVzc3dpcmUuY29tL25ld3MvaG9tZS8yMDE4MDUyNDAwNjQ1My9lbi9NZXJnZXItb2YtR3JlYXQtUGxhaW5zLUVuZXJneS1hbmQtV2VzdGFyLUVuZXJneS1BcHByb3ZlZC1QYXZpbmctV2F5LWZvci1CZW5lZml0cy10byVDMiVBMEN1c3RvbWVycy1Db21tdW5pdGllcy1hbmQtU2hhcmVob2xkZXJz0gEA?hl=en-US&gl=US&ceid=US%3Aen
Westar Energy's $20M operations center 'evidence' of commitment ...,2018-07-20 00:00:00,https://news.google.com/./articles/CBMia2h0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS93aWNoaXRhL25ld3MvMjAxOC8wNy8yMC9uZXctb3BlcmF0aW9ucy1jZW50ZXItYWRkcy1lZmZpY2llbmNpZXMtZm9yLXdlc3Rhci5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
Merger expedites closings of three Westar plants in Kansas ...,2018-08-02 00:00:00,https://news.google.com/./articles/CBMibGh0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9rYW5zYXNjaXR5L25ld3MvMjAxOC8wOC8wMi9tZXJnZXItZXhwZWRpdGVzLWNsb3NpbmdzLW9mLXRocmVlLXdlc3Rhci1wbGFudHMuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Why Tile Shop Holdings Inc (NASDAQ:TTS) May Not Be As Efficient As Its Industry,2018-08-08 00:00:00,https://news.google.com/./articles/CBMimAFodHRwczovL3NpbXBseXdhbGwuc3Qvc3RvY2tzL3VzL3JldGFpbC9vdGMtdHRzaC90aWxlLXNob3AtaG9sZGluZ3MvbmV3cy93aHktdGlsZS1zaG9wLWhvbGRpbmdzLWluYy1uYXNkYXF0dHMtbWF5LW5vdC1iZS1hcy1lZmZpY2llbnQtYXMtaXRzLWluZHVzdHJ5L2FtcNIBmAFodHRwczovL3NpbXBseXdhbGwuc3Qvc3RvY2tzL3VzL3JldGFpbC9vdGMtdHRzaC90aWxlLXNob3AtaG9sZGluZ3MvbmV3cy93aHktdGlsZS1zaG9wLWhvbGRpbmdzLWluYy1uYXNkYXF0dHMtbWF5LW5vdC1iZS1hcy1lZmZpY2llbnQtYXMtaXRzLWluZHVzdHJ5L2FtcA?hl=en-US&gl=US&ceid=US%3Aen
"With A Return On Equity Of 17%, Has Hostess Brands Inc's (NASDAQ:TWNK) Management Done Well?",2018-11-14 00:00:00,https://news.google.com/./articles/CBMirwFodHRwczovL3NpbXBseXdhbGwuc3Qvc3RvY2tzL3VzL2Zvb2QtYmV2ZXJhZ2UtdG9iYWNjby9uYXNkYXEtdHduay9ob3N0ZXNzLWJyYW5kcy9uZXdzL3dpdGgtYS1yZXR1cm4tb24tZXF1aXR5LW9mLTE3LWhhcy1ob3N0ZXNzLWJyYW5kcy1pbmNzLW5hc2RhcXR3bmstbWFuYWdlbWVudC1kb25lLXdlbGwvYW1w0gGvAWh0dHBzOi8vc2ltcGx5d2FsbC5zdC9zdG9ja3MvdXMvZm9vZC1iZXZlcmFnZS10b2JhY2NvL25hc2RhcS10d25rL2hvc3Rlc3MtYnJhbmRzL25ld3Mvd2l0aC1hLXJldHVybi1vbi1lcXVpdHktb2YtMTctaGFzLWhvc3Rlc3MtYnJhbmRzLWluY3MtbmFzZGFxdHduay1tYW5hZ2VtZW50LWRvbmUtd2VsbC9hbXA?hl=en-US&gl=US&ceid=US%3Aen
Here are the most and least volatile stocks among the S&P 500,2019-01-30 00:00:00,https://news.google.com/./articles/CBMiaWh0dHBzOi8vd3d3Lm1hcmtldHdhdGNoLmNvbS9zdG9yeS9oZXJlLWFyZS10aGUtbW9zdC1hbmQtbGVhc3Qtdm9sYXRpbGUtc3RvY2tzLWFtb25nLXRoZS1zcC01MDAtMjAxOS0wMS0yOdIBbWh0dHBzOi8vd3d3Lm1hcmtldHdhdGNoLmNvbS9hbXAvc3RvcnkvaGVyZS1hcmUtdGhlLW1vc3QtYW5kLWxlYXN0LXZvbGF0aWxlLXN0b2Nrcy1hbW9uZy10aGUtc3AtNTAwLTIwMTktMDEtMjk?hl=en-US&gl=US&ceid=US%3Aen
Best-Performing Utility Stocks YTD - June 2019,2019-06-20 00:00:00,https://news.google.com/./articles/CBMiVWh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQyNzEzNzYtYmVzdC1wZXJmb3JtaW5nLXV0aWxpdHktc3RvY2tzLXl0ZC1qdW5lLTIwMTnSAQA?hl=en-US&gl=US&ceid=US%3Aen
Pioneer Investment Management,2019-08-15 00:00:00,https://news.google.com/./articles/CBMitwFodHRwczovL3d3dy5ndXJ1Zm9jdXMuY29tL25ld3MvOTI5MTgwL3Bpb25lZXItaW52ZXN0bWVudC1tYW5hZ2VtZW50LWluYy1idXlzLWJyb2FkcmlkZ2UtZmluYW5jaWFsLXNvbHV0aW9ucy1pbmMtaW5zbWVkLWluYy1ub3J0aGVybi10cnVzdC1jb3JwLXNlbGxzLWFwcGxlLWluYy1hbHBoYWJldC1pbmMtcmF5dGhlb24tY2_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Dividends Stocks | Investing in Stocks for Income,2019-08-29 00:00:00,https://news.google.com/./articles/CBMiJWh0dHBzOi8vd3d3Lm1hcmtldGJlYXQuY29tL2RpdmlkZW5kcy_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Form N-PX VANGUARD INSTITUTIONAL For: Jun 30,2019-08-30 00:00:00,https://news.google.com/./articles/CBMiZmh0dHBzOi8vd3d3LnN0cmVldGluc2lkZXIuY29tL1NFQytGaWxpbmdzL0Zvcm0rTi1QWCtWQU5HVUFSRCtJTlNUSVRVVElPTkFMK0ZvciUzQStKdW4rMzAvMTU4NzA3NjUuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
