title,datetime,link
EXC: Ian Ziering's ex Erin Kristine Ludwig hits back at the 90210 star's demands she get a job,2020-01-30 00:00:00,https://news.google.com/./articles/CBMigAFodHRwczovL3d3dy5kYWlseW1haWwuY28udWsvdHZzaG93Yml6L2FydGljbGUtNzk0MzM5Ny9FWEMtSWFuLVppZXJpbmdzLWV4LUVyaW4tS3Jpc3RpbmUtTHVkd2lnLWhpdHMtOTAyMTAtc3RhcnMtZGVtYW5kcy1qb2IuaHRtbNIBhAFodHRwczovL3d3dy5kYWlseW1haWwuY28udWsvdHZzaG93Yml6L2FydGljbGUtNzk0MzM5Ny9hbXAvRVhDLUlhbi1aaWVyaW5ncy1leC1FcmluLUtyaXN0aW5lLUx1ZHdpZy1oaXRzLTkwMjEwLXN0YXJzLWRlbWFuZHMtam9iLmh0bWw?hl=en-US&gl=US&ceid=US%3Aen
Kristin Cavallari EXC: The Hills star reveals she was 'too f**king tired' to watch reunion show,2020-01-10 00:00:00,https://news.google.com/./articles/CBMigwFodHRwczovL3d3dy5kYWlseW1haWwuY28udWsvdHZzaG93Yml6L2FydGljbGUtNzg3MjU2NS9LcmlzdGluLUNhdmFsbGFyaS1FWEMtSGlsbHMtc3Rhci1yZXZlYWxzLWYta2luZy10aXJlZC13YXRjaC1yZXVuaW9uLXNob3cuaHRtbNIBhwFodHRwczovL3d3dy5kYWlseW1haWwuY28udWsvdHZzaG93Yml6L2FydGljbGUtNzg3MjU2NS9hbXAvS3Jpc3Rpbi1DYXZhbGxhcmktRVhDLUhpbGxzLXN0YXItcmV2ZWFscy1mLWtpbmctdGlyZWQtd2F0Y2gtcmV1bmlvbi1zaG93Lmh0bWw?hl=en-US&gl=US&ceid=US%3Aen
Love Island EXC: Lewis Capaldi's ex Paige Turley was dating X Factor beau just MONTHS before show,2020-01-07 00:00:00,https://news.google.com/./articles/CBMijwFodHRwczovL3d3dy5kYWlseW1haWwuY28udWsvdHZzaG93Yml6L2FydGljbGUtNzg2MTYzNy9Mb3ZlLUlzbGFuZC1FWEMtTGV3aXMtQ2FwYWxkaXMtZXgtUGFpZ2UtVHVybGV5LWRhdGluZy1YLUZhY3Rvci1iZWF1LWp1c3QtTU9OVEhTLXNob3cuaHRtbNIBkwFodHRwczovL3d3dy5kYWlseW1haWwuY28udWsvdHZzaG93Yml6L2FydGljbGUtNzg2MTYzNy9hbXAvTG92ZS1Jc2xhbmQtRVhDLUxld2lzLUNhcGFsZGlzLWV4LVBhaWdlLVR1cmxleS1kYXRpbmctWC1GYWN0b3ItYmVhdS1qdXN0LU1PTlRIUy1zaG93Lmh0bWw?hl=en-US&gl=US&ceid=US%3Aen
PIC EXC: Megan Barton-Hanson puts on VERY amorous display with bikini-clad girlfriend Chelcee Grimes,2020-01-25 00:00:00,https://news.google.com/./articles/CBMiiQFodHRwczovL3d3dy5kYWlseW1haWwuY28udWsvdHZzaG93Yml6L2FydGljbGUtNzkyODU4My9NZWdhbi1CYXJ0b24tSGFuc29uLXB1dHMtYW1vcm91cy1kaXNwbGF5LWJpa2luaS1jbGFkLWdpcmxmcmllbmQtQ2hlbGNlZS1HcmltZXMuaHRtbNIBjQFodHRwczovL3d3dy5kYWlseW1haWwuY28udWsvdHZzaG93Yml6L2FydGljbGUtNzkyODU4My9hbXAvTWVnYW4tQmFydG9uLUhhbnNvbi1wdXRzLWFtb3JvdXMtZGlzcGxheS1iaWtpbmktY2xhZC1naXJsZnJpZW5kLUNoZWxjZWUtR3JpbWVzLmh0bWw?hl=en-US&gl=US&ceid=US%3Aen
Paessler PRTG Network Monitor 19.4 review: Outstanding cloud ...,2020-01-29 00:00:00,https://news.google.com/./articles/CBMieWh0dHBzOi8vd3d3Lml0cHJvLmNvLnVrL2luZnJhc3RydWN0dXJlL25ldHdvcmstaW50ZXJuZXQvMzU0NjU4L3BhZXNzbGVyLXBydGctbmV0d29yay1tb25pdG9yLTE5NC1yZXZpZXctb3V0c3RhbmRpbmctY2xvdWTSAQA?hl=en-US&gl=US&ceid=US%3Aen
Announcement by the Princely Palace of a new Archbishop for ...,2020-01-22 00:00:00,https://news.google.com/./articles/CBMiiwFodHRwczovL3d3dy5oZWxsb21vbmFjby5jb20vbmV3cy9sYXRlc3QtbmV3cy9hbm5vdW5jZW1lbnQtYnktdGhlLXByaW5jZWx5LXBhbGFjZS1vZi1hLW5ldy1hcmNoYmlzaG9wLWZvci1tb25hY28tdG8tc3VjY2VlZC1tb25zaWdub3ItYmFyc2kv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Acer TravelMate X5 review: Size isn’t everything,2020-01-14 00:00:00,https://news.google.com/./articles/CBMiXmh0dHBzOi8vd3d3Lml0cHJvLmNvLnVrL2hhcmR3YXJlL2xhcHRvcHMvMzU0NTM4L2FjZXItdHJhdmVsbWF0ZS14NS1yZXZpZXctc2l6ZS1pc250LWV2ZXJ5dGhpbmfSAQA?hl=en-US&gl=US&ceid=US%3Aen
SolarWinds NPM 2019.4 review: A monitoring masterclass,2020-01-23 00:00:00,https://news.google.com/./articles/CBMic2h0dHBzOi8vd3d3Lml0cHJvLmNvLnVrL2luZnJhc3RydWN0dXJlL25ldHdvcmstaW50ZXJuZXQvMzU0NjE5L3NvbGFyd2luZHMtbnBtLTIwMTk0LXJldmlldy1hLW1vbml0b3JpbmctbWFzdGVyY2xhc3PSAQA?hl=en-US&gl=US&ceid=US%3Aen
"Synology FlashStation FS3400: Same old, same old",2020-01-09 00:00:00,https://news.google.com/./articles/CBMia2h0dHBzOi8vd3d3Lml0cHJvLmNvLnVrL2luZnJhc3RydWN0dXJlL3NlcnZlci1zdG9yYWdlLzM1NDUwOC9zeW5vbG9neS1mbGFzaHN0YXRpb24tZnMzNDAwLXNhbWUtb2xkLXNhbWUtb2xk0gEA?hl=en-US&gl=US&ceid=US%3Aen
Americans Are Having Fewer Kids. Evangelicals Are No Exception.,2020-01-06 00:00:00,https://news.google.com/./articles/CBMie2h0dHBzOi8vd3d3LmNocmlzdGlhbml0eXRvZGF5LmNvbS9jdC8yMDIwL2phbnVhcnktZmVicnVhcnkvYW1lcmljYW5zLWFyZS1oYXZpbmctZmV3ZXItY2hpbGRyZW4tZXZhbmdlbGljYWxzLWFyZS1uby1leGMuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
AdRem NetCrunch 10.7 review: Monitoring in a flash,2020-01-15 00:00:00,https://news.google.com/./articles/CBMib2h0dHBzOi8vd3d3Lml0cHJvLmNvLnVrL2luZnJhc3RydWN0dXJlL25ldHdvcmstaW50ZXJuZXQvMzU0NTQ0L2FkcmVtLW5ldGNydW5jaC0xMDctcmV2aWV3LW1vbml0b3JpbmctaW4tYS1mbGFzaNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Sony Xperia 5 review: Sony gives us a high five,2020-01-16 00:00:00,https://news.google.com/./articles/CBMiYmh0dHBzOi8vd3d3Lml0cHJvLmNvLnVrL21vYmlsZS9tb2JpbGUtcGhvbmVzLzM1NDU1OS9zb255LXhwZXJpYS01LXJldmlldy1zb255LWdpdmVzLXVzLWEtaGlnaC1maXZl0gEA?hl=en-US&gl=US&ceid=US%3Aen
ManageEngine OpManager Plus 12.4 review: Ideal for VM monitoring,2020-01-21 00:00:00,https://news.google.com/./articles/CBMicmh0dHBzOi8vd3d3Lml0cHJvLmNvLnVrL2luZnJhc3RydWN0dXJlL25ldHdvcmstaW50ZXJuZXQvMzU0NTk1L21hbmFnZWVuZ2luZS1vcG1hbmFnZXItcGx1cy0xMjQtcmV2aWV3LWlkZWFsLWZvci12bdIBAA?hl=en-US&gl=US&ceid=US%3Aen
Dell XPS 13 7390 (late 2019) review: An underwhelming refresh,2020-01-24 00:00:00,https://news.google.com/./articles/CBMiamh0dHBzOi8vd3d3Lml0cHJvLmNvLnVrL2hhcmR3YXJlL2xhcHRvcHMvMzU0NjI2L2RlbGwteHBzLTEzLTczOTAtbGF0ZS0yMDE5LXJldmlldy1hbi11bmRlcndoZWxtaW5nLXJlZnJlc2jSAQA?hl=en-US&gl=US&ceid=US%3Aen
EastEnders spoilers: Who dies as huge pics reveal boat party death and scandal,2020-01-15 00:00:00,https://news.google.com/./articles/CBMibmh0dHBzOi8vbWV0cm8uY28udWsvMjAyMC8wMS8xNS9lYXN0ZW5kZXJzLXNwb2lsZXJzLXNob2NraW5nLXBpY3R1cmVzLXJldmVhbC1ib2F0LXBhcnR5LWRlYXRoLXNjYW5kYWwtMTIwNjMyMzUv0gFyaHR0cHM6Ly9tZXRyby5jby51ay8yMDIwLzAxLzE1L2Vhc3RlbmRlcnMtc3BvaWxlcnMtc2hvY2tpbmctcGljdHVyZXMtcmV2ZWFsLWJvYXQtcGFydHktZGVhdGgtc2NhbmRhbC0xMjA2MzIzNS9hbXAv?hl=en-US&gl=US&ceid=US%3Aen
2020 DUAL-SPORT BIKE BUYER'S GUIDE,2020-01-02 00:00:00,https://news.google.com/./articles/CBMiQ2h0dHBzOi8vZGlydGJpa2VtYWdhemluZS5jb20vYW1wLzIwMjAtZHVhbC1zcG9ydC1iaWtlLWJ1eWVycy1ndWlkZS_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Nicola Dutto: First Paraplegic to Finish Africa Eco Race On A Bike,2020-01-27 00:00:00,https://news.google.com/./articles/CBMiZGh0dHBzOi8vd3d3LmFkdnB1bHNlLmNvbS9hZHYtbmV3cy9uaWNvbGEtZHV0dG8tZmlyc3QtcGFyYXBsZWdpYy10by1maW5pc2gtYWZyaWNhLWVjby1yYWNlLW9uLWEtYmlrZS_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Barcelona launch «Creme Egg» inspired training shirt,2020-01-15 00:00:00,https://news.google.com/./articles/CBMiPWh0dHBzOi8vZW4uYXMuY29tL2VuLzIwMjAvMDEvMTUvc29jY2VyLzE1NzkwOTI1MjFfNDk3MDk4Lmh0bWzSAUxodHRwczovL2VuLmFzLmNvbS9lbi8yMDIwLzAxLzE1L3NvY2Nlci8xNTc5MDkyNTIxXzQ5NzA5OC5odG1sP291dHB1dFR5cGU9YW1w?hl=en-US&gl=US&ceid=US%3Aen
"Black Desert patch adds Altar of Blood, changes quest reward system",2020-01-01 00:00:00,https://news.google.com/./articles/CBMiYWh0dHBzOi8vd3d3LnRoZXNpeHRoYXhpcy5jb20vMjAyMC8wMS8wMS9ibGFjay1kZXNlcnQtcGF0Y2gtYWx0YXItYmxvb2QtamFudWFyeS0yMDIwLXBzNC14Ym94LW9uZS_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Rider Straver dies after Dakar 2020 accident,2020-01-24 00:00:00,https://news.google.com/./articles/CBMiUGh0dHBzOi8vd3d3Lm1vdG9yc3BvcnQuY29tL2Rha2FyL25ld3Mvc3RyYXZlci1kYWthci0yMDIwLWFjY2lkZW50LWZhdGFsLzQ2NzYyMDcv0gFUaHR0cHM6Ly93d3cubW90b3JzcG9ydC5jb20vZGFrYXIvbmV3cy9zdHJhdmVyLWRha2FyLTIwMjAtYWNjaWRlbnQtZmF0YWwvNDY3NjIwNy9hbXAv?hl=en-US&gl=US&ceid=US%3Aen
Charlize Theron Reacts to Peter Weber's 'Dramatic' Premiere of 'The Bachelor' (Exclusive),2020-01-12 00:00:00,https://news.google.com/./articles/CBMicmh0dHBzOi8vd3d3LmV0b25saW5lLmNvbS9jaGFybGl6ZS10aGVyb24tcmVhY3RzLXRvLXBldGVyLXdlYmVycy1kcmFtYXRpYy1wcmVtaWVyZS1vZi10aGUtYmFjaGVsb3ItZXhjbHVzaXZlLTEzOTI3N9IBdmh0dHBzOi8vd3d3LmV0b25saW5lLmNvbS9jaGFybGl6ZS10aGVyb24tcmVhY3RzLXRvLXBldGVyLXdlYmVycy1kcmFtYXRpYy1wcmVtaWVyZS1vZi10aGUtYmFjaGVsb3ItZXhjbHVzaXZlLTEzOTI3Nz9hbXA?hl=en-US&gl=US&ceid=US%3Aen
'90 Day Fiance': Anna and Mursel Break Down in Tears in Emotional Talk Over Ending Engagement (Exclusive,2020-01-10 00:00:00,https://news.google.com/./articles/CBMieGh0dHBzOi8vd3d3LmV0b25saW5lLmNvbS85MC1kYXktZmlhbmNlLWFubmEtYW5kLW11cnNlbC1icmVhay1kb3duLWR1cmluZy1lbW90aW9uYWwtdGFsay1vdmVyLWVuZGluZy1lbmdhZ2VtZW50LWV4Y2x1c2l2ZdIBfGh0dHBzOi8vd3d3LmV0b25saW5lLmNvbS85MC1kYXktZmlhbmNlLWFubmEtYW5kLW11cnNlbC1icmVhay1kb3duLWR1cmluZy1lbW90aW9uYWwtdGFsay1vdmVyLWVuZGluZy1lbmdhZ2VtZW50LWV4Y2x1c2l2ZT9hbXA?hl=en-US&gl=US&ceid=US%3Aen
