title,datetime,link
Nation's first 'Safe Place' tattoo parlor in Jeffersonville to open New ...,2017-01-23 00:00:00,https://news.google.com/./articles/CBMipgFodHRwczovL3d3dy5uZXdzYW5kdHJpYnVuZS5jb20vbmV3cy9uYXRpb25zLWZpcnN0LXNhZmUtcGxhY2UtdGF0dG9vLXBhcmxvci1pbi1qZWZmZXJzb252aWxsZS10by1vcGVuLW5ldy1hbGJhbnktc2hvcC9hcnRpY2xlXzFjNjlmYjRjLWUwZTEtMTFlNi1hMzlkLTYzNjM2NzZmMGI1Yi5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
5 things you didn't know about recycling in Athens,2017-01-23 00:00:00,https://news.google.com/./articles/CBMihwFodHRwczovL3d3dy5yZWRhbmRibGFjay5jb20vY3VsdHVyZS81LXRoaW5ncy15b3UtZGlkbnQta25vdy1hYm91dC1yZWN5Y2xpbmctaW4tYXRoZW5zL2FydGljbGVfNTM3MGNkMTAtZTBmOS0xMWU2LTg1NWMtZGI2N2QxYjlmMWNkLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
"What Accelerators, Incubators, And Hackathons Tell Us About The ...",2017-02-26 00:00:00,https://news.google.com/./articles/CBMiZmh0dHBzOi8vd3d3LmZhc3Rjb21wYW55LmNvbS8zMDY4MzA0L3doYXQtYWNjZWxlcmF0b3JzLWluY3ViYXRvcnMtYW5kLWhhY2thdGhvbnMtdGVsbC11cy1hYm91dC10aGUtZnV0ddIBAA?hl=en-US&gl=US&ceid=US%3Aen
"Wrestling: New Providence Past, Present and Future Celebrated on ...",2017-02-04 00:00:00,https://news.google.com/./articles/CBMidGh0dHBzOi8vd3d3LnRhcGludG8ubmV0L3Rvd25zL25ldy1wcm92aWRlbmNlL3NlY3Rpb25zL3Nwb3J0cy9hcnRpY2xlcy93cmVzdGxpbmctbmV3LXByb3ZpZGVuY2UtcGFzdC1wcmVzZW50LWFuZC1mdXR10gEA?hl=en-US&gl=US&ceid=US%3Aen
"Maria Taylor Reflects On Her Past, Present And Future With In The ...",2017-02-03 00:00:00,https://news.google.com/./articles/CBMiZGh0dHBzOi8vd3d3LnBhc3RlbWFnYXppbmUuY29tL211c2ljL21hcmlhLXRheWxvci9tYXJpYS10YXlsb3ItcmVmbGVjdHMtb24taGVyLXBhc3QtcHJlc2VudC1hbmQtZnV0dS_SAQA?hl=en-US&gl=US&ceid=US%3Aen
US stocks a phone tap away for Chinese traders via Tiger Brokers,2017-02-19 00:00:00,https://news.google.com/./articles/CBMiamh0dHBzOi8vd3d3LnNjbXAuY29tL3RlY2gvc3RhcnQtdXBzL2FydGljbGUvMjA3MjEyMi91cy1zdG9ja3MtcGhvbmUtdGFwLWF3YXktY2hpbmVzZS10cmFkZXJzLXRpZ2VyLWJyb2tlcnPSAWpodHRwczovL2FtcC5zY21wLmNvbS90ZWNoL3N0YXJ0LXVwcy9hcnRpY2xlLzIwNzIxMjIvdXMtc3RvY2tzLXBob25lLXRhcC1hd2F5LWNoaW5lc2UtdHJhZGVycy10aWdlci1icm9rZXJz?hl=en-US&gl=US&ceid=US%3Aen
Invast adds Andrew Pal and Cassandra Lister as Prime Broker and ...,2017-02-13 00:00:00,https://news.google.com/./articles/CBMikgFodHRwczovL3d3dy5sZWFwcmF0ZS5jb20vZm9yZXgvaW5zdGl0dXRpb25hbC9pbnZhc3QtYWRkcy1hbmRyZXctcGFsLWFuZC1jYXNzYW5kcmEtbGlzdGVyLWFzLXByaW1lLWJyb2tlci1hbmQtaW52ZXN0bWVudC1iYW5raW5nLWFkdmlzb3JzLWZvci1hc2lhL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
"For Honor Guide – Leveling Up Faster, Customization Options, Collectibles, And More",2017-02-22 00:00:00,https://news.google.com/./articles/CBMiZWh0dHBzOi8vZ2FtaW5nYm9sdC5jb20vZm9yLWhvbm9yLWd1aWRlLWxldmVsaW5nLXVwLWZhc3Rlci1jdXN0b21pemF0aW9uLW9wdGlvbnMtY29sbGVjdGlibGVzLWFuZC1tb3Jl0gFpaHR0cHM6Ly9nYW1pbmdib2x0LmNvbS9mb3ItaG9ub3ItZ3VpZGUtbGV2ZWxpbmctdXAtZmFzdGVyLWN1c3RvbWl6YXRpb24tb3B0aW9ucy1jb2xsZWN0aWJsZXMtYW5kLW1vcmUvYW1w?hl=en-US&gl=US&ceid=US%3Aen
Nevada's oil speculators worry about uncertain future,2017-03-13 00:00:00,https://news.google.com/./articles/CBMiXGh0dHBzOi8vbGFzdmVnYXNzdW4uY29tL25ld3MvMjAxNy9tYXIvMTMvbmV2YWRhcy1vaWwtc3BlY3VsYXRvcnMtd29ycnktYWJvdXQtdW5jZXJ0YWluLWZ1dHUv0gEA?hl=en-US&gl=US&ceid=US%3Aen
"SF share rally result of idle speculation, economists believe ...",2017-03-02 00:00:00,https://news.google.com/./articles/CBMiRmh0dHBzOi8vd3d3LmNoaW5hZGFpbHkuY29tLmNuL2J1c2luZXNzLzIwMTctMDMvMDIvY29udGVudF8yODQwMTEyOC5odG3SAQA?hl=en-US&gl=US&ceid=US%3Aen
