title,datetime,link
GE Healthcare to transfer jobs to Wisconsin,2017-01-27 00:00:00,https://news.google.com/./articles/CBMiaGh0dHBzOi8vd3d3Lmpzb25saW5lLmNvbS9zdG9yeS9tb25leS9idXNpbmVzcy8yMDE3LzAxLzI3L2dlLWhlYWx0aGNhcmUtdHJhbnNmZXItam9icy13aXNjb25zaW4vOTcxMzc3NTIv0gEA?hl=en-US&gl=US&ceid=US%3Aen
GE Healthcare moving work from Maryland to Wisconsin ...,2017-01-27 00:00:00,https://news.google.com/./articles/CBMiZWh0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9taWx3YXVrZWUvbmV3cy8yMDE3LzAxLzI3L2dlLWhlYWx0aGNhcmUtbW92aW5nLXdvcmstZnJvbS1tYXJ5bGFuZC10by5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
GE to shut down Laurel facility – Baltimore Sun,2017-01-26 00:00:00,https://news.google.com/./articles/CBMiUGh0dHBzOi8vd3d3LmJhbHRpbW9yZXN1bi5jb20vYnVzaW5lc3MvYnMtaHMtZ2UtcGxhbnQtY2xvc2luZy0yMDE3MDEyNi1zdG9yeS5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
GE Healthcare to move jobs from Maryland to Wisconsin,2017-01-27 00:00:00,https://news.google.com/./articles/CBMiS2h0dHBzOi8vYml6dGltZXMuY29tL2dlLWhlYWx0aGNhcmUtdG8tbW92ZS1qb2JzLWZyb20tbWFyeWxhbmQtdG8td2lzY29uc2luL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Real Time Location Systems (RTLS) in Healthcare Market - Key ...,2017-01-03 00:00:00,https://news.google.com/./articles/CBMiwwFodHRwczovL3d3dy5idXNpbmVzc3dpcmUuY29tL25ld3MvaG9tZS8yMDE3MDEwMzAwNTkxMC9lbi9SZWFsLVRpbWUtTG9jYXRpb24tU3lzdGVtcy1SVExTLWluLUhlYWx0aGNhcmUtTWFya2V0LS0tS2V5LVZlbmRvcnMtYXJlLVRoaW5nLU1hZ2ljLVNpZW1lbnMtSGVhbHRoY2FyZS1HRS1IZWFsdGhjYXJlLS0tUmVzZWFyY2gtYW5kLU1hcmtldHPSAQA?hl=en-US&gl=US&ceid=US%3Aen
Whole Foods moving regional HQ from Cambridge to Marlborough ...,2017-01-11 00:00:00,https://news.google.com/./articles/CBMiaWh0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9ib3N0b24vbmV3cy8yMDE3LzAxLzExL3dob2xlLWZvb2RzLW1vdmluZy1pdHMtcmVnaW9uYWwtaHEtZnJvbS1jYW1icmlkZ2UuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Affidea Center in Fundeni Clinical Institute becomes a Center of ...,2017-01-10 00:00:00,https://news.google.com/./articles/CBMinQFodHRwczovL2J1c2luZXNzLXJldmlldy5ldS9uZXdzL2FmZmlkZWEtY2VudGVyLWluLWZ1bmRlbmktY2xpbmljYWwtaW5zdGl0dXRlLWJlY29tZXMtYS1jZW50ZXItb2YtZXhjZWxsZW5jZS1pbi1vbmNvbG9neS1mb2xsb3dpbmctZXVyLTUtbWxuLWludmVzdG1lbnQtMTI4MDE20gEA?hl=en-US&gl=US&ceid=US%3Aen
Mortara Instrument to be sold,2017-01-10 00:00:00,https://news.google.com/./articles/CBMiZmh0dHBzOi8vd3d3Lmpzb25saW5lLmNvbS9zdG9yeS9tb25leS9idXNpbmVzcy9oZWFsdGgtY2FyZS8yMDE3LzAxLzEwL21vcnRhcmEtaW5zdHJ1bWVudC1zb2xkLzk2Mzk1ODQ0L9IBAA?hl=en-US&gl=US&ceid=US%3Aen
"Celtics, GE Announce Partnership",2017-01-25 00:00:00,https://news.google.com/./articles/CBMiV2h0dHBzOi8vd3d3Lm5iYS5jb20vY2VsdGljcy9uZXdzL3ByZXNzcmVsZWFzZS9jZWx0aWNzLWdlLWFubm91bmNlLW11bHRpeWVhci1wYXJ0bmVyc2hpcNIBAA?hl=en-US&gl=US&ceid=US%3Aen
"UCSF, Intel Partner for Healthcare AI, Deep Learning Project",2017-01-19 00:00:00,https://news.google.com/./articles/CBMiXWh0dHBzOi8vaGVhbHRoaXRhbmFseXRpY3MuY29tL25ld3MvdWNzZi1pbnRlbC1wYXJ0bmVyLWZvci1oZWFsdGhjYXJlLWFpLWRlZXAtbGVhcm5pbmctcHJvamVjdNIBYWh0dHBzOi8vaGVhbHRoaXRhbmFseXRpY3MuY29tL25ld3MvYW1wL3Vjc2YtaW50ZWwtcGFydG5lci1mb3ItaGVhbHRoY2FyZS1haS1kZWVwLWxlYXJuaW5nLXByb2plY3Q?hl=en-US&gl=US&ceid=US%3Aen
"Scandit, which replaces barcode scanners with phones, closes $7.5M from Atomico",2017-01-10 00:00:00,https://news.google.com/./articles/CBMib2h0dHBzOi8vdGVjaGNydW5jaC5jb20vMjAxNy8wMS8xMC9zY2FuZGl0LXdoaWNoLXJlcGxhY2VzLWJhcmNvZGUtc2Nhbm5lcnMtd2l0aC1waG9uZXMtY2xvc2VzLTctNW0tZnJvbS1hdG9taWNvL9IBc2h0dHBzOi8vdGVjaGNydW5jaC5jb20vMjAxNy8wMS8xMC9zY2FuZGl0LXdoaWNoLXJlcGxhY2VzLWJhcmNvZGUtc2Nhbm5lcnMtd2l0aC1waG9uZXMtY2xvc2VzLTctNW0tZnJvbS1hdG9taWNvL2FtcC8?hl=en-US&gl=US&ceid=US%3Aen
"After years of turmoil, Accretive Health ditches name",2017-01-05 00:00:00,https://news.google.com/./articles/CBMidmh0dHBzOi8vd3d3LmNoaWNhZ29idXNpbmVzcy5jb20vYXJ0aWNsZS8yMDE3MDEwNS9ORVdTMDMvMTcwMTA5OTE0L2FmdGVyLXllYXJzLW9mLXR1cm1vaWwtYWNjcmV0aXZlLWhlYWx0aC1kaXRjaGVzLW5hbWXSAQA?hl=en-US&gl=US&ceid=US%3Aen
