title,datetime,link
52 Places to Go in 2017,2017-01-04 00:00:00,https://news.google.com/./articles/CBMiRGh0dHBzOi8vd3d3Lm55dGltZXMuY29tL2ludGVyYWN0aXZlLzIwMTcvdHJhdmVsL3BsYWNlcy10by12aXNpdC5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
Google's AlphaGo AI secretively won more than 50 straight games ...,2017-01-04 00:00:00,https://news.google.com/./articles/CBMifGh0dHBzOi8vcXouY29tLzg3NzcyMS90aGUtYWktbWFzdGVyLWJlc3RlZC10aGUtd29ybGRzLXRvcC1nby1wbGF5ZXJzLWFuZC10aGVuLXJldmVhbGVkLWl0c2VsZi1hcy1nb29nbGVzLWFscGhhZ28taW4tZGlzZ3Vpc2XSAQA?hl=en-US&gl=US&ceid=US%3Aen
Why Killer Whales (and Humans) Go Through Menopause,2017-01-12 00:00:00,https://news.google.com/./articles/CBMiZWh0dHBzOi8vd3d3LnRoZWF0bGFudGljLmNvbS9zY2llbmNlL2FyY2hpdmUvMjAxNy8wMS93aHktZG8ta2lsbGVyLXdoYWxlcy1nby10aHJvdWdoLW1lbm9wYXVzZS81MTI3ODMv0gEA?hl=en-US&gl=US&ceid=US%3Aen
"The Story of an Iconic Obama Campaign Chant, Animated",2017-01-19 00:00:00,https://news.google.com/./articles/CBMiRGh0dHBzOi8vd3d3LnRoZWF0bGFudGljLmNvbS92aWRlby9pbmRleC81MTM2MjkvZmlyZWQtdXAtcmVhZHktdG8tZ28v0gEA?hl=en-US&gl=US&ceid=US%3Aen
Obama's 2020 goal of more college grads yet to be met,2017-01-18 00:00:00,https://news.google.com/./articles/CBMigwFodHRwczovL3d3dy5wZXdyZXNlYXJjaC5vcmcvZmFjdC10YW5rLzIwMTcvMDEvMTgvdS1zLXN0aWxsLWhhcy1hLXdheXMtdG8tZ28taW4tbWVldGluZy1vYmFtYXMtZ29hbC1vZi1wcm9kdWNpbmctbW9yZS1jb2xsZWdlLWdyYWRzL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Some Colleges Have More Students From the Top 1 Percent Than ...,2017-01-18 00:00:00,https://news.google.com/./articles/CBMihQFodHRwczovL3d3dy5ueXRpbWVzLmNvbS9pbnRlcmFjdGl2ZS8yMDE3LzAxLzE4L3Vwc2hvdC9zb21lLWNvbGxlZ2VzLWhhdmUtbW9yZS1zdHVkZW50cy1mcm9tLXRoZS10b3AtMS1wZXJjZW50LXRoYW4tdGhlLWJvdHRvbS02MC5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
Go Shockers Mobile App,2017-01-11 00:00:00,https://news.google.com/./articles/CBMiQ2h0dHBzOi8vZ29zaG9ja2Vycy5jb20vc3BvcnRzLzIwMTcvMS8xMS9nby1zaG9ja2Vycy1tb2JpbGUtYXBwLmFzcHjSAQA?hl=en-US&gl=US&ceid=US%3Aen
Google reveals secret test of AI bot to beat top Go players,2017-01-12 00:00:00,https://news.google.com/./articles/CBMiMWh0dHBzOi8vd3d3Lm5hdHVyZS5jb20vYXJ0aWNsZXMvbmF0dXJlLjIwMTcuMjEyNTPSAQA?hl=en-US&gl=US&ceid=US%3Aen
Mastering the Go-Around - FLYING Magazine,2017-01-21 00:00:00,https://news.google.com/./articles/CBMiLmh0dHBzOi8vd3d3LmZseWluZ21hZy5jb20vbWFzdGVyaW5nLWdvLWFyb3VuZC_SAQA?hl=en-US&gl=US&ceid=US%3Aen
How Amazon Go will transform the grocery experience,2017-01-09 00:00:00,https://news.google.com/./articles/CBMiW2h0dHBzOi8vd3d3LnJldGFpbGRpdmUuY29tL25ld3MvaG93LWFtYXpvbi1nby13aWxsLXRyYW5zZm9ybS10aGUtZ3JvY2VyeS1leHBlcmllbmNlLzQzMzYxNC_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Ask the RGJ: Where do fish go when it floods?,2017-01-10 00:00:00,https://news.google.com/./articles/CBMiWGh0dHBzOi8vd3d3LnJnai5jb20vc3RvcnkvbmV3cy8yMDE3LzAxLzEwL2Fzay1yZ2otd2hlcmUtZG8tZmlzaC1nby13aGVuLWZsb29kcy85NjQwMTU5NC_SAQA?hl=en-US&gl=US&ceid=US%3Aen
One problem with shutting down the circus: Where will the animals go?,2017-01-19 00:00:00,https://news.google.com/./articles/CBMif2h0dHBzOi8vd3d3Lndhc2hpbmd0b25wb3N0LmNvbS9uZXdzL2FuaW1hbGlhL3dwLzIwMTcvMDEvMTkvb25lLXByb2JsZW0td2l0aC1zaHV0dGluZy1kb3duLXRoZS1jaXJjdXMtd2hlcmUtd2lsbC10aGUtYW5pbWFscy1nby_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Dutch PM tells immigrants: 'Act normal or go away',2017-01-23 00:00:00,https://news.google.com/./articles/CBMibWh0dHBzOi8vd3d3Lndhc2hpbmd0b25wb3N0LmNvbS9uZXdzL3dvcmxkdmlld3Mvd3AvMjAxNy8wMS8yMy9kdXRjaC1wbS10ZWxscy1pbW1pZ3JhbnRzLWFjdC1ub3JtYWwtb3ItZ28tYXdheS_SAQA?hl=en-US&gl=US&ceid=US%3Aen
How to get lucky eggs in 'Pokémon Go' and how to get the most ...,2017-01-28 00:00:00,https://news.google.com/./articles/CBMiY2h0dHBzOi8vd3d3Lm1pYy5jb20vYXJ0aWNsZXMvMTY2NzAxL2hvdy10by1nZXQtbHVja3ktZWdncy1pbi1wb2tlbW9uLWdvLXVubGltaXRlZC1ndWlkZS10aXBzLXRyaWNrc9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Analysis | Where do ousted dictators go? Fewer countries now offer ...,2017-01-30 00:00:00,https://news.google.com/./articles/CBMihAFodHRwczovL3d3dy53YXNoaW5ndG9ucG9zdC5jb20vbmV3cy9tb25rZXktY2FnZS93cC8yMDE3LzAxLzMwL3doZXJlLWRvLW91c3RlZC1kaWN0YXRvcnMtZ28tZmV3ZXItY291bnRyaWVzLW5vdy1vZmZlci1hLXdhcm0td2VsY29tZS_SAQA?hl=en-US&gl=US&ceid=US%3Aen
