title,datetime,link
"Warming Up Your Car Could Get You a Ticket in Md., Va., DC",2017-01-11 00:00:00,https://news.google.com/./articles/CBMiPmh0dHBzOi8vd3d3Lm5iY3dhc2hpbmd0b24uY29tL25ld3MvbG9jYWwvY2FyLWlkbGluZy1sYXdzLzk5NzQv0gFEaHR0cHM6Ly93d3cubmJjd2FzaGluZ3Rvbi5jb20vbmV3cy9sb2NhbC9jYXItaWRsaW5nLWxhd3MvOTk3NC8_YW1wPTE?hl=en-US&gl=US&ceid=US%3Aen
30 years ago: Train crash kills 16 in Md.,2017-01-04 00:00:00,https://news.google.com/./articles/CBMiRGh0dHBzOi8vd3RvcC5jb20vbG9jYWwvMjAxNy8wMS8zMC15ZWFycy1hZ28tdHJhaW4tY3Jhc2gta2lsbHMtMTYtbWQv0gEA?hl=en-US&gl=US&ceid=US%3Aen
‘Jughead' the deer continues to elude rescuers in Md.,2017-01-27 00:00:00,https://news.google.com/./articles/CBMicGh0dHBzOi8vd3d3LndncnouY29tL2FydGljbGUvbmV3cy9sb2NhbC9tYXJ5bGFuZC9qdWdoZWFkLXRoZS1kZWVyLWNvbnRpbnVlcy10by1lbHVkZS1yZXNjdWVycy1pbi1tZC82NS0zOTM5MzE4NDPSAXRodHRwczovL3d3dy53Z3J6LmNvbS9hbXAvYXJ0aWNsZS9uZXdzL2xvY2FsL21hcnlsYW5kL2p1Z2hlYWQtdGhlLWRlZXItY29udGludWVzLXRvLWVsdWRlLXJlc2N1ZXJzLWluLW1kLzY1LTM5MzkzMTg0Mw?hl=en-US&gl=US&ceid=US%3Aen
Police investigate after man found inside SUV dies from Md. shooting,2017-01-16 00:00:00,https://news.google.com/./articles/CBMiYmh0dHBzOi8vd2psYS5jb20vbmV3cy9jcmltZS9wb2xpY2UtaW52ZXN0aWdhdGUtYWZ0ZXItbWFuLWZvdW5kLWluc2lkZS1zdXYtZGllcy1mcm9tLXNob290aW5nLWluLW1k0gFmaHR0cHM6Ly93amxhLmNvbS9hbXAvbmV3cy9jcmltZS9wb2xpY2UtaW52ZXN0aWdhdGUtYWZ0ZXItbWFuLWZvdW5kLWluc2lkZS1zdXYtZGllcy1mcm9tLXNob290aW5nLWluLW1k?hl=en-US&gl=US&ceid=US%3Aen
Interstate crash in Md. after motorcade passes; 1 dead,2019-09-14 00:00:00,https://news.google.com/./articles/CBMidGh0dHBzOi8vd3d3LmVtczEuY29tL2ZhdGFsLWluY2lkZW50cy9hcnRpY2xlcy9pbnRlcnN0YXRlLWNyYXNoLWluLW1kLWFmdGVyLW1vdG9yY2FkZS1wYXNzZXMtMS1kZWFkLVRFaVVzZTBESHNGbmxlVGUv0gEA?hl=en-US&gl=US&ceid=US%3Aen
D.C. Churches Find Promised Land in Md.,2017-01-04 00:00:00,https://news.google.com/./articles/CBMiSmh0dHBzOi8vYWZyby5jb20vZ2VudHJpZmljYXRpb24tcHVzaGVzLWQtYy1jaHVyY2hlcy1maW5kLXByb21pc2VkLWxhbmQtbWQv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Nick Mosby appointed to seat in Md. House,2017-01-27 00:00:00,https://news.google.com/./articles/CBMiRGh0dHBzOi8vdGhlZGFpbHlyZWNvcmQuY29tLzIwMTcvMDEvMjcvbmljay1tb3NieS1ob3VzZS1vZi1kZWxlZ2F0ZXMv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Parkville HS Student Earns Top Prize in MD Youth Art Month Flag ...,2017-01-10 00:00:00,https://news.google.com/./articles/CBMiaWh0dHBzOi8vcGF0Y2guY29tL21hcnlsYW5kL3Bhcmt2aWxsZS9wYXJrdmlsbGUtaHMtc3R1ZGVudC1lYXJucy10b3AtcHJpemUtbWQteW91dGgtYXJ0LW1vbnRoLWZsYWctY29udGVzdNIBAA?hl=en-US&gl=US&ceid=US%3Aen
3 additional suspects arrested for murder of NJ man found in shallow grave in Md.,2017-01-06 00:00:00,https://news.google.com/./articles/CBMiXGh0dHBzOi8vZm94YmFsdGltb3JlLmNvbS9uZXdzL2xvY2FsL3RvdGFsLW9mLTUtcGVvcGxlLWNoYXJnZWQtaW4tZGVhdGgtb2YtbmotbWFuLWZvdW5kLWluLW1k0gFgaHR0cHM6Ly9mb3hiYWx0aW1vcmUuY29tL2FtcC9uZXdzL2xvY2FsL3RvdGFsLW9mLTUtcGVvcGxlLWNoYXJnZWQtaW4tZGVhdGgtb2YtbmotbWFuLWZvdW5kLWluLW1k?hl=en-US&gl=US&ceid=US%3Aen
"Wi-Hi beats Easton, Waller is winningest coach in Md.",2017-01-05 00:00:00,https://news.google.com/./articles/CBMigQFodHRwczovL3d3dy5kZWxtYXJ2YW5vdy5jb20vc3Rvcnkvc3BvcnRzL2hpZ2gtc2Nob29sL2Jhc2tldGJhbGwvYm95cy8yMDE3LzAxLzA1L3dpLWhpLWVhc3Rvbi13YWxsZXItd2lubmluZ2VzdC1tYXJ5bGFuZC85NjIxNjU4Ni_SAQA?hl=en-US&gl=US&ceid=US%3Aen
