title,datetime,link
1 Big Misconception Around Intel Corporation’s Margins,2017-01-25 00:00:00,https://news.google.com/./articles/CBMiYWh0dHBzOi8vd3d3LmZvb2wuY29tL2ludmVzdGluZy8yMDE3LzAxLzI1LzEtYmlnLW1pc2NvbmNlcHRpb24tYXJvdW5kLWludGVsLWNvcnBvcmF0aW9ucy1tYXJnLmFzcHjSAQA?hl=en-US&gl=US&ceid=US%3Aen
AMD - The Next Chip Giant? (NASDAQ:AMD),2017-01-05 00:00:00,https://news.google.com/./articles/CBMiPGh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQwMzQ2NjItYW1kLW5leHQtY2hpcC1naWFudNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Intel Super Bowl Ad With Tom Brady to Highlight VR,2017-01-12 00:00:00,https://news.google.com/./articles/CBMiPWh0dHBzOi8vZm9ydHVuZS5jb20vMjAxNy8wMS8xMi9pbnRlbC1zdXBlci1ib3dsLWFkLXRvbS1icmFkeS_SAUFodHRwczovL2ZvcnR1bmUuY29tLzIwMTcvMDEvMTIvaW50ZWwtc3VwZXItYm93bC1hZC10b20tYnJhZHkvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen
Applied Materials: 42% Exposure To EUV Lithography Will Stunt ...,2017-01-26 00:00:00,https://news.google.com/./articles/CBMifWh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQwMzk3NzMtYXBwbGllZC1tYXRlcmlhbHMtNDItcGVyY2VudC1leHBvc3VyZS10by1ldXYtbGl0aG9ncmFwaHktd2lsbC1zdHVudC1sb25nLXRlcm0tZ3Jvd3Ro0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Cramer: The 10 Biggest Gainers of 2016, and How They Will Fare in ...",2017-01-03 00:00:00,https://news.google.com/./articles/CBMibmh0dHBzOi8vcmVhbG1vbmV5LnRoZXN0cmVldC5jb20vYXJ0aWNsZXMvMDEvMDMvMjAxNy9jcmFtZXItMTAtYmlnZ2VzdC1nYWluZXJzLTIwMTYtYW5kLWhvdy10aGV5LXdpbGwtZmFyZS0yMDE30gEA?hl=en-US&gl=US&ceid=US%3Aen
Swiss watch sector set for smartwatch boom - LVMH executive,2017-01-01 00:00:00,https://news.google.com/./articles/CBMiT2h0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9zd2lzcy13YXRjaC1zZWN0b3Itc2V0LXNtYXJ0d2F0Y2gtMTIyNjI0MTI0Lmh0bWzSAVdodHRwczovL2ZpbmFuY2UueWFob28uY29tL2FtcGh0bWwvbmV3cy9zd2lzcy13YXRjaC1zZWN0b3Itc2V0LXNtYXJ0d2F0Y2gtMTIyNjI0MTI0Lmh0bWw?hl=en-US&gl=US&ceid=US%3Aen
Will 2017 Be Intel Corporations Best Year Yet?,2017-01-19 00:00:00,https://news.google.com/./articles/CBMiUWh0dHBzOi8vd3d3LmZveGJ1c2luZXNzLmNvbS9tYXJrZXRzL3dpbGwtMjAxNy1iZS1pbnRlbC1jb3Jwb3JhdGlvbnMtYmVzdC15ZWFyLXlldNIBVWh0dHBzOi8vd3d3LmZveGJ1c2luZXNzLmNvbS9tYXJrZXRzL3dpbGwtMjAxNy1iZS1pbnRlbC1jb3Jwb3JhdGlvbnMtYmVzdC15ZWFyLXlldC5hbXA?hl=en-US&gl=US&ceid=US%3Aen
This Old Apple Slogan Perfectly Explains What's Wrong With The ...,2017-01-10 00:00:00,https://news.google.com/./articles/CBMiaGh0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvb2xkLWFwcGxlLXNsb2dhbi1wZXJmZWN0bHktZXhwbGFpbnMtd2hhdHMtd3JvbmctY29tcGFueS10b2RheS0yMDE3LTAxLTEw0gEA?hl=en-US&gl=US&ceid=US%3Aen
Ashton Kutcher Joins $70 Million Bet on Antivirus Replacer SentinelOne,2017-01-25 00:00:00,https://news.google.com/./articles/CBMiW2h0dHBzOi8vZm9ydHVuZS5jb20vMjAxNy8wMS8yNS9hbnRpdmlydXMtcmVwbGFjZXItc2VudGluZWxvbmUtcmFpc2VzLTcwLW1pbGxpb24taW4tZnVuZGluZy_SAV9odHRwczovL2ZvcnR1bmUuY29tLzIwMTcvMDEvMjUvYW50aXZpcnVzLXJlcGxhY2VyLXNlbnRpbmVsb25lLXJhaXNlcy03MC1taWxsaW9uLWluLWZ1bmRpbmcvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen
Looking At Nvidia's Competition (NASDAQ:NVDA),2017-01-18 00:00:00,https://news.google.com/./articles/CBMiRGh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQwMzc3MjctbG9va2luZy1udmlkaWFzLWNvbXBldGl0aW9u0gEA?hl=en-US&gl=US&ceid=US%3Aen
