title,datetime,link
Kraft Heinz Is Giving Its Employees the Day Off After Super Bowl Sunday,2017-01-26 00:00:00,https://news.google.com/./articles/CBMiRWh0dHBzOi8vZm9ydHVuZS5jb20vMjAxNy8wMS8yNi9rcmFmdC1oZWluei1zdXBlcmJvd2wtbW9uZGF5LXZhY2F0aW9uL9IBSWh0dHBzOi8vZm9ydHVuZS5jb20vMjAxNy8wMS8yNi9rcmFmdC1oZWluei1zdXBlcmJvd2wtbW9uZGF5LXZhY2F0aW9uL2FtcC8?hl=en-US&gl=US&ceid=US%3Aen
The Heinz Brand Launches Petition to Make Monday After the Big ...,2017-01-26 00:00:00,https://news.google.com/./articles/CBMijwFodHRwczovL3d3dy5idXNpbmVzc3dpcmUuY29tL25ld3MvaG9tZS8yMDE3MDEyNjAwNTY4OS9lbi9UaGUtSGVpbnotQnJhbmQtTGF1bmNoZXMtUGV0aXRpb24tdG8tTWFrZS1Nb25kYXktQWZ0ZXItdGhlLUJpZy1HYW1lLWEtTmF0aW9uYWwtSG9saWRhedIBAA?hl=en-US&gl=US&ceid=US%3Aen
"Heinz passes on pricy Super Bowl ad, gives some employees a day off instead",2017-01-26 00:00:00,https://news.google.com/./articles/CBMid2h0dHBzOi8vd3d3Lm1hcmtldHdhdGNoLmNvbS9zdG9yeS9oZWluei1wYXNzZXMtb24tcHJpY3ktc3VwZXItYm93bC1hZC1naXZlcy1zb21lLWVtcGxveWVlcy1hLWRheS1vZmYtaW5zdGVhZC0yMDE3LTAxLTI20gF7aHR0cHM6Ly93d3cubWFya2V0d2F0Y2guY29tL2FtcC9zdG9yeS9oZWluei1wYXNzZXMtb24tcHJpY3ktc3VwZXItYm93bC1hZC1naXZlcy1zb21lLWVtcGxveWVlcy1hLWRheS1vZmYtaW5zdGVhZC0yMDE3LTAxLTI2?hl=en-US&gl=US&ceid=US%3Aen
Kraft Heinz Brings an Iconic American VELVEETA Brand into the ...,2017-01-11 00:00:00,https://news.google.com/./articles/CBMigwFodHRwczovL3d3dy5idXNpbmVzc3dpcmUuY29tL25ld3MvaG9tZS8yMDE3MDExMTAwNjEyMC9lbi9LcmFmdC1IZWluei1CcmluZ3MtYW4tSWNvbmljLUFtZXJpY2FuLVZFTFZFRVRBLUJyYW5kLWludG8tdGhlLUZyb3plbi1BaXNsZdIBAA?hl=en-US&gl=US&ceid=US%3Aen
Mövenpick Ambassador Hotel Accra in Ghana Sold,2017-01-10 00:00:00,https://news.google.com/./articles/CBMiM2h0dHBzOi8vd3d3LmhvdGVsbmV3c3Jlc291cmNlLmNvbS9hcnRpY2xlOTI2ODYuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
"In oppressive North Korea, British traveller discovers a rich food culture",2017-01-13 00:00:00,https://news.google.com/./articles/CBMiXmh0dHBzOi8vd3d3LmFzaWFuYWdlLmNvbS9saWZlL2Zvb2QvMTMwMTE3L25vcnRoLWtvcmVhcy1mb29kLWN1bHR1cmUtY29tZXMtYXMtYS1yZXZlbGF0aW9uLmh0bWzSAWJodHRwczovL3d3dy5hc2lhbmFnZS5jb20vYW1wL2xpZmUvZm9vZC8xMzAxMTcvbm9ydGgta29yZWFzLWZvb2QtY3VsdHVyZS1jb21lcy1hcy1hLXJldmVsYXRpb24uaHRtbA?hl=en-US&gl=US&ceid=US%3Aen
Kraft Heinz exec buys North Shore home - Chicago Business Journal,2017-01-20 00:00:00,https://news.google.com/./articles/CBMiX2h0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9jaGljYWdvL25ld3MvMjAxNy8wMS8yMC9rcmFmdC1oZWluei1leGVjLWJ1eXMtbm9ydGgtc2hvcmUtaG9tZS5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Kraft Heinz CEO puts Pittsburgh home on market, shops for Chicago ...",2017-01-12 00:00:00,https://news.google.com/./articles/CBMiZ2h0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9jaGljYWdvL25ld3MvMjAxNy8wMS8xMi9rcmFmdC1oZWluei1jZW8tcHV0cy1waXR0c2J1cmdoLWhvbWUtb24tbWFya2V0Lmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
Warren Buffett Rings in New Year Bullish on Stocks,2017-01-03 00:00:00,https://news.google.com/./articles/CBMiUWh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy93YXJyZW4tYnVmZmV0dC1yaW5ncy1idWxsaXNoLXN0b2Nrcy0yMTM5NDczMzMuaHRtbNIBWWh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vYW1waHRtbC9uZXdzL3dhcnJlbi1idWZmZXR0LXJpbmdzLWJ1bGxpc2gtc3RvY2tzLTIxMzk0NzMzMy5odG1s?hl=en-US&gl=US&ceid=US%3Aen
Quantum Global acquires Mövenpick Ambassador Hotel,2017-01-12 00:00:00,https://news.google.com/./articles/CBMiamh0dHBzOi8vd3d3LmdyYXBoaWMuY29tLmdoL2J1c2luZXNzL2J1c2luZXNzLW5ld3MvcXVhbnR1bS1nbG9iYWwtYWNxdWlyZXMtbW9ldmVucGljay1hbWJhc3NhZG9yLWhvdGVsLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
