title,datetime,link
7 High-Yield Stocks Ripe For A Short Squeeze,2017-01-30 00:00:00,https://news.google.com/./articles/CBMiUWh0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvNy1oaWdoLXlpZWxkLXN0b2Nrcy1yaXBlLXNob3J0LXNxdWVlemUtMjAxNy0wMS0zMNIBAA?hl=en-US&gl=US&ceid=US%3Aen
P&G's top ad man Marc Pritchard target of billboard campaign ...,2017-02-08 00:00:00,https://news.google.com/./articles/CBMiaWh0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9jaW5jaW5uYXRpL25ld3MvMjAxNy8wMi8wOC9wLWctcy10b3AtYWQtbWFuLXRhcmdldC1vZi1iaWxsYm9hcmQtY2FtcGFpZ24uaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
This Billboard REIT Has Plenty Of Buzz (NYSE:OUT),2017-04-24 00:00:00,https://news.google.com/./articles/CBMiS2h0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQwNjQ0NTEtdGhpcy1iaWxsYm9hcmQtcmVpdC1wbGVudHktb2YtYnV6etIBAA?hl=en-US&gl=US&ceid=US%3Aen
Lamar Advertising and Recycle Across America Create 'Live,2017-04-25 00:00:00,https://news.google.com/./articles/CBMiygFodHRwczovL3d3dy5nbG9iZW5ld3N3aXJlLmNvbS9lbi9uZXdzLXJlbGVhc2UvMjAxNy8wNC8yNS85NzEwNjQvMTYxMjYvZW4vTGFtYXItQWR2ZXJ0aXNpbmctYW5kLVJlY3ljbGUtQWNyb3NzLUFtZXJpY2EtQ3JlYXRlLUxpdmUtU3RyZWFtLUJpbGxib2FyZC1DZWxlYnJpdHktUFNBLUNhbXBhaWduLXRvLVByb21vdGUtUHJvcGVyLVJlY3ljbGluZy5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Citron Gives FleetCor The Sunlight It Deserves: For Investors, Sure ...",2017-04-04 00:00:00,https://news.google.com/./articles/CBMifWh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQwNjAyMzQtY2l0cm9uLWdpdmVzLWZsZWV0Y29yLXN1bmxpZ2h0LWRlc2VydmVzLWZvci1pbnZlc3RvcnMtc3VyZS1pbXBvcnRhbnRseS1mb3ItY3VzdG9tZXJz0gEA?hl=en-US&gl=US&ceid=US%3Aen
PepsiCo: Better Than Coca-Cola At Everything (Almost) (NASDAQ ...,2017-05-05 00:00:00,https://news.google.com/./articles/CBMiU2h0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQwNjk2MjctcGVwc2ljby1iZXR0ZXItY29jYS1jb2xhLWV2ZXJ5dGhpbmctYWxtb3N00gEA?hl=en-US&gl=US&ceid=US%3Aen
Kendrick Lamr Watches Harry Mack Freestyle With Words Video,2017-07-01 00:00:00,https://news.google.com/./articles/CBMiWmh0dHBzOi8vYW1icm9zaWFmb3JoZWFkcy5jb20vMjAxNy8wNy93YXRjaC1tYy1pbnNwaXJlLWtlbmRyaWNrLWxhbWFyLXdpdGgtZnJlZXN0eWxlLXZpZGVvL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Steen sells billboard business - Philadelphia Business Journal,2017-08-07 00:00:00,https://news.google.com/./articles/CBMiZ2h0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9waGlsYWRlbHBoaWEvbmV3cy8yMDE3LzA4LzA3L2xhbWFyLWxhbXItYWNxdWlyZXMtYmlsbGJvYXJkLW93bmVyLXN0ZWVuLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
Lamar Advertising Company (LAMR) Ex-Dividend Date Scheduled ...,2017-09-13 00:00:00,https://news.google.com/./articles/CBMidmh0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvbGFtYXItYWR2ZXJ0aXNpbmctY29tcGFueS1sYW1yLWV4LWRpdmlkZW5kLWRhdGUtc2NoZWR1bGVkLXNlcHRlbWJlci0xNC0yMDE3LTIwMTctMDktMTPSAQA?hl=en-US&gl=US&ceid=US%3Aen
Kurtis Blow Says Future Is The Most Influential Rapper Who Doesn't Get Enough Credit,2018-05-17 00:00:00,https://news.google.com/./articles/CBMiYmh0dHBzOi8vd3d3LmNvbXBsZXguY29tL211c2ljLzIwMTgvMDUva3VydGlzLWJsb3ctZnV0dXJlLW1vc3QtaW5mbHVlbnRpYWwtcmFwcGVyLWRvZXNudC1nZXQtY3JlZGl00gFmaHR0cHM6Ly9hbXAud3d3LmNvbXBsZXguY29tL211c2ljLzIwMTgvMDUva3VydGlzLWJsb3ctZnV0dXJlLW1vc3QtaW5mbHVlbnRpYWwtcmFwcGVyLWRvZXNudC1nZXQtY3JlZGl0?hl=en-US&gl=US&ceid=US%3Aen
