title,datetime,link
George Soros and other fund managers fell in love with financials,2017-02-15 00:00:00,https://news.google.com/./articles/CBMibmh0dHBzOi8vd3d3Lm1hcmtldHdhdGNoLmNvbS9zdG9yeS9nZW9yZ2Utc29yb3MtYW5kLW90aGVyLWZ1bmQtbWFuYWdlcnMtZmVsbC1pbi1sb3ZlLXdpdGgtZmluYW5jaWFscy0yMDE3LTAyLTE10gFyaHR0cHM6Ly93d3cubWFya2V0d2F0Y2guY29tL2FtcC9zdG9yeS9nZW9yZ2Utc29yb3MtYW5kLW90aGVyLWZ1bmQtbWFuYWdlcnMtZmVsbC1pbi1sb3ZlLXdpdGgtZmluYW5jaWFscy0yMDE3LTAyLTE1?hl=en-US&gl=US&ceid=US%3Aen
Here's How George Soros' Stock Portfolio Is Changing,2017-03-14 00:00:00,https://news.google.com/./articles/CBMiYWh0dHBzOi8vd3d3LmZvb2wuY29tL2ludmVzdGluZy8yMDE3LzAzLzE0L2hlcmVzLWhvdy1nZW9yZ2Utc29yb3Mtc3RvY2stcG9ydGZvbGlvLWlzLWNoYW5naW5nLmFzcHjSAQA?hl=en-US&gl=US&ceid=US%3Aen
Liberty's Malone and Maffei Top the List of Most Over-Boarded ...,2017-05-22 00:00:00,https://news.google.com/./articles/CBMihwFodHRwczovL3d3dy50aGVzdHJlZXQuY29tL21hcmtldHMvY29ycG9yYXRlLWdvdmVybmFuY2UvbGliZXJ0eS1zLW1hbG9uZS1hbmQtbWFmZmVpLXRvcC10aGUtbGlzdC1vZi1tb3N0LW92ZXItYm9hcmRlZC1kaXJlY3RvcnMtMTQxNDI4MzjSAQA?hl=en-US&gl=US&ceid=US%3Aen
China Offers FC-31 Stealth Fighter At Half the Price of US F-35 ...,2017-06-20 00:00:00,https://news.google.com/./articles/CBMigAFodHRwczovL3d3dy5kZWZlbnNld29ybGQubmV0LzIwMTcvMDYvMjAvY2hpbmEtb2ZmZXJzLWZjLTMxLXN0ZWFsdGgtZmlnaHRlci1hdC1oYWxmLXRoZS1wcmljZS1vZi11cy1mLTM1LXBhcmlzLWFpci1zaG93LTIwMTcuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Malaysian Boeing F/A-18D Fleet Upgraded With Sidewinder ...,2017-07-25 00:00:00,https://news.google.com/./articles/CBMieWh0dHBzOi8vd3d3LmRlZmVuc2V3b3JsZC5uZXQvMjAxNy8wNy8yNS9tYWxheXNpYW4tYm9laW5nLWYtYS0xOGQtZmxlZXQtdXBncmFkZWQtd2l0aC1zaWRld2luZGVyLW1pc3NpbGVzLXNtYXJ0LWJvbWJzLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
Are Armed Turbo-props Here to Stay?,2017-07-19 00:00:00,https://news.google.com/./articles/CBMiT2h0dHBzOi8vd3d3LmRlZmVuc2V3b3JsZC5uZXQvMjAxNy8wNy8xOS9hcmUtYXJtZWQtdHVyYm8tcHJvcHMtaGVyZS10by1zdGF5Lmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
"Who Are Charter Communications, Inc.'s Major Shareholders?",2017-10-19 00:00:00,https://news.google.com/./articles/CBMiYWh0dHBzOi8vd3d3LmZvb2wuY29tL2ludmVzdGluZy8yMDE3LzEwLzE5L3doby1hcmUtY2hhcnRlci1jb21tdW5pY2F0aW9ucy1pbmNzLW1ham9yLXNoYXJlaG9sLmFzcHjSAQA?hl=en-US&gl=US&ceid=US%3Aen
Tracking Lou Simpson's SQ Advisors Portfolio - Q4 2017 Update,2018-02-18 00:00:00,https://news.google.com/./articles/CBMiY2h0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQxNDc5ODMtdHJhY2tpbmctbG91LXNpbXBzb25zLXNxLWFkdmlzb3JzLXBvcnRmb2xpby1xNC0yMDE3LXVwZGF0ZdIBAA?hl=en-US&gl=US&ceid=US%3Aen
Equity Versus Debt: A Showdown,2018-02-05 00:00:00,https://news.google.com/./articles/CBMiRGh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQxNDMyNDAtZXF1aXR5LXZlcnN1cy1kZWJ0LXNob3dkb3du0gEA?hl=en-US&gl=US&ceid=US%3Aen
This investor rivals Warren Buffett — and you probably haven’t heard of him,2018-05-31 00:00:00,https://news.google.com/./articles/CBMidWh0dHBzOi8vd3d3Lm1hcmtldHdhdGNoLmNvbS9zdG9yeS90aGlzLWludmVzdG9yLXJpdmFscy13YXJyZW4tYnVmZmV0dC1hbmQteW91LXByb2JhYmx5LWhhdmVudC1oZWFyZC1vZi1oaW0tMjAxOC0wNS0zMNIBeWh0dHBzOi8vd3d3Lm1hcmtldHdhdGNoLmNvbS9hbXAvc3RvcnkvdGhpcy1pbnZlc3Rvci1yaXZhbHMtd2FycmVuLWJ1ZmZldHQtYW5kLXlvdS1wcm9iYWJseS1oYXZlbnQtaGVhcmQtb2YtaGltLTIwMTgtMDUtMzA?hl=en-US&gl=US&ceid=US%3Aen
