title,datetime,link
AMERICAN THEATRE | The Spring of Lila Neugebauer,2017-01-25 00:00:00,https://news.google.com/./articles/CBMiSWh0dHBzOi8vd3d3LmFtZXJpY2FudGhlYXRyZS5vcmcvMjAxNy8wMS8yNS90aGUtc3ByaW5nLW9mLWxpbGEtbmV1Z2ViYXVlci_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Restaurant Review: Downtown Sarasota's Lila,2017-01-03 00:00:00,https://news.google.com/./articles/CBMiX2h0dHBzOi8vd3d3LnNhcmFzb3RhbWFnYXppbmUuY29tL2VhdC1hbmQtZHJpbmsvMjAxNy8wMS9yZXN0YXVyYW50LXJldmlldy1kb3dudG93bi1zYXJhc290YS1saWxh0gEA?hl=en-US&gl=US&ceid=US%3Aen
First baby of 2017 'had to make a big appearance',2017-01-02 00:00:00,https://news.google.com/./articles/CBMiaGh0dHBzOi8vd3d3LmphY2tzb25zdW4uY29tL3N0b3J5L25ld3MvbG9jYWwvMjAxNy8wMS8wMi9maXJzdC1iYWJ5LTIwMTctaGFkLW1ha2UtYmlnLWFwcGVhcmFuY2UvOTYwODE3NTgv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Sweet Potato - The Super Tuber!,2017-01-02 00:00:00,https://news.google.com/./articles/CBMiRWh0dHBzOi8vd3d3LmtxZWQub3JnL2JheWFyZWFiaXRlcy8xMTQzNDgvc3dlZXQtcG90YXRvLXRoZS1zdXBlci10dWJlctIBAA?hl=en-US&gl=US&ceid=US%3Aen
Buzzy Beverages: 3 Ancient Libations To Take The Edge Off Modern ...,2017-01-16 00:00:00,https://news.google.com/./articles/CBMibmh0dHBzOi8vd3d3LmtxZWQub3JnL2JheWFyZWFiaXRlcy8xMTQ2MDAvYnV6enktYmV2ZXJhZ2VzLTMtYW5jaWVudC1saWJhdGlvbnMtdG8tdGFrZS10aGUtZWRnZS1vZmYtbW9kZXJuLXRpbWVz0gEA?hl=en-US&gl=US&ceid=US%3Aen
Anawan Cliffs house sells for $2.75M,2017-01-26 00:00:00,https://news.google.com/./articles/CBMijAFodHRwczovL3d3dy5wcm92aWRlbmNlam91cm5hbC5jb20vc3RvcnkvYnVzaW5lc3MvcmVhbC1lc3RhdGUvMjAxNy8wMS8yNi9yaS1yZWFsLWVzdGF0ZS1ub3Rlcy1hbmF3YW4tY2xpZmZzLWhvdXNlLXNlbGxzLWZvci0yNzVtLzIyNTQ5MTc0MDA3L9IBAA?hl=en-US&gl=US&ceid=US%3Aen
"Jury: Capobianco's crime was 'heinous' | News, Sports, Jobs",2017-01-04 00:00:00,https://news.google.com/./articles/CBMiVGh0dHBzOi8vd3d3Lm1hdWluZXdzLmNvbS9uZXdzL2xvY2FsLW5ld3MvMjAxNy8wMS9qdXJ5LWNhcG9iaWFuY29zLWNyaW1lLXdhcy1oZWlub3VzL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Elena Ferrante’s ‘My Brilliant Friend’ and the World-Changing Power of Female Friendships,2017-01-12 00:00:00,https://news.google.com/./articles/CBMiUmh0dHBzOi8vdmVyaWx5bWFnLmNvbS8yMDE3LzAxL2VsZW5hLWZlcnJhbnRlLW15LWJyaWxsaWFudC1mcmllbmQtZmVtYWxlLWZyaWVuZHNoaXDSAVdodHRwczovL3ZlcmlseW1hZy5jb20vLmFtcC8yMDE3LzAxL2VsZW5hLWZlcnJhbnRlLW15LWJyaWxsaWFudC1mcmllbmQtZmVtYWxlLWZyaWVuZHNoaXA?hl=en-US&gl=US&ceid=US%3Aen
"A life of privilege, but starving for self-worth",2017-01-28 00:00:00,https://news.google.com/./articles/CBMifWh0dHBzOi8vd3d3LmhlcmFsZHRyaWJ1bmUuY29tL3N0b3J5L25ld3MvbG9jYWwvc2FyYXNvdGEvMjAxNy8wMS8yOC9saWZlLW9mLXByaXZpbGVnZS1idXQtc3RhcnZpbmctZm9yLXNlbGYtd29ydGgvMjI1ODkxNzgwMDcv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Mural for neonatal unit focuses on cultural practices related to birth,2017-01-24 00:00:00,https://news.google.com/./articles/CBMieGh0dHBzOi8vd3d3Lm1hdWluZXdzLmNvbS9uZXdzL2xvY2FsLW5ld3MvMjAxNy8wMS9tdXJhbC1mb3ItbmVvbmF0YWwtdW5pdC1mb2N1c2VzLW9uLWN1bHR1cmFsLXByYWN0aWNlcy1yZWxhdGVkLXRvLWJpcnRoL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
"How to create new good habits, according to Stanford psychologist ...",2017-01-04 00:00:00,https://news.google.com/./articles/CBMiX2h0dHBzOi8vcXouY29tLzg3Nzc5NS9ob3ctdG8tY3JlYXRlLW5ldy1nb29kLWhhYml0cy1hY2NvcmRpbmctdG8tc3RhbmZvcmQtcHN5Y2hvbG9naXN0LWItai1mb2dn0gEA?hl=en-US&gl=US&ceid=US%3Aen
