title,datetime,link
MongoDB: Riding The Data Wave (NASDAQ:MDB),2020-01-17 00:00:00,https://news.google.com/./articles/CBMiQWh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQzMTc2ODEtbW9uZ29kYi1yaWRpbmctZGF0YS13YXZl0gEA?hl=en-US&gl=US&ceid=US%3Aen
MongoDB Announces Pricing of Upsized $1.0 Billion Convertible ...,2020-01-10 00:00:00,https://news.google.com/./articles/CBMiigFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL21vbmdvZGItYW5ub3VuY2VzLXByaWNpbmctb2YtdXBzaXplZC0xLTAtYmlsbGlvbi1jb252ZXJ0aWJsZS1zZW5pb3Itbm90ZXMtb2ZmZXJpbmctMzAwOTg0ODY4Lmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
IEC welcomes demarcation board's public process for new ward ...,2020-01-23 00:00:00,https://news.google.com/./articles/CBMibWh0dHBzOi8vd3d3Lm5ld3MyNC5jb20vbmV3czI0L2llYy13ZWxjb21lcy1kZW1hcmNhdGlvbi1ib2FyZHMtcHVibGljLXByb2Nlc3MtZm9yLW5ldy13YXJkLWJvdW5kYXJpZXMtMjAyMDAxMjPSAQA?hl=en-US&gl=US&ceid=US%3Aen
"Microsoft Access Vulnerability Could Leave 85,000 Businesses Exposed",2020-01-07 00:00:00,https://news.google.com/./articles/CBMiQ2h0dHBzOi8vZm9ydHVuZS5jb20vMjAyMC8wMS8wNy9taWNyb3NvZnQtYWNjZXNzLXNlY3VyaXR5LWZsYXctMjAyMC_SAUdodHRwczovL2ZvcnR1bmUuY29tLzIwMjAvMDEvMDcvbWljcm9zb2Z0LWFjY2Vzcy1zZWN1cml0eS1mbGF3LTIwMjAvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen
Key 1MDB journalists slam Straits Times interview with Jho Low,2020-01-08 00:00:00,https://news.google.com/./articles/CBMiaGh0dHBzOi8vc2cubmV3cy55YWhvby5jb20va2V5LTEtbWRiLWpvdXJuYWxpc3RzLXNsYW0tc3RyYWl0cy10aW1lcy1pbnRlcnZpZXctd2l0aC1qaG8tbG93LTA5MDcwNzMwNC5odG1s0gFwaHR0cHM6Ly9zZy5uZXdzLnlhaG9vLmNvbS9hbXBodG1sL2tleS0xLW1kYi1qb3VybmFsaXN0cy1zbGFtLXN0cmFpdHMtdGltZXMtaW50ZXJ2aWV3LXdpdGgtamhvLWxvdy0wOTA3MDczMDQuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen
January 2020: River tour during SRP meeting spotlights local ...,nan,https://news.google.com/./articles/CBMiQGh0dHBzOi8vZmFjdG9yLm5pZWhzLm5paC5nb3YvMjAyMC8xL2NvbW11bml0eS1pbXBhY3Qvc3JwLW1lZXRpbmfSAQA?hl=en-US&gl=US&ceid=US%3Aen
"Pizzarotti's Chelsea Condo Job Stalls Amid Liens, Lawsuits",2020-01-20 00:00:00,https://news.google.com/./articles/CBMiXmh0dHBzOi8vdGhlcmVhbGRlYWwuY29tL25ldy15b3JrLzIwMjAvMDEvMjAvbGF3c3VpdHMtbGllbnMtcGlsZS11cC1vbi1zdGFsbGVkLWNoZWxzZWEtcHJvamVjdC_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Charting the course for SDG financing in the decade of delivery,2020-01-21 00:00:00,https://news.google.com/./articles/CBMiT2h0dHBzOi8vd3d3LndlZm9ydW0ub3JnL2FnZW5kYS8yMDIwLzAxL3VubG9ja2luZy1zZGctZmluYW5jaW5nLWRlY2FkZS1kZWxpdmVyeS_SAQA?hl=en-US&gl=US&ceid=US%3Aen
10 Albums That Influenced Grey Skies Fallen's new “Cold Dead ...,2020-01-13 00:00:00,https://news.google.com/./articles/CBMiX2h0dHBzOi8vd3d3LmJyb29rbHludmVnYW4uY29tLzEwLWFsYnVtcy10aGF0LWluZmx1ZW5jZWQtZ3JleS1za2llcy1mYWxsZW5zLW5ldy1jb2xkLWRlYWQtbGFuZHMv0gEA?hl=en-US&gl=US&ceid=US%3Aen
My Dying Bride — Ghost of Orion — The Interview,2020-01-22 00:00:00,https://news.google.com/./articles/CBMiS2h0dHBzOi8vcmFtemluZS5jby51ay9mZWF0dXJlZC9teS1keWluZy1icmlkZS1naG9zdC1vZi1vcmlvbi10aGUtaW50ZXJ2aWV3L9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Property transfers (November 2019) | Business | state-journal.com,2020-01-15 00:00:00,https://news.google.com/./articles/CBMieWh0dHBzOi8vd3d3LnN0YXRlLWpvdXJuYWwuY29tL2J1c2luZXNzL3Byb3BlcnR5LXRyYW5zZmVycy1ub3ZlbWJlci0yMDE5L2FydGljbGVfNGI1ZWUwMWEtMzdhMS0xMWVhLTk0ZDEtZDNkOGY0NmJjNjFiLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
What Were Discussed In The Shocking Audio Clips Of Najib,2020-01-08 00:00:00,https://news.google.com/./articles/CBMiWWh0dHBzOi8vd3d3LnVucmVzZXJ2ZWRtZWRpYS5jb20vd2hhdC13ZXJlLWRpc2N1c3NlZC1pbi10aGUtc2hvY2tpbmctYXVkaW8tY2xpcHMtb2YtbmFqaWIv0gFdaHR0cHM6Ly93d3cudW5yZXNlcnZlZG1lZGlhLmNvbS93aGF0LXdlcmUtZGlzY3Vzc2VkLWluLXRoZS1zaG9ja2luZy1hdWRpby1jbGlwcy1vZi1uYWppYi8_YW1w?hl=en-US&gl=US&ceid=US%3Aen
Conflict in the Chico Mendes Reserve threatens this pioneering ...,2020-01-16 00:00:00,https://news.google.com/./articles/CBMicmh0dHBzOi8vbmV3cy5tb25nYWJheS5jb20vMjAyMC8wMS9jb25mbGljdC1pbi10aGUtY2hpY28tbWVuZGVzLXJlc2VydmUtdGhyZWF0ZW4tdGhpcy1waW9uZWVyaW5nLWFtYXpvbmlhbi1wcm9qZWN0L9IBdmh0dHBzOi8vbmV3cy5tb25nYWJheS5jb20vMjAyMC8wMS9jb25mbGljdC1pbi10aGUtY2hpY28tbWVuZGVzLXJlc2VydmUtdGhyZWF0ZW4tdGhpcy1waW9uZWVyaW5nLWFtYXpvbmlhbi1wcm9qZWN0L2FtcC8?hl=en-US&gl=US&ceid=US%3Aen
AKA Shares His Top 5 New Wave Base Hottest MCs List,2020-01-22 00:00:00,https://news.google.com/./articles/CBMiVmh0dHBzOi8vc2FoaXBob3BtYWcuY28uemEvMjAyMC8wMS9ha2Etc2hhcmVzLWhpcy10b3AtNS1uZXctd2F2ZS1iYXNlLWhvdHRlc3QtbWNzLWxpc3Qv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Allocation of Risk in Construction Contracts- January 2020,2020-01-07 00:00:00,https://news.google.com/./articles/CBMiU2h0dHBzOi8vd3d3LmxleG9sb2d5LmNvbS9saWJyYXJ5L2RldGFpbC5hc3B4P2c9YjExNTA4MjMtOTliMy00NzhmLWI5OWItNjk5YzIxMjg1OTA00gEA?hl=en-US&gl=US&ceid=US%3Aen
New Orlando businesses for week of Dec. 15,2020-01-08 00:00:00,https://news.google.com/./articles/CBMie2h0dHBzOi8vd3d3Lm9ybGFuZG9zZW50aW5lbC5jb20vYnVzaW5lc3Mvb3MtYnotb3JsYW5kby1uZXctYnVzaW5lc3Nlcy0wMTA4MjAtMjAyMDAxMDgtN2kyaWh5bHliemdrM21vYjRhZXdpM2E1Ym0tc3RvcnkuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Chris Precht and Arthur Mamou-Mani use sand to 3D print pavilion ...,2020-01-20 00:00:00,https://news.google.com/./articles/CBMiW2h0dHBzOi8vd3d3LmRlemVlbi5jb20vMjAyMC8wMS8yMC9zYW5kd2F2ZXMtcHJlY2h0LWFydGh1ci1tYW1vdS1tYW5pLXBhdmlsaW9uLXNhdWRpLWFyYWJpYS_SAV9odHRwczovL3d3dy5kZXplZW4uY29tLzIwMjAvMDEvMjAvc2FuZHdhdmVzLXByZWNodC1hcnRodXItbWFtb3UtbWFuaS1wYXZpbGlvbi1zYXVkaS1hcmFiaWEvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen
Czech firearms producer Ceska Zbrojovka plans IPO to fund US ...,2020-01-07 00:00:00,https://news.google.com/./articles/CBMiZmh0dHBzOi8vaW50ZWxsaW5ld3MuY29tL2N6ZWNoLWZpcmVhcm1zLXByb2R1Y2VyLWNlc2thLXpicm9qb3ZrYS1wbGFucy1pcG8tdG8tZnVuZC11cy1leHBhbnNpb24tMTc0MDA1L9IBAA?hl=en-US&gl=US&ceid=US%3Aen
"From Germany, Eni's 'new light painting' illuminates the future",2020-01-05 00:00:00,https://news.google.com/./articles/CBMiVGh0dHBzOi8vZ3VhcmRpYW4ubmcvYXJ0L2Zyb20tZ2VybWFueS1lbmlzLW5ldy1saWdodC1wYWludGluZy1pbGx1bWluYXRlcy10aGUtZnV0dXJlL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Gung Hay Fat Choy! Welcome To The Year Of The Rat!,2020-01-22 00:00:00,https://news.google.com/./articles/CBMiU2h0dHBzOi8vd3d3LmRvZ29uZXdzLmNvbS8yMDIwLzEvMjIvZ3VuZy1oYXktZmF0LWNob3ktd2VsY29tZS10by10aGUteWVhci1vZi10aGUtcmF00gEA?hl=en-US&gl=US&ceid=US%3Aen
Russian nuclear power plants produce a record 208bn kWh in 2019,2020-01-06 00:00:00,https://news.google.com/./articles/CBMiY2h0dHBzOi8vd3d3LmludGVsbGluZXdzLmNvbS9ydXNzaWFuLW51Y2xlYXItcG93ZXItcGxhbnRzLXByb2R1Y2UtYS1yZWNvcmQtMjA4Ym4ta3doLWluLTIwMTktMTc0MDExL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
MOSCOW BLOG: Is Putin a megalomaniac?,2020-01-17 00:00:00,https://news.google.com/./articles/CBMiR2h0dHBzOi8vd3d3LmludGVsbGluZXdzLmNvbS9tb3Njb3ctYmxvZy1pcy1wdXRpbi1hLW1lZ2Fsb21hbmlhYy0xNzQ4MDMv0gEA?hl=en-US&gl=US&ceid=US%3Aen
US killing of Iran's top general risks all-out Middle East war,2020-01-03 00:00:00,https://news.google.com/./articles/CBMiYmh0dHBzOi8vd3d3LmludGVsbGluZXdzLmNvbS91cy1raWxsaW5nLW9mLWlyYW4tcy10b3AtZ2VuZXJhbC1yaXNrcy1hbGwtb3V0LW1pZGRsZS1lYXN0LXdhci0xNzM4Nzkv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Sanctions-hammered Iran saw GDP shrink 8.7% in 2019 and can't ...,2020-01-10 00:00:00,https://news.google.com/./articles/CBMiggFodHRwczovL2ludGVsbGluZXdzLmNvbS9zYW5jdGlvbnMtaGFtbWVyZWQtaXJhbi1zYXctZ2RwLXNocmluay04LTctaW4tMjAxOS1hbmQtY2FuLXQtZXhwZWN0LWdyb3d0aC1pbi0yMDIwLXNheXMtd29ybGQtYmFuay0xNzQzNTUv0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Israel, Nato offer Trump only lukewarm support over slaying of Iran's ...",2020-01-06 00:00:00,https://news.google.com/./articles/CBMicmh0dHBzOi8vd3d3LmludGVsbGluZXdzLmNvbS9pc3JhZWwtbmF0by1vZmZlci10cnVtcC1vbmx5LWx1a2V3YXJtLXN1cHBvcnQtb3Zlci1zbGF5aW5nLW9mLWlyYW4tcy1zb2xlaW1hbmktMTczOTkyL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
"Real disposable income in Russia up by 0.8% in 2019, more hoped ...",2020-01-29 00:00:00,https://news.google.com/./articles/CBMiZmh0dHBzOi8vaW50ZWxsaW5ld3MuY29tL3JlYWwtZGlzcG9zYWJsZS1pbmNvbWUtaW4tcnVzc2lhLXVwLWJ5LTAtOC1pbi0yMDE5LW1vcmUtaG9wZWQtZm9yLTIwMjAtMTc1NTI0L9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Ukraine's domestic bond market off to a strong start in 2020 as yields ...,2020-01-23 00:00:00,https://news.google.com/./articles/CBMieGh0dHBzOi8vd3d3LmludGVsbGluZXdzLmNvbS91a3JhaW5lLXMtZG9tZXN0aWMtYm9uZC1tYXJrZXQtb2ZmLXRvLWEtc3Ryb25nLXN0YXJ0LWluLTIwMjAtYXMteWllbGRzLWZhbGwtYmVsb3ctMTAtMTc1MTU1L9IBAA?hl=en-US&gl=US&ceid=US%3Aen
"US envoy says Serbia, Kosovo agree in principle to restore rail links",2020-01-26 00:00:00,https://news.google.com/./articles/CBMidmh0dHBzOi8vd3d3LmludGVsbGluZXdzLmNvbS91cy1lbnZveS1zYXlzLXNlcmJpYS1rb3Nvdm8tYWdyZWUtaW4tcHJpbmNpcGxlLXRvLXJlc3RvcmUtcmFpbC1saW5rcy0xNzUzMDUvP3NvdXJjZT1rb3Nvdm_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Montenegro church law creates rift with Serbia,2020-01-05 00:00:00,https://news.google.com/./articles/CBMiTmh0dHBzOi8vaW50ZWxsaW5ld3MuY29tL21vbnRlbmVncm8tY2h1cmNoLWxhdy1jcmVhdGVzLXJpZnQtd2l0aC1zZXJiaWEtMTczOTAyL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
TURKEY INSIGHT: “How long can this go on?” The puzzle of Borsa ...,2020-01-23 00:00:00,https://news.google.com/./articles/CBMiamh0dHBzOi8vd3d3LmludGVsbGluZXdzLmNvbS90dXJrZXktaW5zaWdodC10aGUtcHV6emxlLW9mLWJvcnNhLWlzdGFuYnVsLXMtZm9yZWlnbi1oZWxkLXNoYXJlcy1ib29tLTE3NTE5Mi_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Slovenia ranks first in emerging Europe in social mobility,2020-01-21 00:00:00,https://news.google.com/./articles/CBMiWmh0dHBzOi8vaW50ZWxsaW5ld3MuY29tL3Nsb3ZlbmlhLXJhbmtzLWZpcnN0LWluLWVtZXJnaW5nLWV1cm9wZS1pbi1zb2NpYWwtbW9iaWxpdHktMTc1MDEyL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
OUTLOOK 2020 Romania,2020-01-10 00:00:00,https://news.google.com/./articles/CBMiNGh0dHBzOi8vaW50ZWxsaW5ld3MuY29tL291dGxvb2stMjAyMC1yb21hbmlhLTE3NDM0MC_SAQA?hl=en-US&gl=US&ceid=US%3Aen
OUTLOOK 2020 Hungary,2020-01-06 00:00:00,https://news.google.com/./articles/CBMiOGh0dHBzOi8vd3d3LmludGVsbGluZXdzLmNvbS9vdXRsb29rLTIwMjAtaHVuZ2FyeS0xNzM5ODEv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Romania issues €3bn Eurobonds as it returns to international ...,2020-01-22 00:00:00,https://news.google.com/./articles/CBMifmh0dHBzOi8vd3d3LmludGVsbGluZXdzLmNvbS9yb21hbmlhLWlzc3Vlcy0zYm4tZXVyb2JvbmRzLWFzLWl0LXJldHVybnMtdG8taW50ZXJuYXRpb25hbC1tYXJrZXRzLWZvci1maXJzdC10aW1lLWluLTIwMjAtMTc1MDUxL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
OUTLOOK 2020 Kazakhstan,2020-01-01 00:00:00,https://news.google.com/./articles/CBMiO2h0dHBzOi8vd3d3LmludGVsbGluZXdzLmNvbS9vdXRsb29rLTIwMjAta2F6YWtoc3Rhbi0xNzM4Njgv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Western Balkans countries sink on latest Corruption Perceptions Index,2020-01-23 00:00:00,https://news.google.com/./articles/CBMiZWh0dHBzOi8vaW50ZWxsaW5ld3MuY29tL3dlc3Rlcm4tYmFsa2Fucy1jb3VudHJpZXMtc2luay1vbi1sYXRlc3QtY29ycnVwdGlvbi1wZXJjZXB0aW9ucy1pbmRleC0xNzUxODMv0gEA?hl=en-US&gl=US&ceid=US%3Aen
OUTLOOK 2020 Georgia,2020-01-21 00:00:00,https://news.google.com/./articles/CBMiOGh0dHBzOi8vd3d3LmludGVsbGluZXdzLmNvbS9vdXRsb29rLTIwMjAtZ2VvcmdpYS0xNzUwMDIv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Romania to scrap deal with Chinese partner to expand Cernavoda ...,2020-01-21 00:00:00,https://news.google.com/./articles/CBMidmh0dHBzOi8vd3d3LmludGVsbGluZXdzLmNvbS9yb21hbmlhLXRvLXNjcmFwLWRlYWwtd2l0aC1jaGluZXNlLXBhcnRuZXItdG8tZXhwYW5kLWNlcm5hdm9kYS1udWNsZWFyLXBvd2VyLXBsYW50LTE3NDk2OC_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Erdogan blasts Abu Dhabi's 'bankrolling of Russian mercenaries in ...,2020-01-29 00:00:00,https://news.google.com/./articles/CBMihwFodHRwczovL2ludGVsbGluZXdzLmNvbS9lcmRvZ2FuLWJsYXN0cy1hYnUtZGhhYmktcy1iYW5rcm9sbGluZy1vZi1ydXNzaWFuLW1lcmNlbmFyaWVzLWluLWxpYnlhLWFuZC1sYXRlc3Qta3JlbWxpbi1yb2xlLWluLXN5cmlhLTE3NTU0OC_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Putin calls for constitutional changes to shift power to Duma during ...,2020-01-15 00:00:00,https://news.google.com/./articles/CBMihwFodHRwczovL3d3dy5pbnRlbGxpbmV3cy5jb20vcHV0aW4tY2FsbHMtZm9yLWNvbnN0aXR1dGlvbmFsLWNoYW5nZXMtdG8tc2hpZnQtcG93ZXItdG8tZHVtYS1kdXJpbmctaGlzLXN0YXRlLW9mLXRoZS1uYXRpb24tc3BlZWNoLTE3NDYyMS_SAQA?hl=en-US&gl=US&ceid=US%3Aen
OUTLOOK 2020 Kosovo,2020-01-10 00:00:00,https://news.google.com/./articles/CBMiN2h0dHBzOi8vd3d3LmludGVsbGluZXdzLmNvbS9vdXRsb29rLTIwMjAta29zb3ZvLTE3NDMzOS_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Russia's Sheremetyevo international airport named most punctual ...,2020-01-07 00:00:00,https://news.google.com/./articles/CBMif2h0dHBzOi8vd3d3LmludGVsbGluZXdzLmNvbS9ydXNzaWEtcy1zaGVyZW1ldHlldm8taW50ZXJuYXRpb25hbC1haXJwb3J0LW5hbWVkLW1vc3QtcHVuY3R1YWwtYW5kLWJlc3QtZW1wbG95ZXItaW4tcnVzc2lhLTE3NDA0MS_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Zoran Milanovic defeats incumbent to become Croatia’s new president,2020-01-06 00:00:00,https://news.google.com/./articles/CBMiXmh0dHBzOi8vd3d3LmJuZS5ldS96b3Jhbi1taWxhbm92aWMtZGVmZWF0cy1pbmN1bWJlbnQtdG8tYmVjb21lLWNyb2F0aWEtcy1uZXctcHJlc2lkZW50LTE3Mzk2Mi_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Recent events have affected Malta's reputation as an investment ...,2020-01-12 00:00:00,https://news.google.com/./articles/CBMinwFodHRwczovL3d3dy5pbmRlcGVuZGVudC5jb20ubXQvYXJ0aWNsZXMvMjAyMC0wMS0xMi9sb2NhbC1uZXdzL1JlY2VudC1ldmVudHMtaGF2ZS1hZmZlY3RlZC1NYWx0YS1zLXJlcHV0YXRpb24tYXMtYW4taW52ZXN0bWVudC1kZXN0aW5hdGlvbi1lY29ub21pc3RzLTY3MzYyMTgyOTPSAQA?hl=en-US&gl=US&ceid=US%3Aen
