title,datetime,link
Middle Schools,2017-01-10 00:00:00,https://news.google.com/./articles/CBMiRWh0dHA6Ly93d3cuc2Nwcy5rMTIuZmwudXMvc2Nob29scy9zY2hvb2wtbGlzdGluZ3MvbWlkZGxlLXNjaG9vbHMuc3RtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
ABC Renews ‘The Middle’ for Season 9,2017-01-25 00:00:00,https://news.google.com/./articles/CBMiRmh0dHBzOi8vdmFyaWV0eS5jb20vMjAxNy90di9uZXdzL3RoZS1taWRkbGUtcmVuZXdlZC1zOS1hYmMtMTIwMTk2OTUzNS_SAUpodHRwczovL3ZhcmlldHkuY29tLzIwMTcvdHYvbmV3cy90aGUtbWlkZGxlLXJlbmV3ZWQtczktYWJjLTEyMDE5Njk1MzUvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen
H.S. Wrestling: Schooley clinches match as Seals edge Midd-West,2017-01-26 00:00:00,https://news.google.com/./articles/CBMinQFodHRwczovL3d3dy5kYWlseWl0ZW0uY29tL3Nwb3J0cy9sb2NhbF9zcG9ydHMvaC1zLXdyZXN0bGluZy1zY2hvb2xleS1jbGluY2hlcy1tYXRjaC1hcy1zZWFscy1lZGdlLW1pZGQtd2VzdC9hcnRpY2xlXzI0OTMyYTM0LWQxMjUtNTZjMi1iMzMxLTEyOTRlNzU0NTczMC5odG1s0gGhAWh0dHBzOi8vd3d3LmRhaWx5aXRlbS5jb20vc3BvcnRzL2xvY2FsX3Nwb3J0cy9oLXMtd3Jlc3RsaW5nLXNjaG9vbGV5LWNsaW5jaGVzLW1hdGNoLWFzLXNlYWxzLWVkZ2UtbWlkZC13ZXN0L2FydGljbGVfMjQ5MzJhMzQtZDEyNS01NmMyLWIzMzEtMTI5NGU3NTQ1NzMwLmFtcC5odG1s?hl=en-US&gl=US&ceid=US%3Aen
Middle Class Income Is Not Stagnating,2017-01-18 00:00:00,https://news.google.com/./articles/CBMiSmh0dHBzOi8vd3d3Lm5hdGlvbmFscmV2aWV3LmNvbS8yMDE3LzAxL21pZGRsZS1jbGFzcy1pbmNvbWUtbm90LXN0YWduYXRpbmcv0gEA?hl=en-US&gl=US&ceid=US%3Aen
What life was like for a medieval leper,2017-01-26 00:00:00,https://news.google.com/./articles/CBMiWGh0dHBzOi8vd3d3LmNubi5jb20vMjAxNy8wMS8yNi9oZWFsdGgvbGVwcm9zeS1tZWRpZXZhbC1waWxncmltLXNrZWxldG9uLXN0dWR5L2luZGV4Lmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
An Enormous Crack Just Opened Up In The Middle Of The Arizona Desert,2017-01-30 00:00:00,https://news.google.com/./articles/CBMiX2h0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvdHJldm9ybmFjZS8yMDE3LzAxLzMwL2Vub3Jtb3VzLWNyYWNrLW9wZW5lZC1taWRkbGUtYXJpem9uYS1kZXNlcnQv0gFjaHR0cHM6Ly93d3cuZm9yYmVzLmNvbS9zaXRlcy90cmV2b3JuYWNlLzIwMTcvMDEvMzAvZW5vcm1vdXMtY3JhY2stb3BlbmVkLW1pZGRsZS1hcml6b25hLWRlc2VydC9hbXAv?hl=en-US&gl=US&ceid=US%3Aen
Middle Eastern immigrants are some of America's top entrepreneurs,2017-01-30 00:00:00,https://news.google.com/./articles/CBMiZ2h0dHBzOi8vd3d3LnZpY2UuY29tL2VuL2FydGljbGUvZ3lkYWt3L21pZGRsZS1lYXN0ZXJuLWltbWlncmFudHMtYXJlLXNvbWUtb2YtYW1lcmljYXMtdG9wLWVudHJlcHJlbmV1cnPSAQA?hl=en-US&gl=US&ceid=US%3Aen
How Efficiency Is Wiping Out the Middle Class,2017-01-25 00:00:00,https://news.google.com/./articles/CBMiZ2h0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMTcvMDEvMjUvYnVzaW5lc3MvZGVhbGJvb2svaG93LWVmZmljaWVuY3ktaXMtd2lwaW5nLW91dC10aGUtbWlkZGxlLWNsYXNzLmh0bWzSAWtodHRwczovL3d3dy5ueXRpbWVzLmNvbS8yMDE3LzAxLzI1L2J1c2luZXNzL2RlYWxib29rL2hvdy1lZmZpY2llbmN5LWlzLXdpcGluZy1vdXQtdGhlLW1pZGRsZS1jbGFzcy5hbXAuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen
"Once again, the Texas Legislature is mostly white, male, middle-aged",2017-01-09 00:00:00,https://news.google.com/./articles/CBMiWGh0dHBzOi8vd3d3LnRleGFzdHJpYnVuZS5vcmcvMjAxNy8wMS8wOS90ZXhhcy1sZWdpc2xhdHVyZS1tb3N0bHktd2hpdGUtbWFsZS1taWRkbGUtYWdlZC_SAQA?hl=en-US&gl=US&ceid=US%3Aen
"After testy debate, school board names new middle school Milagro",2017-01-10 00:00:00,https://news.google.com/./articles/CBMiogFodHRwczovL3d3dy5zYW50YWZlbmV3bWV4aWNhbi5jb20vbmV3cy9lZHVjYXRpb24vYWZ0ZXItdGVzdHktZGViYXRlLXNjaG9vbC1ib2FyZC1uYW1lcy1uZXctbWlkZGxlLXNjaG9vbC1taWxhZ3JvL2FydGljbGVfNmE4N2FlMDgtZWZkOC01YWU5LTlmZDYtZTFlM2I2ZTY1YWM1Lmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
