title,datetime,link
"Monster Energy Co., Stadium Blitz, Agree To Title Partnership For ...",2020-01-30 00:00:00,https://news.google.com/./articles/CBMijgFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL21vbnN0ZXItZW5lcmd5LWNvLXN0YWRpdW0tYmxpdHotYWdyZWUtdG8tdGl0bGUtcGFydG5lcnNoaXAtZm9yLW9jci1jaGFtcGlvbnNoaXAtc2VyaWVzLTMwMDk5NjEzMi5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Nasdaq 100 Movers: AAL, ISRG",2020-01-10 00:00:00,https://news.google.com/./articles/CBMiRmh0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvbmFzZGFxLTEwMC1tb3ZlcnM6LWFhbC1pc3JnLTIwMjAtMDEtMTDSAQA?hl=en-US&gl=US&ceid=US%3Aen
Rob Gronkowski joins bros in Harvard Business School lecture,2020-01-31 00:00:00,https://news.google.com/./articles/CBMiVGh0dHBzOi8vd3d3LmZveGJ1c2luZXNzLmNvbS9tb25leS9yb2ItZ3Jvbmtvd3NraS1wcmVzZW50cy1hdC1oYXJ2YXJkLWJ1c2luZXNzLXNjaG9vbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Coca-Cola Energy commercial pegged for Super Bowl LIV - Atlanta ...,2020-01-30 00:00:00,https://news.google.com/./articles/CBMiaGh0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9hdGxhbnRhL25ld3MvMjAyMC8wMS8zMC9jb2NhLWNvbGEtc3VwZXItYm93bC1jb21tZXJjaWFsLXRvLXBsdWctaXRzLW5ldy5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
How Much Is Lamar Jackson Worth?,2020-01-09 00:00:00,https://news.google.com/./articles/CBMiRGh0dHBzOi8vd3d3LnRoZXN0cmVldC5jb20vbGlmZXN0eWxlL3doYXQtaXMtbGFtYXItamFja3NvbnMtbmV0LXdvcnRo0gEA?hl=en-US&gl=US&ceid=US%3Aen
Monster Beverage Reports 2019 Fourth Quarter and Full Year ...,2020-02-27 00:00:00,https://news.google.com/./articles/CBMimwFodHRwczovL3d3dy5nbG9iZW5ld3N3aXJlLmNvbS9lbi9uZXdzLXJlbGVhc2UvMjAyMC8wMi8yNy8xOTkyMjM5LzEwMTkzL2VuL01vbnN0ZXItQmV2ZXJhZ2UtUmVwb3J0cy0yMDE5LUZvdXJ0aC1RdWFydGVyLWFuZC1GdWxsLVllYXItRmluYW5jaWFsLVJlc3VsdHMuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
"Charting a bearish technical tilt, S&P 500 plunges to caution zone",2020-02-25 00:00:00,https://news.google.com/./articles/CBMidmh0dHBzOi8vd3d3Lm1hcmtldHdhdGNoLmNvbS9zdG9yeS9jaGFydGluZy1hLWJlYXJpc2gtdGVjaG5pY2FsLXRpbHQtc3AtNTAwLXBsdW5nZXMtdG8tY2F1dGlvbi16b25lLTIwMjAtMDItMjUtMTMxMDMwMjDSAXpodHRwczovL3d3dy5tYXJrZXR3YXRjaC5jb20vYW1wL3N0b3J5L2NoYXJ0aW5nLWEtYmVhcmlzaC10ZWNobmljYWwtdGlsdC1zcC01MDAtcGx1bmdlcy10by1jYXV0aW9uLXpvbmUtMjAyMC0wMi0yNS0xMzEwMzAyMA?hl=en-US&gl=US&ceid=US%3Aen
Amazon Go Opens Its First Cashier-Less Grocery Store In Seattle,2020-02-26 00:00:00,https://news.google.com/./articles/CBMiWWh0dHBzOi8vd3d3LnRoZXN0cmVldC5jb20vdmlkZW8vYW1hem9uLWdvLW9wZW5zLWdyb2Nlcnktc3RvcmUtaW4tc2VhdHRsZS13aXRoLW5vLWNhc2hpZXJz0gEA?hl=en-US&gl=US&ceid=US%3Aen
Rockstar Energy Acquired By PepsiCo As Beverage Giants ...,2020-03-11 00:00:00,https://news.google.com/./articles/CBMiZWh0dHBzOi8vd3d3LmludmVzdG9ycy5jb20vbmV3cy9yb2Nrc3Rhci1lbmVyZ3ktYWNxdWlyZWQtYnktcGVwc2ljby1iZXZlcmFnZS1naWFudHMtY2hhbGxlbmdlLW1vbnN0ZXIv0gEA?hl=en-US&gl=US&ceid=US%3Aen
PepsiCo Acquires Rockstar Energy For $3.85B,2020-03-11 00:00:00,https://news.google.com/./articles/CBMiUGh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9wZXBzaWNvLWFjcXVpcmVzLXJvY2tzdGFyLWVuZXJneS0zLTEyNTExMjA0OC5odG1s0gFYaHR0cHM6Ly9maW5hbmNlLnlhaG9vLmNvbS9hbXBodG1sL25ld3MvcGVwc2ljby1hY3F1aXJlcy1yb2Nrc3Rhci1lbmVyZ3ktMy0xMjUxMTIwNDguaHRtbA?hl=en-US&gl=US&ceid=US%3Aen
