title,datetime,link
First Look At Eris Brewery & Cider House: Owners Are Making No Little Plans,2017-02-10 00:00:00,https://news.google.com/./articles/CBMidWh0dHBzOi8vd3d3LmRuYWluZm8uY29tL2NoaWNhZ28vMjAxNzAyMTAvaXJ2aW5nLXBhcmsvZXJpcy1icmV3ZXJ5LWNpZGVyLWhvdXNlLW1pY2hlbGxlLWZvaWlrLWthdHktcGl6emEtaGF5bGV5LXNoaW5lL9IBeGh0dHBzOi8vd3d3LmRuYWluZm8uY29tL2NoaWNhZ28vMjAxNzAyMTAvaXJ2aW5nLXBhcmsvZXJpcy1icmV3ZXJ5LWNpZGVyLWhvdXNlLW1pY2hlbGxlLWZvaWlrLWthdHktcGl6emEtaGF5bGV5LXNoaW5lLmFtcA?hl=en-US&gl=US&ceid=US%3Aen
What's Wrong With The Bus? New Campaign Underway To Stop Ridership Decline,2017-03-01 00:00:00,https://news.google.com/./articles/CBMiVGh0dHBzOi8vd3d3LmRuYWluZm8uY29tL2NoaWNhZ28vMjAxNzAzMDEvaXJ2aW5nLXBhcmsvc2xvdy1jdGEtYnVzLWFjdGl2ZS10cmFucy1zcGVlZNIBWGh0dHBzOi8vd3d3LmRuYWluZm8uY29tL2NoaWNhZ28vMjAxNzAzMDEvaXJ2aW5nLXBhcmsvc2xvdy1jdGEtYnVzLWFjdGl2ZS10cmFucy1zcGVlZC5hbXA?hl=en-US&gl=US&ceid=US%3Aen
S&P 500 survives test of 50-day average amid technical cross currents,2017-03-28 00:00:00,https://news.google.com/./articles/CBMibmh0dHBzOi8vd3d3Lm1hcmtldHdhdGNoLmNvbS9zdG9yeS9zcC01MDAtc3Vydml2ZXMtdGVzdC1vZi01MC1kYXktYXZlcmFnZS1hbWlkLW1hcmtldC1jcm9zcy1jdXJyZW50cy0yMDE3LTAzLTI40gFyaHR0cHM6Ly93d3cubWFya2V0d2F0Y2guY29tL2FtcC9zdG9yeS9zcC01MDAtc3Vydml2ZXMtdGVzdC1vZi01MC1kYXktYXZlcmFnZS1hbWlkLW1hcmtldC1jcm9zcy1jdXJyZW50cy0yMDE3LTAzLTI4?hl=en-US&gl=US&ceid=US%3Aen
Stunning Library-CHA Complex Is As Innovative As Promised,2017-05-19 00:00:00,https://news.google.com/./articles/CBMieWh0dHBzOi8vd3d3LmRuYWluZm8uY29tL2NoaWNhZ28vMjAxNzA1MTkvaXJ2aW5nLXBhcmsvcmFjZS1pcy1vbi1idWlsZC1pbmRlcGVuZGVuY2UtbGlicmFyeS1iZWZvcmUtZnVuZGluZy1kb29yLXNsYW1zLXNodXTSAX1odHRwczovL3d3dy5kbmFpbmZvLmNvbS9jaGljYWdvLzIwMTcwNTE5L2lydmluZy1wYXJrL3JhY2UtaXMtb24tYnVpbGQtaW5kZXBlbmRlbmNlLWxpYnJhcnktYmVmb3JlLWZ1bmRpbmctZG9vci1zbGFtcy1zaHV0LmFtcA?hl=en-US&gl=US&ceid=US%3Aen
Irving Park And Kedzie Could Be Getting Left-Turn Arrow,2017-05-25 00:00:00,https://news.google.com/./articles/CBMicmh0dHBzOi8vd3d3LmRuYWluZm8uY29tL2NoaWNhZ28vMjAxNzA1MjUvaXJ2aW5nLXBhcmsvYWxkLWRlYi1tZWxsLTMzcmQtd2FyZC1pbmZyYXN0cnVjdHVyZS1wYXJ0aWNpcGF0b3J5LWJ1ZGdldGluZ9IBdmh0dHBzOi8vd3d3LmRuYWluZm8uY29tL2NoaWNhZ28vMjAxNzA1MjUvaXJ2aW5nLXBhcmsvYWxkLWRlYi1tZWxsLTMzcmQtd2FyZC1pbmZyYXN0cnVjdHVyZS1wYXJ0aWNpcGF0b3J5LWJ1ZGdldGluZy5hbXA?hl=en-US&gl=US&ceid=US%3Aen
"Woman, 78, Severely Beaten In Midday Irving Park Home Invasion",2017-05-20 00:00:00,https://news.google.com/./articles/CBMicmh0dHBzOi8vd3d3LmRuYWluZm8uY29tL2NoaWNhZ28vMjAxNzA1MjAvaXJ2aW5nLXBhcmsvd29tYW4tNzgtc2V2ZXJlbHktYmVhdGVuLWlydmluZy1wYXJrLWhvbWUtaW52YXNpb24tcG9saWNlLXNhedIBdmh0dHBzOi8vd3d3LmRuYWluZm8uY29tL2NoaWNhZ28vMjAxNzA1MjAvaXJ2aW5nLXBhcmsvd29tYW4tNzgtc2V2ZXJlbHktYmVhdGVuLWlydmluZy1wYXJrLWhvbWUtaW52YXNpb24tcG9saWNlLXNheS5hbXA?hl=en-US&gl=US&ceid=US%3Aen
"Peek Inside Hearth & Crust, Opening Soon In Irving Park",2017-06-27 00:00:00,https://news.google.com/./articles/CBMie2h0dHBzOi8vd3d3LmRuYWluZm8uY29tL2NoaWNhZ28vMjAxNzA2MjcvaXJ2aW5nLXBhcmsvaGVhcnRoLWNydXN0LW9wZW5pbmctam9zZS1jaGVwZS1laWxlZW4tZ2FyY2lhLWJ1b25hLXRlcnJhLWxvZ2FuLXNxdWFyZdIBf2h0dHBzOi8vd3d3LmRuYWluZm8uY29tL2NoaWNhZ28vMjAxNzA2MjcvaXJ2aW5nLXBhcmsvaGVhcnRoLWNydXN0LW9wZW5pbmctam9zZS1jaGVwZS1laWxlZW4tZ2FyY2lhLWJ1b25hLXRlcnJhLWxvZ2FuLXNxdWFyZS5hbXA?hl=en-US&gl=US&ceid=US%3Aen
Massive Fire Destroys Metals Factory In Irving Park,2017-07-28 00:00:00,https://news.google.com/./articles/CBMiZ2h0dHBzOi8vd3d3LmRuYWluZm8uY29tL2NoaWNhZ28vMjAxNzA3MjgvaXJ2aW5nLXBhcmsvZmlyZS1wdWxhc2tpLW1ldGFscy1mYWN0b3J5LWtlbm5lZHktZXhwcmVzc3dheS1jdGHSAWtodHRwczovL3d3dy5kbmFpbmZvLmNvbS9jaGljYWdvLzIwMTcwNzI4L2lydmluZy1wYXJrL2ZpcmUtcHVsYXNraS1tZXRhbHMtZmFjdG9yeS1rZW5uZWR5LWV4cHJlc3N3YXktY3RhLmFtcA?hl=en-US&gl=US&ceid=US%3Aen
Irving Park Traffic Shut Down After Suspicious Package Thrown Onto CTA Bus,2017-08-22 00:00:00,https://news.google.com/./articles/CBMicmh0dHBzOi8vd3d3LmRuYWluZm8uY29tL2NoaWNhZ28vMjAxNzA4MjIvaXJ2aW5nLXBhcmsva2ltYmFsbC1hbmQtZWxzdG9uLXRyYWZmaWMtY3RhLWJ1cy1zdXNwaWNpb3VzLXBhY2thZ2UtdHVlc2RhedIBdmh0dHBzOi8vd3d3LmRuYWluZm8uY29tL2NoaWNhZ28vMjAxNzA4MjIvaXJ2aW5nLXBhcmsva2ltYmFsbC1hbmQtZWxzdG9uLXRyYWZmaWMtY3RhLWJ1cy1zdXNwaWNpb3VzLXBhY2thZ2UtdHVlc2RheS5hbXA?hl=en-US&gl=US&ceid=US%3Aen
Will Fire-Damaged Abbey Pub Reopen? 'Back To The Bar' Paid A Visit,2017-09-15 00:00:00,https://news.google.com/./articles/CBMibGh0dHBzOi8vd3d3LmRuYWluZm8uY29tL2NoaWNhZ28vMjAxNzA5MTUvaXJ2aW5nLXBhcmsvd2lsbC1maXJlLWRhbWFnZWQtYWJiZXktcHViLXJlb3Blbi1iYWNrLWJhci1haXJzLXN1bmRhedIBcGh0dHBzOi8vd3d3LmRuYWluZm8uY29tL2NoaWNhZ28vMjAxNzA5MTUvaXJ2aW5nLXBhcmsvd2lsbC1maXJlLWRhbWFnZWQtYWJiZXktcHViLXJlb3Blbi1iYWNrLWJhci1haXJzLXN1bmRheS5hbXA?hl=en-US&gl=US&ceid=US%3Aen
