title,datetime,link
Women perform nati at Manali’s winter carnival,2017-01-04 00:00:00,https://news.google.com/./articles/CBMiemh0dHBzOi8vdGltZXNvZmluZGlhLmluZGlhdGltZXMuY29tL2NpdHkvY2hhbmRpZ2FyaC93b21lbi1wZXJmb3JtLW5hdGktYXQtbWFuYWxpcy13aW50ZXItY2Fybml2YWwvYXJ0aWNsZXNob3cvNTYzMjE4NzYuY21z0gF1aHR0cHM6Ly9tLnRpbWVzb2ZpbmRpYS5jb20vY2l0eS9jaGFuZGlnYXJoL3dvbWVuLXBlcmZvcm0tbmF0aS1hdC1tYW5hbGlzLXdpbnRlci1jYXJuaXZhbC9hbXBfYXJ0aWNsZXNob3cvNTYzMjE4NzYuY21z?hl=en-US&gl=US&ceid=US%3Aen
"Trump Advances Keystone XL, Dakota Access Pipelines",2017-01-25 00:00:00,https://news.google.com/./articles/CBMiV2h0dHBzOi8vd3d3LnZuZXdzLmNvbS9UcnVtcC1hY3RzLXRvLWFkdmFuY2UtS2V5c3RvbmUtWEwtRGFrb3RhLUFjY2Vzcy1waXBlbGluZXMtNzY4NDU5ONIBAA?hl=en-US&gl=US&ceid=US%3Aen
The Idiot's Guide To Laundering $9 Million,2017-01-11 00:00:00,https://news.google.com/./articles/CBMiUmh0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvbGF1cmVuZ2Vuc2xlci8yMDE3LzAxLzExL2dpZnQtY2FyZHMtbW9uZXktbGF1bmRlcmluZy_SAQA?hl=en-US&gl=US&ceid=US%3Aen
TD Ameritrade Eschews Super Bowl For Playoffs As Launch Pad For ...,2017-01-13 00:00:00,https://news.google.com/./articles/CBMikwFodHRwczovL3d3dy5mb3JiZXMuY29tL3NpdGVzL2plbm5pZmVycm9vbmV5LzIwMTcvMDEvMTMvdGQtYW1lcml0cmFkZS1lc2NoZXdzLXN1cGVyLWJvd2wtZm9yLXBsYXlvZmZzLWFzLWxhdW5jaC1wYWQtZm9yLW5ldy1jYW1wYWlnbi10aGUtZ3JlZW4tcm9vbS_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Haim Saban 'deeply disturbed' by US abstention on UN resolution,2017-01-05 00:00:00,https://news.google.com/./articles/CBMiXGh0dHBzOi8vd3d3LnRpbWVzb2Zpc3JhZWwuY29tL2hhaW0tc2FiYW4tZGVlcGx5LWRpc3R1cmJlZC1ieS11cy1hYnN0ZW50aW9uLW9uLXVuLXJlc29sdXRpb24v0gEA?hl=en-US&gl=US&ceid=US%3Aen
Israel cracks US magazine’s ‘Great Powers’ list,2017-01-25 00:00:00,https://news.google.com/./articles/CBMiSmh0dHBzOi8vd3d3LnRpbWVzb2Zpc3JhZWwuY29tL2lzcmFlbC1jcmFja3MtdXMtbWFnYXppbmVzLWdyZWF0LXBvd2VyLWxpc3Qv0gFOaHR0cHM6Ly93d3cudGltZXNvZmlzcmFlbC5jb20vaXNyYWVsLWNyYWNrcy11cy1tYWdhemluZXMtZ3JlYXQtcG93ZXItbGlzdC9hbXAv?hl=en-US&gl=US&ceid=US%3Aen
IDF soldier lightly injured in West Bank pipe bomb attack,2017-01-23 00:00:00,https://news.google.com/./articles/CBMiWGh0dHBzOi8vd3d3LnRpbWVzb2Zpc3JhZWwuY29tL2lkZi1zb2xkaWVyLWxpZ2h0bHktaW5qdXJlZC1pbi13ZXN0LWJhbmstcGlwZS1ib21iLWF0dGFjay_SAVxodHRwczovL3d3dy50aW1lc29maXNyYWVsLmNvbS9pZGYtc29sZGllci1saWdodGx5LWluanVyZWQtaW4td2VzdC1iYW5rLXBpcGUtYm9tYi1hdHRhY2svYW1wLw?hl=en-US&gl=US&ceid=US%3Aen
Why Tel Aviv is Israel’s new ‘aliyah capital’,2017-01-01 00:00:00,https://news.google.com/./articles/CBMiSWh0dHBzOi8vd3d3LnRpbWVzb2Zpc3JhZWwuY29tL3doeS10ZWwtYXZpdi1pcy1pc3JhZWxzLW5ldy1hbGl5YWgtY2FwaXRhbC_SAU1odHRwczovL3d3dy50aW1lc29maXNyYWVsLmNvbS93aHktdGVsLWF2aXYtaXMtaXNyYWVscy1uZXctYWxpeWFoLWNhcGl0YWwvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen
Health Ministry seeks to implement far-reaching smoking crackdown,2017-01-26 00:00:00,https://news.google.com/./articles/CBMiYGh0dHBzOi8vd3d3LnRpbWVzb2Zpc3JhZWwuY29tL2hlYWx0aC1taW5pc3RyeS1zZWVrcy10by1pbXBsZW1lbnQtZmFyLXJlYWNoaW5nLXNtb2tpbmctY3JhY2tkb3duL9IBZGh0dHBzOi8vd3d3LnRpbWVzb2Zpc3JhZWwuY29tL2hlYWx0aC1taW5pc3RyeS1zZWVrcy10by1pbXBsZW1lbnQtZmFyLXJlYWNoaW5nLXNtb2tpbmctY3JhY2tkb3duL2FtcC8?hl=en-US&gl=US&ceid=US%3Aen
Do we have to forgive?,2017-01-05 00:00:00,https://news.google.com/./articles/CBMiP2h0dHBzOi8vamV3aXNoc3RhbmRhcmQudGltZXNvZmlzcmFlbC5jb20vZG8td2UtaGF2ZS10by1mb3JnaXZlL9IBQ2h0dHBzOi8vamV3aXNoc3RhbmRhcmQudGltZXNvZmlzcmFlbC5jb20vZG8td2UtaGF2ZS10by1mb3JnaXZlL2FtcC8?hl=en-US&gl=US&ceid=US%3Aen
"In Secret Tape, Netanyahu Negotiated Favorable Coverage With ...",2017-01-08 00:00:00,https://news.google.com/./articles/CBMilwFodHRwczovL3d3dy5oYWFyZXR6LmNvbS9pc3JhZWwtbmV3cy8yMDE3LTAxLTA4L3R5LWFydGljbGUvbmV0YW55YWh1LW5lZ290aWF0ZWQtZmF2b3JhYmxlLWNvdmVyYWdlLXdpdGgtbWVkaWEtbW9ndWwvMDAwMDAxN2YtZWYxMS1kNGE2LWFmN2YtZmZkNzE1ZDMwMDAw0gEA?hl=en-US&gl=US&ceid=US%3Aen
Tim Beck leaves Ohio State for Texas; OSU announces his replacement,2017-01-03 00:00:00,https://news.google.com/./articles/CBMieWh0dHBzOi8vc3BvcnRzLnlhaG9vLmNvbS9uZXdzL3JlcG9ydHMtdGltLWJlY2stbGVhdmluZy1vaGlvLXN0YXRlLXRvLWJlY29tZS1vZmZlbnNpdmUtY29vcmRpbmF0b3ItYXQtdGV4YXMtMTUzNDUxNDI0Lmh0bWzSAYEBaHR0cHM6Ly9zcG9ydHMueWFob28uY29tL2FtcGh0bWwvbmV3cy9yZXBvcnRzLXRpbS1iZWNrLWxlYXZpbmctb2hpby1zdGF0ZS10by1iZWNvbWUtb2ZmZW5zaXZlLWNvb3JkaW5hdG9yLWF0LXRleGFzLTE1MzQ1MTQyNC5odG1s?hl=en-US&gl=US&ceid=US%3Aen
Warren Buffett says he simply had the good luck of winning the ...,2017-01-30 00:00:00,https://news.google.com/./articles/CBMiqQFodHRwczovL3F6LmNvbS84OTgwNDgvdHJ1bXBzLWltbWlncmFudC10cmF2ZWwtYmFuLXdhcnJlbi1idWZmZXR0LXJlbWluZHMtYW1lcmljYW5zLXRoYXQtdGhleS1zaW1wbHktaGFkLXRoZS1nb29kLWx1Y2stb2Ytd2lubmluZy10aGUtb3Zhcmlhbi1sb3R0ZXJ5LXRvLWJlLWJvcm4taW4tdGhlLXVz0gEA?hl=en-US&gl=US&ceid=US%3Aen
77-year-old Rowley man killed in Georgetown crash,2017-01-06 00:00:00,https://news.google.com/./articles/CBMilgFodHRwczovL3d3dy5lYWdsZXRyaWJ1bmUuY29tL25ld3MvbWVycmltYWNrX3ZhbGxleS83Ny15ZWFyLW9sZC1yb3dsZXktbWFuLWtpbGxlZC1pbi1nZW9yZ2V0b3duLWNyYXNoL2FydGljbGVfZWYzZjY5ZWMtZTQ2My01YzJmLTkwNGUtYTU5MTBkOWU2OTA5Lmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
Jewish children raised as Muslims light first Hanukkah candles,2017-01-02 00:00:00,https://news.google.com/./articles/CBMiLmh0dHBzOi8vd3d3LmlzcmFlbG5hdGlvbmFsbmV3cy5jb20vbmV3cy8yMjI2NTHSAQA?hl=en-US&gl=US&ceid=US%3Aen
"Last day, final chili cookoff at Park + Vine",2017-01-18 00:00:00,https://news.google.com/./articles/CBMiaGh0dHBzOi8vd3d3LndjcG8uY29tL2VudGVydGFpbm1lbnQvZW50ZXJ0YWlubWVudC1waG90by1nYWxsZXJ5L2xhc3QtZGF5LWZpbmFsLWNoaWxpLWNvb2tvZmYtYXQtcGFyay12aW5l0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Meghan Edmonds Serves Up Some Tea On Vicki Gunvalson, Nene Leakes, Kid Rock – And More",2017-01-10 00:00:00,https://news.google.com/./articles/CBMiZWh0dHBzOi8vd3d3LnJlYWxpdHl0ZWEuY29tLzIwMTcvMDEvMTAvbWVnaGFuLWVkbW9uZHMtc2VydmVzLXRlYS12aWNraS1ndW52YWxzb24tbmVuZS1sZWFrZXMta2lkLXJvY2sv0gFpaHR0cHM6Ly93d3cucmVhbGl0eXRlYS5jb20vMjAxNy8wMS8xMC9tZWdoYW4tZWRtb25kcy1zZXJ2ZXMtdGVhLXZpY2tpLWd1bnZhbHNvbi1uZW5lLWxlYWtlcy1raWQtcm9jay8_YW1w?hl=en-US&gl=US&ceid=US%3Aen
"Protests, snow and sunny days, Chicago's public art has seen it all",2017-01-23 00:00:00,https://news.google.com/./articles/CBMid2h0dHBzOi8vd3d3LmNoaWNhZ290cmlidW5lLmNvbS9lbnRlcnRhaW5tZW50L2N0LWRlbW9uc3RyYXRpb25zLXB1YmxpYy1hcnQtc2lkZXdhbGtzLWtvZ2FuLWVudC0wMTI0LTIwMTcwMTIzLWNvbHVtbi5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
Deadly track: 4 National Highways accident-prone in Hyderabad,2017-01-10 00:00:00,https://news.google.com/./articles/CBMicmh0dHBzOi8vd3d3LmRlY2NhbmNocm9uaWNsZS5jb20vbmF0aW9uL2N1cnJlbnQtYWZmYWlycy8xMDAxMTcvNC1uYXRpb25hbC1oaWdod2F5cy1hY2NpZGVudC1wcm9uZS1pbi1oeWRlcmFiYWQuaHRtbNIBdmh0dHBzOi8vd3d3LmRlY2NhbmNocm9uaWNsZS5jb20vYW1wL25hdGlvbi9jdXJyZW50LWFmZmFpcnMvMTAwMTE3LzQtbmF0aW9uYWwtaGlnaHdheXMtYWNjaWRlbnQtcHJvbmUtaW4taHlkZXJhYmFkLmh0bWw?hl=en-US&gl=US&ceid=US%3Aen
"Suffering from missteps, drugmaker Teva struggles to heal own ills",2017-01-26 00:00:00,https://news.google.com/./articles/CBMiZ2h0dHBzOi8vd3d3LnRpbWVzb2Zpc3JhZWwuY29tL3N1ZmZlcmluZy1mcm9tLW1pc3N0ZXBzLWRydWdtYWtlci10ZXZhLXN0cnVnZ2xlcy10by1oZWFsLWl0cy1ib3R0b20tbGluZS_SAWtodHRwczovL3d3dy50aW1lc29maXNyYWVsLmNvbS9zdWZmZXJpbmctZnJvbS1taXNzdGVwcy1kcnVnbWFrZXItdGV2YS1zdHJ1Z2dsZXMtdG8taGVhbC1pdHMtYm90dG9tLWxpbmUvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen
