title,datetime,link
Numerous Red Flags And Rats At SenesTech Inc (SNES),2017-01-11 00:00:00,https://news.google.com/./articles/CBMiPGh0dHBzOi8vd3d3LnZhbHVld2Fsay5jb20vbnVtZXJvdXMtcmVkLWZsYWdzLXJhdHMtc2VuZXN0ZWNoL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
No need to save bills and vouchers for reimbursement — Vantage ...,2017-02-07 00:00:00,https://news.google.com/./articles/CBMiOGh0dHBzOi8veW91cnN0b3J5LmNvbS8yMDE3LzAyL3ZhbnRhZ2UtY2lyY2xlLXBhcnRoYS1uZW9n0gEA?hl=en-US&gl=US&ceid=US%3Aen
Sulfa members to float vigilance group,2017-02-11 00:00:00,https://news.google.com/./articles/CBMiW2h0dHBzOi8vd3d3LmFzaWFuYWdlLmNvbS9pbmRpYS9hbGwtaW5kaWEvMTEwMjE3L3N1bGZhLW1lbWJlcnMtdG8tZmxvYXQtdmlnaWxhbmNlLWdyb3VwLmh0bWzSAV9odHRwczovL3d3dy5hc2lhbmFnZS5jb20vYW1wL2luZGlhL2FsbC1pbmRpYS8xMTAyMTcvc3VsZmEtbWVtYmVycy10by1mbG9hdC12aWdpbGFuY2UtZ3JvdXAuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen
Cynosure (CYNO) to be Acquired by Hologic in $1.65B Deal,2017-02-15 00:00:00,https://news.google.com/./articles/CBMiYWh0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvY3lub3N1cmUtY3luby10by1iZS1hY3F1aXJlZC1ieS1ob2xvZ2ljLWluLSQxLjY1Yi1kZWFsLTIwMTctMDItMTXSAQA?hl=en-US&gl=US&ceid=US%3Aen
"Warren Buffett On Active vs. Passive Investing, Outlines 'The Bet' In Berkshire Shareholder Letter",2017-02-27 00:00:00,https://news.google.com/./articles/CBMiTmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy93YXJyZW4tYnVmZmV0dC1hY3RpdmUtdnMtcGFzc2l2ZS0yMDQxMDgzNjAuaHRtbNIBVmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vYW1waHRtbC9uZXdzL3dhcnJlbi1idWZmZXR0LWFjdGl2ZS12cy1wYXNzaXZlLTIwNDEwODM2MC5odG1s?hl=en-US&gl=US&ceid=US%3Aen
New Jersey Dating App Only Cares About Your Looks,2017-02-07 00:00:00,https://news.google.com/./articles/CBMiV2h0dHBzOi8vcGF0Y2guY29tL25ldy1qZXJzZXkvbmV3YXJrbmovbmV3LWplcnNleS1iYXNlZC1kYXRpbmctYXBwLW9ubHktY2FyZXMteW91ci1sb29rc9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Phytobioactive compound-based nanodelivery systems for the ...,2017-02-09 00:00:00,https://news.google.com/./articles/CBMigwFodHRwczovL3d3dy5kb3ZlcHJlc3MuY29tL3BoeXRvYmlvYWN0aXZlLWNvbXBvdW5kLWJhc2VkLW5hbm9kZWxpdmVyeS1zeXN0ZW1zLWZvci10aGUtdHJlYXRtZW50LW8tcGVlci1yZXZpZXdlZC1mdWxsdGV4dC1hcnRpY2xlLUlKTtIBAA?hl=en-US&gl=US&ceid=US%3Aen
India is Not Changing its Policy on No First Use of Nuclear Weapons,2017-03-29 00:00:00,https://news.google.com/./articles/CBMiZmh0dHBzOi8vd2Fyb250aGVyb2Nrcy5jb20vMjAxNy8wMy9pbmRpYS1pcy1ub3QtY2hhbmdpbmctaXRzLXBvbGljeS1vbi1uby1maXJzdC11c2Utb2YtbnVjbGVhci13ZWFwb25zL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Keeping the tradition throbbing,2017-03-17 00:00:00,https://news.google.com/./articles/CBMiYGh0dHBzOi8vd3d3LnRoZWhpbmR1LmNvbS9lbnRlcnRhaW5tZW50L2RhbmNlL2tlZXBpbmctdGhlLXRyYWRpdGlvbi10aHJvYmJpbmcvYXJ0aWNsZTE3NDgzNTE3LmVjZdIBZWh0dHBzOi8vd3d3LnRoZWhpbmR1LmNvbS9lbnRlcnRhaW5tZW50L2RhbmNlL2tlZXBpbmctdGhlLXRyYWRpdGlvbi10aHJvYmJpbmcvYXJ0aWNsZTE3NDgzNTE3LmVjZS9hbXAv?hl=en-US&gl=US&ceid=US%3Aen
Five ways to challenge yourself at workplace - Keeping up,2017-03-14 00:00:00,https://news.google.com/./articles/CBMif2h0dHBzOi8vZWNvbm9taWN0aW1lcy5pbmRpYXRpbWVzLmNvbS93b3JrLWNhcmVlci9maXZlLXdheXMtdG8tY2hhbGxlbmdlLXlvdXJzZWxmLWF0LXdvcmtwbGFjZS9rZWVwaW5nLXVwL3NsaWRlc2hvdy81NzYyNzkwMy5jbXPSAQA?hl=en-US&gl=US&ceid=US%3Aen
