title,datetime,link
Two tower tech certification programs launched,2017-01-10 00:00:00,https://news.google.com/./articles/CBMiamh0dHBzOi8vd3d3LnJjcndpcmVsZXNzLmNvbS8yMDE3MDExMC9uZXR3b3JrLWluZnJhc3RydWN0dXJlL3R3by10b3dlci10ZWNoLWNlcnRpZmljYXRpb24tcHJvZ3JhbXMtbGF1bmNoZWTSAQA?hl=en-US&gl=US&ceid=US%3Aen
"Vivian May, Visionary Humanist",2017-01-11 00:00:00,https://news.google.com/./articles/CBMiQ2h0dHBzOi8vbmV3cy5zeXIuZWR1L2Jsb2cvMjAxNy8wMS8xMS92aXZpYW4tbWF5LXZpc2lvbmFyeS1odW1hbmlzdC_SAQA?hl=en-US&gl=US&ceid=US%3Aen
A record shipload of Kias is unloading at Northwest Seaport ...,2017-01-10 00:00:00,https://news.google.com/./articles/CBMia2h0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9zZWF0dGxlL25ld3MvMjAxNy8wMS8xMC9ud3NhLXRhY29tYS1yZWNvcmQtdmVoaWNsZS1zaGlwbG9hZC1kaXNjaGFyZ2Uta2lhcy5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
Gadani Yard Ablaze Again,2017-01-09 00:00:00,https://news.google.com/./articles/CBMiPWh0dHBzOi8vd3d3LnBvcnR0ZWNobm9sb2d5Lm9yZy9uZXdzL2dhZGFuaV95YXJkX2FibGF6ZV9hZ2Fpbi_SAQA?hl=en-US&gl=US&ceid=US%3Aen
"Rebecca Harding Davis, American Realist",2017-01-12 00:00:00,https://news.google.com/./articles/CBMiP2h0dHBzOi8vZGFpbHkuanN0b3Iub3JnL3JlYmVjY2EtaGFyZGluZy1kYXZpcy1hbWVyaWNhbi1yZWFsaXN0L9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Legendary Entertainment’s CEO Just Stepped Down Without Saying Why,2017-01-19 00:00:00,https://news.google.com/./articles/CBMiRGh0dHBzOi8vZm9ydHVuZS5jb20vMjAxNy8wMS8xOS9sZWdlbmRhcnktZW50ZXJ0YWlubWVudC1kYWxpYW4td2FuZGEv0gFIaHR0cHM6Ly9mb3J0dW5lLmNvbS8yMDE3LzAxLzE5L2xlZ2VuZGFyeS1lbnRlcnRhaW5tZW50LWRhbGlhbi13YW5kYS9hbXAv?hl=en-US&gl=US&ceid=US%3Aen
DP World Committing $1 Billion to India,2017-01-11 00:00:00,https://news.google.com/./articles/CBMiS2h0dHBzOi8vd3d3LnBvcnR0ZWNobm9sb2d5Lm9yZy9uZXdzL2RwX3dvcmxkX2NvbW1pdHRpbmdfMV9iaWxsaW9uX3RvX2luZGlhL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
"Obituary: Donald F. Hastings, former Lincoln Electric CEO",2017-01-16 00:00:00,https://news.google.com/./articles/CBMiWGh0dHBzOi8vd3d3Lm1hcml0aW1lcHJvZmVzc2lvbmFsLmNvbS9uZXdzL29iaXR1YXJ5LWRvbmFsZC1oYXN0aW5ncy1mb3JtZXItbGluY29sbi0zMDA3NDLSAQA?hl=en-US&gl=US&ceid=US%3Aen
"AMERICAN THEATRE | To Audition, or Not to Audition",2017-01-04 00:00:00,https://news.google.com/./articles/CBMiSmh0dHBzOi8vd3d3LmFtZXJpY2FudGhlYXRyZS5vcmcvMjAxNy8wMS8wNC90by1hdWRpdGlvbi1vci1ub3QtdG8tYXVkaXRpb24v0gEA?hl=en-US&gl=US&ceid=US%3Aen
Realtor.com® Unveils Sign Snap™ and Street Peek™ Features For ...,2017-01-17 00:00:00,https://news.google.com/./articles/CBMitQFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL3JlYWx0b3Jjb20tdW52ZWlscy1zaWduLXNuYXAtYW5kLXN0cmVldC1wZWVrLWZlYXR1cmVzLWZvci1yZXRyaWV2aW5nLWluc3RhbnQtaG9tZS1kZXRhaWxzLXdpdGgtYS1zaW1wbGUtcG9pbnQtb2YtYS1zbWFydHBob25lLTMwMDM5MTYwMS5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
Judge approves sale of bankrupt Hanjin Shipping's Seattle Terminal ...,2017-01-18 00:00:00,https://news.google.com/./articles/CBMiaWh0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9zZWF0dGxlL25ld3MvMjAxNy8wMS8xOC9qdWRnZS1hcHByb3Zlcy1zYWxlLW9mLWJhbmtydXB0LWhhbmppbi1zaGlwcGluZ3MuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
"Heinz passes on pricy Super Bowl ad, gives some employees a day off instead",2017-01-26 00:00:00,https://news.google.com/./articles/CBMid2h0dHBzOi8vd3d3Lm1hcmtldHdhdGNoLmNvbS9zdG9yeS9oZWluei1wYXNzZXMtb24tcHJpY3ktc3VwZXItYm93bC1hZC1naXZlcy1zb21lLWVtcGxveWVlcy1hLWRheS1vZmYtaW5zdGVhZC0yMDE3LTAxLTI20gF7aHR0cHM6Ly93d3cubWFya2V0d2F0Y2guY29tL2FtcC9zdG9yeS9oZWluei1wYXNzZXMtb24tcHJpY3ktc3VwZXItYm93bC1hZC1naXZlcy1zb21lLWVtcGxveWVlcy1hLWRheS1vZmYtaW5zdGVhZC0yMDE3LTAxLTI2?hl=en-US&gl=US&ceid=US%3Aen
'Guardian Angel' to Investors Christopher Byron Has Died: An ...,2017-01-12 00:00:00,https://news.google.com/./articles/CBMicWh0dHBzOi8vd3d3LnRoZXN0cmVldC5jb20vb3Bpbmlvbi9ndWFyZGlhbi1hbmdlbC10by1pbnZlc3RvcnMtY2hyaXN0b3BoZXItYnlyb24taGFzLWRpZWQtYW4tYXBwcmVjaWF0aW9uLTEzOTQ5NjM50gEA?hl=en-US&gl=US&ceid=US%3Aen
