title,datetime,link
Old Dominion Freight Line will haul 8 MLB teams' gear to spring ...,2020-01-28 00:00:00,https://news.google.com/./articles/CBMiZmh0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS90cmlhZC9uZXdzLzIwMjAvMDEvMjgvdHJpYWQtdHJ1Y2tpbmctY29tcGFueS13aWxsLWhhdWwtZ2Vhci10by1zcHJpbmcuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Old Dominion Freight Line Celebrates MLB Spring Training with ...,2020-01-24 00:00:00,https://news.google.com/./articles/CBMingFodHRwczovL3d3dy5nbG9iZW5ld3N3aXJlLmNvbS9lbi9uZXdzLXJlbGVhc2UvMjAyMC8wMS8yNC8xOTc0OTk3LzAvZW4vT2xkLURvbWluaW9uLUZyZWlnaHQtTGluZS1DZWxlYnJhdGVzLU1MQi1TcHJpbmctVHJhaW5pbmctd2l0aC1OYXRpb253aWRlLUZhbi1FdmVudHMuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
XPO Logistics Stock Jumps the Most in Five Months,2020-01-16 00:00:00,https://news.google.com/./articles/CBMicmh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIwLTAxLTE2L3hwby1qdW1wcy1tb3N0LXNpbmNlLWF1Z3VzdC1hZnRlci1jZW8tc2Vla3MtdG8tYnJlYWstdXAtY29tcGFuedIBAA?hl=en-US&gl=US&ceid=US%3Aen
Old Dominion Freight Line celebrates MLB Spring Training with fan ...,2020-01-28 00:00:00,https://news.google.com/./articles/CBMijAFodHRwczovL3d3dy50aGUtZGlzcGF0Y2guY29tL3N0b3J5L25ld3MvbG9jYWwvMjAyMC8wMS8yOC9vbGQtZG9taW5pb24tZnJlaWdodC1saW5lLWNlbGVicmF0ZXMtbWxiLXNwcmluZy10cmFpbmluZy13aXRoLWZhbi1ldmVudHMvMTEyMTU1NDcwL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Pete Buttigieg Releases $1 Trillion Infrastructure Plan,2020-01-10 00:00:00,https://news.google.com/./articles/CBMiVmh0dHBzOi8vd3d3LnR0bmV3cy5jb20vYXJ0aWNsZXMvcGV0ZS1idXR0aWdpZWctcmVsZWFzZXMtMS10cmlsbGlvbi1pbmZyYXN0cnVjdHVyZS1wbGFu0gEA?hl=en-US&gl=US&ceid=US%3Aen
XPO Logistics begins the process of (maybe) breaking itself up,2020-01-15 00:00:00,https://news.google.com/./articles/CBMiXmh0dHBzOi8vd3d3LmZyZWlnaHR3YXZlcy5jb20vbmV3cy94cG8tbG9naXN0aWNzLWJlZ2lucy10aGUtcHJvY2Vzcy1vZi1tYXliZS1icmVha2luZy1pdHNlbGYtdXDSAWJodHRwczovL3d3dy5mcmVpZ2h0d2F2ZXMuY29tL25ld3MveHBvLWxvZ2lzdGljcy1iZWdpbnMtdGhlLXByb2Nlc3Mtb2YtbWF5YmUtYnJlYWtpbmctaXRzZWxmLXVwL2FtcA?hl=en-US&gl=US&ceid=US%3Aen
"XPO Logistics Reverses Its Acquisition Strategy, Aims for Breakup",2020-01-17 00:00:00,https://news.google.com/./articles/CBMiXmh0dHBzOi8vd3d3LmZvb2wuY29tL2ludmVzdGluZy8yMDIwLzAxLzE3L3hwby1sb2dpc3RpY3MtcmV2ZXJzZXMtaXRzLWFjcXVpc2l0aW9uLXN0cmF0ZWd5LmFzcHjSAQA?hl=en-US&gl=US&ceid=US%3Aen
"The Kisumu National Polytechnic Courses Offered, Minimum ...",2020-01-08 00:00:00,https://news.google.com/./articles/CBMiamh0dHBzOi8vd3d3LmphbWJvbmV3cy5jby5rZS90aGUta2lzdW11LW5hdGlvbmFsLXBvbHl0ZWNobmljLWNvdXJzZXMtbWluaW11bS1yZXF1aXJlbWVudHMtYW5kLWludGFrZXMtMjAyMC_SAQA?hl=en-US&gl=US&ceid=US%3Aen
"OLD DOMINION FREIGHT LINE, INC. ANNOUNCES GENERAL RATE",2020-02-17 00:00:00,https://news.google.com/./articles/CBMiiAFodHRwczovL3d3dy5nbG9iZW5ld3N3aXJlLmNvbS9lbi9uZXdzLXJlbGVhc2UvMjAyMC8wMi8xNy8xOTg1ODEyLzAvZW4vT0xELURPTUlOSU9OLUZSRUlHSFQtTElORS1JTkMtQU5OT1VOQ0VTLUdFTkVSQUwtUkFURS1JTkNSRUFTRS5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
Freight All Kinds: Loading up for MLB spring training,2020-02-11 00:00:00,https://news.google.com/./articles/CBMiVmh0dHBzOi8vd3d3LmZyZWlnaHR3YXZlcy5jb20vbmV3cy9mcmVpZ2h0LWFsbC1raW5kcy1sb2FkaW5nLXVwLWZvci1tbGItc3ByaW5nLXRyYWluaW5n0gFaaHR0cHM6Ly93d3cuZnJlaWdodHdhdmVzLmNvbS9uZXdzL2ZyZWlnaHQtYWxsLWtpbmRzLWxvYWRpbmctdXAtZm9yLW1sYi1zcHJpbmctdHJhaW5pbmcvYW1w?hl=en-US&gl=US&ceid=US%3Aen
