title,datetime,link
"PECO Proposes Prepaid Energy Bills, Opponents Push Back",2017-01-02 00:00:00,https://news.google.com/./articles/CBMiSGh0dHBzOi8vd3d3LnBoaWxseW1hZy5jb20vYnVzaW5lc3MvMjAxNy8wMS8wMi9wZWNvLXByZXBhaWQtZW5lcmd5LWJpbGxzL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
"As utilities turn to cloud-based DR platforms, cybersecurity is key ...",2017-01-11 00:00:00,https://news.google.com/./articles/CBMic2h0dHBzOi8vd3d3LnV0aWxpdHlkaXZlLmNvbS9uZXdzL2FzLXV0aWxpdGllcy10dXJuLXRvLWNsb3VkLWJhc2VkLWRyLXBsYXRmb3Jtcy1jeWJlcnNlY3VyaXR5LWlzLWtleS1jb25jZXJuLzQzMzc1MC_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Kennett Square man dies in storm-related car accident,2017-01-23 00:00:00,https://news.google.com/./articles/CBMiXGh0dHBzOi8vd3d3LmRhaWx5bG9jYWwuY29tLzIwMTcvMDEvMjMva2VubmV0dC1zcXVhcmUtbWFuLWRpZXMtaW4tc3Rvcm0tcmVsYXRlZC1jYXItYWNjaWRlbnQv0gFgaHR0cHM6Ly93d3cuZGFpbHlsb2NhbC5jb20vMjAxNy8wMS8yMy9rZW5uZXR0LXNxdWFyZS1tYW4tZGllcy1pbi1zdG9ybS1yZWxhdGVkLWNhci1hY2NpZGVudC9hbXAv?hl=en-US&gl=US&ceid=US%3Aen
Gas explosion closes Bryn Mawr Catholic school,2017-01-30 00:00:00,https://news.google.com/./articles/CBMiYmh0dHBzOi8vY2F0aG9saWNwaGlsbHkuY29tLzIwMTcvMDEvbmV3cy9sb2NhbC1uZXdzL2dhcy1leHBsb3Npb24tY2xvc2VzLWJyeW4tbWF3ci1jYXRob2xpYy1zY2hvb2wv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Power station has been used in Transformers since it stopped operating 30 years ago,2017-01-03 00:00:00,https://news.google.com/./articles/CBMipwFodHRwczovL3d3dy5kYWlseW1haWwuY28udWsvbmV3cy9hcnRpY2xlLTQwODM3NDAvSW5zaWRlLXJ1aW5zLWluZHVzdHJpYWwtZ2lhbnQtUG93ZXItc3RhdGlvbi1maWxtLXNldC1tb3ZpZXMtaW5jbHVkaW5nLVRyYW5zZm9ybWVycy1zdG9wcGVkLW9wZXJhdGluZy0zMC15ZWFycy1hZ28uaHRtbNIBqwFodHRwczovL3d3dy5kYWlseW1haWwuY28udWsvbmV3cy9hcnRpY2xlLTQwODM3NDAvYW1wL0luc2lkZS1ydWlucy1pbmR1c3RyaWFsLWdpYW50LVBvd2VyLXN0YXRpb24tZmlsbS1zZXQtbW92aWVzLWluY2x1ZGluZy1UcmFuc2Zvcm1lcnMtc3RvcHBlZC1vcGVyYXRpbmctMzAteWVhcnMtYWdvLmh0bWw?hl=en-US&gl=US&ceid=US%3Aen
PSC to request state funding for new facility,2017-01-07 00:00:00,https://news.google.com/./articles/CBMiZGh0dHBzOi8vd3d3LnBuai5jb20vc3RvcnkvbmV3cy9lZHVjYXRpb24vMjAxNy8wMS8wNy9wc2MtcmVxdWVzdC1zdGF0ZS1mdW5kaW5nLW5ldy1mYWNpbGl0eS85NjI1MzA2NC_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Exelon hires Jean Medina as VP of corporate communications,2017-01-04 00:00:00,https://news.google.com/./articles/CBMiZmh0dHBzOi8vd3d3LnByd2Vlay5jb20vYXJ0aWNsZS8xNDE5ODcxL2FpcmxpbmUtaW5kdXN0cnktdmV0ZXJhbi1qZWFuLW1lZGluYS1qb2lucy1leGVsb24tY29ycC1jb21tcy12cNIBAA?hl=en-US&gl=US&ceid=US%3Aen
"Bengaluru: After molestation infamy, it’s business as usual at MG Road",2017-01-10 00:00:00,https://news.google.com/./articles/CBMilQFodHRwczovL3d3dy5oaW5kdXN0YW50aW1lcy5jb20vaW5kaWEtbmV3cy9idXNpbmVzcy1hcy11c3VhbC1iZW5nYWx1cnUtcHV0cy1iZWhpbmQtaXRzLWluZmFteS1hZnRlci1tYXNzLW1vbGVzdGF0aW9uL3N0b3J5LUpwVkxuYVhUNTVmclNCMHduYmdOS1AuaHRtbNIBmQFodHRwczovL3d3dy5oaW5kdXN0YW50aW1lcy5jb20vaW5kaWEtbmV3cy9idXNpbmVzcy1hcy11c3VhbC1iZW5nYWx1cnUtcHV0cy1iZWhpbmQtaXRzLWluZmFteS1hZnRlci1tYXNzLW1vbGVzdGF0aW9uL3N0b3J5LUpwVkxuYVhUNTVmclNCMHduYmdOS1BfYW1wLmh0bWw?hl=en-US&gl=US&ceid=US%3Aen
FSU breaks ground on new Black Student Union building,2017-01-27 00:00:00,https://news.google.com/./articles/CBMiaGh0dHBzOi8vbmV3cy5mc3UuZWR1L25ld3MvdW5pdmVyc2l0eS1uZXdzLzIwMTcvMDEvMjcvZnN1LWJyZWFrcy1ncm91bmQtbmV3LWJsYWNrLXN0dWRlbnQtdW5pb24tYnVpbGRpbmcv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Poultry processing: Increased demand paves the way for innovation,2017-01-16 00:00:00,https://news.google.com/./articles/CBMicmh0dHBzOi8vd3d3LmZvb2RlbmdpbmVlcmluZ21hZy5jb20vYXJ0aWNsZXMvOTY0MzUtcG91bHRyeS1wcm9jZXNzaW5nLWluY3JlYXNlZC1kZW1hbmQtcGF2ZXMtdGhlLXdheS1mb3ItaW5ub3ZhdGlvbtIBAA?hl=en-US&gl=US&ceid=US%3Aen
