title,datetime,link
Tesla poaches key Apple software engineer - Software,2017-01-11 00:00:00,https://news.google.com/./articles/CBMiT2h0dHBzOi8vd3d3Lml0bmV3cy5jb20uYXUvbmV3cy90ZXNsYS1wb2FjaGVzLWtleS1hcHBsZS1zb2Z0d2FyZS1lbmdpbmVlci00NDcwOTbSAQA?hl=en-US&gl=US&ceid=US%3Aen
6 Things You Can’t Miss From Jennifer Lopez in 2017,2017-01-09 00:00:00,https://news.google.com/./articles/CBMiS2h0dHBzOi8vd3d3LmJpbGxib2FyZC5jb20vbXVzaWMvbGF0aW4vNi10aGluZ3MtamVubmlmZXItbG9wZXotMjAxNy03NjQ3OTc2L9IBT2h0dHBzOi8vd3d3LmJpbGxib2FyZC5jb20vbXVzaWMvbGF0aW4vNi10aGluZ3MtamVubmlmZXItbG9wZXotMjAxNy03NjQ3OTc2L2FtcC8?hl=en-US&gl=US&ceid=US%3Aen
Inside the BPM Shooting: Drug Cartels and Corruption Threaten ...,2017-01-18 00:00:00,https://news.google.com/./articles/CBMiVmh0dHBzOi8vd3d3LnZpY2UuY29tL2VuL2FydGljbGUveHlwN2JrL2JwbS1mZXN0aXZhbC1zaG9vdGluZy1kcnVnLWNhcnRlbHMtbWV4aWNvLWNyaW1l0gEA?hl=en-US&gl=US&ceid=US%3Aen
Queen – We Will Rock You Lyrics,2017-01-19 00:00:00,https://news.google.com/./articles/CBMiMGh0dHBzOi8vZ2VuaXVzLmNvbS9RdWVlbi13ZS13aWxsLXJvY2steW91LWx5cmljc9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Facebook shuts down Parse developer platform - Software,2017-01-31 00:00:00,https://news.google.com/./articles/CBMiUmh0dHBzOi8vd3d3Lml0bmV3cy5jb20uYXUvbmV3cy9mYWNlYm9vay1zaHV0cy1kb3duLXBhcnNlLWRldmVsb3Blci1wbGF0Zm9ybS00NDkyODLSAQA?hl=en-US&gl=US&ceid=US%3Aen
PROPERTY TRANSFERS,2017-01-14 00:00:00,https://news.google.com/./articles/CBMiQGh0dHBzOi8vd3d3LnRpbWVzbGVhZGVyLmNvbS9idXNpbmVzcy82MjUzNTEvcHJvcGVydHktdHJhbnNmZXJzLTfSAURodHRwczovL3d3dy50aW1lc2xlYWRlci5jb20vYnVzaW5lc3MvNjI1MzUxL3Byb3BlcnR5LXRyYW5zZmVycy03L2FtcA?hl=en-US&gl=US&ceid=US%3Aen
Occupied: How can architecture do more with less?,2017-01-25 00:00:00,https://news.google.com/./articles/CBMiP2h0dHBzOi8vYXJjaGl0ZWN0dXJlYXUuY29tL2FydGljbGVzL29jY3VwaWVkLWV4aGliaXRpb24tcmV2aWV3L9IBAA?hl=en-US&gl=US&ceid=US%3Aen
TradeStation mobile app turns focus to new users,2017-01-24 00:00:00,https://news.google.com/./articles/CBMiR2h0dHBzOi8vZmluYW5jZWZlZWRzLmNvbS90cmFkZXN0YXRpb24tbW9iaWxlLWFwcC10dXJucy1mb2N1cy1uZXctdXNlcnMv0gEA?hl=en-US&gl=US&ceid=US%3Aen
BHP Billiton to bring IT-OT to east coast mines,2017-01-17 00:00:00,https://news.google.com/./articles/CBMiVWh0dHBzOi8vd3d3Lml0bmV3cy5jb20uYXUvbmV3cy9iaHAtYmlsbGl0b24tdG8tYnJpbmctaXQtb3QtdG8tZWFzdC1jb2FzdC1taW5lcy00NDc3ODjSAQA?hl=en-US&gl=US&ceid=US%3Aen
"Bethe alerta Amanda para ""excesso de arrogância"": ""Tem que ter ...",2017-01-19 00:00:00,https://news.google.com/./articles/CBMifGh0dHA6Ly9zcG9ydHYuZ2xvYm8uY29tL3NpdGUvY29tYmF0ZS9ub3RpY2lhLzIwMTcvMDEvYmV0aGUtYWxlcnRhLWFtYW5kYS1wYXJhLWV4Y2Vzc28tZGUtYXJyb2dhbmNpYS10ZW0tcXVlLXRlci1jdWlkYWRvLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
The Promise of Aquarius: Pouring Out of the Holy Spirit,2017-01-22 00:00:00,https://news.google.com/./articles/CBMiVGh0dHBzOi8vd3d3LnBhdGhlb3MuY29tL2Jsb2dzL2hlZGdlcm93LzIwMTcvMDEvcHJvbWlzZS1hcXVhcml1cy1wb3VyaW5nLWhvbHktc3Bpcml0L9IBAA?hl=en-US&gl=US&ceid=US%3Aen
"Dell debuts five new products, shows off Microsoft Surface Studio ...",2017-01-06 00:00:00,https://news.google.com/./articles/CBMigQFodHRwczovL3d3dy5jcm4uY29tLmF1L25ld3MvZGVsbC1kZWJ1dHMtZml2ZS1uZXctcHJvZHVjdHMtc2hvd3Mtb2ZmLW1pY3Jvc29mdC1zdXJmYWNlLXN0dWRpby1jaGFsbGVuZ2VyLWNhbnZhcy1hdC1jZXMtMjAxNy00NDY1NjXSAQA?hl=en-US&gl=US&ceid=US%3Aen
HP fire-prone battery recall expanded to 101000,2017-01-26 00:00:00,https://news.google.com/./articles/CBMiVWh0dHBzOi8vd3d3Lml0bmV3cy5jb20uYXUvbmV3cy9ocC1maXJlLXByb25lLWJhdHRlcnktcmVjYWxsLWV4cGFuZGVkLXRvLTEwMTAwMC00NDg4MzDSAQA?hl=en-US&gl=US&ceid=US%3Aen
HPE acquires Cloud Cruiser - Cloud,2017-01-24 00:00:00,https://news.google.com/./articles/CBMiPWh0dHBzOi8vd3d3LmNybi5jb20uYXUvbmV3cy9ocGUtYWNxdWlyZXMtY2xvdWQtY3J1aXNlci00NDg1NzDSAQA?hl=en-US&gl=US&ceid=US%3Aen
Grimm Season 6 Premiere Recap: Between a Stick and a Hard Place,2017-01-06 00:00:00,https://news.google.com/./articles/CBMiT2h0dHBzOi8vdHZsaW5lLmNvbS8yMDE3LzAxLzA2L2dyaW1tLXByZW1pZXJlLXJlY2FwLXNlYXNvbi02LWVwaXNvZGUtMS1mdWdpdGl2ZS_SAVNodHRwczovL3R2bGluZS5jb20vMjAxNy8wMS8wNi9ncmltbS1wcmVtaWVyZS1yZWNhcC1zZWFzb24tNi1lcGlzb2RlLTEtZnVnaXRpdmUvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen
About - CRN Impact Awards,2017-02-06 00:00:00,https://news.google.com/./articles/CBMiI2h0dHBzOi8vd3d3LmNybi5jb20uYXUvaW1wYWN0YXdhcmRz0gEA?hl=en-US&gl=US&ceid=US%3Aen
