title,datetime,link
Aquatic Center (Swimming Pool) | SUU,2020-01-10 00:00:00,https://news.google.com/./articles/CBMiHWh0dHBzOi8vd3d3LnN1dS5lZHUvcmVjL3Bvb2wv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Bizarre Baltimore Foreclosure Features Weird Indoor Pool for Only $140K,2020-01-22 00:00:00,https://news.google.com/./articles/CBMiWWh0dHBzOi8vd3d3LnJlYWx0b3IuY29tL25ld3MvdW5pcXVlLWhvbWVzL2JpemFycmUtYmFsdGltb3JlLWZvcmVjbG9zdXJlLXdpdGgtaW5kb29yLXBvb2wv0gFdaHR0cHM6Ly93d3cucmVhbHRvci5jb20vbmV3cy91bmlxdWUtaG9tZXMvYml6YXJyZS1iYWx0aW1vcmUtZm9yZWNsb3N1cmUtd2l0aC1pbmRvb3ItcG9vbC9hbXAv?hl=en-US&gl=US&ceid=US%3Aen
Qualify for Team USA,2020-01-14 00:00:00,https://news.google.com/./articles/CBMiOmh0dHBzOi8vd3d3LnVzZmlndXJlc2thdGluZy5vcmcvc2thdGUvcXVhbGlmeS1mb3ItdGVhbS11c2HSAQA?hl=en-US&gl=US&ceid=US%3Aen
"Less turf, fewer pools shrink per-home water use in Phoenix area",2020-01-29 00:00:00,https://news.google.com/./articles/CBMihgFodHRwczovL3d3dy5hemNlbnRyYWwuY29tL3N0b3J5L25ld3MvbG9jYWwvYXJpem9uYS1lbnZpcm9ubWVudC8yMDIwLzAxLzI5L2hvbWVzLXBob2VuaXgtYXJpem9uYS1zd2ltbWluZy1wb29scy1sYXducy13YXRlci80NTkzNDYyMDAyL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Iowa Communities Assurance Pool files lawsuit to block state audit,2020-01-03 00:00:00,https://news.google.com/./articles/CBMijAFodHRwczovL3d3dy5kZXNtb2luZXNyZWdpc3Rlci5jb20vc3RvcnkvbmV3cy8yMDIwLzAxLzAzL2lvd2EtY29tbXVuaXRpZXMtYXNzdXJhbmNlLXBvb2wtZmlsZXMtbGF3c3VpdC1ibG9jay1zdGF0ZS1hdWRpdC1yb2Itc2FuZC8yODA4Njg2MDAxL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Adult Swim Hours At Sandwich's Community Pool Still In Short Supply,2020-01-24 00:00:00,https://news.google.com/./articles/CBMimwFodHRwczovL3d3dy5jYXBlbmV3cy5uZXQvc2FuZHdpY2gvbmV3cy9hZHVsdC1zd2ltLWhvdXJzLWF0LXNhbmR3aWNocy1jb21tdW5pdHktcG9vbC1zdGlsbC1pbi1zaG9ydC1zdXBwbHkvYXJ0aWNsZV9mNmI0MjkwMC0wNjJkLTVkYTItOTJhZC1kYTlhZmM0OGM2ZWMuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Gaffney's Irene Pool project set to be completed,2020-01-27 00:00:00,https://news.google.com/./articles/CBMibWh0dHBzOi8vd3d3LmdvdXBzdGF0ZS5jb20vc3Rvcnkvc3BlY2lhbC8yMDIwLzAxLzI3L2dhZmZuZXlzLWlyZW5lLXBvb2wtcHJvamVjdC1zZXQtdG8tYmUtY29tcGxldGVkLzExMjE1NTYyMi_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Officials ponder future of former community pool site in Flushing,2020-01-24 00:00:00,https://news.google.com/./articles/CBMib2h0dHBzOi8vd3d3Lm1saXZlLmNvbS9uZXdzL2ZsaW50LzIwMjAvMDEvb2ZmaWNpYWxzLXBvbmRlci1mdXR1cmUtb2YtZm9ybWVyLWNvbW11bml0eS1wb29sLXNpdGUtaW4tZmx1c2hpbmcuaHRtbNIBfmh0dHBzOi8vd3d3Lm1saXZlLmNvbS9uZXdzL2ZsaW50LzIwMjAvMDEvb2ZmaWNpYWxzLXBvbmRlci1mdXR1cmUtb2YtZm9ybWVyLWNvbW11bml0eS1wb29sLXNpdGUtaW4tZmx1c2hpbmcuaHRtbD9vdXRwdXRUeXBlPWFtcA?hl=en-US&gl=US&ceid=US%3Aen
"NCAP Eyeing New Pool In Virginia, But $6.4 Million Price Tag Is ...",2020-01-27 00:00:00,https://news.google.com/./articles/CBMiYWh0dHBzOi8vc3dpbXN3YW0uY29tL25jYXAtZXlpbmctbmV3LXBvb2wtaW4tdmlyZ2luaWEtYnV0LTYtNC1taWxsaW9uLXByaWNlLXRhZy1pcy1zdGlja2luZy1wb2ludC_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Napoleon municipal pool getting demolished; New aquatic center construction begins this spring,2020-01-28 00:00:00,https://news.google.com/./articles/CBMirgFodHRwczovL3d3dy53dG9sLmNvbS9hcnRpY2xlL25ld3MvbG9jYWwvbmFwb2xlb24tbXVuaWNpcGFsLXBvb2wtZ2V0dGluZy1kZW1vbGlzaGVkLW5ldy1hcXVhdGljLWNlbnRlci1jb25zdHJ1Y3Rpb24tYmVnaW5zLXRoaXMtc3ByaW5nLzUxMi0wMzhhMmI0My01YzQxLTRmZTEtYTdmZC0zNDE2ZjRjMjNiMTPSAbIBaHR0cHM6Ly93d3cud3RvbC5jb20vYW1wL2FydGljbGUvbmV3cy9sb2NhbC9uYXBvbGVvbi1tdW5pY2lwYWwtcG9vbC1nZXR0aW5nLWRlbW9saXNoZWQtbmV3LWFxdWF0aWMtY2VudGVyLWNvbnN0cnVjdGlvbi1iZWdpbnMtdGhpcy1zcHJpbmcvNTEyLTAzOGEyYjQzLTVjNDEtNGZlMS1hN2ZkLTM0MTZmNGMyM2IxMw?hl=en-US&gl=US&ceid=US%3Aen
