title,datetime,link
The Most Dangerous Dividends For 2017,2017-01-19 00:00:00,https://news.google.com/./articles/CBMiWWh0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvYnJldHRvd2Vucy8yMDE3LzAxLzE5L3RoZS1tb3N0LWRhbmdlcm91cy1kaXZpZGVuZHMtZm9yLTIwMTcv0gEA?hl=en-US&gl=US&ceid=US%3Aen
2 Big 8% Dividends To Buy (And 1 To Sell),2017-01-14 00:00:00,https://news.google.com/./articles/CBMiWmh0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvYnJldHRvd2Vucy8yMDE3LzAxLzE0LzItYmlnLTgtZGl2aWRlbmRzLXRvLWJ1eS1hbmQtMS10by1zZWxsL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Understanding BDCs (Part 3): The Ideal BDC Equation And Diagram,2017-01-02 00:00:00,https://news.google.com/./articles/CBMiYWh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQwMzM3MDUtdW5kZXJzdGFuZGluZy1iZGNzLXBhcnQtMy1pZGVhbC1iZGMtZXF1YXRpb24tYW5kLWRpYWdyYW3SAQA?hl=en-US&gl=US&ceid=US%3Aen
3 Monthly Pay Dividend Stock Lists For 2017,2017-01-04 00:00:00,https://news.google.com/./articles/CBMiVGh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQwMzQzOTctMy1tb250aGx5LXBheS1kaXZpZGVuZC1zdG9jay1saXN0cy1mb3ItMjAxN9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Monthly Pay Dividend Stocks: Your Three Lists For February,2017-02-07 00:00:00,https://news.google.com/./articles/CBMiYmh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQwNDMxOTQtbW9udGhseS1wYXktZGl2aWRlbmQtc3RvY2tzLXlvdXItdGhyZWUtbGlzdHMtZm9yLWZlYnJ1YXJ50gEA?hl=en-US&gl=US&ceid=US%3Aen
Volume 63 Number 23 | University of Pennsylvania Almanac,2017-02-14 00:00:00,https://news.google.com/./articles/CBMiLWh0dHBzOi8vYWxtYW5hYy51cGVubi5lZHUvdm9sdW1lLTYzLW51bWJlci0yM9IBAA?hl=en-US&gl=US&ceid=US%3Aen
"Dividend Dog Followers Luckily Found 13 Safe, High-Yield Picks In ...",2017-03-15 00:00:00,https://news.google.com/./articles/CBMib2h0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQwNTUzODUtZGl2aWRlbmQtZG9nLWZvbGxvd2Vycy1sdWNraWx5LWZvdW5kLTEzLXNhZmUtaGlnaC15aWVsZC1waWNrcy1pbi1tYXJjaNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Campus interviews at PSEC,2017-03-07 00:00:00,https://news.google.com/./articles/CBMiYmh0dHBzOi8vd3d3LnRoZWhhbnNpbmRpYS5jb20vcG9zdHMvaW5kZXgvQW1hcmF2YXRpLVRhYi8yMDE3LTAzLTA3L0NhbXB1cy1pbnRlcnZpZXdzLWF0LVBTRUMvMjg1MTU40gEA?hl=en-US&gl=US&ceid=US%3Aen
800 girl students celebrate women's day at PSEC,2017-03-09 00:00:00,https://news.google.com/./articles/CBMid2h0dHBzOi8vd3d3LnRoZWhhbnNpbmRpYS5jb20vcG9zdHMvaW5kZXgvQW1hcmF2YXRpLVRhYi8yMDE3LTAzLTA5LzgwMC1naXJsLXN0dWRlbnRzLWNlbGVicmF0ZS13b21lbnMtZGF5LWF0LVBTRUMvMjg1NjYy0gEA?hl=en-US&gl=US&ceid=US%3Aen
Don't Be Too Cute,2017-04-13 00:00:00,https://news.google.com/./articles/CBMiOWh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQwNjIyMTctZG9udC1iZS10b28tY3V0ZdIBAA?hl=en-US&gl=US&ceid=US%3Aen
Prospect Capital: 12.5% Yield And Lower Valuation Partially ...,2017-06-12 00:00:00,https://news.google.com/./articles/CBMihgFodHRwczovL3NlZWtpbmdhbHBoYS5jb20vYXJ0aWNsZS80MDgwNzgyLXByb3NwZWN0LWNhcGl0YWwtMTJfNS1wZXJjZW50LXlpZWxkLWFuZC1sb3dlci12YWx1YXRpb24tcGFydGlhbGx5LWNvbXBlbnNhdGVzLWZvci1oaWdoZXItcmlza9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Dividend Dog Followers Use New Ways To Put Their Favorite Dogs ...,2017-06-16 00:00:00,https://news.google.com/./articles/CBMiamh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQwODIxMTgtZGl2aWRlbmQtZG9nLWZvbGxvd2Vycy11c2UtbmV3LXdheXMtdG8tcHV0LWZhdm9yaXRlLWRvZ3MtaW4tcHJpbnTSAQA?hl=en-US&gl=US&ceid=US%3Aen
A Comparison Of Ultra-Short Duration Bond ETFs,2017-07-25 00:00:00,https://news.google.com/./articles/CBMiVWh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQwOTAzODktY29tcGFyaXNvbi1vZi11bHRyYS1zaG9ydC1kdXJhdGlvbi1ib25kLWV0ZnPSAQA?hl=en-US&gl=US&ceid=US%3Aen
