title,datetime,link
FDLE opens inquiry into former Hillsborough PTC chief's handling of ...,2017-01-19 00:00:00,https://news.google.com/./articles/CBMif2h0dHBzOi8vd3d3LnRhbXBhYmF5LmNvbS9uZXdzL3RyYW5zcG9ydGF0aW9uL2ZkbGUtb3BlbnMtaW5xdWlyeS1pbnRvLWZvcm1lci1oaWxsc2Jvcm91Z2gtcHRjLWNoaWVmcy1oYW5kbGluZy1vZi1wdWJsaWMvMjMxMDA0OC_SAY4BaHR0cHM6Ly93d3cudGFtcGFiYXkuY29tL25ld3MvdHJhbnNwb3J0YXRpb24vZmRsZS1vcGVucy1pbnF1aXJ5LWludG8tZm9ybWVyLWhpbGxzYm9yb3VnaC1wdGMtY2hpZWZzLWhhbmRsaW5nLW9mLXB1YmxpYy8yMzEwMDQ4Lz9vdXRwdXRUeXBlPWFtcA?hl=en-US&gl=US&ceid=US%3Aen
Ex-PTC chief used agency funds on tech firm before surrendering ...,2017-01-13 00:00:00,https://news.google.com/./articles/CBMigQFodHRwczovL3d3dy50YW1wYWJheS5jb20vbmV3cy90cmFuc3BvcnRhdGlvbi9leC1wdGMtY2hpZWYtdXNlZC1hZ2VuY3ktZnVuZHMtb24tdGVjaC1maXJtLWJlZm9yZS1zdXJyZW5kZXJpbmctd2lwZWQtcGhvbmUvMjMwOTQ0Ny_SAZABaHR0cHM6Ly93d3cudGFtcGFiYXkuY29tL25ld3MvdHJhbnNwb3J0YXRpb24vZXgtcHRjLWNoaWVmLXVzZWQtYWdlbmN5LWZ1bmRzLW9uLXRlY2gtZmlybS1iZWZvcmUtc3VycmVuZGVyaW5nLXdpcGVkLXBob25lLzIzMDk0NDcvP291dHB1dFR5cGU9YW1w?hl=en-US&gl=US&ceid=US%3Aen
2017 Apparel Guide: Timeless and Trending Midlayers,2017-01-12 00:00:00,https://news.google.com/./articles/CBMiV2h0dHBzOi8vYmFja2NvdW50cnltYWdhemluZS5jb20vc3Rvcmllcy8yMDE3LWFwcGFyZWwtZ3VpZGUtdGltZWxlc3MtdHJlbmRpbmctbWlkbGF5ZXJzL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Thursday's PTC fire results in total loss,2017-01-16 00:00:00,https://news.google.com/./articles/CBMiSGh0dHBzOi8vdGhlY2l0aXplbi5jb20vMjAxNy8wMS8xNi90aHVyc2RheXMtcHRjLWZpcmUtcmVzdWx0cy10b3RhbC1sb3NzL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
PATH Tackles PTC and Sleep Apnea In Wake Of Hoboken Train ...,2017-01-17 00:00:00,https://news.google.com/./articles/CBMiXGh0dHBzOi8vcGF0Y2guY29tL25ldy1qZXJzZXkvbmV3YXJrbmovYWZ0ZXItaG9ib2tlbi10cmFpbi1jcmFzaC1wYXRoLXRhY2tsZXMtcHRjLXNsZWVwLWFwbmVh0gEA?hl=en-US&gl=US&ceid=US%3Aen
LIRR engineer in Atlantic Terminal crash to be tested for sleep apnea,2017-01-06 00:00:00,https://news.google.com/./articles/CBMiZmh0dHBzOi8vYWJjN255LmNvbS9hdGxhbnRpYy10ZXJtaW5hbC1kZXJhaWxtZW50LWxpcnItZGVyYWlsLWxvbmctaXNsYW5kLXJhaWwtcm9hZC10cmFpbi1jcmFzaC8xNjkwMDE2L9IBamh0dHBzOi8vYWJjN255LmNvbS9hbXAvYXRsYW50aWMtdGVybWluYWwtZGVyYWlsbWVudC1saXJyLWRlcmFpbC1sb25nLWlzbGFuZC1yYWlsLXJvYWQtdHJhaW4tY3Jhc2gvMTY5MDAxNi8?hl=en-US&gl=US&ceid=US%3Aen
ThingWorx Ecosystem Improves No-Programming Field Device Integration,2017-01-18 00:00:00,https://news.google.com/./articles/CBMiZmh0dHBzOi8vd3d3LmVuZ2luZWVyaW5nLmNvbS9zdG9yeS90aGluZ3dvcngtZWNvc3lzdGVtLWltcHJvdmVzLW5vLXByb2dyYW1taW5nLWZpZWxkLWRldmljZS1pbnRlZ3JhdGlvbtIBLWh0dHBzOi8vbW9iaWxlLmVuZ2luZWVyaW5nLmNvbS9hbXAvMTQxNDAuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen
ICRA ratings for Indian debt instruments-Jan 30,2017-01-30 00:00:00,https://news.google.com/./articles/CBMiO2h0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvaW5kaWEtcmF0aW5ncy1pZElOTDROMUZLMUFC0gEA?hl=en-US&gl=US&ceid=US%3Aen
Cost of rail safety system on NJ Transit balloons to $320M,2017-01-11 00:00:00,https://news.google.com/./articles/CBMiYWh0dHBzOi8vd3d3Lm5qLmNvbS90cmFmZmljLzIwMTcvMDEvY29zdF9vZl9yYWlsX3NhZmV0eV9zeXN0ZW1fb25fbmpfdHJhbnNpdF9iYWxsb29uc190b18zMjBtLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
Tim Dunn,2017-01-27 00:00:00,https://news.google.com/./articles/CBMiHmh0dHBzOi8vYml6dGltZXMuY29tL3RpbS1kdW5uL9IBImh0dHBzOi8vYml6dGltZXMuY29tL3RpbS1kdW5uLz9hbXA?hl=en-US&gl=US&ceid=US%3Aen
