title,datetime,link
"How the Granddaughter of a Borscht Belt Waiter Became Roberta Peters, Opera Star",2017-01-20 00:00:00,https://news.google.com/./articles/CBMibmh0dHBzOi8vZm9yd2FyZC5jb20vY3VsdHVyZS8zNjA2MzYvaG93LXRoZS1ncmFuZGRhdWdodGVyLW9mLWEtYm9yc2NodC1iZWx0LXdhaXRlci1iZWNhbWUtcm9iZXJ0YS1wZXRlcnMtb3BlcmEv0gF0aHR0cHM6Ly9mb3J3YXJkLmNvbS9jdWx0dXJlLzM2MDYzNi9ob3ctdGhlLWdyYW5kZGF1Z2h0ZXItb2YtYS1ib3JzY2h0LWJlbHQtd2FpdGVyLWJlY2FtZS1yb2JlcnRhLXBldGVycy1vcGVyYS8_YW1wPTE?hl=en-US&gl=US&ceid=US%3Aen
MatrixCare to Launch CareCommunity on Microsoft Azure; Driving the Next Generation of Long-Term Care,2017-01-09 00:00:00,https://news.google.com/./articles/CBMiXWh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9tYXRyaXhjYXJlLWxhdW5jaC1jYXJlY29tbXVuaXR5LW1pY3Jvc29mdC1henVyZS0xNDA1NDQxMzAuaHRtbNIBZWh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vYW1waHRtbC9uZXdzL21hdHJpeGNhcmUtbGF1bmNoLWNhcmVjb21tdW5pdHktbWljcm9zb2Z0LWF6dXJlLTE0MDU0NDEzMC5odG1s?hl=en-US&gl=US&ceid=US%3Aen
3 Things to Know About Selling a House on Your Own,2017-02-27 00:00:00,https://news.google.com/./articles/CBMiaWh0dHBzOi8vbW9uZXkudXNuZXdzLmNvbS9pbnZlc3RpbmcvYXJ0aWNsZXMvMjAxNy0wMi0yNy8zLXRoaW5ncy10by1rbm93LWFib3V0LXNlbGxpbmctYS1ob3VzZS1vbi15b3VyLW93btIBAA?hl=en-US&gl=US&ceid=US%3Aen
Here’s Why Tesla Will No Longer Produce The Cheaper Variants Of ...,2017-03-21 00:00:00,https://news.google.com/./articles/CBMigwFodHRwczovL3d3dy50cmVmaXMuY29tL3N0b2NrL3RzbGEvYXJ0aWNsZXMvNDAzMTMwL2hlcmVzLXdoeS10ZXNsYS13aWxsLW5vLWxvbmdlci1wcm9kdWNlLXRoZS1jaGVhcGVyLXZhcmlhbnRzLW9mLW1vZGVsLXMvMjAxNy0wMy0yMdIBAA?hl=en-US&gl=US&ceid=US%3Aen
A Closer Look At Tesla’s Valuation,2017-04-17 00:00:00,https://news.google.com/./articles/CBMiXmh0dHBzOi8vd3d3LnRyZWZpcy5jb20vc3RvY2svdHNsYS9hcnRpY2xlcy80MDQ4ODEvYS1jbG9zZXItbG9vay1hdC10ZXNsYXMtdmFsdWF0aW9uLzIwMTctMDQtMTfSAQA?hl=en-US&gl=US&ceid=US%3Aen
Lowe's (LOW) Is Still Chasing Home Depot (HD),2017-08-23 00:00:00,https://news.google.com/./articles/CBMib2h0dHBzOi8vbW9uZXkudXNuZXdzLmNvbS9pbnZlc3Rpbmcvc3RvY2stbWFya2V0LW5ld3MvYXJ0aWNsZXMvMjAxNy0wOC0yMy9sb3dlcy1sb3ctc3RvY2stZWFybmluZ3MtaG9tZS1kZXBvdC1oZNIBAA?hl=en-US&gl=US&ceid=US%3Aen
"2 Years After Outbreaks, Chipotle Stock Still Not Appetizing",2017-08-23 00:00:00,https://news.google.com/./articles/CBMiiAFodHRwczovL21vbmV5LnVzbmV3cy5jb20vaW52ZXN0aW5nL3N0b2NrLW1hcmtldC1uZXdzL2FydGljbGVzLzIwMTctMDgtMjMvMi15ZWFycy1hZnRlci1vdXRicmVha3MtY2hpcG90bGUtc3RvY2stc3RpbGwtbm90LWFwcGV0aXppbmctY21n0gEA?hl=en-US&gl=US&ceid=US%3Aen
Karma for SNAP Stock: S&P 500 Bans Dual-Class Shares,2017-08-01 00:00:00,https://news.google.com/./articles/CBMicmh0dHBzOi8vbW9uZXkudXNuZXdzLmNvbS9pbnZlc3Rpbmcvc3RvY2stbWFya2V0LW5ld3MvYXJ0aWNsZXMvMjAxNy0wOC0wMS9zbmFwLXN0b2NrLXMtcC01MDAtYmFucy1kdWFsLWNsYXNzLXNoYXJlc9IBAA?hl=en-US&gl=US&ceid=US%3Aen
"Tesla Is an Energy Company, Not a Car Company",2017-09-20 00:00:00,https://news.google.com/./articles/CBMidWh0dHBzOi8vbW9uZXkudXNuZXdzLmNvbS9pbnZlc3Rpbmcvc3RvY2stbWFya2V0LW5ld3MvYXJ0aWNsZXMvMjAxNy0wOS0yMC90ZXNsYS1pcy1hbi1lbmVyZ3ktY29tcGFueS1ub3QtYS1jYXItY29tcGFuedIBAA?hl=en-US&gl=US&ceid=US%3Aen
Social Capital Hedosophia Holdings Files For $500 Million Blank ...,2017-09-01 00:00:00,https://news.google.com/./articles/CBMicWh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQxMDM2MTktc29jaWFsLWNhcGl0YWwtaGVkb3NvcGhpYS1ob2xkaW5ncy1maWxlcy1mb3ItNTAwLW1pbGxpb24tYmxhbmstY2hlY2staXBv0gEA?hl=en-US&gl=US&ceid=US%3Aen
