title,datetime,link
"Airline stocks dive as Iran tensions spark oil price surge, fuel-cost concerns",2020-01-03 00:00:00,https://news.google.com/./articles/CBMiemh0dHBzOi8vd3d3Lm1hcmtldHdhdGNoLmNvbS9zdG9yeS9haXJsaW5lLXN0b2Nrcy1kaXZlLWFzLWlyYW4tdGVuc2lvbnMtc3Bhcmstb2lsLXByaWNlLXN1cmdlLWZ1ZWwtY29zdC1jb25jZXJucy0yMDIwLTAxLTAz0gF-aHR0cHM6Ly93d3cubWFya2V0d2F0Y2guY29tL2FtcC9zdG9yeS9haXJsaW5lLXN0b2Nrcy1kaXZlLWFzLWlyYW4tdGVuc2lvbnMtc3Bhcmstb2lsLXByaWNlLXN1cmdlLWZ1ZWwtY29zdC1jb25jZXJucy0yMDIwLTAxLTAz?hl=en-US&gl=US&ceid=US%3Aen
Airbus Stock Falls as Plane Maker Posts Heavy Loss,2020-02-13 00:00:00,https://news.google.com/./articles/CBMiS2h0dHBzOi8vd3d3LmJhcnJvbnMuY29tL2FydGljbGVzL2FpcmJ1cy1zdG9jay1mYWxscy1sb3NzLWJvZWluZy01MTU4MTYxOTU5NtIBT2h0dHBzOi8vd3d3LmJhcnJvbnMuY29tL2FtcC9hcnRpY2xlcy9haXJidXMtc3RvY2stZmFsbHMtbG9zcy1ib2VpbmctNTE1ODE2MTk1OTY?hl=en-US&gl=US&ceid=US%3Aen
How the Boeing 737 Max crisis is hurting the plane's biggest buyer in Europe,2020-02-03 00:00:00,https://news.google.com/./articles/CBMiR2h0dHBzOi8vd3d3LmNubi5jb20vMjAyMC8wMi8wMy9idXNpbmVzcy9yeWFuYWlyLWJvZWluZy1kZWxheS9pbmRleC5odG1s0gFLaHR0cHM6Ly9hbXAuY25uLmNvbS9jbm4vMjAyMC8wMi8wMy9idXNpbmVzcy9yeWFuYWlyLWJvZWluZy1kZWxheS9pbmRleC5odG1s?hl=en-US&gl=US&ceid=US%3Aen
"Walmart, Apple warn of coronavirus hit to bottom line",2020-02-18 00:00:00,https://news.google.com/./articles/CBMiggFodHRwczovL2ZpbmFuY2UueWFob28uY29tL25ld3MvYm9laW5nLWFwcGxlLWdvb2dsZS10b3AtZ3Jvd2luZy1saXN0LW9mLWNvbXBhbmllcy13YXJuaW5nLWFib3V0LWEtY29yb25hdmlydXMtaW1wYWN0LTE4MDA0NjYxNy5odG1s0gGKAWh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vYW1waHRtbC9uZXdzL2JvZWluZy1hcHBsZS1nb29nbGUtdG9wLWdyb3dpbmctbGlzdC1vZi1jb21wYW5pZXMtd2FybmluZy1hYm91dC1hLWNvcm9uYXZpcnVzLWltcGFjdC0xODAwNDY2MTcuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen
A-Z list of shares and how to buy them,2020-04-17 00:00:00,https://news.google.com/./articles/CBMiOGh0dHBzOi8vd3d3LmZpbmRlci5jb20uYXUvc2hhcmUtdHJhZGluZy9icm93c2UtY29tcGFuaWVz0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Ryanair will cut 3,000 jobs and keep 99% of flights grounded through June",2020-05-01 00:00:00,https://news.google.com/./articles/CBMiQ2h0dHBzOi8vd3d3LmNubi5jb20vMjAyMC8wNS8wMS9idXNpbmVzcy9yeWFuYWlyLWpvYi1jdXRzL2luZGV4Lmh0bWzSAUdodHRwczovL2FtcC5jbm4uY29tL2Nubi8yMDIwLzA1LzAxL2J1c2luZXNzL3J5YW5haXItam9iLWN1dHMvaW5kZXguaHRtbA?hl=en-US&gl=US&ceid=US%3Aen
2020 is a catastrophe for tourism businesses. Here's what the industry needs to get back on its feet,2020-05-13 00:00:00,https://news.google.com/./articles/CBMiWmh0dHBzOi8vd3d3LmNubi5jb20vMjAyMC8wNS8xMy9idXNpbmVzcy90cmF2ZWwtYW5kLXRvdXJpc20tcmVjb3ZlcnktY29yb25hdmlydXMvaW5kZXguaHRtbNIBXmh0dHBzOi8vYW1wLmNubi5jb20vY25uLzIwMjAvMDUvMTMvYnVzaW5lc3MvdHJhdmVsLWFuZC10b3VyaXNtLXJlY292ZXJ5LWNvcm9uYXZpcnVzL2luZGV4Lmh0bWw?hl=en-US&gl=US&ceid=US%3Aen
"Hedge Funds Are Buying Tyler Technologies, Inc. (TYL)",2020-06-09 00:00:00,https://news.google.com/./articles/CBMiU2h0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9oZWRnZS1mdW5kcy1idXlpbmctdHlsZXItdGVjaG5vbG9naWVzLTIwNDcyMjQwNy5odG1s0gFbaHR0cHM6Ly9maW5hbmNlLnlhaG9vLmNvbS9hbXBodG1sL25ld3MvaGVkZ2UtZnVuZHMtYnV5aW5nLXR5bGVyLXRlY2hub2xvZ2llcy0yMDQ3MjI0MDcuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen
"4,000 airport jobs to go in UK and Ireland as Swissport slashes workforce",2020-06-24 00:00:00,https://news.google.com/./articles/CBMiUGh0dHBzOi8vd3d3LmNubi5jb20vMjAyMC8wNi8yNC9idXNpbmVzcy9zd2lzc3BvcnQtam9iLWN1dHMtdWstaXJlbGFuZC9pbmRleC5odG1s0gFUaHR0cHM6Ly9hbXAuY25uLmNvbS9jbm4vMjAyMC8wNi8yNC9idXNpbmVzcy9zd2lzc3BvcnQtam9iLWN1dHMtdWstaXJlbGFuZC9pbmRleC5odG1s?hl=en-US&gl=US&ceid=US%3Aen
Airline Stocks Fall as Hopes for Rebound in Leisure Travel Fade,2020-07-09 00:00:00,https://news.google.com/./articles/CBMibGh0dHBzOi8vd3d3LmJhcnJvbnMuY29tL2FydGljbGVzL2FpcmxpbmUtc3RvY2tzLWZhbGwtYXMtaG9wZXMtZm9yLXJlYm91bmQtaW4tbGVpc3VyZS10cmF2ZWwtZmFkZS01MTU5NDMyMDQ1OdIBcGh0dHBzOi8vd3d3LmJhcnJvbnMuY29tL2FtcC9hcnRpY2xlcy9haXJsaW5lLXN0b2Nrcy1mYWxsLWFzLWhvcGVzLWZvci1yZWJvdW5kLWluLWxlaXN1cmUtdHJhdmVsLWZhZGUtNTE1OTQzMjA0NTk?hl=en-US&gl=US&ceid=US%3Aen
Daily Markets: Market Rally Continues Despite Escalating Covid-19 Cases,2020-07-06 00:00:00,https://news.google.com/./articles/CBMidGh0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvZGFpbHktbWFya2V0cyUzQS1tYXJrZXQtcmFsbHktY29udGludWVzLWRlc3BpdGUtZXNjYWxhdGluZy1jb3ZpZC0xOS1jYXNlcy0yMDIwLTA3LTA20gF4aHR0cHM6Ly93d3cubmFzZGFxLmNvbS9hcnRpY2xlcy9kYWlseS1tYXJrZXRzJTNBLW1hcmtldC1yYWxseS1jb250aW51ZXMtZGVzcGl0ZS1lc2NhbGF0aW5nLWNvdmlkLTE5LWNhc2VzLTIwMjAtMDctMDY_YW1w?hl=en-US&gl=US&ceid=US%3Aen
Gold price hits record high on new fears for the economy,2020-07-27 00:00:00,https://news.google.com/./articles/CBMiSmh0dHBzOi8vd3d3LmNubi5jb20vMjAyMC8wNy8yNy9pbnZlc3RpbmcvZ29sZC1wcmljZS1yZWNvcmQtaGlnaC9pbmRleC5odG1s0gFOaHR0cHM6Ly9hbXAuY25uLmNvbS9jbm4vMjAyMC8wNy8yNy9pbnZlc3RpbmcvZ29sZC1wcmljZS1yZWNvcmQtaGlnaC9pbmRleC5odG1s?hl=en-US&gl=US&ceid=US%3Aen
‘Lives could have been saved’: Ireland says people must wear masks in stores to stop COVID-19 — why did it take so long?,2020-08-10 00:00:00,https://news.google.com/./articles/CBMinAFodHRwczovL3d3dy5tYXJrZXR3YXRjaC5jb20vc3RvcnkvaXJlbGFuZC1maW5hbGx5LW1ha2VzLWZhY2UtbWFza3MtbWFuZGF0b3J5LWluLXN0b3Jlcy10by1wcmV2ZW50LXNwcmVhZC1vZi1jb3ZpZC0xOS1idXQtd2h5LWRpZC1pdC10YWtlLTYtbW9udGhzLTIwMjAtMDgtMTDSAaABaHR0cHM6Ly93d3cubWFya2V0d2F0Y2guY29tL2FtcC9zdG9yeS9pcmVsYW5kLWZpbmFsbHktbWFrZXMtZmFjZS1tYXNrcy1tYW5kYXRvcnktaW4tc3RvcmVzLXRvLXByZXZlbnQtc3ByZWFkLW9mLWNvdmlkLTE5LWJ1dC13aHktZGlkLWl0LXRha2UtNi1tb250aHMtMjAyMC0wOC0xMA?hl=en-US&gl=US&ceid=US%3Aen
Ryanair and EasyJet show the travel industry is still in deep trouble,2020-08-17 00:00:00,https://news.google.com/./articles/CBMiUWh0dHBzOi8vd3d3LmNubi5jb20vMjAyMC8wOC8xNy9idXNpbmVzcy9yeWFuYWlyLWVhc3lqZXQtZmxpZ2h0LWNoYW5nZXMvaW5kZXguaHRtbNIBVWh0dHBzOi8vYW1wLmNubi5jb20vY25uLzIwMjAvMDgvMTcvYnVzaW5lc3MvcnlhbmFpci1lYXN5amV0LWZsaWdodC1jaGFuZ2VzL2luZGV4Lmh0bWw?hl=en-US&gl=US&ceid=US%3Aen
Green recovery or 'nightmare' for trade? Europe wants to tax emissions from ships,2020-08-17 00:00:00,https://news.google.com/./articles/CBMiX2h0dHBzOi8vd3d3LmNubi5jb20vMjAyMC8wOC8xNy9idXNpbmVzcy9ldXJvcGUtc2hpcHBpbmctZW1pc3Npb25zLXRheC1jb3ZpZC1yZWNvdmVyeS9pbmRleC5odG1s0gFjaHR0cHM6Ly9hbXAuY25uLmNvbS9jbm4vMjAyMC8wOC8xNy9idXNpbmVzcy9ldXJvcGUtc2hpcHBpbmctZW1pc3Npb25zLXRheC1jb3ZpZC1yZWNvdmVyeS9pbmRleC5odG1s?hl=en-US&gl=US&ceid=US%3Aen
"Stocks That Will Benefit From Coronavirus, According to Baillie Gifford’s Jenny Davis",2020-09-04 00:00:00,https://news.google.com/./articles/CBMiYGh0dHBzOi8vd3d3LmJhcnJvbnMuY29tL2FydGljbGVzL3RoZXNlLXN0b2Nrcy13aWxsLWJlbmVmaXQtZnJvbS1jb3ZpZC1yZWxhdGVkLXRyZW5kcy01MTU5OTIyMDgwMNIBZGh0dHBzOi8vd3d3LmJhcnJvbnMuY29tL2FtcC9hcnRpY2xlcy90aGVzZS1zdG9ja3Mtd2lsbC1iZW5lZml0LWZyb20tY292aWQtcmVsYXRlZC10cmVuZHMtNTE1OTkyMjA4MDA?hl=en-US&gl=US&ceid=US%3Aen
"Airline Stock Roundup: UAL's Expansion Update, GOL's August ...",2020-09-08 00:00:00,https://news.google.com/./articles/CBMiUmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9haXJsaW5lLXN0b2NrLXJvdW5kdXAtdWFscy1leHBhbnNpb24tMTcwNzA1MzU5Lmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
