title,datetime,link
YouTube's iJustine on Arnold Schwarzenegger (and Snooki!) in the ...,2017-01-09 00:00:00,https://news.google.com/./articles/CBMiW2h0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy95b3V0dWJlLWlqdXN0aW5lLWFybm9sZC1zY2h3YXJ6ZW5lZ2dlci1zbm9va2ktMjI0MTQ4OTI5Lmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
"Jim Sturgess to Star in ‘Luther’ Creator’s ‘Hard Sun,’ Hulu Nabs U.S. Rights",2017-01-06 00:00:00,https://news.google.com/./articles/CBMiYGh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9qaW0tc3R1cmdlc3MtYWd5bmVzcy1kZXluLXN0YXItbHV0aGVyLWNyZWF0b3ItbmVpbC0xNDAwMjk4MTkuaHRtbNIBaGh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vYW1waHRtbC9uZXdzL2ppbS1zdHVyZ2Vzcy1hZ3luZXNzLWRleW4tc3Rhci1sdXRoZXItY3JlYXRvci1uZWlsLTE0MDAyOTgxOS5odG1s?hl=en-US&gl=US&ceid=US%3Aen
Why President Trump using an unsecured Android would be a very bad idea,2017-01-25 00:00:00,https://news.google.com/./articles/CBMiXWh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy90cnVtcC11c2luZy11bnNlY3VyZWQtYW5kcm9pZC1zbWFydHBob25lLXJlcG9ydC0yMjExNDIyMDMuaHRtbNIBZWh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vYW1waHRtbC9uZXdzL3RydW1wLXVzaW5nLXVuc2VjdXJlZC1hbmRyb2lkLXNtYXJ0cGhvbmUtcmVwb3J0LTIyMTE0MjIwMy5odG1s?hl=en-US&gl=US&ceid=US%3Aen
Elle Fanning Showed Us the Right Way to Tuck Hair Behind Your Ears,2017-01-10 00:00:00,https://news.google.com/./articles/CBMicGh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9lbGxlLWZhbm5pbmctc2hvd2VkLXVzLXRoZS1yaWdodC13YXktdG8tdHVjay1oYWlyLWJlaGluZC15b3VyLWVhcnMtMjAxOTA0OTM1Lmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
A Better Approach To Ship Valuations (NYSEARCA:SEA-OLD),2017-01-25 00:00:00,https://news.google.com/./articles/CBMiS2h0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQwMzk0ODItYmV0dGVyLWFwcHJvYWNoLXRvLXNoaXAtdmFsdWF0aW9uc9IBAA?hl=en-US&gl=US&ceid=US%3Aen
"T-Mobile Continues To Gobble Up Market Share, Now 3rd Place In The U.S.",2017-02-21 00:00:00,https://news.google.com/./articles/CBMiTmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy90LW1vYmlsZS1jb250aW51ZXMtZ29iYmxlLW1hcmtldC0xODQ2MzUxMTQuaHRtbNIBVmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vYW1waHRtbC9uZXdzL3QtbW9iaWxlLWNvbnRpbnVlcy1nb2JibGUtbWFya2V0LTE4NDYzNTExNC5odG1s?hl=en-US&gl=US&ceid=US%3Aen
A close look at Americans' food budget shows an obvious place to save money,2017-02-17 00:00:00,https://news.google.com/./articles/CBMiTmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9jbG9zZS1sb29rLWFtZXJpY2Fucy1mb29kLWJ1ZGdldC0yMDAwMDA4ODUuaHRtbNIBVmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vYW1waHRtbC9uZXdzL2Nsb3NlLWxvb2stYW1lcmljYW5zLWZvb2QtYnVkZ2V0LTIwMDAwMDg4NS5odG1s?hl=en-US&gl=US&ceid=US%3Aen
"Desire Vodka, a Smooth and High Quality Luxury Vodka, is Officially Announced",2017-02-20 00:00:00,https://news.google.com/./articles/CBMiTmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9kZXNpcmUtdm9ka2Etc21vb3RoLWhpZ2gtcXVhbGl0eS0xMjU4MDA0NzkuaHRtbNIBVmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vYW1waHRtbC9uZXdzL2Rlc2lyZS12b2RrYS1zbW9vdGgtaGlnaC1xdWFsaXR5LTEyNTgwMDQ3OS5odG1s?hl=en-US&gl=US&ceid=US%3Aen
How Marc Andreessen got Cisco's John Chambers to invest in a ...,2017-02-23 00:00:00,https://news.google.com/./articles/CBMiTWh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9tYXJjLWFuZHJlZXNzZW4tZ290LWNpc2Nvcy1qb2huLTEyMzAwMDkzNy5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
A top IPO banker is leaving Bank of America Merrill Lynch to join a fintech company,2017-03-10 00:00:00,https://news.google.com/./articles/CBMiTGh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy90b3AtYmFuay1hbWVyaWNhLW1lcnJpbGwtbHluY2gtMTc1NTA3NzAyLmh0bWzSAVRodHRwczovL2ZpbmFuY2UueWFob28uY29tL2FtcGh0bWwvbmV3cy90b3AtYmFuay1hbWVyaWNhLW1lcnJpbGwtbHluY2gtMTc1NTA3NzAyLmh0bWw?hl=en-US&gl=US&ceid=US%3Aen
