title,datetime,link
Bring Back A Piece Of London With These 11 UK Snacks,2017-01-04 00:00:00,https://news.google.com/./articles/CBMiSGh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9icmluZy1iYWNrLXBpZWNlLWxvbmRvbi0xMS0wNjAzMzY1NTQuaHRtbNIBUGh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vYW1waHRtbC9uZXdzL2JyaW5nLWJhY2stcGllY2UtbG9uZG9uLTExLTA2MDMzNjU1NC5odG1s?hl=en-US&gl=US&ceid=US%3Aen
Lola Kirke Didn't Shave Her Underarms for the Golden Globes,2017-01-09 00:00:00,https://news.google.com/./articles/CBMicWh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9sb2xhLWtpcmtlLXdlbnQtbmF0dXJhbC13aXRoLWhlci11bmRlcmFybS1oYWlyLWF0LXRoZS1nb2xkZW4tZ2xvYmVzLTE1MDUyNjEwMi5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
Crude’s landslide,2017-03-09 00:00:00,https://news.google.com/./articles/CBMiPWh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9jcnVkZS1sYW5kc2xpZGUtMTY0NTEzOTczLmh0bWzSAUVodHRwczovL2ZpbmFuY2UueWFob28uY29tL2FtcGh0bWwvbmV3cy9jcnVkZS1sYW5kc2xpZGUtMTY0NTEzOTczLmh0bWw?hl=en-US&gl=US&ceid=US%3Aen
"If Ya Don’t Know, Now Ya Know: Notorious B.I.G.’s Final Album ‘Life After Death’ Defined An Era",2017-03-23 00:00:00,https://news.google.com/./articles/CBMibmh0dHBzOi8vd3d3LnZpYmUuY29tL2ZlYXR1cmVzL2VkaXRvcmlhbC92aWV3cy1mcm9tLXRoZS1zdHVkaW8tYmlnZ2llLXNtYWxscy1saWZlLWFmdGVyLWRlYXRoLWludGVydmlldy00OTc5NjMv0gFyaHR0cHM6Ly93d3cudmliZS5jb20vZmVhdHVyZXMvZWRpdG9yaWFsL3ZpZXdzLWZyb20tdGhlLXN0dWRpby1iaWdnaWUtc21hbGxzLWxpZmUtYWZ0ZXItZGVhdGgtaW50ZXJ2aWV3LTQ5Nzk2My9hbXAv?hl=en-US&gl=US&ceid=US%3Aen
How to say the #U21EURO players' names correctly,2017-06-15 00:00:00,https://news.google.com/./articles/CBMidmh0dHBzOi8vd3d3LnVlZmEuY29tL3VuZGVyMjEvbmV3cy8wMjU3LTBkZWUxMmUyODQyNi02YjAyYTJhZWRmZWItMTAwMC0taG93LXRvLXNheS10aGUtdTIxZXVyby1wbGF5ZXJzLW5hbWVzLWNvcnJlY3RseS_SAQA?hl=en-US&gl=US&ceid=US%3Aen
"Rwanda: Ikwiize, Kigali's Newest Fashion Brand",2017-06-18 00:00:00,https://news.google.com/./articles/CBMiL2h0dHBzOi8vYWxsYWZyaWNhLmNvbS9zdG9yaWVzLzIwMTcwNjE5MDgzMC5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
Eight Glasgow nightclubs to go to if you're a wee bit older,2017-07-22 00:00:00,https://news.google.com/./articles/CBMiZmh0dHBzOi8vd3d3LmdsYXNnb3dsaXZlLmNvLnVrL3doYXRzLW9uL211c2ljLW5pZ2h0bGlmZS1uZXdzL2VpZ2h0LWdsYXNnb3ctbmlnaHRjbHVicy1nby15b3VyZS0xMzM2OTc0NtIBamh0dHBzOi8vd3d3LmdsYXNnb3dsaXZlLmNvLnVrL3doYXRzLW9uL211c2ljLW5pZ2h0bGlmZS1uZXdzL2VpZ2h0LWdsYXNnb3ctbmlnaHRjbHVicy1nby15b3VyZS0xMzM2OTc0Ni5hbXA?hl=en-US&gl=US&ceid=US%3Aen
"The Refreshing Investment Tale of Quincy, Florida's Many Coca ...",2017-10-19 00:00:00,https://news.google.com/./articles/CBMiYGh0dHBzOi8vd3d3LmZvb2wuY29tL2ludmVzdGluZy8yMDE3LzEwLzE5L3RoZS1yZWZyZXNoaW5nLWludmVzdG1lbnQtdGFsZS1vZi1xdWluY3ktZmxvcmlkYXMuYXNweNIBAA?hl=en-US&gl=US&ceid=US%3Aen
5 Board Games David Gardner Would Put Under the Tree This Year,2017-12-19 00:00:00,https://news.google.com/./articles/CBMiYWh0dHBzOi8vd3d3LmZvb2wuY29tL2ludmVzdGluZy8yMDE3LzEyLzE5LzUtYm9hcmQtZ2FtZXMtZGF2aWQtZ2FyZG5lci13b3VsZC1wdXQtdW5kZXItdGhlLXRyLmFzcHjSAQA?hl=en-US&gl=US&ceid=US%3Aen
The Bully from 'A Christmas Story' Still Makes Money off the Movie ...,2017-12-16 00:00:00,https://news.google.com/./articles/CBMiT2h0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9idWxseS1jaHJpc3RtYXMtc3Rvcnktc3RpbGwtbWFrZXMtMTYyMjAzMzg5Lmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
