title,datetime,link
Third Federal Introduces Heritage Home Program Loan,2017-01-09 00:00:00,https://news.google.com/./articles/CBMibGh0dHBzOi8vd3d3LmJ1c2luZXNzd2lyZS5jb20vbmV3cy9ob21lLzIwMTcwMTA5MDA2MTkwL2VuL1RoaXJkLUZlZGVyYWwtSW50cm9kdWNlcy1IZXJpdGFnZS1Ib21lLVByb2dyYW0tTG9hbtIBAA?hl=en-US&gl=US&ceid=US%3Aen
"BUYINS.NET: CHSP, AWI, FSLR, TFSL, HTH, CMF Are Seasonally R...",2017-03-07 00:00:00,https://news.google.com/./articles/CBMidmh0dHBzOi8vbWVuYWZuLmNvbS8xMDk1Mjk3ODQ0L0JVWUlOU05FVC1DSFNQLUFXSS1GU0xSLVRGU0wtSFRILUNNRi1BcmUtU2Vhc29uYWxseS1SaXBlLVRvLUdvLVVwLUluLXRoZS1OZXh0LUZpdmUtV2Vla3PSAQA?hl=en-US&gl=US&ceid=US%3Aen
"Sierra Leone News: Pan-Africanism, Education, and Freedom of ...",2017-06-07 00:00:00,https://news.google.com/./articles/CBMidmh0dHBzOi8vd3d3LmF3b2tvLm9yZy8yMDE3LzA2LzA3L3NpZXJyYS1sZW9uZS1uZXdzLXBhbi1hZnJpY2FuaXNtLWVkdWNhdGlvbi1hbmQtZnJlZWRvbS1vZi1leHByZXNzaW9uLWluLXNpZXJyYS1sZW9uZS_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Third Federal Foundation Celebrates 10 Years of Investing in ...,2017-11-15 00:00:00,https://news.google.com/./articles/CBMikQFodHRwczovL3d3dy5idXNpbmVzc3dpcmUuY29tL25ld3MvaG9tZS8yMDE3MTExNTAwNTEwMi9lbi9UaGlyZC1GZWRlcmFsLUZvdW5kYXRpb24tQ2VsZWJyYXRlcy0xMC1ZZWFycy1vZi1JbnZlc3RpbmctaW4tRWR1Y2F0aW9uLWFuZC1OZWlnaGJvcmhvb2Rz0gEA?hl=en-US&gl=US&ceid=US%3Aen
Third Federal sticks with its 80-year plan,2018-05-06 00:00:00,https://news.google.com/./articles/CBMiYmh0dHBzOi8vd3d3LmNyYWluc2NsZXZlbGFuZC5jb20vYXJ0aWNsZS8yMDE4MDUwNi9uZXdzLzE2MDQ4MS90aGlyZC1mZWRlcmFsLXN0aWNrcy1pdHMtODAteWVhci1wbGFu0gEA?hl=en-US&gl=US&ceid=US%3Aen
'Super refined' Meghan Markle in first outing as the Duchess of Sussex,2018-05-23 00:00:00,https://news.google.com/./articles/CBMiTmh0dHBzOi8vd3d3Lm1pcnJvci5jby51ay9uZXdzL3VrLW5ld3Mvcm95YWwtd2VkZGluZy0yMDE4LWxpdmUtdXBkYXRlcy0xMjU3NTYwN9IBUmh0dHBzOi8vd3d3Lm1pcnJvci5jby51ay9uZXdzL3VrLW5ld3Mvcm95YWwtd2VkZGluZy0yMDE4LWxpdmUtdXBkYXRlcy0xMjU3NTYwNy5hbXA?hl=en-US&gl=US&ceid=US%3Aen
Third Federal Celebrates 80th Anniversary by Rewarding Associates,2018-06-12 00:00:00,https://news.google.com/./articles/CBMiLWh0dHBzOi8vd3d3LnRhaXdhbm5ld3MuY29tLnR3L2VuL25ld3MvMzQ1NTYyN9IBAA?hl=en-US&gl=US&ceid=US%3Aen
"The Artist Is Present: Nix, the Senegalese Rap Pioneer",2018-12-05 00:00:00,https://news.google.com/./articles/CBMiRWh0dHBzOi8vd3d3Lm9rYXlhZnJpY2EuY29tL25peC1zZW5lZ2FsLXJhcC1oaXAtaG9wLXBpb25lZXItaW50ZXJ2aWV3L9IBU2h0dHBzOi8vd3d3Lm9rYXlhZnJpY2EuY29tL2FtcC9uaXgtc2VuZWdhbC1yYXAtaGlwLWhvcC1waW9uZWVyLWludGVydmlldy0yNjA1NzE2NDk0?hl=en-US&gl=US&ceid=US%3Aen
TowneBank: A True David Vs. Goliath Story (NASDAQ:TOWN),2018-11-08 00:00:00,https://news.google.com/./articles/CBMiTmh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQyMTk5ODQtdG93bmViYW5rLXRydWUtZGF2aWQtdnMtZ29saWF0aC1zdG9yedIBAA?hl=en-US&gl=US&ceid=US%3Aen
NYCB on the rise after UBS upgrades to buy (NYSE:NYCB),2019-02-06 00:00:00,https://news.google.com/./articles/CBMiTGh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9uZXdzLzM0MzAzODUtbnljYi1vbi1yaXNlLWFmdGVyLXVicy11cGdyYWRlcy10by1idXnSAQA?hl=en-US&gl=US&ceid=US%3Aen
Libya: Growing ethnic conflict in southern Libya as Haftar's army ...,2019-02-22 00:00:00,https://news.google.com/./articles/CBMib2h0dHBzOi8vbm9ydGgtYWZyaWNhLmNvbS8yMDE5LzAyL2xpYnlhLWdyb3dpbmctZXRobmljLWNvbmZsaWN0LWluLXNvdXRoZXJuLWxpYnlhLWFzLWhhZnRhcy1hcm15LXJlYWNoZXMtb3ViYXJpL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Here's What Hedge Funds Think About AECOM (ACM),2019-06-13 00:00:00,https://news.google.com/./articles/CBMiSWh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9oZWRnZS1mdW5kcy10aGluay1hZWNvbS1hY20tMTUyMDA0Njk5Lmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
50 U.S. Banks - Regional Dividend Dogs Flash Top Yields And Best ...,2019-08-01 00:00:00,https://news.google.com/./articles/CBMifGh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQyNzk5NDgtNTAtdS1zLWJhbmtzLXJlZ2lvbmFsLWRpdmlkZW5kLWRvZ3MtZmxhc2gtdG9wLXlpZWxkcy1hbmQtYmVzdC1icm9rZXItc3VtbWVyLXRhcmdldHPSAQA?hl=en-US&gl=US&ceid=US%3Aen
Form N-PX PAX WORLD FUNDS SERIES For: Jun 30,2019-08-26 00:00:00,https://news.google.com/./articles/CBMiZmh0dHBzOi8vd3d3LnN0cmVldGluc2lkZXIuY29tL1NFQytGaWxpbmdzL0Zvcm0rTi1QWCtQQVgrV09STEQrRlVORFMrU0VSSUVTK0ZvciUzQStKdW4rMzAvMTU4NTI0NTAuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
