title,datetime,link
Tigo Rwanda Relocates To Kigali Heights – KT PRESS,2017-01-16 00:00:00,https://news.google.com/./articles/CBMiR2h0dHBzOi8vd3d3Lmt0cHJlc3MucncvMjAxNy8wMS90aWdvLXJ3YW5kYS1yZWxvY2F0ZXMtdG8ta2lnYWxpLWhlaWdodHMv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Airtel in talks with Tigo for Ghana merger,2017-01-22 00:00:00,https://news.google.com/./articles/CBMiZWh0dHBzOi8vdGVsZWNvbS5lY29ub21pY3RpbWVzLmluZGlhdGltZXMuY29tL25ld3MvYWlydGVsLWluLXRhbGtzLXdpdGgtdGlnby1mb3ItZ2hhbmEtbWVyZ2VyLzU2NzIxMzgz0gFpaHR0cHM6Ly90ZWxlY29tLmVjb25vbWljdGltZXMuaW5kaWF0aW1lcy5jb20vYW1wL25ld3MvYWlydGVsLWluLXRhbGtzLXdpdGgtdGlnby1mb3ItZ2hhbmEtbWVyZ2VyLzU2NzIxMzgz?hl=en-US&gl=US&ceid=US%3Aen
Jokowi grants first-ever indigenous land rights to 9 communities,2017-01-04 00:00:00,https://news.google.com/./articles/CBMiY2h0dHBzOi8vbmV3cy5tb25nYWJheS5jb20vMjAxNy8wMS9qb2tvd2ktZ3JhbnRzLWZpcnN0LWV2ZXItaW5kaWdlbm91cy1sYW5kLXJpZ2h0cy10by05LWNvbW11bml0aWVzL9IBZ2h0dHBzOi8vbmV3cy5tb25nYWJheS5jb20vMjAxNy8wMS9qb2tvd2ktZ3JhbnRzLWZpcnN0LWV2ZXItaW5kaWdlbm91cy1sYW5kLXJpZ2h0cy10by05LWNvbW11bml0aWVzL2FtcC8?hl=en-US&gl=US&ceid=US%3Aen
What makes Senegal's digital currency different?,2017-01-25 00:00:00,https://news.google.com/./articles/CBMiVGh0dHBzOi8vd3d3Lmhvd3dlbWFkZWl0aW5hZnJpY2EuY29tL21ha2VzLXNlbmVnYWxzLWRpZ2l0YWwtY3VycmVuY3ktZGlmZmVyZW50LzU3MjU3L9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Momentum Solar launches real-time remote monitoring for smart ...,2017-01-03 00:00:00,https://news.google.com/./articles/CBMia2h0dHBzOi8vcHYtbWFnYXppbmUtdXNhLmNvbS8yMDE3LzAxLzAzL21vbWVudHVtLXNvbGFyLWxhdW5jaGVzLXJlYWwtdGltZS1yZW1vdGUtbW9uaXRvcmluZy1mb3Itc21hcnQtaG9tZXMv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Idea 4G network covers 37% of population in Karnataka,2017-01-03 00:00:00,https://news.google.com/./articles/CBMiV2h0dHBzOi8vd3d3LnRlbGVjb21sZWFkLmNvbS80Zy1sdGUvaWRlYS00Zy1uZXR3b3JrLWNvdmVycy0zNy1wb3B1bGF0aW9uLWthcm5hdGFrYS03MzU1NtIBAA?hl=en-US&gl=US&ceid=US%3Aen
The impact of phone mast technology on a remote Congolese town ...,2017-01-10 00:00:00,https://news.google.com/./articles/CBMioQFodHRwczovL3d3dy50aGVndWFyZGlhbi5jb20vZ2xvYmFsLWRldmVsb3BtZW50L2dhbGxlcnkvMjAxNy9qYW4vMTAvZGVtb2NyYXRpYy1yZXB1YmxpYy1jb25nby1pbXBhY3Qtb2YtcGhvbmUtbWFzdC10ZWNobm9sb2d5LW9uLXJlbW90ZS1jb25nb2xlc2UtdG93bi1pbi1waWN0dXJlc9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Association to build capacity of hoteliers,2017-01-24 00:00:00,https://news.google.com/./articles/CBMiYmh0dHBzOi8vd3d3LmJ1c2luZXNzZ2hhbmEuY29tL3NpdGUvbmV3cy9idXNpbmVzcy8xNDA1NjAvQXNzb2NpYXRpb24tdG8tYnVpbGQtY2FwYWNpdHktb2YtaG90ZWxpZXJz0gEA?hl=en-US&gl=US&ceid=US%3Aen
561 Local Leaders “Forced to Resign” – KT PRESS,2017-01-16 00:00:00,https://news.google.com/./articles/CBMiQmh0dHBzOi8vd3d3Lmt0cHJlc3MucncvMjAxNy8wMS81NjEtbG9jYWwtbGVhZGVycy1mb3JjZWQtdG8tcmVzaWduL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Cities must become more telco-friendly for 5G to make them “Smart”,2017-01-13 00:00:00,https://news.google.com/./articles/CBMibGh0dHBzOi8vd3d3LnRlbGVjb210di5jb20vY29udGVudC81Zy9jaXRpZXMtbXVzdC1iZWNvbWUtbW9yZS10ZWxjby1mcmllbmRseS1mb3ItNWctdG8tbWFrZS10aGVtLXNtYXJ0LTE0MjkyL9IBcGh0dHBzOi8vd3d3LnRlbGVjb210di5jb20vY29udGVudC81Zy9jaXRpZXMtbXVzdC1iZWNvbWUtbW9yZS10ZWxjby1mcmllbmRseS1mb3ItNWctdG8tbWFrZS10aGVtLXNtYXJ0LTE0MjkyL2FtcC8?hl=en-US&gl=US&ceid=US%3Aen
"Rwanda: You Want to Buy From Street Vendors? Arrest, Fines Await",2017-01-19 00:00:00,https://news.google.com/./articles/CBMiL2h0dHBzOi8vYWxsYWZyaWNhLmNvbS9zdG9yaWVzLzIwMTcwMTE5MDA5MC5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
Up Close: Miss Universe Costa Rica Carolina Rodriguez,2017-01-23 00:00:00,https://news.google.com/./articles/CBMiTGh0dHBzOi8vcWNvc3RhcmljYS5jb20vdXAtY2xvc2UtbWlzcy11bml2ZXJzZS1jb3N0YS1yaWNhLWNhcm9saW5hLXJvZHJpZ3Vlei_SAQA?hl=en-US&gl=US&ceid=US%3Aen
MSF Distributes Food to Displaced People in CAR,2019-10-24 00:00:00,https://news.google.com/./articles/CBMiSmh0dHBzOi8vYnVzaW5lc3Nwb3N0Lm5nL2dlbmVyYWwvbXNmLWRpc3RyaWJ1dGVzLWZvb2QtZGlzcGxhY2VkLXBlb3BsZS1jYXIv0gFOaHR0cHM6Ly9idXNpbmVzc3Bvc3QubmcvZ2VuZXJhbC9tc2YtZGlzdHJpYnV0ZXMtZm9vZC1kaXNwbGFjZWQtcGVvcGxlLWNhci9hbXAv?hl=en-US&gl=US&ceid=US%3Aen
