title,datetime,link
Black woman says Holmdel Ulta told her she was 'too dark' for ...,2020-01-03 00:00:00,https://news.google.com/./articles/CBMicGh0dHBzOi8vd3d3LmFwcC5jb20vc3RvcnkvbmV3cy8yMDIwLzAxLzAzL2JsYWNrLXdvbWFuLXNheXMtaG9sbWRlbC11bHRhLWJlYXV0eS10b28tZGFyay1tYWtldXAtc3RvcmUvMjgwMjk4MTAwMS_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Ulta Beauty called out after Houston woman told she's 'too dark' by worker,2020-01-03 00:00:00,https://news.google.com/./articles/CBMiQGh0dHBzOi8vYWJjN2NoaWNhZ28uY29tL2JlYXV0eS1tYWtlLXVwLXJhY2lhbC1za2luLXRvbmUvNTgxMDY3NC_SAURodHRwczovL2FiYzdjaGljYWdvLmNvbS9hbXAvYmVhdXR5LW1ha2UtdXAtcmFjaWFsLXNraW4tdG9uZS81ODEwNjc0Lw?hl=en-US&gl=US&ceid=US%3Aen
Ulta CEO Mary Dillon to chair retail leaders board - Bizwomen,2020-01-27 00:00:00,https://news.google.com/./articles/CBMifmh0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9iaXp3b21lbi9uZXdzL2xhdGVzdC1uZXdzLzIwMjAvMDEvdWx0YS1jZW8tbWFyeS1kaWxsb24tdG8tY2hhaXItcmV0YWlsLWxlYWRlcnMtYm9hcmQuaHRtbD9wYWdlPWFsbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Ulta to open February 7,2020-01-07 00:00:00,https://news.google.com/./articles/CBMid2h0dHBzOi8vd3d3LmhlcmFsZGFuZG5ld3MuY29tL25ld3MvbG9jYWxfbmV3cy91bHRhLXRvLW9wZW4tZmVicnVhcnktNy9hcnRpY2xlX2I1YWQzMTkwLWNjZjUtNTNlYS04M2IyLWY0ZGUwNDBjZTdlMi5odG1s0gF7aHR0cHM6Ly93d3cuaGVyYWxkYW5kbmV3cy5jb20vbmV3cy9sb2NhbF9uZXdzL3VsdGEtdG8tb3Blbi1mZWJydWFyeS03L2FydGljbGVfYjVhZDMxOTAtY2NmNS01M2VhLTgzYjItZjRkZTA0MGNlN2UyLmFtcC5odG1s?hl=en-US&gl=US&ceid=US%3Aen
Sally Beauty relaunches to compete with Walmart and Ulta,2020-01-09 00:00:00,https://news.google.com/./articles/CBMiVmh0dHBzOi8vd3d3Lmdsb3NzeS5jby9iZWF1dHkvc2FsbHktYmVhdXR5LXJlbGF1bmNoZXMtdG8tY29tcGV0ZS13aXRoLXdhbG1hcnQtYW5kLXVsdGEv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Macro And Micro Pressures Could Push Ulta Beauty's Shares Down ...,2020-01-17 00:00:00,https://news.google.com/./articles/CBMic2h0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQzMTc2NTEtbWFjcm8tYW5kLW1pY3JvLXByZXNzdXJlcy1wdXNoLXVsdGEtYmVhdXR5cy1zaGFyZXMtZG93bi1hbm90aGVyLTIwLXBlcmNlbnTSAQA?hl=en-US&gl=US&ceid=US%3Aen
Ulta continues to sell recalled Yes To face mask,2020-01-10 00:00:00,https://news.google.com/./articles/CBMiVWh0dHBzOi8vd3d3Lmdsb2JhbGNvc21ldGljc25ld3MuY29tL3VsdGEtY29udGludWVzLXRvLXNlbGwtcmVjYWxsZWQteWVzLXRvLWZhY2UtbWFzay_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Ouai Ulta Launch Just Changed the Game,2020-01-07 00:00:00,https://news.google.com/./articles/CBMiKWh0dHBzOi8vc3R5bGVjYXN0ZXIuY29tL2JlYXV0eS9vdWFpLXVsdGEv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Man steals $13000 worth of products from Ulta Beauty stores in ...,2020-01-07 00:00:00,https://news.google.com/./articles/CBMioQFodHRwczovL3d3dy4xM25ld3Nub3cuY29tL2FydGljbGUvbmV3cy9jcmltZS9tYW4tc3RlYWxzLTEzMDAwLXdvcnRoLW9mLXByb2R1Y3RzLWZyb20tdWx0YS1iZWF1dHktc3RvcmVzLWluLWhhbXB0b24tcm9hZHMvMjkxLTU1MGEyOGViLTRjNTktNGEyNy04NTcxLTE1ZDY0NDgzODNhZdIBAA?hl=en-US&gl=US&ceid=US%3Aen
"Ulta, Domino's, Wingston Learned to Thrive in Tough Retail Market",2020-01-06 00:00:00,https://news.google.com/./articles/CBMicmh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9mZWF0dXJlcy8yMDIwLTAxLTA2L3VsdGEtZG9taW5vLXMtd2luZ3N0b24tbGVhcm5lZC10by10aHJpdmUtaW4tdG91Z2gtcmV0YWlsLW1hcmtldNIBAA?hl=en-US&gl=US&ceid=US%3Aen
