title,datetime,link
Has Jay Z's Tidal Been Inflating Subscriber Numbers?,2017-01-20 00:00:00,https://news.google.com/./articles/CBMicGh0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvemFja29tYWxsZXlncmVlbmJ1cmcvMjAxNy8wMS8yMC9oYXMtamF5LXpzLXRpZGFsLWJlZW4taW5mbGF0aW5nLXN1YnNjcmliZXItbnVtYmVycy_SAXRodHRwczovL3d3dy5mb3JiZXMuY29tL3NpdGVzL3phY2tvbWFsbGV5Z3JlZW5idXJnLzIwMTcvMDEvMjAvaGFzLWpheS16cy10aWRhbC1iZWVuLWluZmxhdGluZy1zdWJzY3JpYmVyLW51bWJlcnMvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen
Your 'Z's Might be 'A+' But MyPillow Just Got Rated an 'F',2017-01-04 00:00:00,https://news.google.com/./articles/CBMiWGh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMTcvMDEvMDQveW91ci16cy1taWdodC1iZS1hLWJ1dC1teXBpbGxvdy1qdXN0LWdvdC1yYXRlZC1hbi1mLmh0bWzSAVxodHRwczovL3d3dy5jbmJjLmNvbS9hbXAvMjAxNy8wMS8wNC95b3VyLXpzLW1pZ2h0LWJlLWEtYnV0LW15cGlsbG93LWp1c3QtZ290LXJhdGVkLWFuLWYuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen
Sprint Takes 33% Stake In Jay Z's Tidal For $200M,2017-01-23 00:00:00,https://news.google.com/./articles/CBMiaGh0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvaHVnaG1jaW50eXJlLzIwMTcvMDEvMjMvamF5LXpzLXRpZGFsLWhhcy1iZWVuLXBhcnRpYWxseS1hY3F1aXJlZC1ieS1zcHJpbnQv0gFsaHR0cHM6Ly93d3cuZm9yYmVzLmNvbS9zaXRlcy9odWdobWNpbnR5cmUvMjAxNy8wMS8yMy9qYXktenMtdGlkYWwtaGFzLWJlZW4tcGFydGlhbGx5LWFjcXVpcmVkLWJ5LXNwcmludC9hbXAv?hl=en-US&gl=US&ceid=US%3Aen
Jay Z's Once-Mocked Tidal Is Now Worth $600 Million,2017-01-24 00:00:00,https://news.google.com/./articles/CBMibmh0dHBzOi8vd3d3LnZhbml0eWZhaXIuY29tL25ld3MvMjAxNy8wMS9qYXktei1qdXN0LXJlY2VpdmVkLWEtaHVnZS1uZXctaW52ZXN0bWVudC12YWx1aW5nLXRpZGFsLWF0LTYwMC1taWxsaW9u0gEA?hl=en-US&gl=US&ceid=US%3Aen
How Jay Z's Producer Engineered a New Role for Himself at an Ad ...,2017-01-02 00:00:00,https://news.google.com/./articles/CBMiYWh0dHBzOi8vd3d3LmFkd2Vlay5jb20vYWdlbmNpZXMvaG93LWpheS16cy1wcm9kdWNlci1lbmdpbmVlcmVkLW5ldy1yb2xlLWhpbXNlbGYtYWQtYWdlbmN5LTE3NTI2Mi_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Kim and Kanye Seen Heading Into Beyoncé and Jay Z's House,2017-01-08 00:00:00,https://news.google.com/./articles/CBMibWh0dHBzOi8vd3d3LmNvc21vcG9saXRhbi5jb20vZW50ZXJ0YWlubWVudC9hODU3NTUxMy9raW0tYW5kLWthbnllLXNlZW4taGVhZGluZy1pbnRvLWJleW9uY2UtYW5kLWpheS16cy1tYW5zZS_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Rae Sremmurd Just Freestyled Over Jay Z's '99 Problems' And It ...,2017-01-24 00:00:00,https://news.google.com/./articles/CBMiUGh0dHBzOi8vd3d3LmNhcGl0YWx4dHJhLmNvbS9uZXdzL3JhZS1zcmVtbXVyZC1mcmVlc3R5bGUtamF5LXotOTktcHJvYmxlbXMtd2F0Y2gv0gEA?hl=en-US&gl=US&ceid=US%3Aen
MG ZS SUV Is Getting Ready For The Chinese Auto Market,2017-01-16 00:00:00,https://news.google.com/./articles/CBMiW2h0dHBzOi8vY2FybmV3c2NoaW5hLmNvbS8yMDE3LzAxLzE2L21nLXpzLXN1di1pcy1nZXR0aW5nLXJlYWR5LWZvci10aGUtY2hpbmVzZS1hdXRvLW1hcmtldC_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Dragon Ball Super Episode 1 Review: A Peacetime Reward: Who ...,2017-01-08 00:00:00,https://news.google.com/./articles/CBMidGh0dHBzOi8vd3d3LmRlbm9mZ2Vlay5jb20vY3VsdHVyZS9kcmFnb24tYmFsbC1zdXBlci1lcGlzb2RlLTEtcmV2aWV3LWEtcGVhY2V0aW1lLXJld2FyZC13aG8tZ2V0cy10aGUtMTAwMDAwMDAwLXplbmkv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Woman slashes man in face at Jay-Z's 40/40 Club in Midtown,2017-01-16 00:00:00,https://news.google.com/./articles/CBMiamh0dHBzOi8vd3d3Lm55ZGFpbHluZXdzLmNvbS9uZXcteW9yay9ueWMtY3JpbWUvd29tYW4tc2xhc2hlcy1tYW4tZmFjZS1qYXktei1taWR0b3duLWNsdWItYXJ0aWNsZS0xLjI5NDc3OTLSAQA?hl=en-US&gl=US&ceid=US%3Aen
