title,datetime,link
ADP acquires The Marcus Buckingham Company,2017-01-17 00:00:00,https://news.google.com/./articles/CBMiZ2h0dHBzOi8vd3d3Mi5zdGFmZmluZ2luZHVzdHJ5LmNvbS9FZGl0b3JpYWwvRGFpbHktTmV3cy9BRFAtYWNxdWlyZXMtVGhlLU1hcmN1cy1CdWNraW5naGFtLUNvbXBhbnktNDA3MTLSAQA?hl=en-US&gl=US&ceid=US%3Aen
Payroll giant ADP adding 250 high-paying jobs in Tucson,2017-01-24 00:00:00,https://news.google.com/./articles/CBMijAFodHRwczovL3R1Y3Nvbi5jb20vYnVzaW5lc3MvdHVjc29uL3BheXJvbGwtZ2lhbnQtYWRwLWFkZGluZy0yNTAtaGlnaC1wYXlpbmctam9icy1pbi10dWNzb24vYXJ0aWNsZV9iMTdiOTVhYy1hMDI5LTUzM2QtOGUwMS1iZTg5NGQwNDhjYjYuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
10 Great All-Weather Stocks,2017-01-03 00:00:00,https://news.google.com/./articles/CBMiW2h0dHBzOi8vd3d3LmtpcGxpbmdlci5jb20vc2xpZGVzaG93L2ludmVzdGluZy90MDUyLXMwMDItZ3JlYXQtYWxsLXdlYXRoZXItc3RvY2tzL2luZGV4Lmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
"Automatic Cut, Strip and Crimp Machines | 2017-01-06",2017-01-06 00:00:00,https://news.google.com/./articles/CBMiUWh0dHBzOi8vd3d3LmFzc2VtYmx5bWFnLmNvbS9hcnRpY2xlcy85MzY4NS1hdXRvbWF0aWMtY3V0LXN0cmlwLWFuZC1jcmltcC1tYWNoaW5lc9IBAA?hl=en-US&gl=US&ceid=US%3Aen
The Australian Square Kilometre Array Pathfinder finally hits the big-data highway,2017-01-15 00:00:00,https://news.google.com/./articles/CBMidGh0dHBzOi8vdGhlY29udmVyc2F0aW9uLmNvbS90aGUtYXVzdHJhbGlhbi1zcXVhcmUta2lsb21ldHJlLWFycmF5LXBhdGhmaW5kZXItZmluYWxseS1oaXRzLXRoZS1iaWctZGF0YS1oaWdod2F5LTcxMjE30gF4aHR0cHM6Ly90aGVjb252ZXJzYXRpb24uY29tL2FtcC90aGUtYXVzdHJhbGlhbi1zcXVhcmUta2lsb21ldHJlLWFycmF5LXBhdGhmaW5kZXItZmluYWxseS1oaXRzLXRoZS1iaWctZGF0YS1oaWdod2F5LTcxMjE3?hl=en-US&gl=US&ceid=US%3Aen
"Wages Are Rising, Giving HR New Worries",2017-01-26 00:00:00,https://news.google.com/./articles/CBMiamh0dHBzOi8vd3d3LnNocm0ub3JnL3Jlc291cmNlc2FuZHRvb2xzL2hyLXRvcGljcy90YWxlbnQtYWNxdWlzaXRpb24vcGFnZXMvd2FnZXMtYXJlLXJpc2luZy1oci1ibHMtYWRwLmFzcHjSAQA?hl=en-US&gl=US&ceid=US%3Aen
Apple and Steve Jobs Steal From Xerox To Battle Big Brother IBM,2017-01-15 00:00:00,https://news.google.com/./articles/CBMiaGh0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvZ2lscHJlc3MvMjAxNy8wMS8xNS9zdGV2ZS1qb2JzLXN0ZWFscy1mcm9tLXhlcm94LXRvLWJhdHRsZS1iaWctYnJvdGhlci1pYm0v0gFsaHR0cHM6Ly93d3cuZm9yYmVzLmNvbS9zaXRlcy9naWxwcmVzcy8yMDE3LzAxLzE1L3N0ZXZlLWpvYnMtc3RlYWxzLWZyb20teGVyb3gtdG8tYmF0dGxlLWJpZy1icm90aGVyLWlibS9hbXAv?hl=en-US&gl=US&ceid=US%3Aen
Healthcare Natural Language Processing Expects Steady Growth,2017-01-24 00:00:00,https://news.google.com/./articles/CBMiX2h0dHBzOi8vaGl0aW5mcmFzdHJ1Y3R1cmUuY29tL25ld3MvaGVhbHRoY2FyZS1uYXR1cmFsLWxhbmd1YWdlLXByb2Nlc3NpbmctZXhwZWN0cy1zdGVhZHktZ3Jvd3Ro0gFjaHR0cHM6Ly9oaXRpbmZyYXN0cnVjdHVyZS5jb20vbmV3cy9hbXAvaGVhbHRoY2FyZS1uYXR1cmFsLWxhbmd1YWdlLXByb2Nlc3NpbmctZXhwZWN0cy1zdGVhZHktZ3Jvd3Ro?hl=en-US&gl=US&ceid=US%3Aen
Insurity Acquires Valen Analytics,2017-01-26 00:00:00,https://news.google.com/./articles/CBMiRGh0dHBzOi8vd3d3Lmluc3VyYW5jZWpvdXJuYWwuY29tL25ld3MvbmF0aW9uYWwvMjAxNy8wMS8yNi80NDAwNTEuaHRt0gFEaHR0cHM6Ly9hbXAuaW5zdXJhbmNlam91cm5hbC5jb20vbmV3cy9uYXRpb25hbC8yMDE3LzAxLzI2LzQ0MDA1MS5odG0?hl=en-US&gl=US&ceid=US%3Aen
HIT Robot Group unveils intelligently-controlled automatic jade ...,2017-01-09 00:00:00,https://news.google.com/./articles/CBMihwFodHRwczovL3JvYm90aWNzYW5kYXV0b21hdGlvbm5ld3MuY29tLzIwMTcvMDEvMDkvaGl0LXJvYm90LWdyb3VwLXVudmVpbHMtaW50ZWxsaWdlbnRseS1jb250cm9sbGVkLWF1dG9tYXRpYy1qYWRlLXByb2R1Y3Rpb24tbGluZS8xMDMyNC_SAQA?hl=en-US&gl=US&ceid=US%3Aen
