title,datetime,link
CME Group suspends trading in European cocoa contracts,2017-01-23 00:00:00,https://news.google.com/./articles/CBMiRWh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvY21lLWdyb3VwLWNvY29hLXRyYWRpbmctaWRVU0wxTjFGRDFHRdIBAA?hl=en-US&gl=US&ceid=US%3Aen
Terry Duffy Interview CME CEO,2017-01-23 00:00:00,https://news.google.com/./articles/CBMiRGh0dHBzOi8vd3d3LmJ1c2luZXNzaW5zaWRlci5jb20vdGVycnktZHVmZnktaW50ZXJ2aWV3LWNtZS1jZW8tMjAxNy0x0gEA?hl=en-US&gl=US&ceid=US%3Aen
Terry Duffy on Chicago and big business moral obligation,2017-01-25 00:00:00,https://news.google.com/./articles/CBMiX2h0dHBzOi8vd3d3LmJ1c2luZXNzaW5zaWRlci5jb20vdGVycnktZHVmZnktb24tY2hpY2Fnby1hbmQtYmlnLWJ1c2luZXNzLW1vcmFsLW9ibGlnYXRpb24tMjAxNy0x0gFjaHR0cHM6Ly93d3cuYnVzaW5lc3NpbnNpZGVyLmNvbS90ZXJyeS1kdWZmeS1vbi1jaGljYWdvLWFuZC1iaWctYnVzaW5lc3MtbW9yYWwtb2JsaWdhdGlvbi0yMDE3LTE_YW1w?hl=en-US&gl=US&ceid=US%3Aen
"Lydia Ko launches golf fashion line, signs with Ecco",2017-01-09 00:00:00,https://news.google.com/./articles/CBMiVGh0dHBzOi8vd3d3LmdvbGZkaWdlc3QuY29tL3N0b3J5L2x5ZGlhLWtvLWxhdW5jaGVzLWdvbGYtZmFzaGlvbi1saW5lLXNpZ25zLXdpdGgtZWNjb9IBWGh0dHBzOi8vd3d3LmdvbGZkaWdlc3QuY29tL3N0b3J5L2x5ZGlhLWtvLWxhdW5jaGVzLWdvbGYtZmFzaGlvbi1saW5lLXNpZ25zLXdpdGgtZWNjby9hbXA?hl=en-US&gl=US&ceid=US%3Aen
The Old American Stock Exchange's Trading Floor to Finally Shut,2017-01-10 00:00:00,https://news.google.com/./articles/CBMicmh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDE3LTAxLTEwL3RoZS1vbGQtYW1lcmljYW4tc3RvY2stZXhjaGFuZ2Utcy10cmFkaW5nLWZsb29yLXRvLWZpbmFsbHktc2h1dNIBAA?hl=en-US&gl=US&ceid=US%3Aen
MCX remains a risky bet | Mint,2017-01-18 00:00:00,https://news.google.com/./articles/CBMiUmh0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9Nb25leS91Z3pjVEM0SGZ4REhHYzBVQ2h4c0tOL01DWC1yZW1haW5zLWEtcmlza3ktYmV0Lmh0bWzSAVxodHRwczovL3d3dy5saXZlbWludC5jb20vTW9uZXkvdWd6Y1RDNEhmeERIR2MwVUNoeHNLTi9NQ1gtcmVtYWlucy1hLXJpc2t5LWJldC5odG1sP2ZhY2V0PWFtcA?hl=en-US&gl=US&ceid=US%3Aen
GMO Click to launch Virtual Reality app for Forex trading,2017-01-27 00:00:00,https://news.google.com/./articles/CBMiTGh0dHBzOi8vZmluYW5jZWZlZWRzLmNvbS9nbW8tY2xpY2stbGF1bmNoLXZpcnR1YWwtcmVhbGl0eS1hcHAtZm9yZXgtdHJhZGluZy_SAQA?hl=en-US&gl=US&ceid=US%3Aen
A Conservative Marketing Strategy: The Bull Call Spread,2017-01-27 00:00:00,https://news.google.com/./articles/CBMiaWh0dHBzOi8vd3d3LmFncmljdWx0dXJlLmNvbS9tYXJrZXRzL2FuYWx5c2lzL2Nyb3BzL2EtY29uc2VydmF0aXZlLW1hcmtldGluZy1zdHJhdGVneS10aGUtYnVsbC1jYWxsLXNwcmVhZNIBAA?hl=en-US&gl=US&ceid=US%3Aen
CME names Dennis Darby as next president and CEO,2017-11-04 00:00:00,https://news.google.com/./articles/CBMiZGh0dHBzOi8vd3d3LmNhbnBsYXN0aWNzLmNvbS9wbGFzdGljcy1wcm9jZXNzZXMvY21lLW5hbWVzLWRlbm5pcy1kYXJieS1uZXh0LXByZXNpZGVudC1jZW8vMTAwMzQzOTY3MS_SAQA?hl=en-US&gl=US&ceid=US%3Aen
App Lets You Manage Feed From Mobile Device,2017-01-18 00:00:00,https://news.google.com/./articles/CBMiVmh0dHBzOi8vd3d3LmFncmljdWx0dXJlLmNvbS9uZXdzL2xpdmVzdG9jay9hcHAtbGV0cy15b3UtbWFuYWdlLWZlZWQtZnJvbS1tb2JpbGUtZGV2aWNl0gEA?hl=en-US&gl=US&ceid=US%3Aen
Project ECHO: Enthusiasm Overtakes Evidence,2017-01-03 00:00:00,https://news.google.com/./articles/CBMiQmh0dHBzOi8vd3d3LmhlYWx0aGFmZmFpcnMub3JnL2RvLzEwLjEzNzcvZm9yZWZyb250LjIwMTcwMTAzLjA1ODE1M9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Sponsored: A Closer Look at Closing Wheels,2017-01-26 00:00:00,https://news.google.com/./articles/CBMiTmh0dHBzOi8vd3d3LmFncmljdWx0dXJlLmNvbS9tYWNoaW5lcnkvcGxhbnRpbmcvYS1jbG9zZXItbG9vay1hdC1jbG9zaW5nLXdoZWVsc9IBAA?hl=en-US&gl=US&ceid=US%3Aen
"Anything Technologies Media Inc., Acquires & Restructures International Sustainability Group to solidify",2017-01-04 00:00:00,https://news.google.com/./articles/CBMiJWh0dHBzOi8vd3d3LmJlbnppbmdhLmNvbS9ub2RlLzg4NjI3NDDSASxodHRwczovL3d3dy5iZW56aW5nYS5jb20vYW1wL2NvbnRlbnQvODg2Mjc0MA?hl=en-US&gl=US&ceid=US%3Aen
"How Much Of Big Tobacco's Sales Come From Vape Products? - Altria Group (NYSE:MO), British American Tobac",2017-01-17 00:00:00,https://news.google.com/./articles/CBMiYmh0dHBzOi8vd3d3LmJlbnppbmdhLmNvbS9uZXdzLzE3LzAxLzg5MTI5NDMvaG93LW11Y2gtb2YtYmlnLXRvYmFjY29zLXNhbGVzLWNvbWUtZnJvbS12YXBlLXByb2R1Y3Rz0gEsaHR0cHM6Ly93d3cuYmVuemluZ2EuY29tL2FtcC9jb250ZW50Lzg5MTI5NDM?hl=en-US&gl=US&ceid=US%3Aen
Value-Based Contracting Innovated Medicare Advantage ...,2017-01-10 00:00:00,https://news.google.com/./articles/CBMieGh0dHBzOi8vd3d3LmFqbWMuY29tL3ZpZXcvdmFsdWUtYmFzZWQtY29udHJhY3RpbmctaW5ub3ZhdGVkLW1lZGljYXJlLWFkdmFudGFnZS1oZWFsdGhjYXJlLWRlbGl2ZXJ5LWFuZC1pbXByb3ZlZC1zdXJ2aXZhbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
