title,datetime,link
Lidar factory for self-driving cars opens in Silicon Valley,2017-01-17 00:00:00,https://news.google.com/./articles/CBMiYWh0dHBzOi8vd3d3LnNmZ2F0ZS5jb20vYnVzaW5lc3MvYXJ0aWNsZS9MaWRhci1mYWN0b3J5LWZvci1zZWxmLWRyaXZpbmctY2Fycy1vcGVucy1pbi0xMDg2MzAzMC5waHDSAQA?hl=en-US&gl=US&ceid=US%3Aen
An arm sleeve that tells you if you're chucking,2017-01-30 00:00:00,https://news.google.com/./articles/CBMifGh0dHBzOi8vd3d3LmVzcG5jcmljaW5mby5jb20vc3RvcnkvYWhtZXItbmFxdmktb24tY3JpY2ZsZXgtYS13ZWFyYWJsZS10ZWNobm9sb2d5LXRoYXQtbWVhc3VyZXMtZWxib3ctZmxleC1pbi1ib3dsZXJzLTEwODAxOTPSAYkBaHR0cHM6Ly93d3cuZXNwbmNyaWNpbmZvLmNvbS9zdG9yeS9haG1lci1uYXF2aS1vbi1jcmljZmxleC1hLXdlYXJhYmxlLXRlY2hub2xvZ3ktdGhhdC1tZWFzdXJlcy1lbGJvdy1mbGV4LWluLWJvd2xlcnMtMTA4MDE5Mz9wbGF0Zm9ybT1hbXA?hl=en-US&gl=US&ceid=US%3Aen
Employee Benefits and Pension,2017-01-29 00:00:00,https://news.google.com/./articles/CBMiO2h0dHBzOi8vd3d3LmFsYmVydGFoZWFsdGhzZXJ2aWNlcy5jYS9jYXJlZXJzL1BhZ2UxMjIxMC5hc3B40gEA?hl=en-US&gl=US&ceid=US%3Aen
Kotak Mahindra AMC launches Flex SIP/STP,2017-01-04 00:00:00,https://news.google.com/./articles/CBMicWh0dHBzOi8vZWNvbm9taWN0aW1lcy5pbmRpYXRpbWVzLmNvbS9tZi9tZi1uZXdzL2tvdGFrLW1haGluZHJhLWFtYy1sYXVuY2hlcy1mbGV4LXNpcC9zdHAvYXJ0aWNsZXNob3cvNTYzMzA1NTcuY21z0gFsaHR0cHM6Ly9tLmVjb25vbWljdGltZXMuY29tL21mL21mLW5ld3Mva290YWstbWFoaW5kcmEtYW1jLWxhdW5jaGVzLWZsZXgtc2lwL3N0cC9hbXBfYXJ0aWNsZXNob3cvNTYzMzA1NTcuY21z?hl=en-US&gl=US&ceid=US%3Aen
Bayern Munich are ready to flex muscles after winter break,2017-01-20 00:00:00,https://news.google.com/./articles/CBMibWh0dHBzOi8vd3d3LmRhaWx5bWFpbC5jby51ay9zcG9ydC9mb290YmFsbC9hcnRpY2xlLTQxMzk4NjIvQmF5ZXJuLU11bmljaC1yZWFkeS1mbGV4LW11c2NsZXMtd2ludGVyLWJyZWFrLmh0bWzSAXFodHRwczovL3d3dy5kYWlseW1haWwuY28udWsvc3BvcnQvZm9vdGJhbGwvYXJ0aWNsZS00MTM5ODYyL2FtcC9CYXllcm4tTXVuaWNoLXJlYWR5LWZsZXgtbXVzY2xlcy13aW50ZXItYnJlYWsuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen
What's In My Bag: Bryson DeChambeau,2017-01-05 00:00:00,https://news.google.com/./articles/CBMiRGh0dHBzOi8vd3d3LmdvbGZkaWdlc3QuY29tL2dhbGxlcnkvd2hhdHMtaW4tbXktYmFnLWJyeXNvbi1kZWNoYW1iZWF10gFIaHR0cHM6Ly93d3cuZ29sZmRpZ2VzdC5jb20vZ2FsbGVyeS93aGF0cy1pbi1teS1iYWctYnJ5c29uLWRlY2hhbWJlYXUvYW1w?hl=en-US&gl=US&ceid=US%3Aen
From texting to having sex: The ultimate full-body workout to flex your muscles WITHOUT hitting the gym,2017-01-14 00:00:00,https://news.google.com/./articles/CBMihgFodHRwczovL3d3dy5kYWlseW1haWwuY28udWsvaGVhbHRoL2FydGljbGUtNDExNTI3MC9Gcm9tLXRleHRpbmctaGF2aW5nLXNleC11bHRpbWF0ZS1ib2R5LXdvcmtvdXQtZmxleC1tdXNjbGVzLVdJVEhPVVQtaGl0dGluZy1neW0uaHRtbNIBigFodHRwczovL3d3dy5kYWlseW1haWwuY28udWsvaGVhbHRoL2FydGljbGUtNDExNTI3MC9hbXAvRnJvbS10ZXh0aW5nLWhhdmluZy1zZXgtdWx0aW1hdGUtYm9keS13b3Jrb3V0LWZsZXgtbXVzY2xlcy1XSVRIT1VULWhpdHRpbmctZ3ltLmh0bWw?hl=en-US&gl=US&ceid=US%3Aen
Bulls flex muscles in six-day competition in Guntur,2017-01-19 00:00:00,https://news.google.com/./articles/CBMigwFodHRwczovL3d3dy5uZXdpbmRpYW5leHByZXNzLmNvbS9zdGF0ZXMvYW5kaHJhLXByYWRlc2gvMjAxNy9qYW4vMTkvYnVsbHMtZmxleC1tdXNjbGVzLWluLXNpeC1kYXktY29tcGV0aXRpb24taW4tZ3VudHVyLTE1NjExNzQuaHRtbNIBggFodHRwczovL3d3dy5uZXdpbmRpYW5leHByZXNzLmNvbS9zdGF0ZXMvYW5kaHJhLXByYWRlc2gvMjAxNy9qYW4vMTkvYnVsbHMtZmxleC1tdXNjbGVzLWluLXNpeC1kYXktY29tcGV0aXRpb24taW4tZ3VudHVyLTE1NjExNzQuYW1w?hl=en-US&gl=US&ceid=US%3Aen
Holders Belvedere up and running in style as they flex their muscles ...,2017-01-29 00:00:00,https://news.google.com/./articles/CBMiZmh0dHBzOi8vd3d3LnRoZTQyLmllL2JlbHZlZGVyZS1jb2xsZWdlLXN0LWFuZHJld3MtY29sbGVnZS1sZWluc3Rlci1zY2hvb2xzLWN1cC1yZXBvcnQtMzIxMDE3Ny1KYW4yMDE3L9IBAA?hl=en-US&gl=US&ceid=US%3Aen
Fenner Precision - engineered elastomeric solutions provider,2017-07-18 00:00:00,https://news.google.com/./articles/CBMiS2h0dHBzOi8vd3d3Lmdsb2JhbHJhaWx3YXlyZXZpZXcuY29tL2NvbXBhbnlfcHJvZmlsZS82MDE2NS9mZW5uZXItcHJlY2lzaW9uL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
