title,datetime,link
"Chase, Intuit to Give Customers Greater Control of Their Information",2017-01-25 00:00:00,https://news.google.com/./articles/CBMifGh0dHBzOi8vd3d3LmJ1c2luZXNzd2lyZS5jb20vbmV3cy9ob21lLzIwMTcwMTI1MDA1MzI4L2VuL0NoYXNlLUludHVpdC10by1HaXZlLUN1c3RvbWVycy1HcmVhdGVyLUNvbnRyb2wtb2YtVGhlaXItSW5mb3JtYXRpb27SAQA?hl=en-US&gl=US&ceid=US%3Aen
"The Surprising Reasons Why Intuit, Cigna And The Gap Killed ...",2017-01-09 00:00:00,https://news.google.com/./articles/CBMikAFodHRwczovL3d3dy5mb3JiZXMuY29tL3NpdGVzL2xhdXJhZ2FybmV0dC8yMDE3LzAxLzA5L3RoZS1zdXJwcmlzaW5nLXJlYXNvbnMtd2h5LWludHVpdC1jaWduYS1hbmQtdGhlLWdhcC1raWxsZWQtdHJhZGl0aW9uYWwtcGVyZm9ybWFuY2UtcmV2aWV3cy_SAQA?hl=en-US&gl=US&ceid=US%3Aen
How to use year-end summaries to spend less and save more,2017-01-12 00:00:00,https://news.google.com/./articles/CBMiRWh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvdXMtbW9uZXktY3JlZGl0LXllYXJlbmQtaWRVU0tCTjE0VzFaSNIBAA?hl=en-US&gl=US&ceid=US%3Aen
"Channeling the Wants and Needs of Users, What Does the Future ...",2017-01-23 00:00:00,https://news.google.com/./articles/CBMijAFodHRwczovL3d3dy50aGVub25wcm9maXR0aW1lcy5jb20vbnB0X2FydGljbGVzL2NoYW5uZWxpbmctd2FudHMtbmVlZHMtdXNlcnMtcHJvbWluZW50LWFwcGxpY2F0aW9ucy1yb3VuZHVwLWZ1dHVyZS1ob2xkLW5vbnByb2ZpdC1hY2NvdW50aW5nL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
The 30 Best Workplaces in Technology,2017-01-17 00:00:00,https://news.google.com/./articles/CBMiNGh0dHBzOi8vZm9ydHVuZS5jb20vMjAxNy8wMS8xNy9iZXN0LXdvcmtwbGFjZXMtdGVjaC_SAThodHRwczovL2ZvcnR1bmUuY29tLzIwMTcvMDEvMTcvYmVzdC13b3JrcGxhY2VzLXRlY2gvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen
Flashback: When banks tried to end screen scraping … in 2004,2017-01-13 00:00:00,https://news.google.com/./articles/CBMiYGh0dHBzOi8vd3d3LmFtZXJpY2FuYmFua2VyLmNvbS9vcGluaW9uL2ZsYXNoYmFjay13aGVuLWJhbmtzLXRyaWVkLXRvLWVuZC1zY3JlZW4tc2NyYXBpbmctaW4tMjAwNNIBAA?hl=en-US&gl=US&ceid=US%3Aen
The Life Story of Billionaire Snapchat Founder Evan Spiegel,2017-01-06 00:00:00,https://news.google.com/./articles/CBMiX2h0dHBzOi8vd3d3LmluYy5jb20vYnVzaW5lc3MtaW5zaWRlci9zbmFwY2hhdC1jZW8tZm91bmRlci1ldmFuLXNwaWVnZWwtZmFidWxvdXMtbGlmZS1zdG9yeS5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
8 Signs It's Time to Upgrade Your POS System,2017-01-26 00:00:00,https://news.google.com/./articles/CBMiSWh0dHBzOi8vd3d3LmFsbGJ1c2luZXNzLmNvbS84LXNpZ25zLXRpbWUtdXBncmFkZS1wb3Mtc3lzdGVtLTEwODM5MC0xLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
Review: Sennheiser MB 660 Wireless Headset Could Keep You ...,2017-01-23 00:00:00,https://news.google.com/./articles/CBMie2h0dHBzOi8vd3d3LmNybi5jb20vbmV3cy9tb2JpbGl0eS8zMDAwODM1MDQvcmV2aWV3LXNlbm5oZWlzZXItbWItNjYwLXdpcmVsZXNzLWhlYWRzZXQtY291bGQta2VlcC15b3Utc2FuZS1pbi10aGUtb2ZmaWNlLmh0bdIBAA?hl=en-US&gl=US&ceid=US%3Aen
"SMS, Curvature Merge To Create $500M Independent Third-Party IT ...",2017-01-19 00:00:00,https://news.google.com/./articles/CBMijgFodHRwczovL3d3dy5jcm4uY29tL25ld3MvY2hhbm5lbC1wcm9ncmFtcy8zMDAwODM0NTkvc21zLWN1cnZhdHVyZS1tZXJnZS10by1jcmVhdGUtNTAwbS1pbmRlcGVuZGVudC10aGlyZC1wYXJ0eS1pdC1zZXJ2aWNlcy1jYXRlZ29yeS1raWxsZXIuaHRt0gEA?hl=en-US&gl=US&ceid=US%3Aen
CRN Exclusive: Invincea Launches Partner Program To Target Next ...,2017-01-11 00:00:00,https://news.google.com/./articles/CBMilwFodHRwczovL3d3dy5jcm4uY29tL25ld3Mvc2VjdXJpdHkvMzAwMDgzMzY5L2Nybi1leGNsdXNpdmUtaW52aW5jZWEtbGF1bmNoZXMtcGFydG5lci1wcm9ncmFtLXRvLXRhcmdldC1uZXh0LWdlbmVyYXRpb24tZW5kcG9pbnQtc2VjdXJpdHktY29tcGV0aXRpb24uaHRt0gEA?hl=en-US&gl=US&ceid=US%3Aen
Key For Partners: 10 Business-Friendly Features In Intel's Core vPro ...,2017-01-03 00:00:00,https://news.google.com/./articles/CBMikQFodHRwczovL3d3dy5jcm4uY29tL3NsaWRlLXNob3dzL2NvbXBvbmVudHMtcGVyaXBoZXJhbHMvMzAwMDgzMjYzL2tleS1mb3ItcGFydG5lcnMtMTAtYnVzaW5lc3MtZnJpZW5kbHktZmVhdHVyZXMtaW4taW50ZWxzLWNvcmUtdnByby1wcm9jZXNzb3IuaHRt0gEA?hl=en-US&gl=US&ceid=US%3Aen
The 10 Coolest Smartwatches Of 2016,2017-01-07 00:00:00,https://news.google.com/./articles/CBMiaGh0dHBzOi8vd3d3LmNybi5jb20vc2xpZGUtc2hvd3MvY29tcG9uZW50cy1wZXJpcGhlcmFscy8zMDAwODMzMjMvdGhlLTEwLWNvb2xlc3Qtc21hcnR3YXRjaGVzLW9mLTIwMTYuaHRt0gEA?hl=en-US&gl=US&ceid=US%3Aen
11 jobs that pay at least $100K at top U.S. employers,2017-01-06 00:00:00,https://news.google.com/./articles/CBMiUGh0dHBzOi8vd3d3LmNic25ld3MuY29tL21lZGlhLzExLWpvYnMtdGhhdC1wYXktMTAwMDAwLWF0LXRvcC1hbWVyaWNhbi1lbXBsb3llcnMv0gFUaHR0cHM6Ly93d3cuY2JzbmV3cy5jb20vYW1wL21lZGlhLzExLWpvYnMtdGhhdC1wYXktMTAwMDAwLWF0LXRvcC1hbWVyaWNhbi1lbXBsb3llcnMv?hl=en-US&gl=US&ceid=US%3Aen
Ex-Microsoft COO Kevin Turner Leaves Citadel Securities After 7 ...,2017-01-30 00:00:00,https://news.google.com/./articles/CBMihQFodHRwczovL3d3dy5jcm4uY29tL25ld3MvY2hhbm5lbC1wcm9ncmFtcy8zMDAwODM1OTAvZXgtbWljcm9zb2Z0LWNvby1rZXZpbi10dXJuZXItbGVhdmVzLWNpdGFkZWwtc2VjdXJpdGllcy1hZnRlci03LW1vbnRocy1hcy1jZW8uaHRt0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Amazon, Inc.'s AWS Is Crushing It -- and It Has More Room to Run",2017-01-12 00:00:00,https://news.google.com/./articles/CBMiYWh0dHBzOi8vd3d3LmZvb2wuY29tL2ludmVzdGluZy8yMDE3LzAxLzEyL2FtYXpvbi1pbmNzLWF3cy1pcy1jcnVzaGluZy1pdC1hbmQtaXQtaGFzLW1vcmUtcm9vLmFzcHjSAQA?hl=en-US&gl=US&ceid=US%3Aen
