title,datetime,link
2017 Intellectual Property Law Year In Review | McDermott Will ...,2017-02-01 00:00:00,https://news.google.com/./articles/CBMiT2h0dHBzOi8vd3d3Lmpkc3VwcmEuY29tL2xlZ2FsbmV3cy8yMDE3LWludGVsbGVjdHVhbC1wcm9wZXJ0eS1sYXcteWVhci1pbi0xNzQzNC_SAQA?hl=en-US&gl=US&ceid=US%3Aen
BRIEF-Lumentum Holdings announces $350 mln convertible notes ...,2017-03-02 00:00:00,https://news.google.com/./articles/CBMiVWh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvYnJpZWYtbHVtZW50dW0taG9sZGluZ3MtYW5ub3VuY2VzLTM1MC1tbC1pZFVTQVNCMEIzRFHSAQA?hl=en-US&gl=US&ceid=US%3Aen
S&P 500 survives test of 50-day average amid technical cross currents,2017-03-28 00:00:00,https://news.google.com/./articles/CBMibmh0dHBzOi8vd3d3Lm1hcmtldHdhdGNoLmNvbS9zdG9yeS9zcC01MDAtc3Vydml2ZXMtdGVzdC1vZi01MC1kYXktYXZlcmFnZS1hbWlkLW1hcmtldC1jcm9zcy1jdXJyZW50cy0yMDE3LTAzLTI40gFyaHR0cHM6Ly93d3cubWFya2V0d2F0Y2guY29tL2FtcC9zdG9yeS9zcC01MDAtc3Vydml2ZXMtdGVzdC1vZi01MC1kYXktYXZlcmFnZS1hbWlkLW1hcmtldC1jcm9zcy1jdXJyZW50cy0yMDE3LTAzLTI4?hl=en-US&gl=US&ceid=US%3Aen
Apple's iPhone gives little-known suppliers long-awaited payday,2017-08-18 00:00:00,https://news.google.com/./articles/CBMicGh0dHBzOi8vd3d3LnRoZXNwZWMuY29tL2J1c2luZXNzLzIwMTcvMDgvMTgvYXBwbGUtcy1pcGhvbmUtZ2l2ZXMtbGl0dGxlLWtub3duLXN1cHBsaWVycy1sb25nLWF3YWl0ZWQtcGF5ZGF5Lmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
Inside Apple's Struggle to Get the iPhone X to Market on Time,2017-10-25 00:00:00,https://news.google.com/./articles/CBMicGh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDE3LTEwLTI1L2luc2lkZS1hcHBsZS1zLXN0cnVnZ2xlLXRvLWdldC10aGUtaXBob25lLXgtdG8tbWFya2V0LW9uLXRpbWXSAQA?hl=en-US&gl=US&ceid=US%3Aen
"Commodities gain, equities pause 2017 rally in holiday trading",2017-12-26 00:00:00,https://news.google.com/./articles/CBMiP2h0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvdXMtZ2xvYmFsLW1hcmtldHMtaWRVS0tCTjFFSzE2RdIBAA?hl=en-US&gl=US&ceid=US%3Aen
Sanmina Corp. shares plunge 23% as CEO Bob Eulau details ...,2018-01-22 00:00:00,https://news.google.com/./articles/CBMiX2h0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9zYW5qb3NlL25ld3MvMjAxOC8wMS8yMi9zYW5taW5hLXNtY2ktcTEtcTItMjAxOC1wbGFudC1jbG9zdXJlcy5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen
Hedge The Market With HDGE ETF (NYSEARCA:HDGE),2018-02-05 00:00:00,https://news.google.com/./articles/CBMiPmh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQxNDMwMjQtaGVkZ2UtbWFya2V0LWhkZ2UtZXRm0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Dow, S&P weighed down by tariffs while tech boosts Nasdaq",2018-03-12 00:00:00,https://news.google.com/./articles/CBMiO2h0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvdXMtdXNhLXN0b2Nrcy1pZFVTS0NOMUdPMURJ0gEA?hl=en-US&gl=US&ceid=US%3Aen
UPDATE 7-U.S. bans American companies from selling to Chinese ...,2018-04-16 00:00:00,https://news.google.com/./articles/CBMiO2h0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvdXNhLWNoaW5hLXp0ZS1pZFVTTDFOMVJUMElY0gEA?hl=en-US&gl=US&ceid=US%3Aen
