title,datetime,link
BRIEF-National Instruments's board approved an increase in size of ...,2017-01-26 00:00:00,https://news.google.com/./articles/CBMiLWh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvaWRVU0ZXTjFGRzBZWdIBAA?hl=en-US&gl=US&ceid=US%3Aen
China Unveils Memory Plans,2017-01-19 00:00:00,https://news.google.com/./articles/CBMiN2h0dHBzOi8vc2VtaWVuZ2luZWVyaW5nLmNvbS9jaGluYS11bnZlaWxzLW1lbW9yeS1wbGFucy_SAQA?hl=en-US&gl=US&ceid=US%3Aen
"Companies to offer 2,700 posts for bilingual staff at job fair",2017-01-23 00:00:00,https://news.google.com/./articles/CBMiOmh0dHBzOi8vdGljb3RpbWVzLm5ldC8yMDE3LzAxLzIzL2NpbmRlLWpvYi1mYWlyLWNvc3RhLXJpY2HSAQA?hl=en-US&gl=US&ceid=US%3Aen
Golub Corp. promotes 2 senior execs,2017-01-24 00:00:00,https://news.google.com/./articles/CBMiR2h0dHBzOi8vZGFpbHlnYXpldHRlLmNvbS8yMDE3LzAxLzI0L2dvbHViLWNvcnAtcHJvbW90ZXMtMi1zZW5pb3ItZXhlY3Mv0gEA?hl=en-US&gl=US&ceid=US%3Aen
"One Yamaha: Yamaha Music, Yamaha Motor Come Together At ...",2017-01-25 00:00:00,https://news.google.com/./articles/CBMicGh0dHBzOi8vd3d3LnJvYWRyYWNpbmd3b3JsZC5jb20vbmV3cy95YW1haGEtbXVzaWMteWFtYWhhLW1vdG9yLWNvbWUtdG9nZXRoZXItdG8tcHJlc2VudC1vbmUteWFtYWhhLWF0LW5hbW0tc2hvdy_SAQA?hl=en-US&gl=US&ceid=US%3Aen
Brooklyn Navy Yard office project scores $250M construction loan,2017-01-26 00:00:00,https://news.google.com/./articles/CBMibWh0dHBzOi8vd3d3LmNvbnN0cnVjdGlvbmRpdmUuY29tL25ld3MvYnJvb2tseW4tbmF2eS15YXJkLW9mZmljZS1wcm9qZWN0LXNjb3Jlcy0yNTBtLWNvbnN0cnVjdGlvbi1sb2FuLzQzNDgyNi_SAQA?hl=en-US&gl=US&ceid=US%3Aen
SAGE III to provide highly accurate measurements of atmospheric gases,2017-01-17 00:00:00,https://news.google.com/./articles/CBMiR2h0dHBzOi8vcGh5cy5vcmcvbmV3cy8yMDE3LTAxLXNhZ2UtaWlpLWhpZ2hseS1hY2N1cmF0ZS1hdG1vc3BoZXJpYy5odG1s0gFGaHR0cHM6Ly9waHlzLm9yZy9uZXdzLzIwMTctMDEtc2FnZS1paWktaGlnaGx5LWFjY3VyYXRlLWF0bW9zcGhlcmljLmFtcA?hl=en-US&gl=US&ceid=US%3Aen
Golub Corp. continues Market 32 rebranding,2017-01-10 00:00:00,https://news.google.com/./articles/CBMiTmh0dHBzOi8vZGFpbHlnYXpldHRlLmNvbS8yMDE3LzAxLzEwL2dvbHViLWNvcnAtY29udGludWVzLW1hcmtldC0zMi1yZWJyYW5kaW5nL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
"""Totally nonsense"" – Incheon International Airport Corp and Korea ...",2017-01-11 00:00:00,https://news.google.com/./articles/CBMinQFodHRwczovL3d3dy5tb29kaWVkYXZpdHRyZXBvcnQuY29tL3RvdGFsbHktbm9uc2Vuc2UtaW5jaGVvbi1pbnRlcm5hdGlvbmFsLWFpcnBvcnQtY29ycC1hbmQta29yZWEtY3VzdG9tcy1zZXJ2aWNlLWluLWRpc3B1dGUtb3Zlci1kdXR5LWZyZWUtdGVuZGVyLWV2YWx1YXRpb24v0gEA?hl=en-US&gl=US&ceid=US%3Aen
Indemnification In Condos - A Potential Double-Edged Sword - Real ...,2017-01-13 00:00:00,https://news.google.com/./articles/CBMia2h0dHBzOi8vd3d3Lm1vbmRhcS5jb20vY2FuYWRhL3JlYWwtZXN0YXRlLzU1OTk1Ni9pbmRlbW5pZmljYXRpb24taW4tY29uZG9zLS0tYS1wb3RlbnRpYWwtZG91YmxlLWVkZ2VkLXN3b3Jk0gEA?hl=en-US&gl=US&ceid=US%3Aen
"Along with Chelsea Manning, here are the other people who ...",2017-01-17 00:00:00,https://news.google.com/./articles/CBMipAFodHRwczovL3d3dy53YXNoaW5ndG9ucG9zdC5jb20vbmV3cy9wb3N0LW5hdGlvbi93cC8yMDE3LzAxLzE3L2Fsb25nLXdpdGgtY2hlbHNlYS1tYW5uaW5nLWhlcmUtYXJlLXRoZS1vdGhlci1wZW9wbGUtd2hvLXJlY2VpdmVkLXBhcmRvbnMtYW5kLWNvbW11dGF0aW9ucy1mcm9tLW9iYW1hL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
"Swedesburg, Iowa, museum a trove of pioneer artifacts",2017-01-27 00:00:00,https://news.google.com/./articles/CBMigwFodHRwczovL3d3dy5qc29ubGluZS5jb20vc3RvcnkvdHJhdmVsL3dpc2NvbnNpbi93ZWVrZW5kLWdldGF3YXkvMjAxNy8wMS8yNy9zd2VkZXNidXJnLWlvd2EtbXVzZXVtLXRyb3ZlLXBpb25lZXItYXJ0aWZhY3RzLzk2OTYxNDc0L9IBAA?hl=en-US&gl=US&ceid=US%3Aen
"With a vision of a world powered by green energy, students of RV ...",2017-01-09 00:00:00,https://news.google.com/./articles/CBMiLGh0dHBzOi8veW91cnN0b3J5LmNvbS8yMDE3LzAxL3J2Y2Utc29sYXItY2Fy0gEA?hl=en-US&gl=US&ceid=US%3Aen
Dainik Bhaskar appoints Satyajit Sengupta as Chief Corporate Sales and Marketing Officer,2017-01-27 00:00:00,https://news.google.com/./articles/CBMiemh0dHBzOi8vYmVzdG1lZGlhaW5mby5jb20vMjAxNy8wMS9kYWluaWstYmhhc2thci1hcHBvaW50cy1zYXR5YWppdC1zZW5ndXB0YS1hcy1jaGllZi1jb3Jwb3JhdGUtc2FsZXMtYW5kLW1hcmtldGluZy1vZmZpY2Vy0gF-aHR0cHM6Ly9iZXN0bWVkaWFpbmZvLmNvbS9hbXAvMjAxNy8wMS9kYWluaWstYmhhc2thci1hcHBvaW50cy1zYXR5YWppdC1zZW5ndXB0YS1hcy1jaGllZi1jb3Jwb3JhdGUtc2FsZXMtYW5kLW1hcmtldGluZy1vZmZpY2Vy?hl=en-US&gl=US&ceid=US%3Aen
New U.S. weather satellite with improved camera sends back first ...,2017-01-23 00:00:00,https://news.google.com/./articles/CBMibWh0dHBzOi8vc3BhY2VmbGlnaHRub3cuY29tLzIwMTcvMDEvMjMvbmV3LXUtcy13ZWF0aGVyLXNhdGVsbGl0ZS13aXRoLWltcHJvdmVkLWNhbWVyYS1zZW5kcy1iYWNrLWZpcnN0LWltYWdlcy_SAQA?hl=en-US&gl=US&ceid=US%3Aen
A wider window opens on David Zier tragedy as Convergent is ...,2017-01-06 00:00:00,https://news.google.com/./articles/CBMijgFodHRwczovL3JpYWJpei5jb20vYS8yMDE3LzEvNi9hLXdpZGVyLXdpbmRvdy1vcGVucy1vbi1kYXZpZC16aWVyLXRyYWdlZHktYXMtY29udmVyZ2VudC1pcy1tYWRlLXRvLXBheS1hbmQtZmlucmEtYW5kLXNlYy1tYWtlLXRoZW1zZWx2ZXMtc2NhcmNl0gEA?hl=en-US&gl=US&ceid=US%3Aen
How Deutsche Bank Made a $462 Million Loss Disappear,2017-01-18 00:00:00,https://news.google.com/./articles/CBMiX2h0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9mZWF0dXJlcy8yMDE3LTAxLTE5L2hvdy1kZXV0c2NoZS1iYW5rLW1hZGUtMzY3LW1pbGxpb24tZGlzYXBwZWFy0gEA?hl=en-US&gl=US&ceid=US%3Aen
Determination of bilateral symmetry of carotid artery structure and fu ...,2017-01-13 00:00:00,https://news.google.com/./articles/CBMigwFodHRwczovL3d3dy5kb3ZlcHJlc3MuY29tL2RldGVybWluYXRpb24tb2YtYmlsYXRlcmFsLXN5bW1ldHJ5LW9mLWNhcm90aWQtYXJ0ZXJ5LXN0cnVjdHVyZS1hbmQtZnUtcGVlci1yZXZpZXdlZC1mdWxsdGV4dC1hcnRpY2xlLUpWRNIBAA?hl=en-US&gl=US&ceid=US%3Aen
MKS/Newport – ISO/IEC 17025 Accredited Photovoltaic (PV) Certification and Calibration Services,2017-01-03 00:00:00,https://news.google.com/./articles/CBMiMWh0dHBzOi8vd3d3LmF6b20uY29tL2FydGljbGUuYXNweD9BcnRpY2xlSUQ9MTM0MjTSATVodHRwczovL3d3dy5hem9tLmNvbS9hbXAvYXJ0aWNsZS5hc3B4P0FydGljbGVJRD0xMzQyNA?hl=en-US&gl=US&ceid=US%3Aen
Raising the bar in Belize,2017-01-12 00:00:00,https://news.google.com/./articles/CBMiUGh0dHBzOi8vd3d3LnRyYXZlbHdlZWtseS5jb20vQ3J1aXNlLVRyYXZlbC9CZWxpemVhbi1ibGlzcy1Ob3J3ZWdpYW4tSGFydmVzdC1DYXll0gEA?hl=en-US&gl=US&ceid=US%3Aen
The Norwegian dietary guidelines and colorectal cancer survival ...,2017-01-30 00:00:00,https://news.google.com/./articles/CBMiRmh0dHBzOi8vYm1jY2FuY2VyLmJpb21lZGNlbnRyYWwuY29tL2FydGljbGVzLzEwLjExODYvczEyODg1LTAxNy0zMDcyLTTSAQA?hl=en-US&gl=US&ceid=US%3Aen
"Dan Nainan, The Media's Favorite 'Millennial,' Is 55 Years Old",2017-01-05 00:00:00,https://news.google.com/./articles/CBMiV2h0dHBzOi8vd3d3LnRoZWRhaWx5YmVhc3QuY29tL2Rhbi1uYWluYW4tdGhlLW1lZGlhcy1mYXZvcml0ZS1taWxsZW5uaWFsLWlzLTU1LXllYXJzLW9sZNIBAA?hl=en-US&gl=US&ceid=US%3Aen
