title,datetime,link
Harmed by Navient? What student loan borrowers need to know,2017-01-19 00:00:00,https://news.google.com/./articles/CBMihgFodHRwczovL3d3dy51c2F0b2RheS5jb20vc3RvcnkvbW9uZXkvcGVyc29uYWxmaW5hbmNlLzIwMTcvMDEvMTkvZmVkcy1zdWUtc3R1ZGVudC1sb2FuLWdpYW50LW5hdmllbnQtd2hhdC1ib3Jyb3dlcnMtbmVlZC1rbm93Lzk2NzY3MTQwL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
AG Ferguson files suit against Sallie Mae offshoot Navient Corp ...,2017-01-18 00:00:00,https://news.google.com/./articles/CBMie2h0dHBzOi8vd3d3LmF0Zy53YS5nb3YvbmV3cy9uZXdzLXJlbGVhc2VzL2FnLWZlcmd1c29uLWZpbGVzLXN1aXQtYWdhaW5zdC1zYWxsaWUtbWFlLW9mZnNob290LW5hdmllbnQtY29ycC1hbm5vdW5jZXMtc3R1ZGVudNIBAA?hl=en-US&gl=US&ceid=US%3Aen
"Student Loan Collector Cheated Millions, Lawsuits Say",2017-01-18 00:00:00,https://news.google.com/./articles/CBMiV2h0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMTcvMDEvMTgvYnVzaW5lc3MvZGVhbGJvb2svc3R1ZGVudC1sb2Fucy1uYXZpZW50LWxhd3N1aXQuaHRtbNIBW2h0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMTcvMDEvMTgvYnVzaW5lc3MvZGVhbGJvb2svc3R1ZGVudC1sb2Fucy1uYXZpZW50LWxhd3N1aXQuYW1wLmh0bWw?hl=en-US&gl=US&ceid=US%3Aen
Navient Adding Jobs in Muncie – Inside INdiana Business,2017-01-12 00:00:00,https://news.google.com/./articles/CBMiTGh0dHBzOi8vd3d3Lmluc2lkZWluZGlhbmFidXNpbmVzcy5jb20vYXJ0aWNsZXMvbmF2aWVudC1hZGRpbmctam9icy1pbi1tdW5jaWXSAQA?hl=en-US&gl=US&ceid=US%3Aen
BRIEF-Navient comments on lawsuit filed by Consumer Financial ...,2017-01-18 00:00:00,https://news.google.com/./articles/CBMiLWh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvaWRVU0ZXTjFGODBQMtIBAA?hl=en-US&gl=US&ceid=US%3Aen
Inside the Financial Holdings of Billionaire Betsy DeVos,2017-01-27 00:00:00,https://news.google.com/./articles/CBMiYmh0dHBzOi8vd3d3LmFtZXJpY2FucHJvZ3Jlc3Mub3JnL2FydGljbGUvaW5zaWRlLXRoZS1maW5hbmNpYWwtaG9sZGluZ3Mtb2YtYmlsbGlvbmFpcmUtYmV0c3ktZGV2b3Mv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Investors are cheering student loan stocks ahead of President Trump,2017-01-21 00:00:00,https://news.google.com/./articles/CBMicGh0dHBzOi8vd3d3Lm1hcmtldHdhdGNoLmNvbS9zdG9yeS9pbnZlc3RvcnMtYXJlLWNoZWVyaW5nLXN0dWRlbnQtbG9hbi1zdG9ja3MtYWhlYWQtb2YtcHJlc2lkZW50LXRydW1wLTIwMTctMDEtMTnSAXRodHRwczovL3d3dy5tYXJrZXR3YXRjaC5jb20vYW1wL3N0b3J5L2ludmVzdG9ycy1hcmUtY2hlZXJpbmctc3R1ZGVudC1sb2FuLXN0b2Nrcy1haGVhZC1vZi1wcmVzaWRlbnQtdHJ1bXAtMjAxNy0wMS0xOQ?hl=en-US&gl=US&ceid=US%3Aen
Live Nation to help employees pay off student loans,2017-01-18 00:00:00,https://news.google.com/./articles/CBMidGh0dHBzOi8vd3d3LnVzYXRvZGF5LmNvbS9zdG9yeS90ZWNoL3RhbGtpbmd0ZWNoLzIwMTcvMDEvMTgvbGl2ZS1uYXRpb24taGVscC1lbXBsb3llZXMtcGF5LW9mZi1zdHVkZW50LWRlYnQvOTY2OTA2NjAv0gEA?hl=en-US&gl=US&ceid=US%3Aen
Citigroup fined $28.8 million for harm to home borrowers,2017-01-23 00:00:00,https://news.google.com/./articles/CBMiRGh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvdXMtY2l0aS1tb3J0Z2FnZXMtZmluZS1pZFVTS0JOMTU3Mkkw0gEA?hl=en-US&gl=US&ceid=US%3Aen
"News of Record for Saturday, Jan. 28, 2017",2017-01-27 00:00:00,https://news.google.com/./articles/CBMic2h0dHBzOi8vd3d3Lm5ld3Mtam91cm5hbG9ubGluZS5jb20vc3RvcnkvbmV3cy9jcmltZS8yMDE3LzAxLzI3L25ld3Mtb2YtcmVjb3JkLWZvci1zYXR1cmRheS1qYW4tMjgtMjAxNy8yMjU0MTQ5OTAwNy_SAQA?hl=en-US&gl=US&ceid=US%3Aen
